path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
bideford_road,1,Bideford Road_Cam4_20260107_104531_899_A.jpeg,,10.296,5.148,6.0,9.498,-1.211,1.0
bideford_road,2,Bideford Road_Cam4_20260107_104534_301_A.jpeg,,22.917,16.606,16.0,8.38,,
bideford_road,3,Bideford Road_Cam4_20260107_104537_303_A.jpeg,,31.144,27.031,28.0,5.391,,
bideford_road,4,Bideford Road_Cam4_20260107_104539_104_A.jpeg,,41.488,36.316,36.0,4.909,,
bideford_road,5,Bideford Road_Cam4_20260107_104541_510_A.jpeg,,47.643,44.566,44.0,4.792,,
bideford_road,6,Bideford Road_Cam4_20260107_104548_118_A.jpeg,,56.858,52.251,52.0,5.07,,
bideford_road,7,Bideford Road_Cam4_20260107_104552_356_A.jpeg,,67.461,62.16,62.0,4.909,0.66,1.0
bideford_road,8,Bideford Road_Cam4_20260107_104556_562_A.jpeg,,79.142,73.302,74.0,5.425,,
bideford_road,9,Bideford Road_Cam4_20260107_104605_571_A.jpeg,,88.612,83.877,84.0,6.804,,
bideford_road,10,Bideford Road_Cam4_20260107_104608_583_A.jpeg,,97.217,92.914,92.0,6.019,,
bideford_road,11,Bideford Road_Cam4_20260107_104610_383_A.jpeg,,107.924,102.571,102.0,5.142,-1.161,1.0
bideford_road,12,Bideford Road_Cam4_20260107_104613_386_A.jpeg,,163.966,135.945,,,,
bideford_road,13,Bideford Road_Cam4_20260107_104642_834_A.jpeg,,175.777,169.871,170.0,6.5,-3.594,1.0
bideford_road,14,Bideford Road_Cam4_20260107_104705_097_A.jpeg,,197.42,186.598,186.0,7.487,,
bideford_road,15,Bideford Road_Cam4_20260107_104716_514_A.jpeg,,207.749,202.585,202.0,10.475,,
bideford_road,16,Bideford Road_Cam4_20260107_104725_525_A.jpeg,,216.834,212.292,212.0,12.367,,
bideford_road,17,Bideford Road_Cam4_20260107_104733_938_A.jpeg,,236.245,226.539,224.0,13.617,,
bideford_road,18,Bideford Road_Cam4_20260107_104823_243_A.jpeg,,314.084,275.165,,,,
bideford_road,19,Bideford Road_Cam4_20260107_104905_916_A.jpeg,,323.826,318.955,318.0,12.831,0.243,1.0
bideford_road,20,Bideford Road_Cam4_20260107_104910_122_A.jpeg,,501.077,412.451,412.0,9.089,,
bideford_road,21,Bideford Road_Cam4_20260107_114911_697_B.jpeg,,564.277,532.677,,,,
bideford_road,22,Bideford Road_Cam4_20260107_114947_814_B.jpeg,,570.483,567.38,,,,
bideford_road,23,Bideford Road_Cam4_20260107_114949_616_B.jpeg,,581.877,576.18,576.0,8.243,,
bideford_road,24,Bideford Road_Cam4_20260107_114953_966_B.jpeg,,590.214,586.045,586.0,9.005,,
bideford_road,25,Bideford Road_Cam4_20260107_114955_767_B.jpeg,,599.677,594.945,594.0,8.585,,
bideford_road,26,Bideford Road_Cam4_20260107_114958_238_B.jpeg,,700.49,650.084,,,,
bideford_road,27,Bideford Road_Cam4_20260107_115219_041_B.jpeg,,711.064,705.777,706.0,5.051,,
bideford_road,28,Bideford Road_Cam4_20260107_115222_043_B.jpeg,,718.7,714.882,714.0,5.837,,
bideford_road,29,Bideford Road_Cam4_20260107_115225_299_B.jpeg,,728.625,723.662,724.0,7.014,,
bideford_road,30,Bideford Road_Cam4_20260107_115230_311_B.jpeg,,754.08,741.352,742.0,5.146,,
bideford_road,31,Bideford Road_Cam4_20260107_115241_853_B.jpeg,,766.352,760.216,760.0,4.881,0.405,1.0
bideford_road,32,Bideford Road_Cam4_20260107_115246_082_B.jpeg,,774.747,770.549,770.0,5.452,,
bideford_road,33,Bideford Road_Cam4_20260107_115247_884_B.jpeg,,782.272,778.51,778.0,6.391,,
bideford_road,34,Bideford Road_Cam4_20260107_115249_687_B.jpeg,,792.793,787.532,788.0,6.07,,
bideford_road,35,Bideford Road_Cam4_20260107_115251_631_B.jpeg,,803.506,798.149,798.0,5.666,,
bideford_road,36,Bideford Road_Cam4_20260107_115253_432_B.jpeg,,813.106,808.306,808.0,6.236,5.531,1.0
bideford_road,37,Bideford Road_Cam4_20260107_115255_931_B.jpeg,,885.901,849.503,850.0,4.933,,
bideford_road,38,Bideford Road_Cam4_20260107_115328_190_B.jpeg,,896.919,891.41,892.0,11.338,,
