path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
buyong_road,Buyong Road,0.0,29068.243,31362.399,5.853,7.395,7.395,,,BUYONG ROAD,6.04
buyong_road,Buyong Road,2.0,29066.457,31363.299,5.911,7.395,7.395,,,BUYONG ROAD,8.0
buyong_road,Buyong Road,4.0,29064.671,31364.198,6.241,7.395,7.395,,,BUYONG ROAD,9.959
buyong_road,Buyong Road,6.0,29062.885,31365.098,6.587,7.395,7.395,,,BUYONG ROAD,11.919
buyong_road,Buyong Road,20.0,29056.076,31360.173,7.395,7.395,7.395,,,BUYONG ROAD,17.199
buyong_road,Buyong Road,22.0,29055.747,31358.2,7.006,7.658,7.658,,,BUYONG ROAD,17.0
buyong_road,Buyong Road,24.0,29055.418,31356.227,7.743,8.042,8.042,,,BUYONG ROAD,16.8
buyong_road,Buyong Road,26.0,29055.089,31354.254,8.193,8.427,8.427,,,BUYONG ROAD,16.601
buyong_road,Buyong Road,28.0,29054.76,31352.282,7.921,8.919,8.919,,,BUYONG ROAD,16.402
buyong_road,Buyong Road,30.0,29054.431,31350.309,7.268,9.411,9.411,,,BUYONG ROAD,16.202
buyong_road,Buyong Road,32.0,29054.102,31348.336,7.468,9.904,9.904,,,BUYONG ROAD,16.003
buyong_road,Buyong Road,34.0,29053.773,31346.363,11.962,,10.396,,,BUYONG ROAD,15.804
buyong_road,Buyong Road,36.0,29053.444,31344.391,14.772,,10.888,,,BUYONG ROAD,15.604
buyong_road,Buyong Road,38.0,29053.115,31342.418,14.849,,11.381,,,BUYONG ROAD,15.405
buyong_road,Buyong Road,40.0,29052.786,31340.445,13.796,11.873,11.873,,,BUYONG ROAD,15.205
buyong_road,Buyong Road,42.0,29052.457,31338.472,13.815,12.365,12.365,,,BUYONG ROAD,15.006
buyong_road,Buyong Road,44.0,29052.128,31336.5,13.022,12.858,12.858,,,BUYONG ROAD,14.807
buyong_road,Buyong Road,46.0,29052.194,31336.532,13.53,13.35,13.271,,,BUYONG ROAD,14.751
buyong_road,Buyong Road,48.0,29052.638,31338.482,13.7,13.504,13.271,,,BUYONG ROAD,14.833
buyong_road,Buyong Road,50.0,29053.082,31340.432,13.624,13.271,13.271,,,BUYONG ROAD,14.916
buyong_road,Buyong Road,52.0,29053.527,31342.382,15.299,12.825,12.825,,,BUYONG ROAD,14.998
buyong_road,Buyong Road,54.0,29053.971,31344.332,14.839,12.38,12.38,,,BUYONG ROAD,15.08
buyong_road,Buyong Road,56.0,29054.462,31346.26,10.206,11.934,11.934,,,BUYONG ROAD,15.112
buyong_road,Buyong Road,58.0,29055.647,31347.871,7.222,11.383,11.383,,,BUYONG ROAD,14.389
buyong_road,Buyong Road,60.0,29056.833,31349.481,7.647,10.831,10.831,,,BUYONG ROAD,13.667
buyong_road,Buyong Road,62.0,29058.019,31351.092,8.674,10.28,10.28,,,BUYONG ROAD,12.944
buyong_road,Buyong Road,64.0,29059.205,31352.703,7.129,9.728,9.728,,,BUYONG ROAD,12.222
buyong_road,Buyong Road,66.0,29060.391,31354.313,9.309,9.177,9.177,,,BUYONG ROAD,11.499
buyong_road,Buyong Road,68.0,29061.577,31355.924,8.053,8.625,8.625,,,BUYONG ROAD,10.777
buyong_road,Buyong Road,70.0,29062.763,31357.534,7.179,8.074,8.074,,,BUYONG ROAD,10.054
buyong_road,Buyong Road,72.0,29063.948,31359.145,6.645,7.523,7.523,,,BUYONG ROAD,9.332
buyong_road,Buyong Road,74.0,29065.134,31360.755,6.578,6.971,6.971,,,BUYONG ROAD,8.61
buyong_road,Buyong Road,76.0,29066.32,31362.366,6.46,6.42,6.42,,,BUYONG ROAD,7.887
buyong_road,Buyong Road,78.0,29067.506,31363.976,5.868,5.868,5.868,,,BUYONG ROAD,7.165
buyong_road,Buyong Road,80.0,29068.692,31365.587,5.597,5.597,5.669,,,BUYONG ROAD,6.442
buyong_road,Buyong Road,82.0,29069.878,31367.197,5.611,5.611,5.646,-3.215,1.0,BUYONG ROAD,5.72
buyong_road,Buyong Road,84.0,29071.063,31368.808,5.669,5.669,5.611,-2.04,1.0,BUYONG ROAD,4.997
buyong_road,Buyong Road,86.0,29072.249,31370.418,5.646,5.646,5.611,-0.864,1.0,BUYONG ROAD,4.275
buyong_road,Buyong Road,98.0,29079.364,31380.081,5.277,5.444,5.491,-0.668,1.0,BUYONG ROAD,6.155
buyong_road,Buyong Road,100.0,29080.55,31381.692,5.242,5.242,5.491,,,BUYONG ROAD,6.875
buyong_road,Buyong Road,102.0,29081.736,31383.302,5.491,5.491,5.491,,,BUYONG ROAD,7.595
buyong_road,Buyong Road,104.0,29082.922,31384.913,5.543,5.679,5.679,,,BUYONG ROAD,8.315
buyong_road,Buyong Road,106.0,29084.108,31386.523,5.468,5.867,5.867,,,BUYONG ROAD,9.035
buyong_road,Buyong Road,108.0,29085.294,31388.134,8.667,6.359,6.359,,,BUYONG ROAD,9.755
buyong_road,Buyong Road,110.0,29086.479,31389.744,7.572,6.851,6.851,,,BUYONG ROAD,10.475
buyong_road,Buyong Road,112.0,29087.665,31391.355,9.871,7.344,7.344,,,BUYONG ROAD,11.195
buyong_road,Buyong Road,114.0,29088.851,31392.965,10.202,,7.59,,,BUYONG ROAD,11.915
buyong_road,Buyong Road,116.0,29090.037,31394.576,9.24,,7.836,,,BUYONG ROAD,12.635
buyong_road,Buyong Road,118.0,29091.223,31396.186,9.323,,8.328,,,BUYONG ROAD,13.355
buyong_road,Buyong Road,120.0,29092.409,31397.797,12.338,,9.805,,,BUYONG ROAD,14.075
buyong_road,Buyong Road,122.0,29093.595,31399.408,12.697,,10.298,,,BUYONG ROAD,14.794
buyong_road,Buyong Road,124.0,29094.78,31401.018,10.106,,10.544,,,BUYONG ROAD,15.514
buyong_road,Buyong Road,126.0,29095.966,31402.629,9.127,10.79,10.79,,,BUYONG ROAD,16.234
buyong_road,Buyong Road,128.0,29097.152,31404.239,15.905,11.283,11.283,,,BUYONG ROAD,16.954
buyong_road,Buyong Road,130.0,29098.338,31405.85,12.352,11.775,11.775,,,BUYONG ROAD,17.674
buyong_road,Buyong Road,132.0,29099.524,31407.46,12.789,12.267,12.267,,,BUYONG ROAD,18.394
buyong_road,Buyong Road,134.0,29100.71,31409.071,4.983,12.386,12.267,,,BUYONG ROAD,19.114
buyong_road,Buyong Road,136.0,29100.299,31407.43,9.864,12.505,12.267,,,BUYONG ROAD,19.15
buyong_road,Buyong Road,138.0,29099.75,31405.507,12.77,12.226,12.226,,,BUYONG ROAD,19.126
buyong_road,Buyong Road,140.0,29099.201,31403.584,12.08,11.931,11.931,,,BUYONG ROAD,19.103
buyong_road,Buyong Road,142.0,29098.651,31401.661,12.293,11.636,11.636,,,BUYONG ROAD,19.079
buyong_road,Buyong Road,144.0,29098.102,31399.738,10.612,11.341,11.341,,,BUYONG ROAD,19.056
buyong_road,Buyong Road,146.0,29097.552,31397.815,8.418,11.046,11.046,,,BUYONG ROAD,19.032
buyong_road,Buyong Road,148.0,29097.003,31395.892,7.662,10.762,10.762,,,BUYONG ROAD,19.008
buyong_road,Buyong Road,150.0,29096.454,31393.969,8.539,10.477,10.477,,,BUYONG ROAD,18.985
buyong_road,Buyong Road,152.0,29095.904,31392.046,7.226,10.193,10.193,,,BUYONG ROAD,18.961
buyong_road,Buyong Road,154.0,29095.355,31390.123,7.059,9.908,9.908,,,BUYONG ROAD,18.937
buyong_road,Buyong Road,156.0,29094.806,31388.2,6.638,9.624,9.624,,,BUYONG ROAD,18.914
buyong_road,Buyong Road,188.0,29086.016,31357.431,8.979,9.339,9.339,,,BUYONG ROAD,12.414
buyong_road,Buyong Road,190.0,29085.467,31355.508,9.055,9.055,9.078,,,BUYONG ROAD,12.387
buyong_road,Buyong Road,192.0,29084.917,31353.584,8.688,9.066,9.078,,,BUYONG ROAD,12.361
buyong_road,Buyong Road,194.0,29084.368,31351.661,9.351,9.078,9.066,,,BUYONG ROAD,12.335
buyong_road,Buyong Road,196.0,29083.819,31349.738,9.089,9.089,9.066,,,BUYONG ROAD,12.309
buyong_road,Buyong Road,198.0,29083.269,31347.815,8.954,8.842,8.842,,,BUYONG ROAD,12.282
buyong_road,Buyong Road,200.0,29082.72,31345.892,9.244,8.595,8.595,-9.668,2.0,BUYONG ROAD,12.256
buyong_road,Buyong Road,202.0,29082.171,31343.969,8.348,8.348,8.348,,,BUYONG ROAD,12.23
buyong_road,Buyong Road,204.0,29081.621,31342.046,10.093,8.293,8.293,,,BUYONG ROAD,12.203
buyong_road,Buyong Road,206.0,29081.072,31340.123,8.237,8.237,8.237,-2.351,1.0,BUYONG ROAD,12.177
buyong_road,Buyong Road,208.0,29080.522,31338.2,7.942,7.942,8.16,-0.293,1.0,BUYONG ROAD,12.151
buyong_road,Buyong Road,210.0,29079.973,31336.277,7.942,7.942,8.16,1.765,1.0,BUYONG ROAD,12.125
buyong_road,Buyong Road,212.0,29079.424,31334.354,7.895,8.16,8.16,,,BUYONG ROAD,12.098
buyong_road,Buyong Road,214.0,29078.874,31332.431,8.379,8.379,8.379,,,BUYONG ROAD,12.072
buyong_road,Buyong Road,216.0,29078.325,31330.508,9.593,8.959,8.959,,,BUYONG ROAD,12.046
buyong_road,Buyong Road,218.0,29077.776,31328.585,14.352,9.539,9.539,,,BUYONG ROAD,12.019
buyong_road,Buyong Road,220.0,29077.226,31326.661,14.008,10.12,10.12,,,BUYONG ROAD,11.993
buyong_road,Buyong Road,222.0,29076.677,31324.738,11.142,,10.7,,,BUYONG ROAD,11.967
buyong_road,Buyong Road,224.0,29076.128,31322.815,13.321,,11.28,,,BUYONG ROAD,11.94
buyong_road,Buyong Road,226.0,29075.578,31320.892,14.154,11.861,11.861,,,BUYONG ROAD,11.878
buyong_road,Buyong Road,228.0,29075.029,31318.969,12.99,12.441,12.441,,,BUYONG ROAD,11.725
buyong_road,Buyong Road,230.0,29074.48,31317.046,13.267,13.021,13.021,,,BUYONG ROAD,11.573
buyong_road,Buyong Road,232.0,29073.93,31315.123,13.602,13.602,13.602,,,BUYONG ROAD,11.421
buyong_road,Buyong Road,234.0,29073.381,31313.2,14.977,13.755,13.678,,,BUYONG ROAD,11.268
buyong_road,Buyong Road,236.0,29074.298,31311.878,13.908,13.908,13.755,3.832,1.0,BUYONG ROAD,12.432
