path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
dublin_road,Dublin Road,0.0,28686.534,31211.589,6.1,6.1,6.15,,,DUBLIN ROAD,2.452
dublin_road,Dublin Road,2.0,28688.195,31210.476,5.625,6.15,6.175,,,DUBLIN ROAD,2.332
dublin_road,Dublin Road,4.0,28689.857,31209.363,5.5,6.2,6.2,,,DUBLIN ROAD,2.213
dublin_road,Dublin Road,6.0,28691.519,31208.25,6.25,6.453,6.453,,,DUBLIN ROAD,2.093
dublin_road,Dublin Road,8.0,28693.181,31207.137,6.1,6.707,6.707,,,DUBLIN ROAD,1.973
dublin_road,Dublin Road,10.0,28694.843,31206.025,12.271,6.96,6.96,,,DUBLIN ROAD,1.853
dublin_road,Dublin Road,12.0,28696.542,31204.972,7.821,7.106,7.106,,,DUBLIN ROAD,1.804
dublin_road,Dublin Road,14.0,28698.261,31203.949,7.471,7.251,7.251,,,DUBLIN ROAD,1.791
dublin_road,Dublin Road,16.0,28699.98,31202.926,,7.396,7.396,,,DUBLIN ROAD,1.777
dublin_road,Dublin Road,18.0,28701.698,31201.903,,7.62,7.62,,,DUBLIN ROAD,1.764
dublin_road,Dublin Road,20.0,28703.417,31200.88,,7.845,7.845,,,DUBLIN ROAD,1.751
dublin_road,Dublin Road,22.0,28705.363,31200.587,7.171,9.053,9.053,,,DUBLIN ROAD,2.482
dublin_road,Dublin Road,24.0,28707.358,31200.453,7.171,10.261,10.261,,,DUBLIN ROAD,3.375
dublin_road,Dublin Road,26.0,28709.354,31200.32,7.346,11.469,11.469,,,DUBLIN ROAD,4.269
dublin_road,Dublin Road,68.0,28734.426,31197.192,17.596,,12.676,,,DUBLIN ROAD,14.449
dublin_road,Dublin Road,70.0,28735.254,31195.371,18.421,,13.884,,,DUBLIN ROAD,13.316
dublin_road,Dublin Road,72.0,28736.082,31193.55,18.771,15.092,15.092,,,DUBLIN ROAD,12.184
dublin_road,Dublin Road,74.0,28736.91,31191.73,18.771,16.3,16.3,,,DUBLIN ROAD,11.051
dublin_road,Dublin Road,76.0,28737.738,31189.909,18.871,17.508,17.508,,,DUBLIN ROAD,9.919
dublin_road,Dublin Road,78.0,28738.566,31188.089,,18.716,18.406,,,DUBLIN ROAD,8.787
dublin_road,Dublin Road,80.0,28739.754,31186.522,,18.561,18.406,,,DUBLIN ROAD,8.058
dublin_road,Dublin Road,82.0,28741.19,31185.129,,18.406,18.406,-3.873,1.0,DUBLIN ROAD,7.606
dublin_road,Dublin Road,84.0,28742.625,31183.737,,18.251,18.251,-5.81,1.0,DUBLIN ROAD,7.153
dublin_road,Dublin Road,86.0,28744.061,31182.344,,18.096,18.096,-7.747,1.0,DUBLIN ROAD,6.701
dublin_road,Dublin Road,88.0,28745.496,31180.952,,17.941,17.941,-7.747,1.0,DUBLIN ROAD,6.249
dublin_road,Dublin Road,90.0,28746.932,31179.559,,17.786,17.786,-7.747,1.0,DUBLIN ROAD,5.797
dublin_road,Dublin Road,92.0,28748.497,31178.319,,17.632,17.632,-7.747,1.0,DUBLIN ROAD,5.541
dublin_road,Dublin Road,94.0,28750.102,31177.125,,17.477,17.477,-7.747,1.0,DUBLIN ROAD,5.347
dublin_road,Dublin Road,96.0,28751.706,31175.932,,17.322,17.322,-7.747,1.0,DUBLIN ROAD,5.153
dublin_road,Dublin Road,98.0,28753.298,31174.72,,17.167,17.167,-7.747,1.0,DUBLIN ROAD,4.936
dublin_road,Dublin Road,100.0,28754.881,31173.498,,17.012,17.012,-7.747,1.0,DUBLIN ROAD,4.705
dublin_road,Dublin Road,102.0,28756.463,31172.275,,16.857,16.857,-7.747,1.0,DUBLIN ROAD,4.475
dublin_road,Dublin Road,104.0,28758.046,31171.053,,16.702,16.702,-7.747,1.0,DUBLIN ROAD,4.244
dublin_road,Dublin Road,106.0,28759.629,31169.83,,16.547,16.547,-7.747,1.0,DUBLIN ROAD,4.014
dublin_road,Dublin Road,108.0,28761.275,31168.698,,16.392,16.392,-7.747,1.0,DUBLIN ROAD,3.894
dublin_road,Dublin Road,110.0,28762.973,31167.642,,16.237,16.237,-7.747,1.0,DUBLIN ROAD,3.865
dublin_road,Dublin Road,112.0,28764.671,31166.585,,16.082,16.082,-7.747,1.0,DUBLIN ROAD,3.836
dublin_road,Dublin Road,114.0,28766.369,31165.529,,15.927,15.927,-7.747,1.0,DUBLIN ROAD,3.807
dublin_road,Dublin Road,116.0,28768.067,31164.472,,15.772,15.772,-7.747,1.0,DUBLIN ROAD,3.778
dublin_road,Dublin Road,118.0,28769.765,31163.415,,15.617,15.617,-7.747,1.0,DUBLIN ROAD,3.749
dublin_road,Dublin Road,120.0,28771.464,31162.359,,15.462,15.462,-6.778,1.0,DUBLIN ROAD,3.72
