path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
emerald_hill_road,1,Emerald Hill Road_Cam4_20260107_085936_589_A.jpeg,,8.134,4.067,4.0,,,
emerald_hill_road,2,Emerald Hill Road_Cam4_20260107_085940_792_A.jpeg,,17.548,12.841,12.0,,,
emerald_hill_road,3,Emerald Hill Road_Cam4_20260107_085946_197_A.jpeg,,28.253,22.901,22.0,,,
emerald_hill_road,4,Emerald Hill Road_Cam4_20260107_085950_404_A.jpeg,,39.816,34.035,34.0,,,
emerald_hill_road,5,Emerald Hill Road_Cam4_20260107_085954_007_A.jpeg,,47.053,43.435,44.0,,,
emerald_hill_road,6,Emerald Hill Road_Cam4_20260107_085955_208_A.jpeg,,54.175,50.614,50.0,,,
emerald_hill_road,7,Emerald Hill Road_Cam4_20260107_085958_814_A.jpeg,,64.618,59.397,60.0,,,
emerald_hill_road,8,Emerald Hill Road_Cam4_20260107_090004_220_A.jpeg,,75.203,69.911,70.0,,,
emerald_hill_road,9,Emerald Hill Road_Cam4_20260107_090009_624_A.jpeg,,84.012,79.608,80.0,,,
emerald_hill_road,10,Emerald Hill Road_Cam4_20260107_090013_228_A.jpeg,,92.532,88.272,88.0,,,
emerald_hill_road,11,Emerald Hill Road_Cam4_20260107_090015_630_A.jpeg,,102.277,97.404,98.0,,,
emerald_hill_road,12,Emerald Hill Road_Cam4_20260107_090019_234_A.jpeg,,113.326,107.802,106.0,,,
emerald_hill_road,13,Emerald Hill Road_Cam4_20260107_090040_259_A.jpeg,,120.582,116.954,,,,
emerald_hill_road,14,Emerald Hill Road_Cam4_20260107_090043_869_A.jpeg,,131.005,125.794,,,,
emerald_hill_road,15,Emerald Hill Road_Cam4_20260107_090048_673_A.jpeg,,232.29,181.648,182.0,,,
emerald_hill_road,16,Emerald Hill Road_Cam4_20260107_090609_423_A.jpeg,,272.228,252.259,,,,
emerald_hill_road,17,Emerald Hill Road_Cam4_20260107_090629_249_A.jpeg,,329.921,301.074,302.0,,,
emerald_hill_road,18,Emerald Hill Road_Cam4_20260107_090739_520_A.jpeg,,342.841,336.381,336.0,,,
emerald_hill_road,19,Emerald Hill Road_Cam4_20260107_090743_722_A.jpeg,,349.692,346.266,346.0,,,
emerald_hill_road,20,Emerald Hill Road_Cam4_20260107_090746_125_A.jpeg,,361.463,355.577,356.0,,,
emerald_hill_road,21,Emerald Hill Road_Cam4_20260107_090759_937_A.jpeg,,384.684,373.073,374.0,,,
emerald_hill_road,22,Emerald Hill Road_Cam4_20260107_090811_961_A.jpeg,,395.467,390.075,390.0,,,
emerald_hill_road,23,Emerald Hill Road_Cam4_20260107_090816_164_A.jpeg,,407.177,401.322,402.0,,,
emerald_hill_road,24,Emerald Hill Road_Cam4_20260107_090820_972_A.jpeg,,428.573,417.875,418.0,,,
emerald_hill_road,25,Emerald Hill Road_Cam4_20260107_090829_983_A.jpeg,,440.704,434.639,434.0,,,
emerald_hill_road,26,Emerald Hill Road_Cam4_20260107_090834_739_A.jpeg,,543.165,491.935,492.0,,,
emerald_hill_road,27,Emerald Hill Road_Cam4_20260107_091528_997_A.jpeg,,552.703,547.934,548.0,,,
emerald_hill_road,28,Emerald Hill Road_Cam4_20260107_091532_598_A.jpeg,,565.102,558.902,558.0,,,
emerald_hill_road,29,Emerald Hill Road_Cam4_20260107_091537_404_A.jpeg,,576.106,570.604,570.0,,,
emerald_hill_road,30,Emerald Hill Road_Cam4_20260107_091541_611_A.jpeg,,581.825,578.965,578.0,,,
emerald_hill_road,31,Emerald Hill Road_Cam4_20260107_091544_015_A.jpeg,,610.203,596.014,596.0,,,
emerald_hill_road,32,Emerald Hill Road_Cam4_20260107_091557_832_A.jpeg,,620.794,615.498,616.0,,,
emerald_hill_road,33,Emerald Hill Road_Cam4_20260107_091602_035_A.jpeg,,632.757,626.775,626.0,,,
emerald_hill_road,34,Emerald Hill Road_Cam4_20260107_091606_237_A.jpeg,,638.215,635.486,636.0,,,
emerald_hill_road,35,Emerald Hill Road_Cam4_20260107_091608_039_A.jpeg,,665.003,651.609,652.0,,,
emerald_hill_road,36,Emerald Hill Road_Cam4_20260107_091617_055_A.jpeg,,676.494,670.749,670.0,,,
emerald_hill_road,37,Emerald Hill Road_Cam4_20260107_091621_258_A.jpeg,,931.417,803.956,804.0,,,
emerald_hill_road,38,Emerald Hill Road_Cam4_20260107_092456_523_A.jpeg,,1025.348,978.382,978.0,,,
emerald_hill_road,39,Emerald Hill Road_Cam4_20260107_092529_550_A.jpeg,,1036.466,1030.907,1030.0,,,
emerald_hill_road,40,Emerald Hill Road_Cam4_20260107_092533_154_A.jpeg,,1047.302,1041.884,1042.0,15.337,,
emerald_hill_road,41,Emerald Hill Road_Cam4_20260107_092536_763_A.jpeg,,1058.516,1052.909,1052.0,15.783,5.572,1.0
emerald_hill_road,42,Emerald Hill Road_Cam4_20260107_092540_968_A.jpeg,,1063.954,1061.235,1062.0,16.34,5.572,1.0
emerald_hill_road,43,Emerald Hill Road_Cam4_20260107_092543_375_A.jpeg,,1133.531,1098.742,1098.0,16.24,,
