path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
exeter_road,Exeter Road,0.0,28504.705,31344.856,,3.921,3.921,0.0,1.0,EXETER ROAD,16.523
exeter_road,Exeter Road,2.0,28506.299,31343.647,,3.921,3.921,0.0,1.0,EXETER ROAD,15.656
exeter_road,Exeter Road,4.0,28507.892,31342.438,,3.921,3.921,0.0,1.0,EXETER ROAD,14.789
exeter_road,Exeter Road,6.0,28509.485,31341.229,,3.921,3.921,0.0,1.0,EXETER ROAD,13.922
exeter_road,Exeter Road,8.0,28511.079,31340.02,,3.921,3.921,0.0,1.0,EXETER ROAD,13.055
exeter_road,Exeter Road,10.0,28512.672,31338.812,3.921,3.921,3.921,,,EXETER ROAD,12.188
exeter_road,Exeter Road,12.0,28514.265,31337.603,3.921,3.921,3.921,,,EXETER ROAD,11.321
exeter_road,Exeter Road,14.0,28515.859,31336.394,3.921,4.146,4.146,,,EXETER ROAD,10.454
exeter_road,Exeter Road,16.0,28517.539,31335.316,3.921,4.371,4.371,11.25,2.0,EXETER ROAD,9.732
exeter_road,Exeter Road,18.0,28519.275,31334.323,4.621,4.596,4.596,,,EXETER ROAD,9.106
exeter_road,Exeter Road,20.0,28521.011,31333.331,4.821,4.821,4.821,,,EXETER ROAD,8.479
exeter_road,Exeter Road,22.0,28522.771,31332.381,4.471,5.001,5.001,,,EXETER ROAD,7.899
exeter_road,Exeter Road,24.0,28524.537,31331.442,4.471,5.248,5.248,,,EXETER ROAD,7.331
exeter_road,Exeter Road,26.0,28526.303,31330.503,5.361,5.495,5.495,,,EXETER ROAD,6.762
exeter_road,Exeter Road,28.0,28528.069,31329.564,5.361,5.792,5.792,,,EXETER ROAD,6.194
exeter_road,Exeter Road,30.0,28529.835,31328.625,6.123,6.089,6.089,,,EXETER ROAD,5.626
exeter_road,Exeter Road,32.0,28531.619,31327.722,6.386,6.386,6.323,,,EXETER ROAD,5.097
exeter_road,Exeter Road,34.0,28533.417,31326.846,,6.355,6.323,,,EXETER ROAD,4.596
exeter_road,Exeter Road,36.0,28535.215,31325.97,,6.323,6.323,-0.781,1.0,EXETER ROAD,4.096
exeter_road,Exeter Road,38.0,28537.013,31325.094,,6.292,6.292,-1.172,1.0,EXETER ROAD,3.596
exeter_road,Exeter Road,40.0,28538.81,31324.218,,6.261,6.261,-1.562,1.0,EXETER ROAD,3.096
exeter_road,Exeter Road,42.0,28540.716,31323.676,,6.23,6.23,-1.562,1.0,EXETER ROAD,2.945
exeter_road,Exeter Road,44.0,28542.687,31323.335,,6.198,6.198,-1.562,1.0,EXETER ROAD,3.004
exeter_road,Exeter Road,46.0,28544.658,31322.994,,6.167,6.167,-1.562,1.0,EXETER ROAD,3.062
exeter_road,Exeter Road,48.0,28546.629,31322.653,,6.136,6.136,-1.562,1.0,EXETER ROAD,3.121
exeter_road,Exeter Road,50.0,28548.599,31322.312,,6.105,6.105,-1.172,1.0,EXETER ROAD,3.179
exeter_road,Exeter Road,52.0,28550.57,31321.971,,6.073,6.073,-0.781,1.0,EXETER ROAD,3.233
exeter_road,Exeter Road,54.0,28552.531,31322.084,,6.042,6.073,,,EXETER ROAD,3.703
exeter_road,Exeter Road,56.0,28554.485,31322.511,,6.011,6.073,,,EXETER ROAD,4.481
exeter_road,Exeter Road,58.0,28556.439,31322.938,,6.209,6.209,,,EXETER ROAD,5.259
exeter_road,Exeter Road,60.0,28558.392,31323.365,5.948,6.408,6.408,,,EXETER ROAD,6.037
exeter_road,Exeter Road,62.0,28560.366,31323.662,5.748,6.606,6.606,,,EXETER ROAD,6.69
exeter_road,Exeter Road,64.0,28562.358,31323.842,5.436,6.838,6.838,,,EXETER ROAD,7.232
exeter_road,Exeter Road,66.0,28564.35,31324.022,5.049,7.07,6.838,,,EXETER ROAD,7.774
exeter_road,Exeter Road,68.0,28566.342,31324.202,4.998,6.875,6.838,,,EXETER ROAD,8.316
exeter_road,Exeter Road,70.0,28568.334,31324.382,11.811,6.681,6.681,,,EXETER ROAD,8.858
exeter_road,Exeter Road,72.0,28570.326,31324.562,11.836,6.486,6.486,,,EXETER ROAD,9.4
exeter_road,Exeter Road,74.0,28572.318,31324.742,11.161,6.292,6.292,,,EXETER ROAD,9.942
exeter_road,Exeter Road,76.0,28574.299,31324.512,10.398,6.097,6.097,,,EXETER ROAD,10.079
exeter_road,Exeter Road,78.0,28576.279,31324.232,14.374,5.903,5.903,,,EXETER ROAD,10.167
exeter_road,Exeter Road,80.0,28578.26,31323.952,16.636,5.708,5.708,,,EXETER ROAD,10.254
exeter_road,Exeter Road,82.0,28580.233,31323.638,11.386,5.514,5.514,,,EXETER ROAD,10.307
exeter_road,Exeter Road,84.0,28582.16,31323.103,8.936,5.319,5.319,,,EXETER ROAD,10.135
exeter_road,Exeter Road,86.0,28584.088,31322.569,4.623,5.125,5.125,,,EXETER ROAD,9.963
exeter_road,Exeter Road,88.0,28586.015,31322.035,4.736,4.93,4.93,,,EXETER ROAD,9.791
exeter_road,Exeter Road,90.0,28587.942,31321.5,4.736,4.736,4.736,,,EXETER ROAD,9.618
exeter_road,Exeter Road,92.0,28589.869,31320.963,4.736,4.736,4.736,,,EXETER ROAD,9.443
exeter_road,Exeter Road,94.0,28591.753,31320.294,9.136,4.642,4.642,-3.516,1.0,EXETER ROAD,9.131
exeter_road,Exeter Road,96.0,28593.638,31319.625,10.711,4.548,4.548,-4.687,1.0,EXETER ROAD,8.819
exeter_road,Exeter Road,98.0,28595.523,31318.957,3.911,4.455,4.455,,,EXETER ROAD,8.507
exeter_road,Exeter Road,100.0,28597.408,31318.288,4.361,4.361,4.361,,,EXETER ROAD,8.195
exeter_road,Exeter Road,102.0,28599.311,31317.685,5.636,4.33,4.33,,,EXETER ROAD,7.95
exeter_road,Exeter Road,104.0,28601.274,31317.305,5.624,4.298,4.298,-1.563,1.0,EXETER ROAD,7.937
exeter_road,Exeter Road,106.0,28603.238,31316.925,15.486,4.267,4.267,,,EXETER ROAD,7.923
exeter_road,Exeter Road,108.0,28605.201,31316.545,4.236,4.236,4.236,,,EXETER ROAD,7.909
exeter_road,Exeter Road,110.0,28607.165,31316.165,4.198,4.198,4.236,,,EXETER ROAD,7.895
exeter_road,Exeter Road,112.0,28609.139,31315.845,4.223,4.223,4.236,0.573,1.0,EXETER ROAD,7.943
exeter_road,Exeter Road,114.0,28611.116,31315.546,8.948,4.253,4.253,,,EXETER ROAD,8.011
exeter_road,Exeter Road,116.0,28613.094,31315.246,7.611,4.282,4.282,,,EXETER ROAD,8.078
exeter_road,Exeter Road,118.0,28615.071,31314.946,4.311,4.589,4.589,,,EXETER ROAD,8.146
exeter_road,Exeter Road,120.0,28617.049,31314.647,7.261,4.896,4.896,,,EXETER ROAD,8.214
exeter_road,Exeter Road,122.0,28619.026,31314.347,3.848,5.261,5.261,,,EXETER ROAD,8.282
exeter_road,Exeter Road,124.0,28621.003,31314.047,3.848,5.626,5.626,,,EXETER ROAD,8.349
exeter_road,Exeter Road,126.0,28622.981,31313.747,9.536,5.992,5.992,,,EXETER ROAD,8.417
exeter_road,Exeter Road,128.0,28624.958,31313.448,5.424,6.357,6.357,,,EXETER ROAD,8.485
exeter_road,Exeter Road,130.0,28626.936,31313.148,3.861,6.735,6.735,,,EXETER ROAD,8.552
exeter_road,Exeter Road,132.0,28628.913,31312.848,13.961,7.113,7.113,,,EXETER ROAD,8.62
exeter_road,Exeter Road,134.0,28630.891,31312.548,9.136,7.491,7.491,,,EXETER ROAD,8.688
