path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
grange_road,1,Grange Road_Cam4_20251204_080803_262_B.jpeg,,11.151,5.575,,,,
grange_road,2,Grange Road_Cam4_20251204_080808_067_B.jpeg,,56.336,33.743,,,,
grange_road,3,Grange Road_Cam4_20251204_080825_965_B.jpeg,,385.938,221.137,,,,
grange_road,4,Grange Road_Cam4_20251205_081842_147_B.jpeg,,397.926,391.932,,,,
grange_road,5,Grange Road_Cam4_20251205_081848_154_B.jpeg,,419.73,408.828,,,,
grange_road,6,Grange Road_Cam4_20251205_081858_966_B.jpeg,,444.548,432.139,,,,
grange_road,7,Grange Road_Cam4_20251205_082121_597_B.jpeg,,454.986,449.767,,,,
grange_road,8,Grange Road_Cam4_20251205_082129_408_B.jpeg,,466.654,460.82,,,,
grange_road,9,Grange Road_Cam4_20251205_082217_235_B.jpeg,,477.197,471.925,,,,
grange_road,10,Grange Road_Cam4_20251205_082225_645_B.jpeg,,488.408,482.802,,,,
grange_road,11,Grange Road_Cam4_20251205_082235_261_B.jpeg,,511.168,499.788,,,,
grange_road,12,Grange Road_Cam4_20251205_082254_482_B.jpeg,,522.04,516.604,,,,
grange_road,13,Grange Road_Cam4_20251205_082302_894_B.jpeg,,533.085,527.562,,,,
grange_road,14,Grange Road_Cam4_20251205_082312_506_B.jpeg,,544.066,538.576,,,,
grange_road,15,Grange Road_Cam4_20251205_082322_123_B.jpeg,,566.933,555.5,,,,
grange_road,16,Grange Road_Cam4_20251205_082341_828_B.jpeg,,577.913,572.423,,,,
grange_road,17,Grange Road_Cam4_20251205_082351_439_B.jpeg,,589.221,583.567,,,,
grange_road,18,Grange Road_Cam4_20251205_082400_946_B.jpeg,,600.086,594.654,,,,
grange_road,19,Grange Road_Cam4_20251205_082409_959_B.jpeg,,622.47,611.278,,,,
grange_road,20,Grange Road_Cam4_20251205_082427_976_B.jpeg,,633.528,627.999,,,,
grange_road,21,Grange Road_Cam4_20251205_082443_593_B.jpeg,,644.88,639.204,,,,
grange_road,22,Grange Road_Cam4_20251205_082456_212_B.jpeg,,655.552,650.216,,,,
grange_road,23,Grange Road_Cam4_20251205_082500_420_B.jpeg,,690.986,673.269,,,,
grange_road,24,Grange Road_Cam4_20251205_082520_249_B.jpeg,,699.775,695.381,,,,
grange_road,25,Grange Road_Cam4_20251205_082523_253_B.jpeg,,753.467,726.621,,,,
grange_road,26,Grange Road_Cam4_20251205_083244_241_B.jpeg,,762.829,758.148,758.0,,,
grange_road,27,Grange Road_Cam4_20251205_083248_446_B.jpeg,,1164.128,963.479,,,,
grange_road,28,Grange Road_Cam4_20251205_084757_616_B.jpeg,,1444.375,1304.252,,,,
grange_road,29,Grange Road_Cam4_20260107_081927_921_B.jpeg,,1451.58,1447.977,1448.0,7.794,,
grange_road,30,Grange Road_Cam4_20260107_081930_927_B.jpeg,,1462.723,1457.152,1458.0,8.214,,
grange_road,31,Grange Road_Cam4_20260107_081934_534_B.jpeg,,1540.512,1501.618,1502.0,5.995,4.75,1.0
grange_road,32,Grange Road_Cam4_20260107_083058_067_B.jpeg,,1552.421,1546.467,,,,
grange_road,33,Grange Road_Cam4_20260107_083102_872_B.jpeg,,1564.065,1558.243,,,,
grange_road,34,Grange Road_Cam4_20260107_083107_077_B.jpeg,,1586.417,1575.241,,,,
grange_road,35,Grange Road_Cam4_20260107_083115_487_B.jpeg,,1599.24,1592.828,1592.0,7.361,,
grange_road,36,Grange Road_Cam4_20260107_083121_493_B.jpeg,,1608.302,1603.771,1602.0,8.202,0.587,1.0
grange_road,37,Grange Road_Cam4_20260107_083131_707_B.jpeg,,1618.485,1613.393,,,,
grange_road,38,Grange Road_Cam4_20260107_083135_309_B.jpeg,,1629.795,1624.14,,,,
grange_road,39,Grange Road_Cam4_20260107_083138_912_B.jpeg,,1644.818,1637.307,,,,
grange_road,40,Grange Road_Cam4_20260107_083204_746_B.jpeg,,1656.443,1650.631,,,,
grange_road,41,Grange Road_Cam4_20260107_083209_553_B.jpeg,,1663.204,1659.824,,,,
grange_road,42,Grange Road_Cam4_20260107_083211_957_B.jpeg,,1688.778,1675.991,,,,
grange_road,43,Grange Road_Cam4_20260107_083223_369_B.jpeg,,1698.136,1693.457,1694.0,8.302,,
grange_road,44,Grange Road_Cam4_20260107_083226_975_B.jpeg,,1709.1,1703.618,1704.0,9.681,13.794,2.0
grange_road,45,Grange Road_Cam4_20260107_083231_779_B.jpeg,,1737.366,1723.233,1724.0,10.407,0.446,1.0
grange_road,46,Grange Road_Cam4_20260107_083243_227_B.jpeg,,1748.238,1742.802,1742.0,10.502,0.595,1.0
grange_road,47,Grange Road_Cam4_20260107_083248_032_B.jpeg,,1759.592,1753.915,1754.0,10.574,0.595,1.0
grange_road,48,Grange Road_Cam4_20260107_083255_241_B.jpeg,,1803.588,1781.59,1784.0,10.645,0.16,1.0
grange_road,49,Grange Road_Cam4_20260107_083313_261_B.jpeg,,1814.283,1808.936,1808.0,,,
grange_road,50,Grange Road_Cam4_20260107_083316_866_B.jpeg,,1826.074,1820.179,1820.0,,,
grange_road,51,Grange Road_Cam4_20260107_083321_074_B.jpeg,,1837.889,1831.982,1832.0,,,
grange_road,52,Grange Road_Cam4_20260107_083324_676_B.jpeg,,1843.365,1840.627,1840.0,,,
grange_road,53,Grange Road_Cam4_20260107_083326_478_B.jpeg,,1853.342,1848.354,1848.0,,,
grange_road,54,Grange Road_Cam4_20260107_083329_480_B.jpeg,,1863.415,1858.378,1858.0,,,
grange_road,55,Grange Road_Cam4_20260107_083332_486_B.jpeg,,1873.563,1868.489,1868.0,,,
grange_road,56,Grange Road_Cam4_20260107_083335_490_B.jpeg,,1903.907,1888.735,1888.0,,,
grange_road,57,Grange Road_Cam4_20260107_083345_702_B.jpeg,,1915.737,1909.822,1910.0,,,
grange_road,58,Grange Road_Cam4_20260107_083349_906_B.jpeg,,1971.784,1943.761,,,,
grange_road,59,Grange Road_Cam4_20260107_083414_528_B.jpeg,,1981.714,1976.749,1976.0,,,
grange_road,60,Grange Road_Cam4_20260107_083417_532_B.jpeg,,1994.15,1987.932,1988.0,,,
grange_road,61,Grange Road_Cam4_20260107_083421_136_B.jpeg,,2005.095,1999.622,2000.0,,,
grange_road,62,Grange Road_Cam4_20260107_083424_739_B.jpeg,,2026.907,2016.001,2016.0,,,
grange_road,63,Grange Road_Cam4_20260107_083431_946_B.jpeg,,2038.39,2032.649,2032.0,,,
grange_road,64,Grange Road_Cam4_20260107_083435_548_B.jpeg,,2049.798,2044.094,2044.0,,,
grange_road,65,Grange Road_Cam4_20260107_083439_150_B.jpeg,,2060.813,2055.305,2056.0,,,
grange_road,66,Grange Road_Cam4_20260107_083442_754_B.jpeg,,2082.715,2071.764,2072.0,,,
grange_road,67,Grange Road_Cam4_20260107_083450_562_B.jpeg,,2094.081,2088.398,2088.0,,,
grange_road,68,Grange Road_Cam4_20260107_083454_164_B.jpeg,,2105.344,2099.712,2100.0,,,
grange_road,69,Grange Road_Cam4_20260107_083457_768_B.jpeg,,2116.422,2110.883,2110.0,,,
grange_road,70,Grange Road_Cam4_20260107_083501_371_B.jpeg,,2122.246,2119.334,2120.0,,,
grange_road,71,Grange Road_Cam4_20260107_083503_172_B.jpeg,,2133.667,2127.957,2128.0,,,
grange_road,72,Grange Road_Cam4_20260107_083506_776_B.jpeg,,2142.856,2138.262,2138.0,,,
grange_road,73,Grange Road_Cam4_20260107_083509_180_B.jpeg,,2153.894,2148.375,2148.0,,,
grange_road,74,Grange Road_Cam4_20260107_083512_183_B.jpeg,,2164.791,2159.342,2160.0,,,
grange_road,75,Grange Road_Cam4_20260107_083515_187_B.jpeg,,2269.112,2216.952,,,,
grange_road,76,Grange Road_Cam4_20260107_083606_853_B.jpeg,,2280.266,2274.689,2274.0,,,
grange_road,77,Grange Road_Cam4_20260107_083611_659_B.jpeg,,2291.39,2285.828,2286.0,,,
grange_road,78,Grange Road_Cam4_20260107_083620_669_B.jpeg,,2302.373,2296.881,2296.0,,,
grange_road,79,Grange Road_Cam4_20260107_083627_285_B.jpeg,,2324.706,2313.54,2314.0,,,
grange_road,80,Grange Road_Cam4_20260107_083635_093_B.jpeg,,2336.76,2330.733,2330.0,,,
grange_road,81,Grange Road_Cam4_20260107_083639_296_B.jpeg,,2347.753,2342.256,2342.0,,,
grange_road,82,Grange Road_Cam4_20260107_083642_900_B.jpeg,,2354.066,2350.909,2350.0,,,
grange_road,83,Grange Road_Cam4_20260107_083644_702_B.jpeg,,2380.614,2367.34,2368.0,,,
grange_road,84,Grange Road_Cam4_20260107_083652_393_B.jpeg,,2389.482,2385.048,2386.0,,,
grange_road,85,Grange Road_Cam4_20260107_083655_448_B.jpeg,,2401.245,2395.363,2396.0,,,
grange_road,86,Grange Road_Cam4_20260107_083659_052_B.jpeg,,2414.394,2407.819,2408.0,,,
grange_road,87,Grange Road_Cam4_20260107_083702_656_B.jpeg,,2421.018,2417.706,2418.0,,,
grange_road,88,Grange Road_Cam4_20260107_083704_456_B.jpeg,,2447.927,2434.472,2434.0,,,
grange_road,89,Grange Road_Cam4_20260107_083712_274_B.jpeg,,2458.297,2453.112,2454.0,,,
grange_road,90,Grange Road_Cam4_20260107_083715_276_B.jpeg,,2470.131,2464.214,2464.0,,,
grange_road,91,Grange Road_Cam4_20260107_083718_880_B.jpeg,,2480.735,2475.433,2476.0,,,
grange_road,92,Grange Road_Cam4_20260107_083722_484_B.jpeg,,2503.663,2492.199,2492.0,,,
grange_road,93,Grange Road_Cam4_20260107_083730_291_B.jpeg,,2514.345,2509.004,2510.0,,,
grange_road,94,Grange Road_Cam4_20260107_083733_894_B.jpeg,,2526.484,2520.414,2520.0,,,
grange_road,95,Grange Road_Cam4_20260107_083738_097_B.jpeg,,2537.224,2531.854,2532.0,,,
grange_road,96,Grange Road_Cam4_20260107_083741_699_B.jpeg,,2559.859,2548.542,2548.0,,,
grange_road,97,Grange Road_Cam4_20260107_083750_112_B.jpeg,,2571.52,2565.69,2566.0,,,
grange_road,98,Grange Road_Cam4_20260107_083754_315_B.jpeg,,2581.65,2576.585,2576.0,,,
grange_road,99,Grange Road_Cam4_20260107_083758_519_B.jpeg,,2593.014,2587.332,2588.0,,,
grange_road,100,Grange Road_Cam4_20260107_083803_324_B.jpeg,,2599.69,2596.352,2596.0,,,
grange_road,101,Grange Road_Cam4_20260107_083805_727_B.jpeg,,2627.275,2613.483,2614.0,,,
grange_road,102,Grange Road_Cam4_20260107_083816_539_B.jpeg,,2651.368,2639.322,2640.0,,,
grange_road,103,Grange Road_Cam4_20260107_083829_153_B.jpeg,,2664.926,2658.147,2658.0,,,
grange_road,104,Grange Road_Cam4_20260107_083836_368_B.jpeg,,2813.578,2739.252,,,,
grange_road,105,Grange Road_Cam4_20260107_084004_077_B.jpeg,,2826.661,2820.119,2820.0,,,
grange_road,106,Grange Road_Cam4_20260107_084008_281_B.jpeg,,2832.739,2829.7,2830.0,,,
grange_road,107,Grange Road_Cam4_20260107_084010_084_B.jpeg,,2843.483,2838.111,2838.0,,,
grange_road,108,Grange Road_Cam4_20260107_084013_688_B.jpeg,,2852.299,2847.891,2848.0,,,
grange_road,109,Grange Road_Cam4_20260107_084016_691_B.jpeg,,2864.223,2858.261,2858.0,,,
grange_road,110,Grange Road_Cam4_20260107_084020_895_B.jpeg,,2872.738,2868.48,2868.0,,,
grange_road,111,Grange Road_Cam4_20260107_084023_897_B.jpeg,,2883.074,2877.906,2878.0,,,
