path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
orchard_road,Orchard Road,0.0,29308.415,31313.587,3.759,5.212,5.454,,,ORCHARD ROAD,15.241
orchard_road,Orchard Road,2.0,29310.259,31312.813,3.459,5.454,5.575,,,ORCHARD ROAD,15.075
orchard_road,Orchard Road,4.0,29312.104,31312.039,3.909,5.696,5.696,,,ORCHARD ROAD,14.909
orchard_road,Orchard Road,6.0,29313.948,31311.265,4.474,5.938,5.938,,,ORCHARD ROAD,14.743
orchard_road,Orchard Road,8.0,29315.792,31310.49,4.913,6.199,6.199,,,ORCHARD ROAD,14.577
orchard_road,Orchard Road,10.0,29317.636,31309.716,4.75,6.459,6.459,,,ORCHARD ROAD,14.412
orchard_road,Orchard Road,12.0,29319.475,31308.932,6.663,6.72,6.72,,,ORCHARD ROAD,14.234
orchard_road,Orchard Road,14.0,29321.304,31308.121,14.388,6.981,6.981,,,ORCHARD ROAD,14.029
orchard_road,Orchard Road,16.0,29323.132,31307.31,14.406,7.242,7.242,,,ORCHARD ROAD,13.824
orchard_road,Orchard Road,18.0,29324.96,31306.5,16.306,7.503,7.503,,,ORCHARD ROAD,13.618
orchard_road,Orchard Road,20.0,29326.789,31305.689,11.022,7.764,7.764,,,ORCHARD ROAD,13.413
orchard_road,Orchard Road,22.0,29328.636,31304.927,10.997,8.025,8.025,,,ORCHARD ROAD,13.26
orchard_road,Orchard Road,24.0,29330.537,31304.307,11.009,8.286,8.286,,,ORCHARD ROAD,13.258
orchard_road,Orchard Road,26.0,29332.439,31303.687,8.674,8.546,8.546,,,ORCHARD ROAD,13.257
orchard_road,Orchard Road,28.0,29334.34,31303.067,8.807,8.807,8.546,,,ORCHARD ROAD,13.255
orchard_road,Orchard Road,30.0,29336.242,31302.447,9.174,8.661,8.546,,,ORCHARD ROAD,13.254
orchard_road,Orchard Road,32.0,29338.143,31301.827,7.559,8.514,8.514,-3.75,1.0,ORCHARD ROAD,13.252
orchard_road,Orchard Road,34.0,29340.045,31301.207,7.559,8.368,8.368,,,ORCHARD ROAD,13.251
orchard_road,Orchard Road,36.0,29342.028,31300.952,8.222,8.222,8.247,,,ORCHARD ROAD,13.622
orchard_road,Orchard Road,38.0,29344.012,31300.7,7.934,8.234,8.247,,,ORCHARD ROAD,13.996
orchard_road,Orchard Road,40.0,29345.996,31300.447,8.247,8.247,8.247,0.194,1.0,ORCHARD ROAD,14.369
orchard_road,Orchard Road,42.0,29347.98,31300.195,9.811,8.254,8.254,0.194,1.0,ORCHARD ROAD,14.743
orchard_road,Orchard Road,44.0,29349.964,31299.943,10.594,8.262,8.262,0.194,1.0,ORCHARD ROAD,15.117
orchard_road,Orchard Road,46.0,29351.508,31301.016,12.894,8.27,8.262,-0.75,1.0,ORCHARD ROAD,16.616
orchard_road,Orchard Road,48.0,29352.948,31302.404,8.278,8.278,8.262,,,ORCHARD ROAD,18.381
orchard_road,Orchard Road,50.0,29354.327,31303.847,8.194,8.194,8.194,,,ORCHARD ROAD,20.18
