path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
tomlinson_road,Tomlinson Road,0.0,27169.963,31866.524,10.117,11.903,11.903,0.0,1.0,TOMLINSON ROAD,10.485
tomlinson_road,Tomlinson Road,2.0,27170.724,31864.675,11.903,11.903,11.903,0.0,1.0,TOMLINSON ROAD,10.463
tomlinson_road,Tomlinson Road,4.0,27171.486,31862.826,11.874,11.874,11.903,,,TOMLINSON ROAD,10.441
tomlinson_road,Tomlinson Road,6.0,27172.248,31860.976,13.786,12.129,11.903,,,TOMLINSON ROAD,10.418
tomlinson_road,Tomlinson Road,8.0,27173.01,31859.127,12.385,11.99,11.874,,,TOMLINSON ROAD,10.396
tomlinson_road,Tomlinson Road,10.0,27173.772,31857.278,11.851,11.72,11.72,,,TOMLINSON ROAD,10.373
tomlinson_road,Tomlinson Road,12.0,27174.534,31855.429,11.426,11.449,11.449,,,TOMLINSON ROAD,10.351
tomlinson_road,Tomlinson Road,14.0,27175.296,31853.58,10.641,11.178,11.178,,,TOMLINSON ROAD,10.329
tomlinson_road,Tomlinson Road,16.0,27176.011,31851.712,12.273,10.963,10.963,,,TOMLINSON ROAD,10.255
tomlinson_road,Tomlinson Road,18.0,27176.711,31849.839,9.269,10.749,10.749,,,TOMLINSON ROAD,10.167
tomlinson_road,Tomlinson Road,20.0,27177.411,31847.965,9.169,10.534,10.534,,,TOMLINSON ROAD,10.078
tomlinson_road,Tomlinson Road,22.0,27178.111,31846.092,9.833,10.319,10.376,,,TOMLINSON ROAD,9.989
tomlinson_road,Tomlinson Road,24.0,27178.811,31844.218,10.206,10.104,10.376,,,TOMLINSON ROAD,9.9
tomlinson_road,Tomlinson Road,26.0,27179.512,31842.345,9.665,10.376,10.376,,,TOMLINSON ROAD,9.812
tomlinson_road,Tomlinson Road,28.0,27180.212,31840.471,10.419,10.83,10.83,,,TOMLINSON ROAD,9.723
