path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
chin_swee_road,Chin Swee Road,0.0,28307.206,29573.64,7.094,7.474,7.474,,,CHIN SWEE ROAD,8.525
chin_swee_road,Chin Swee Road,2.0,28308.921,29574.669,7.474,7.474,7.539,,,CHIN SWEE ROAD,8.509
chin_swee_road,Chin Swee Road,4.0,28310.636,29575.698,7.604,7.604,7.604,,,CHIN SWEE ROAD,8.356
chin_swee_road,Chin Swee Road,6.0,28312.351,29576.727,7.734,7.734,7.604,1.925,1.0,CHIN SWEE ROAD,7.901
chin_swee_road,Chin Swee Road,8.0,28314.066,29577.755,7.654,7.654,7.654,,,CHIN SWEE ROAD,7.446
chin_swee_road,Chin Swee Road,10.0,28315.781,29578.784,7.574,7.574,7.693,,,CHIN SWEE ROAD,6.991
chin_swee_road,Chin Swee Road,12.0,28317.453,29579.878,8.214,7.693,7.693,,,CHIN SWEE ROAD,6.613
chin_swee_road,Chin Swee Road,14.0,28319.064,29581.063,7.724,7.812,7.812,,,CHIN SWEE ROAD,6.342
chin_swee_road,Chin Swee Road,16.0,28320.675,29582.248,7.174,7.931,7.931,,,CHIN SWEE ROAD,6.071
chin_swee_road,Chin Swee Road,18.0,28322.287,29583.433,7.254,8.05,8.05,,,CHIN SWEE ROAD,5.8
chin_swee_road,Chin Swee Road,20.0,28323.898,29584.618,8.169,8.169,8.169,,,CHIN SWEE ROAD,5.53
chin_swee_road,Chin Swee Road,22.0,28325.509,29585.802,8.484,8.234,8.234,,,CHIN SWEE ROAD,5.259
chin_swee_road,Chin Swee Road,24.0,28327.12,29586.987,8.114,8.299,8.299,,,CHIN SWEE ROAD,4.988
chin_swee_road,Chin Swee Road,26.0,28328.465,29588.465,8.364,8.364,8.364,,,CHIN SWEE ROAD,5.113
chin_swee_road,Chin Swee Road,28.0,28329.791,29589.962,8.289,8.544,8.544,,,CHIN SWEE ROAD,5.265
chin_swee_road,Chin Swee Road,30.0,28331.117,29591.459,8.724,8.724,8.724,6.25,1.0,CHIN SWEE ROAD,5.417
chin_swee_road,Chin Swee Road,32.0,28332.443,29592.956,8.804,8.804,8.804,,,CHIN SWEE ROAD,5.569
chin_swee_road,Chin Swee Road,34.0,28333.769,29594.453,8.864,8.864,8.864,,,CHIN SWEE ROAD,5.721
chin_swee_road,Chin Swee Road,36.0,28335.095,29595.951,8.184,9.059,9.059,,,CHIN SWEE ROAD,5.873
chin_swee_road,Chin Swee Road,52.0,28345.703,29607.928,13.644,9.254,9.254,,,CHIN SWEE ROAD,5.75
chin_swee_road,Chin Swee Road,54.0,28347.029,29609.426,13.715,9.449,9.449,,,CHIN SWEE ROAD,5.575
chin_swee_road,Chin Swee Road,56.0,28348.355,29610.923,13.756,9.736,9.736,,,CHIN SWEE ROAD,5.4
chin_swee_road,Chin Swee Road,58.0,28349.681,29612.42,9.984,10.144,10.144,,,CHIN SWEE ROAD,5.225
chin_swee_road,Chin Swee Road,60.0,28351.007,29613.917,10.034,10.553,10.553,,,CHIN SWEE ROAD,5.05
chin_swee_road,Chin Swee Road,62.0,28352.333,29615.415,10.014,11.11,11.11,,,CHIN SWEE ROAD,4.874
chin_swee_road,Chin Swee Road,64.0,28353.659,29616.912,10.124,11.667,11.667,,,CHIN SWEE ROAD,4.699
chin_swee_road,Chin Swee Road,66.0,28354.985,29618.409,12.104,12.225,12.225,,,CHIN SWEE ROAD,4.524
chin_swee_road,Chin Swee Road,68.0,28356.311,29619.906,13.754,12.782,12.782,,,CHIN SWEE ROAD,4.349
chin_swee_road,Chin Swee Road,70.0,28357.539,29621.477,13.654,13.339,13.339,,,CHIN SWEE ROAD,4.296
chin_swee_road,Chin Swee Road,72.0,28358.608,29623.167,13.704,13.938,13.938,,,CHIN SWEE ROAD,4.442
chin_swee_road,Chin Swee Road,74.0,28359.677,29624.857,14.009,14.536,14.536,,,CHIN SWEE ROAD,4.588
chin_swee_road,Chin Swee Road,76.0,28360.747,29626.548,14.194,15.134,15.134,,,CHIN SWEE ROAD,4.734
chin_swee_road,Chin Swee Road,78.0,28361.816,29628.238,15.657,15.733,15.733,,,CHIN SWEE ROAD,4.88
chin_swee_road,Chin Swee Road,80.0,28362.887,29629.927,15.733,,16.032,,,CHIN SWEE ROAD,5.023
chin_swee_road,Chin Swee Road,82.0,28363.963,29631.613,17.601,,16.63,,,CHIN SWEE ROAD,5.162
chin_swee_road,Chin Swee Road,84.0,28365.039,29633.299,17.272,,17.528,,,CHIN SWEE ROAD,5.3
chin_swee_road,Chin Swee Road,86.0,28366.114,29634.985,17.401,,18.425,,,CHIN SWEE ROAD,5.439
chin_swee_road,Chin Swee Road,88.0,28367.189,29636.672,17.129,,19.023,,,CHIN SWEE ROAD,5.578
chin_swee_road,Chin Swee Road,90.0,28368.18,29638.409,17.308,19.323,19.323,,,CHIN SWEE ROAD,5.815
chin_swee_road,Chin Swee Road,92.0,28369.171,29640.146,11.671,19.921,19.921,,,CHIN SWEE ROAD,5.61
chin_swee_road,Chin Swee Road,94.0,28370.162,29641.883,20.972,20.519,20.519,,,CHIN SWEE ROAD,5.41
chin_swee_road,Chin Swee Road,96.0,28371.153,29643.621,21.118,21.118,21.113,,,CHIN SWEE ROAD,5.21
chin_swee_road,Chin Swee Road,98.0,28372.144,29645.358,21.113,21.113,21.118,,,CHIN SWEE ROAD,5.01
chin_swee_road,Chin Swee Road,100.0,28372.971,29647.175,21.122,21.194,21.194,,,CHIN SWEE ROAD,4.992
chin_swee_road,Chin Swee Road,102.0,28373.736,29649.023,23.268,21.275,21.275,,,CHIN SWEE ROAD,5.043
chin_swee_road,Chin Swee Road,104.0,28374.501,29650.871,22.001,21.356,21.356,,,CHIN SWEE ROAD,5.094
chin_swee_road,Chin Swee Road,106.0,28375.267,29652.719,18.159,21.437,21.437,,,CHIN SWEE ROAD,5.146
chin_swee_road,Chin Swee Road,108.0,28376.032,29654.567,18.168,21.518,21.518,,,CHIN SWEE ROAD,5.197
