path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jiak_chuan_road,Jiak Chuan Road,0.0,28934.614,29139.205,12.519,9.653,9.653,,,JIAK CHUAN ROAD,2.952
jiak_chuan_road,Jiak Chuan Road,2.0,28936.243,29140.366,12.511,9.653,9.653,,,JIAK CHUAN ROAD,2.98
jiak_chuan_road,Jiak Chuan Road,4.0,28937.871,29141.527,12.519,9.653,9.653,,,JIAK CHUAN ROAD,3.007
jiak_chuan_road,Jiak Chuan Road,12.0,28944.608,29145.685,9.653,9.653,9.653,,,JIAK CHUAN ROAD,2.608
jiak_chuan_road,Jiak Chuan Road,14.0,28946.551,29146.16,9.678,9.678,9.678,,,JIAK CHUAN ROAD,1.898
jiak_chuan_road,Jiak Chuan Road,16.0,28948.494,29146.634,9.728,9.728,9.728,3.359,1.0,JIAK CHUAN ROAD,1.189
jiak_chuan_road,Jiak Chuan Road,18.0,28950.437,29147.109,9.896,9.896,9.896,3.906,1.0,JIAK CHUAN ROAD,0.479
jiak_chuan_road,Jiak Chuan Road,20.0,28952.379,29147.584,9.921,9.921,9.921,3.438,1.0,JIAK CHUAN ROAD,0.231
jiak_chuan_road,Jiak Chuan Road,22.0,28954.322,29148.059,10.003,10.003,9.99,,,JIAK CHUAN ROAD,0.941
jiak_chuan_road,Jiak Chuan Road,24.0,28956.265,29148.534,9.99,9.99,10.003,,,JIAK CHUAN ROAD,1.651
jiak_chuan_road,Jiak Chuan Road,26.0,28958.208,29149.008,9.844,10.07,10.07,,,JIAK CHUAN ROAD,2.361
jiak_chuan_road,Jiak Chuan Road,28.0,28960.151,29149.483,10.119,10.15,10.15,,,JIAK CHUAN ROAD,3.07
jiak_chuan_road,Jiak Chuan Road,30.0,28962.094,29149.958,10.261,10.823,10.823,,,JIAK CHUAN ROAD,3.78
jiak_chuan_road,Jiak Chuan Road,32.0,28964.036,29150.433,11.369,11.497,11.497,,,JIAK CHUAN ROAD,4.49
jiak_chuan_road,Jiak Chuan Road,34.0,28965.979,29150.907,11.861,12.17,12.17,,,JIAK CHUAN ROAD,5.2
jiak_chuan_road,Jiak Chuan Road,36.0,28967.922,29151.382,11.852,,12.843,,,JIAK CHUAN ROAD,5.91
jiak_chuan_road,Jiak Chuan Road,38.0,28969.865,29151.857,11.377,,13.517,,,JIAK CHUAN ROAD,6.62
jiak_chuan_road,Jiak Chuan Road,80.0,28959.508,29136.798,15.972,14.19,14.19,,,JIAK CHUAN ROAD,13.158
jiak_chuan_road,Jiak Chuan Road,82.0,28957.611,29136.164,15.89,14.864,14.864,,,JIAK CHUAN ROAD,12.605
jiak_chuan_road,Jiak Chuan Road,84.0,28955.714,29135.53,18.81,15.537,15.537,,,JIAK CHUAN ROAD,12.053
jiak_chuan_road,Jiak Chuan Road,86.0,28953.818,29134.895,20.535,16.211,15.772,,,JIAK CHUAN ROAD,11.5
jiak_chuan_road,Jiak Chuan Road,88.0,28951.921,29134.261,20.318,15.991,15.772,,,JIAK CHUAN ROAD,10.948
jiak_chuan_road,Jiak Chuan Road,90.0,28950.024,29133.627,16.531,15.772,15.772,,,JIAK CHUAN ROAD,10.396
jiak_chuan_road,Jiak Chuan Road,92.0,28948.127,29132.993,16.702,15.552,15.552,,,JIAK CHUAN ROAD,9.843
jiak_chuan_road,Jiak Chuan Road,94.0,28946.231,29132.359,16.264,15.186,15.186,,,JIAK CHUAN ROAD,9.291
jiak_chuan_road,Jiak Chuan Road,96.0,28944.334,29131.724,12.065,14.819,14.819,,,JIAK CHUAN ROAD,8.731
jiak_chuan_road,Jiak Chuan Road,98.0,28942.437,29131.09,11.94,14.452,14.452,,,JIAK CHUAN ROAD,8.173
jiak_chuan_road,Jiak Chuan Road,100.0,28940.54,29130.456,10.346,,14.085,,,JIAK CHUAN ROAD,7.614
jiak_chuan_road,Jiak Chuan Road,102.0,28938.643,29129.822,9.515,13.719,13.719,,,JIAK CHUAN ROAD,7.055
jiak_chuan_road,Jiak Chuan Road,104.0,28936.747,29129.188,11.653,13.352,13.352,,,JIAK CHUAN ROAD,6.496
jiak_chuan_road,Jiak Chuan Road,106.0,28934.85,29128.553,11.94,12.985,12.985,,,JIAK CHUAN ROAD,5.938
jiak_chuan_road,Jiak Chuan Road,108.0,28932.953,29127.919,12.777,12.619,12.985,,,JIAK CHUAN ROAD,5.379
jiak_chuan_road,Jiak Chuan Road,110.0,28931.056,29127.285,11.748,12.909,12.985,,,JIAK CHUAN ROAD,4.82
jiak_chuan_road,Jiak Chuan Road,112.0,28929.159,29126.651,11.668,13.199,13.054,,,JIAK CHUAN ROAD,4.262
jiak_chuan_road,Jiak Chuan Road,112.937,28928.271,29126.354,13.618,13.199,13.199,,,JIAK CHUAN ROAD,4.0
