path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
kee_seng_street,Kee Seng Street,2.0,29071.705,28577.445,11.301,4.673,4.673,0.0,1.0,KEE SENG STREET,14.394
kee_seng_street,Kee Seng Street,4.0,29069.759,28576.985,10.739,4.673,4.673,,,KEE SENG STREET,13.528
kee_seng_street,Kee Seng Street,6.0,29067.812,28576.524,4.673,4.673,4.673,,,KEE SENG STREET,12.662
kee_seng_street,Kee Seng Street,8.0,29065.866,28576.063,6.039,4.633,4.633,,,KEE SENG STREET,11.796
kee_seng_street,Kee Seng Street,10.0,29063.918,28575.622,4.67,4.593,4.593,,,KEE SENG STREET,10.948
kee_seng_street,Kee Seng Street,12.0,29061.918,28575.575,4.163,4.553,4.553,,,KEE SENG STREET,10.476
kee_seng_street,Kee Seng Street,14.0,29059.919,28575.529,5.297,4.513,4.513,,,KEE SENG STREET,10.003
kee_seng_street,Kee Seng Street,16.0,29057.919,28575.482,5.43,4.472,4.472,,,KEE SENG STREET,9.53
kee_seng_street,Kee Seng Street,18.0,29055.92,28575.435,4.432,4.432,4.432,,,KEE SENG STREET,9.057
kee_seng_street,Kee Seng Street,20.0,29053.92,28575.389,4.238,4.238,4.432,,,KEE SENG STREET,8.585
kee_seng_street,Kee Seng Street,22.0,29051.921,28575.342,3.557,4.337,4.432,,,KEE SENG STREET,8.112
kee_seng_street,Kee Seng Street,24.0,29049.921,28575.295,3.907,4.436,4.436,,,KEE SENG STREET,7.639
kee_seng_street,Kee Seng Street,26.0,29048.088,28575.997,4.032,4.535,4.535,,,KEE SENG STREET,7.933
kee_seng_street,Kee Seng Street,28.0,29046.298,28576.887,5.001,4.634,4.634,,,KEE SENG STREET,8.42
kee_seng_street,Kee Seng Street,30.0,29044.507,28577.778,4.432,4.733,4.733,,,KEE SENG STREET,8.9
kee_seng_street,Kee Seng Street,32.0,29042.64,28577.414,4.832,4.832,4.733,,,KEE SENG STREET,8.139
kee_seng_street,Kee Seng Street,34.0,29040.755,28576.745,4.482,4.754,4.733,,,KEE SENG STREET,7.076
kee_seng_street,Kee Seng Street,36.0,29038.871,28576.076,4.97,4.675,4.675,-2.684,1.0,KEE SENG STREET,6.013
kee_seng_street,Kee Seng Street,38.0,29036.986,28575.407,4.97,4.597,4.597,,,KEE SENG STREET,4.95
kee_seng_street,Kee Seng Street,40.0,29035.101,28574.738,4.518,4.518,4.518,,,KEE SENG STREET,3.886
kee_seng_street,Kee Seng Street,42.0,29033.216,28574.069,4.46,4.46,4.501,,,KEE SENG STREET,2.823
kee_seng_street,Kee Seng Street,44.0,29031.331,28573.4,4.071,4.303,4.501,,,KEE SENG STREET,1.76
kee_seng_street,Kee Seng Street,46.0,29029.447,28572.731,4.146,4.501,4.501,3.905,1.0,KEE SENG STREET,0.697
kee_seng_street,Kee Seng Street,48.0,29027.562,28572.062,4.196,4.699,4.699,,,KEE SENG STREET,0.366
kee_seng_street,Kee Seng Street,50.0,29025.677,28571.393,4.896,4.896,4.813,,,KEE SENG STREET,1.43
kee_seng_street,Kee Seng Street,52.0,29023.792,28570.724,4.896,4.896,4.896,,,KEE SENG STREET,2.493
kee_seng_street,Kee Seng Street,54.0,29021.907,28570.055,4.813,4.813,4.896,1.944,1.0,KEE SENG STREET,3.556
kee_seng_street,Kee Seng Street,56.0,29020.023,28569.386,4.93,4.93,4.913,0.833,1.0,KEE SENG STREET,4.619
kee_seng_street,Kee Seng Street,56.002,29020.021,28569.386,4.93,4.93,4.93,1.665,1.0,KEE SENG STREET,4.62
