path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
sago_street,1,Cam4_20251211_092440_148_C.jpeg,,9.58,4.79,4.0,3.638,,
sago_street,2,Cam4_20251211_092621_068_C.jpeg,,133.369,71.474,72.0,6.988,,
sago_street,3,Cam4_20251230_073741_523_C.jpeg,,145.882,139.625,140.0,9.293,,
sago_street,4,Cam4_20251230_073746_328_C.jpeg,,152.563,149.223,150.0,9.586,,
sago_street,5,Cam4_20251230_073748_732_C.jpeg,,161.653,157.108,158.0,9.494,,
sago_street,6,Cam4_20251230_073751_735_C.jpeg,,171.893,166.773,166.0,9.105,,
sago_street,7,Cam4_20251230_073755_376_C.jpeg,,181.928,176.91,176.0,9.159,4.278,1.0
sago_street,8,Cam4_20251230_073759_580_C.jpeg,,192.464,187.196,188.0,9.477,,
sago_street,9,Cam4_20251230_073803_788_C.jpeg,,202.127,197.295,198.0,9.433,,
sago_street,10,Cam4_20251230_073807_393_C.jpeg,,211.713,206.92,206.0,9.444,,
sago_street,11,Cam4_20251230_073810_996_C.jpeg,,221.917,216.815,216.0,8.499,,
sago_street,12,Cam4_20251230_073815_802_C.jpeg,,231.121,226.519,226.0,6.156,,
sago_street,13,Cam4_20251230_073823_610_C.jpeg,,241.044,236.083,236.0,5.338,0.745,1.0
sago_street,14,Cam4_20251230_073828_414_C.jpeg,,302.278,271.661,272.0,4.454,,
