path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
punggol_walk,1,Punggol Walk_Cam4_20260123_084054_434_C.jpeg,,13.163,6.582,,,,
punggol_walk,2,Punggol Walk_Cam4_20260123_084059_238_C.jpeg,,20.374,16.769,,,,
punggol_walk,3,Punggol Walk_Cam4_20260123_084102_242_C.jpeg,,30.117,25.245,,,,
punggol_walk,4,Punggol Walk_Cam4_20260123_084107_045_C.jpeg,,73.538,51.828,52.0,12.682,,
punggol_walk,5,Punggol Walk_Cam4_20260123_084139_486_C.jpeg,,110.924,92.231,90.0,11.342,,
punggol_walk,6,Punggol Walk_Cam4_20260123_084154_503_C.jpeg,,120.532,115.728,,,,
punggol_walk,7,Punggol Walk_Cam4_20260123_084157_506_C.jpeg,,131.942,126.237,,,,
punggol_walk,8,Punggol Walk_Cam4_20260123_084200_509_C.jpeg,,143.298,137.62,,,,
punggol_walk,9,Punggol Walk_Cam4_20260123_084203_516_C.jpeg,,168.369,155.834,,,,
punggol_walk,10,Punggol Walk_Cam4_20260123_084210_721_C.jpeg,,180.423,174.396,,,,
punggol_walk,11,Punggol Walk_Cam4_20260123_084214_324_C.jpeg,,189.199,184.811,,,,
punggol_walk,12,Punggol Walk_Cam4_20260123_084216_727_C.jpeg,,307.102,248.15,,,,
punggol_walk,13,Punggol Walk_Cam4_20260123_085402_614_C.jpeg,,312.784,309.943,310.0,10.37,,
punggol_walk,14,Punggol Walk_Cam4_20260123_085509_288_C.jpeg,,324.387,318.586,318.0,10.04,1.252,1.0
punggol_walk,15,Punggol Walk_Cam4_20260123_085513_493_C.jpeg,,686.872,505.63,506.0,10.547,-0.384,1.0
punggol_walk,16,Punggol Walk_Cam4_20260123_090723_741_C.jpeg,,760.078,723.475,,,,
punggol_walk,17,Punggol Walk_Cam4_20260123_090752_554_C.jpeg,,771.198,765.638,,,,
punggol_walk,18,Punggol Walk_Cam4_20260123_090756_157_C.jpeg,,781.848,776.523,,,,
punggol_walk,19,Punggol Walk_Cam4_20260123_090759_763_C.jpeg,,804.461,793.155,,,,
punggol_walk,20,Punggol Walk_Cam4_20260123_090807_575_C.jpeg,,816.015,810.238,,,,
punggol_walk,21,Punggol Walk_Cam4_20260123_090811_180_C.jpeg,,824.717,820.366,,,,
punggol_walk,22,Punggol Walk_Cam4_20260123_090813_583_C.jpeg,,834.107,829.412,,,,
punggol_walk,23,Punggol Walk_Cam4_20260123_090815_385_C.jpeg,,846.514,840.31,,,,
punggol_walk,24,Punggol Walk_Cam4_20260123_090817_186_C.jpeg,,1290.341,1068.427,,,,
punggol_walk,25,Punggol Walk_Cam4_20260126_080646_524_C.jpeg,,1374.648,1332.494,,,,
punggol_walk,26,Punggol Walk_Cam4_20260126_081425_608_C.jpeg,,1680.457,1527.552,,,,
punggol_walk,27,Punggol Walk_Cam4_20260126_085135_214_C.jpeg,,1692.641,1686.549,1686.0,9.158,,
punggol_walk,28,Punggol Walk_Cam4_20260126_085138_218_C.jpeg,,1704.856,1698.748,1698.0,9.592,,
punggol_walk,29,Punggol Walk_Cam4_20260126_085141_221_C.jpeg,,1712.046,1708.451,1708.0,11.72,,
punggol_walk,30,Punggol Walk_Cam4_20260126_085143_025_C.jpeg,,1721.117,1716.582,1716.0,13.41,,
punggol_walk,31,Punggol Walk_Cam4_20260126_085145_433_C.jpeg,,1766.935,1744.026,1744.0,12.274,,
