path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
sumang_walk,Sumang Walk,50.0,34853.301,42817.657,5.718,6.488,6.216,,,SUMANG WALK,15.087
sumang_walk,Sumang Walk,52.0,34851.724,42818.887,6.488,6.216,6.08,,,SUMANG WALK,13.352
sumang_walk,Sumang Walk,54.0,34850.147,42820.117,6.558,5.945,5.945,,,SUMANG WALK,11.617
sumang_walk,Sumang Walk,56.0,34848.57,42821.347,5.673,5.673,5.808,,,SUMANG WALK,9.882
sumang_walk,Sumang Walk,58.0,34846.993,42822.577,5.808,5.808,5.808,,,SUMANG WALK,8.147
sumang_walk,Sumang Walk,60.0,34845.289,42823.433,5.78,5.78,5.808,0.653,1.0,SUMANG WALK,6.339
sumang_walk,Sumang Walk,62.0,34843.289,42823.411,5.818,5.818,5.818,0.653,1.0,SUMANG WALK,4.363
sumang_walk,Sumang Walk,64.0,34841.289,42823.389,5.861,5.861,5.861,0.653,1.0,SUMANG WALK,2.386
sumang_walk,Sumang Walk,66.0,34839.289,42823.368,5.92,5.92,5.861,0.391,1.0,SUMANG WALK,0.409
sumang_walk,Sumang Walk,68.0,34837.29,42823.346,5.914,5.914,5.861,-0.794,1.0,SUMANG WALK,1.568
sumang_walk,Sumang Walk,70.0,34835.29,42823.325,5.849,5.849,5.849,-1.566,1.0,SUMANG WALK,3.544
sumang_walk,Sumang Walk,72.0,34833.29,42823.303,5.797,5.797,5.797,-1.898,1.0,SUMANG WALK,5.521
sumang_walk,Sumang Walk,74.0,34831.29,42823.281,5.736,5.736,5.736,,,SUMANG WALK,7.498
sumang_walk,Sumang Walk,76.0,34829.29,42823.26,5.674,5.674,5.709,,,SUMANG WALK,9.474
sumang_walk,Sumang Walk,78.0,34827.29,42823.238,6.131,5.692,5.709,-0.027,1.0,SUMANG WALK,11.451
sumang_walk,Sumang Walk,80.0,34825.29,42823.216,5.607,5.709,5.709,0.051,1.0,SUMANG WALK,13.428
sumang_walk,Sumang Walk,108.0,34832.058,42849.024,5.726,5.726,5.726,,,SUMANG WALK,10.535
sumang_walk,Sumang Walk,110.0,34832.636,42850.939,8.786,5.728,5.726,,,SUMANG WALK,10.257
sumang_walk,Sumang Walk,112.0,34833.214,42852.854,5.729,5.729,5.728,0.034,1.0,SUMANG WALK,9.979
sumang_walk,Sumang Walk,114.0,34833.792,42854.768,5.717,5.717,5.729,-0.119,1.0,SUMANG WALK,9.702
sumang_walk,Sumang Walk,116.0,34834.37,42856.683,5.756,5.756,5.729,-0.542,1.0,SUMANG WALK,9.424
sumang_walk,Sumang Walk,118.0,34834.948,42858.598,5.775,5.775,5.717,-0.559,1.0,SUMANG WALK,9.146
