path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
pasir_panjang_close,pasir_panjang_close,0.0,21258.629,30467.719,10.757,10.757,10.607,,,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,2.0,21256.701,30468.249,10.607,10.607,10.578,,,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,4.0,21254.772,30468.78,10.932,10.549,10.549,-1.458,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,6.0,21252.844,30469.31,11.082,10.491,10.549,-1.823,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,8.0,21250.916,30469.841,10.432,10.432,10.491,,,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,10.0,21248.987,30470.372,10.632,10.632,10.432,,,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,12.0,21247.059,30470.902,10.382,10.382,10.382,-1.354,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,14.0,21245.131,30471.433,10.332,10.332,10.382,-0.055,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,16.0,21243.202,30471.963,10.324,10.324,10.382,0.57,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,18.0,21241.274,30472.494,12.624,10.503,10.428,-1.02,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,20.0,21239.345,30473.024,10.682,10.682,10.428,-2.609,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,22.0,21237.417,30473.555,10.824,10.428,10.428,-3.18,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,24.0,21235.489,30474.085,10.174,10.174,10.174,-4.008,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,26.0,21233.56,30474.616,10.107,10.107,10.174,-2.887,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,28.0,21231.632,30475.147,10.174,10.174,10.107,-1.766,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,30.0,21229.704,30475.677,10.082,10.082,10.082,-2.391,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,32.0,21227.775,30476.208,10.032,10.032,10.032,-2.297,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,34.0,21225.847,30476.738,9.982,9.982,9.982,-2.609,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,36.0,21223.919,30477.269,9.924,9.924,9.924,-2.609,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,38.0,21221.99,30477.799,9.874,9.874,9.874,-2.812,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,40.0,21220.062,30478.33,9.824,9.824,9.824,-2.5,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,42.0,21218.134,30478.861,9.757,9.757,9.757,-2.5,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,44.0,21216.205,30479.391,9.724,9.724,9.724,-2.5,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,46.0,21214.277,30479.922,9.674,9.674,9.674,-2.297,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,48.0,21212.349,30480.452,9.624,9.624,9.624,-2.5,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,50.0,21210.42,30480.983,9.574,9.574,9.574,-2.5,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,52.0,21208.492,30481.513,9.524,9.524,9.524,-2.5,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,54.0,21206.564,30482.044,9.474,9.474,9.474,-2.5,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,56.0,21204.635,30482.574,9.424,9.424,9.424,-1.875,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,58.0,21202.707,30483.105,9.374,9.374,9.374,-1.875,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,60.0,21200.779,30483.636,9.374,9.374,9.374,-1.25,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,62.0,21198.85,30484.166,9.324,9.324,9.324,-1.25,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,64.0,21196.918,30484.682,9.324,9.324,9.324,-1.25,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,66.0,21194.986,30485.198,9.274,9.274,9.274,-1.25,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,68.0,21193.054,30485.715,9.274,9.274,9.274,-1.25,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,70.0,21191.121,30486.231,9.224,9.224,9.224,-0.625,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,72.0,21189.189,30486.747,9.224,9.224,9.224,-0.516,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,74.0,21187.257,30487.263,9.182,9.182,9.224,0.625,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,76.0,21185.325,30487.78,9.232,9.232,9.232,1.25,1.0,PASIR PANJANG CLOSE,0.0
pasir_panjang_close,pasir_panjang_close,78.0,21183.392,30488.296,9.274,9.274,9.274,1.25,1.0,PASIR PANJANG CLOSE,0.0
