path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
river_valley_grove,River Valley Grove,0.0,28078.251,30965.562,12.301,10.443,10.443,,,RIVER VALLEY GROVE,14.146
river_valley_grove,River Valley Grove,2.0,28080.118,30966.277,12.95,10.443,10.443,,,RIVER VALLEY GROVE,12.659
river_valley_grove,River Valley Grove,4.0,28081.986,30966.993,10.443,10.443,10.443,,,RIVER VALLEY GROVE,11.173
river_valley_grove,River Valley Grove,6.0,28083.853,30967.708,10.454,10.454,10.454,,,RIVER VALLEY GROVE,9.686
river_valley_grove,River Valley Grove,8.0,28085.721,30968.424,9.845,10.554,10.554,,,RIVER VALLEY GROVE,8.2
river_valley_grove,River Valley Grove,10.0,28087.589,30969.139,10.403,10.654,10.654,4.986,1.0,RIVER VALLEY GROVE,6.714
river_valley_grove,River Valley Grove,12.0,28089.116,30970.247,11.039,10.753,10.753,,,RIVER VALLEY GROVE,5.685
river_valley_grove,River Valley Grove,14.0,28090.09,30971.994,8.521,10.853,10.853,,,RIVER VALLEY GROVE,5.403
river_valley_grove,River Valley Grove,16.0,28091.064,30973.741,10.667,11.109,11.109,,,RIVER VALLEY GROVE,5.121
river_valley_grove,River Valley Grove,18.0,28092.039,30975.487,10.088,11.487,11.487,,,RIVER VALLEY GROVE,4.839
river_valley_grove,River Valley Grove,20.0,28093.013,30977.234,11.37,11.864,11.864,,,RIVER VALLEY GROVE,4.557
river_valley_grove,River Valley Grove,22.0,28093.987,30978.981,12.855,12.241,12.241,,,RIVER VALLEY GROVE,4.275
river_valley_grove,River Valley Grove,24.0,28094.961,30980.728,12.518,,12.619,,,RIVER VALLEY GROVE,3.993
river_valley_grove,River Valley Grove,26.0,28095.77,30982.552,12.323,12.996,12.996,,,RIVER VALLEY GROVE,3.893
river_valley_grove,River Valley Grove,28.0,28096.493,30984.417,13.785,13.373,13.373,,,RIVER VALLEY GROVE,3.887
river_valley_grove,River Valley Grove,30.0,28097.217,30986.281,14.128,13.75,13.75,,,RIVER VALLEY GROVE,3.881
river_valley_grove,River Valley Grove,32.0,28097.941,30988.146,12.045,14.128,14.01,,,RIVER VALLEY GROVE,3.875
river_valley_grove,River Valley Grove,34.0,28098.664,30990.01,14.843,14.248,14.01,,,RIVER VALLEY GROVE,3.869
river_valley_grove,River Valley Grove,36.0,28099.388,30991.875,16.795,14.01,14.01,,,RIVER VALLEY GROVE,3.863
river_valley_grove,River Valley Grove,38.0,28100.111,30993.739,13.813,13.773,13.773,,,RIVER VALLEY GROVE,3.857
river_valley_grove,River Valley Grove,40.0,28100.835,30995.604,12.953,13.535,13.535,,,RIVER VALLEY GROVE,3.851
river_valley_grove,River Valley Grove,42.0,28101.558,30997.468,12.533,13.298,13.298,,,RIVER VALLEY GROVE,3.845
river_valley_grove,River Valley Grove,44.0,28102.282,30999.333,13.113,13.06,13.193,,,RIVER VALLEY GROVE,3.839
river_valley_grove,River Valley Grove,46.0,28103.006,31001.197,9.374,13.127,13.193,,,RIVER VALLEY GROVE,3.833
river_valley_grove,River Valley Grove,48.0,28103.73,31003.062,10.327,13.193,13.193,,,RIVER VALLEY GROVE,3.826
river_valley_grove,River Valley Grove,50.0,28104.459,31004.924,12.243,13.49,13.49,,,RIVER VALLEY GROVE,3.814
river_valley_grove,River Valley Grove,52.0,28105.189,31006.786,13.934,13.787,13.787,,,RIVER VALLEY GROVE,3.801
river_valley_grove,River Valley Grove,54.0,28105.918,31008.648,13.942,14.083,14.083,,,RIVER VALLEY GROVE,3.789
river_valley_grove,River Valley Grove,56.0,28106.648,31010.51,13.992,14.38,14.38,,,RIVER VALLEY GROVE,3.766
river_valley_grove,River Valley Grove,58.0,28107.378,31012.372,14.275,14.613,14.613,,,RIVER VALLEY GROVE,3.72
river_valley_grove,River Valley Grove,60.0,28108.104,31014.236,14.242,14.846,14.846,,,RIVER VALLEY GROVE,3.678
river_valley_grove,River Valley Grove,62.0,28108.823,31016.102,16.184,15.08,15.08,,,RIVER VALLEY GROVE,3.644
river_valley_grove,River Valley Grove,64.0,28109.542,31017.969,16.78,15.313,15.313,,,RIVER VALLEY GROVE,3.61
river_valley_grove,River Valley Grove,66.0,28110.261,31019.835,17.116,15.546,15.399,,,RIVER VALLEY GROVE,3.576
river_valley_grove,River Valley Grove,68.0,28110.98,31021.701,16.941,15.473,15.399,,,RIVER VALLEY GROVE,3.542
river_valley_grove,River Valley Grove,70.0,28111.698,31023.568,16.805,15.399,15.399,,,RIVER VALLEY GROVE,3.508
river_valley_grove,River Valley Grove,72.0,28112.472,31025.41,9.298,15.326,15.326,,,RIVER VALLEY GROVE,3.414
river_valley_grove,River Valley Grove,74.0,28113.347,31027.208,7.932,15.252,15.252,,,RIVER VALLEY GROVE,3.211
river_valley_grove,River Valley Grove,76.0,28114.222,31029.007,7.932,15.178,15.178,,,RIVER VALLEY GROVE,3.007
