path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
tong_watt_road,Tong Watt Road,0.0,28724.114,30647.633,16.835,16.835,16.835,6.171,1.0,TONG WATT ROAD,5.129
tong_watt_road,Tong Watt Road,2.0,28725.455,30646.149,16.835,16.835,16.958,8.227,1.0,TONG WATT ROAD,5.009
tong_watt_road,Tong Watt Road,4.0,28726.796,30644.665,17.81,17.082,17.082,9.256,2.0,TONG WATT ROAD,4.888
tong_watt_road,Tong Watt Road,6.0,28728.137,30643.181,13.728,17.329,17.329,7.713,1.0,TONG WATT ROAD,4.768
tong_watt_road,Tong Watt Road,8.0,28729.478,30641.697,13.583,17.575,17.575,,,TONG WATT ROAD,4.647
tong_watt_road,Tong Watt Road,10.0,28730.819,30640.213,13.463,17.822,17.575,,,TONG WATT ROAD,4.527
tong_watt_road,Tong Watt Road,12.0,28732.16,30638.729,19.253,17.716,17.575,,,TONG WATT ROAD,4.408
tong_watt_road,Tong Watt Road,14.0,28733.501,30637.245,18.719,17.31,17.31,,,TONG WATT ROAD,4.292
tong_watt_road,Tong Watt Road,16.0,28734.911,30635.828,18.563,16.903,16.903,,,TONG WATT ROAD,4.272
tong_watt_road,Tong Watt Road,18.0,28736.332,30634.42,16.792,16.244,16.244,,,TONG WATT ROAD,4.267
tong_watt_road,Tong Watt Road,20.0,28737.752,30633.012,14.324,15.584,15.584,,,TONG WATT ROAD,4.261
tong_watt_road,Tong Watt Road,22.0,28739.211,30631.645,17.875,14.925,14.925,,,TONG WATT ROAD,4.31
tong_watt_road,Tong Watt Road,24.0,28740.687,30630.294,10.518,,14.266,,,TONG WATT ROAD,4.384
tong_watt_road,Tong Watt Road,26.0,28742.162,30628.944,10.494,,13.606,,,TONG WATT ROAD,4.458
tong_watt_road,Tong Watt Road,28.0,28743.638,30627.594,10.138,,12.947,,,TONG WATT ROAD,4.532
tong_watt_road,Tong Watt Road,30.0,28745.113,30626.244,10.113,12.287,12.287,,,TONG WATT ROAD,4.606
tong_watt_road,Tong Watt Road,32.0,28746.556,30624.86,10.079,11.628,11.628,,,TONG WATT ROAD,4.632
tong_watt_road,Tong Watt Road,34.0,28747.969,30623.445,10.046,10.969,10.969,,,TONG WATT ROAD,4.616
tong_watt_road,Tong Watt Road,36.0,28749.383,30622.03,10.623,10.309,10.573,,,TONG WATT ROAD,4.6
tong_watt_road,Tong Watt Road,38.0,28750.796,30620.615,10.573,10.573,10.523,,,TONG WATT ROAD,4.583
tong_watt_road,Tong Watt Road,40.0,28752.21,30619.2,10.523,10.523,10.423,,,TONG WATT ROAD,4.567
tong_watt_road,Tong Watt Road,42.0,28753.584,30617.747,10.423,10.423,10.423,-1.25,1.0,TONG WATT ROAD,4.497
tong_watt_road,Tong Watt Road,44.0,28754.957,30616.293,10.373,10.373,10.423,,,TONG WATT ROAD,4.425
tong_watt_road,Tong Watt Road,46.0,28756.33,30614.838,10.323,10.323,10.423,,,TONG WATT ROAD,4.352
tong_watt_road,Tong Watt Road,48.0,28757.703,30613.384,10.273,10.519,10.519,,,TONG WATT ROAD,4.28
tong_watt_road,Tong Watt Road,50.0,28759.076,30611.93,8.763,10.81,10.81,,,TONG WATT ROAD,4.156
tong_watt_road,Tong Watt Road,52.0,28760.449,30610.475,8.829,11.152,11.152,,,TONG WATT ROAD,3.828
tong_watt_road,Tong Watt Road,54.0,28761.925,30609.129,10.396,11.495,11.495,,,TONG WATT ROAD,3.648
tong_watt_road,Tong Watt Road,56.0,28763.434,30607.815,10.29,11.817,11.817,,,TONG WATT ROAD,3.514
tong_watt_road,Tong Watt Road,58.0,28764.942,30606.502,12.484,12.14,12.14,,,TONG WATT ROAD,3.38
tong_watt_road,Tong Watt Road,60.0,28766.45,30605.189,12.409,12.462,12.462,,,TONG WATT ROAD,3.246
tong_watt_road,Tong Watt Road,62.0,28767.959,30603.875,12.434,12.641,12.641,,,TONG WATT ROAD,3.111
tong_watt_road,Tong Watt Road,64.0,28769.443,30602.535,12.434,12.821,12.821,,,TONG WATT ROAD,2.942
tong_watt_road,Tong Watt Road,66.0,28770.909,30601.174,11.584,13.0,13.0,,,TONG WATT ROAD,2.744
tong_watt_road,Tong Watt Road,68.0,28772.374,30599.814,16.283,13.179,13.179,,,TONG WATT ROAD,2.545
tong_watt_road,Tong Watt Road,70.0,28773.84,30598.453,16.646,13.359,13.179,,,TONG WATT ROAD,2.347
tong_watt_road,Tong Watt Road,72.0,28775.446,30597.272,16.608,13.206,13.179,,,TONG WATT ROAD,2.323
tong_watt_road,Tong Watt Road,74.0,28777.125,30596.186,16.046,13.054,13.054,,,TONG WATT ROAD,2.313
tong_watt_road,Tong Watt Road,76.0,28778.804,30595.099,16.246,12.635,12.635,,,TONG WATT ROAD,2.302
tong_watt_road,Tong Watt Road,78.0,28780.484,30594.013,16.796,12.216,12.216,,,TONG WATT ROAD,2.292
tong_watt_road,Tong Watt Road,80.0,28782.163,30592.926,16.946,11.797,11.797,,,TONG WATT ROAD,2.282
tong_watt_road,Tong Watt Road,82.0,28783.864,30591.878,10.297,11.378,11.378,,,TONG WATT ROAD,2.316
