path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
clive_street,Clive Street,0.0,30184.094,32036.494,4.286,2.538,2.538,,,CLIVE STREET,2.755
clive_street,Clive Street,2.0,30182.903,32034.888,2.686,2.538,2.538,,,CLIVE STREET,2.629
clive_street,Clive Street,4.0,30181.711,32033.281,2.538,2.538,2.538,,,CLIVE STREET,2.503
clive_street,Clive Street,10.0,30178.137,32028.462,4.611,2.568,2.568,,,CLIVE STREET,2.124
clive_street,Clive Street,12.0,30176.601,32027.191,4.723,2.599,2.599,1.706,1.0,CLIVE STREET,1.823
clive_street,Clive Street,14.0,30175.028,32025.955,2.629,2.629,2.629,4.993,1.0,CLIVE STREET,1.783
clive_street,Clive Street,16.0,30173.456,32024.719,2.743,2.743,2.743,4.613,1.0,CLIVE STREET,1.743
clive_street,Clive Street,18.0,30171.884,32023.483,2.968,2.968,2.968,4.727,1.0,CLIVE STREET,1.703
clive_street,Clive Street,20.0,30170.311,32022.247,3.146,3.146,2.968,3.894,1.0,CLIVE STREET,1.663
clive_street,Clive Street,22.0,30168.739,32021.011,3.054,3.054,3.007,3.722,1.0,CLIVE STREET,1.624
clive_street,Clive Street,24.0,30167.166,32019.775,2.763,2.763,3.054,3.55,1.0,CLIVE STREET,1.584
clive_street,Clive Street,26.0,30165.891,32018.263,2.809,3.007,3.054,,,CLIVE STREET,1.946
clive_street,Clive Street,28.0,30164.768,32016.608,3.252,3.252,3.252,,,CLIVE STREET,2.516
clive_street,Clive Street,30.0,30163.646,32014.952,2.891,3.431,3.431,,,CLIVE STREET,3.086
clive_street,Clive Street,32.0,30162.523,32013.297,3.27,3.611,3.611,,,CLIVE STREET,3.656
clive_street,Clive Street,50.0,30153.599,31999.658,5.431,3.79,3.79,,,CLIVE STREET,8.556
clive_street,Clive Street,52.0,30151.964,31998.507,3.914,3.969,3.969,,,CLIVE STREET,8.411
clive_street,Clive Street,54.0,30150.328,31997.355,4.217,4.149,4.149,,,CLIVE STREET,8.266
clive_street,Clive Street,56.0,30148.693,31996.204,4.328,4.328,4.328,,,CLIVE STREET,8.121
clive_street,Clive Street,58.0,30147.057,31995.053,4.546,4.546,4.519,,,CLIVE STREET,7.976
clive_street,Clive Street,60.0,30145.422,31993.902,4.578,4.578,4.519,,,CLIVE STREET,7.831
clive_street,Clive Street,62.0,30143.787,31992.75,5.637,4.519,4.519,,,CLIVE STREET,7.685
clive_street,Clive Street,64.0,30142.151,31991.599,5.131,4.46,4.46,,,CLIVE STREET,7.54
clive_street,Clive Street,66.0,30140.516,31990.448,5.328,4.401,4.401,,,CLIVE STREET,7.395
clive_street,Clive Street,68.0,30138.88,31989.297,4.942,4.342,4.342,,,CLIVE STREET,7.25
clive_street,Clive Street,70.0,30137.245,31988.145,4.283,4.283,4.283,,,CLIVE STREET,7.105
clive_street,Clive Street,72.0,30135.609,31986.994,3.985,3.985,4.207,,,CLIVE STREET,6.96
clive_street,Clive Street,74.0,30133.974,31985.843,3.967,3.967,4.207,,,CLIVE STREET,6.814
clive_street,Clive Street,76.0,30132.339,31984.692,4.207,4.207,4.207,,,CLIVE STREET,6.669
clive_street,Clive Street,78.0,30130.703,31983.54,4.625,4.375,4.207,,,CLIVE STREET,6.524
clive_street,Clive Street,80.0,30129.068,31982.389,4.543,4.291,4.207,,,CLIVE STREET,6.379
clive_street,Clive Street,82.0,30127.432,31981.238,5.34,4.206,4.206,,,CLIVE STREET,6.234
clive_street,Clive Street,84.0,30125.797,31980.087,4.514,3.921,3.921,,,CLIVE STREET,6.089
clive_street,Clive Street,86.0,30124.161,31978.935,3.846,3.636,3.636,,,CLIVE STREET,5.943
clive_street,Clive Street,100.0,30112.713,31970.877,3.271,3.35,3.35,,,CLIVE STREET,4.835
clive_street,Clive Street,102.0,30111.078,31969.725,3.18,3.065,3.065,,,CLIVE STREET,4.634
clive_street,Clive Street,104.0,30109.443,31968.574,2.681,2.78,2.78,,,CLIVE STREET,4.434
clive_street,Clive Street,106.0,30107.807,31967.423,2.181,2.495,2.495,,,CLIVE STREET,4.234
clive_street,Clive Street,108.0,30106.241,31966.189,2.21,2.21,2.22,,,CLIVE STREET,4.142
clive_street,Clive Street,110.0,30104.813,31964.788,2.195,2.195,2.21,,,CLIVE STREET,4.267
clive_street,Clive Street,112.0,30103.386,31963.387,2.22,2.22,2.195,0.0,1.0,CLIVE STREET,4.391
clive_street,Clive Street,114.0,30101.958,31961.986,2.191,2.191,2.195,,,CLIVE STREET,4.516
clive_street,Clive Street,116.0,30100.519,31960.599,2.145,2.145,2.22,,,CLIVE STREET,4.623
clive_street,Clive Street,118.0,30098.973,31959.33,2.925,2.274,2.274,,,CLIVE STREET,4.571
clive_street,Clive Street,120.0,30097.428,31958.06,6.756,2.404,2.404,,,CLIVE STREET,4.519
clive_street,Clive Street,122.0,30095.882,31956.791,11.329,2.534,2.534,,,CLIVE STREET,4.467
clive_street,Clive Street,124.0,30094.337,31955.522,12.473,2.664,2.664,,,CLIVE STREET,4.415
clive_street,Clive Street,126.0,30092.805,31954.236,13.743,2.793,2.793,,,CLIVE STREET,4.384
clive_street,Clive Street,128.0,30091.286,31952.934,13.93,2.923,2.923,,,CLIVE STREET,4.374
clive_street,Clive Street,130.0,30089.768,31951.633,8.668,3.053,3.053,,,CLIVE STREET,4.364
