path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
desker_road,Desker Road,0.0,30596.696,32268.262,4.252,4.252,4.002,,,DESKER ROAD,1.885
desker_road,Desker Road,2.0,30595.092,32269.457,4.002,4.002,3.994,,,DESKER ROAD,1.957
desker_road,Desker Road,4.0,30593.488,32270.651,4.363,3.985,3.985,-0.21,1.0,DESKER ROAD,2.03
desker_road,Desker Road,6.0,30591.884,32271.846,4.447,3.969,3.985,,,DESKER ROAD,2.102
desker_road,Desker Road,8.0,30590.28,32273.04,3.952,3.952,3.985,,,DESKER ROAD,2.175
desker_road,Desker Road,10.0,30588.676,32274.235,2.535,3.989,3.989,,,DESKER ROAD,2.247
desker_road,Desker Road,12.0,30587.059,32275.411,4.166,4.025,4.025,,,DESKER ROAD,2.298
desker_road,Desker Road,14.0,30585.416,32276.552,3.295,4.062,4.062,,,DESKER ROAD,2.304
desker_road,Desker Road,16.0,30583.773,32277.693,2.884,4.099,4.099,,,DESKER ROAD,2.311
desker_road,Desker Road,18.0,30582.13,32278.833,2.881,4.136,4.136,,,DESKER ROAD,2.317
desker_road,Desker Road,20.0,30580.487,32279.974,4.173,4.173,4.173,,,DESKER ROAD,2.323
desker_road,Desker Road,22.0,30578.845,32281.115,3.641,4.28,4.28,,,DESKER ROAD,2.33
desker_road,Desker Road,24.0,30577.202,32282.255,3.831,4.387,4.36,4.014,1.0,DESKER ROAD,2.379
desker_road,Desker Road,26.0,30575.559,32283.396,4.494,4.494,4.387,,,DESKER ROAD,2.43
desker_road,Desker Road,28.0,30573.916,32284.537,4.36,4.36,4.494,,,DESKER ROAD,2.481
desker_road,Desker Road,30.0,30572.273,32285.678,4.181,4.552,4.552,,,DESKER ROAD,2.532
desker_road,Desker Road,32.0,30570.631,32286.818,3.441,4.745,4.745,,,DESKER ROAD,2.584
desker_road,Desker Road,34.0,30568.988,32287.959,3.447,4.938,4.938,,,DESKER ROAD,2.652
desker_road,Desker Road,36.0,30567.345,32289.1,3.31,5.131,5.131,,,DESKER ROAD,2.722
desker_road,Desker Road,38.0,30565.702,32290.24,3.982,5.323,5.323,,,DESKER ROAD,2.792
desker_road,Desker Road,40.0,30564.059,32291.381,5.516,5.516,5.516,,,DESKER ROAD,2.861
desker_road,Desker Road,42.0,30562.417,32292.523,5.054,5.722,5.722,,,DESKER ROAD,2.932
desker_road,Desker Road,44.0,30560.776,32293.666,5.679,5.927,5.722,,,DESKER ROAD,3.005
desker_road,Desker Road,46.0,30559.136,32294.81,6.288,5.738,5.722,,,DESKER ROAD,3.078
desker_road,Desker Road,48.0,30557.495,32295.953,6.338,5.549,5.549,,,DESKER ROAD,3.152
desker_road,Desker Road,50.0,30555.838,32297.074,5.845,5.285,5.285,,,DESKER ROAD,3.197
desker_road,Desker Road,52.0,30554.176,32298.186,4.667,4.992,4.992,,,DESKER ROAD,3.232
desker_road,Desker Road,54.0,30552.514,32299.298,3.281,4.699,4.699,,,DESKER ROAD,3.267
desker_road,Desker Road,56.0,30550.851,32300.41,3.241,4.406,4.406,,,DESKER ROAD,3.303
desker_road,Desker Road,58.0,30549.189,32301.523,3.666,4.114,4.114,,,DESKER ROAD,3.338
desker_road,Desker Road,60.0,30547.326,32302.242,3.811,4.106,4.114,,,DESKER ROAD,2.934
desker_road,Desker Road,62.0,30545.451,32302.939,4.566,4.099,4.114,,,DESKER ROAD,2.505
desker_road,Desker Road,64.0,30543.577,32303.636,4.386,4.386,4.355,,,DESKER ROAD,2.076
desker_road,Desker Road,66.0,30541.702,32304.333,2.91,4.371,4.355,,,DESKER ROAD,1.647
desker_road,Desker Road,68.0,30539.827,32305.03,4.419,4.355,4.355,,,DESKER ROAD,1.218
desker_road,Desker Road,70.0,30538.016,32305.867,4.875,4.34,4.34,,,DESKER ROAD,0.941
desker_road,Desker Road,72.0,30536.25,32306.806,4.353,4.324,4.34,,,DESKER ROAD,0.775
