path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jalan_kubor,Jalan Kubor,40.0,30872.934,31803.128,7.103,6.062,6.062,,,JALAN KUBOR,20.861
jalan_kubor,Jalan Kubor,42.0,30874.34,31804.55,7.903,6.062,6.077,,,JALAN KUBOR,18.911
jalan_kubor,Jalan Kubor,44.0,30875.844,31805.862,5.022,6.092,6.092,,,JALAN KUBOR,16.937
jalan_kubor,Jalan Kubor,46.0,30877.417,31807.098,5.024,6.121,6.092,0.921,1.0,JALAN KUBOR,14.946
jalan_kubor,Jalan Kubor,48.0,30878.99,31808.333,6.151,6.151,6.121,,,JALAN KUBOR,12.956
jalan_kubor,Jalan Kubor,50.0,30880.563,31809.568,6.088,6.088,6.151,,,JALAN KUBOR,10.966
jalan_kubor,Jalan Kubor,52.0,30882.352,31810.033,5.783,6.173,6.151,,,JALAN KUBOR,9.207
jalan_kubor,Jalan Kubor,54.0,30884.338,31809.798,5.73,6.258,6.151,,,JALAN KUBOR,7.659
jalan_kubor,Jalan Kubor,56.0,30886.324,31809.562,6.344,6.151,6.151,,,JALAN KUBOR,6.112
jalan_kubor,Jalan Kubor,58.0,30888.31,31809.327,6.844,6.043,6.043,,,JALAN KUBOR,4.564
jalan_kubor,Jalan Kubor,60.0,30890.251,31809.019,7.124,5.792,5.792,,,JALAN KUBOR,3.093
jalan_kubor,Jalan Kubor,62.0,30891.338,31807.34,5.441,5.542,5.542,,,JALAN KUBOR,3.08
jalan_kubor,Jalan Kubor,64.0,30892.425,31805.661,5.291,5.291,5.347,,,JALAN KUBOR,3.066
jalan_kubor,Jalan Kubor,66.0,30893.512,31803.982,3.49,5.319,5.347,,,JALAN KUBOR,3.052
jalan_kubor,Jalan Kubor,68.0,30894.6,31802.303,4.735,5.347,5.347,,,JALAN KUBOR,3.039
jalan_kubor,Jalan Kubor,70.0,30895.44,31803.467,3.448,5.375,5.375,,,JALAN KUBOR,1.704
jalan_kubor,Jalan Kubor,72.0,30896.222,31805.308,3.72,5.403,5.403,,,JALAN KUBOR,0.055
jalan_kubor,Jalan Kubor,74.0,30897.004,31807.148,4.214,5.431,5.431,,,JALAN KUBOR,1.594
jalan_kubor,Jalan Kubor,76.0,30897.787,31808.989,5.458,5.458,5.458,,,JALAN KUBOR,3.244
jalan_kubor,Jalan Kubor,78.0,30898.569,31810.83,5.488,5.727,5.727,,,JALAN KUBOR,4.893
jalan_kubor,Jalan Kubor,80.0,30899.351,31812.671,5.996,5.996,5.928,,,JALAN KUBOR,6.542
jalan_kubor,Jalan Kubor,82.0,30900.133,31814.511,5.987,5.987,5.928,,,JALAN KUBOR,8.192
jalan_kubor,Jalan Kubor,84.0,30900.915,31816.352,6.802,5.928,5.928,,,JALAN KUBOR,9.841
jalan_kubor,Jalan Kubor,86.0,30901.697,31818.193,5.675,5.869,5.869,,,JALAN KUBOR,11.49
jalan_kubor,Jalan Kubor,88.0,30902.479,31820.034,8.645,5.81,5.81,,,JALAN KUBOR,13.14
jalan_kubor,Jalan Kubor,90.0,30903.261,31821.874,8.014,5.751,5.751,,,JALAN KUBOR,14.789
jalan_kubor,Jalan Kubor,92.0,30904.043,31823.715,6.587,5.692,5.692,,,JALAN KUBOR,16.438
jalan_kubor,Jalan Kubor,94.0,30904.825,31825.556,6.026,5.633,5.633,,,JALAN KUBOR,18.087
jalan_kubor,Jalan Kubor,96.0,30905.607,31827.396,7.828,5.574,5.574,,,JALAN KUBOR,19.737
jalan_kubor,Jalan Kubor,98.0,30906.39,31829.237,9.121,5.515,5.515,,,JALAN KUBOR,21.386
jalan_kubor,Jalan Kubor,108.0,30903.375,31829.609,5.697,5.455,5.455,,,JALAN KUBOR,19.044
jalan_kubor,Jalan Kubor,110.0,30901.774,31828.41,5.214,5.396,5.396,,,JALAN KUBOR,17.05
jalan_kubor,Jalan Kubor,112.0,30900.36,31828.686,5.337,5.337,5.337,,,JALAN KUBOR,16.006
jalan_kubor,Jalan Kubor,114.0,30899.11,31830.246,5.7,5.273,5.273,,,JALAN KUBOR,15.791
jalan_kubor,Jalan Kubor,116.0,30897.859,31831.807,5.371,5.209,5.209,,,JALAN KUBOR,15.576
jalan_kubor,Jalan Kubor,144.0,30880.35,31853.657,2.843,5.145,5.145,,,JALAN KUBOR,11.531
jalan_kubor,Jalan Kubor,146.0,30879.099,31855.218,2.707,5.081,5.081,,,JALAN KUBOR,11.171
jalan_kubor,Jalan Kubor,148.0,30877.848,31856.779,3.638,5.017,5.017,,,JALAN KUBOR,10.81
jalan_kubor,Jalan Kubor,150.0,30876.598,31858.34,4.149,4.953,4.953,,,JALAN KUBOR,10.473
jalan_kubor,Jalan Kubor,152.0,30875.347,31859.9,4.889,4.889,4.889,,,JALAN KUBOR,10.148
jalan_kubor,Jalan Kubor,154.0,30874.096,31861.461,5.081,4.735,4.735,,,JALAN KUBOR,9.823
jalan_kubor,Jalan Kubor,156.0,30872.846,31863.022,4.581,4.454,4.454,,,JALAN KUBOR,9.498
jalan_kubor,Jalan Kubor,158.0,30871.595,31864.582,5.953,4.173,4.173,,,JALAN KUBOR,9.174
jalan_kubor,Jalan Kubor,160.0,30870.344,31866.143,3.514,3.892,3.892,,,JALAN KUBOR,8.849
jalan_kubor,Jalan Kubor,162.0,30869.094,31867.704,3.547,3.859,3.892,,,JALAN KUBOR,8.524
jalan_kubor,Jalan Kubor,164.0,30867.843,31869.265,3.003,3.827,3.892,,,JALAN KUBOR,8.199
jalan_kubor,Jalan Kubor,166.0,30866.818,31870.982,3.513,4.107,4.107,,,JALAN KUBOR,8.147
jalan_kubor,Jalan Kubor,168.0,30865.794,31872.699,4.862,4.388,4.388,,,JALAN KUBOR,8.097
jalan_kubor,Jalan Kubor,170.0,30864.769,31874.417,6.392,4.668,4.668,,,JALAN KUBOR,8.046
jalan_kubor,Jalan Kubor,172.0,30863.745,31876.135,4.474,4.724,4.724,,,JALAN KUBOR,7.996
jalan_kubor,Jalan Kubor,174.0,30862.721,31877.853,4.781,4.781,4.781,1.415,1.0,JALAN KUBOR,7.946
jalan_kubor,Jalan Kubor,176.0,30861.697,31879.571,5.149,4.827,4.781,-2.168,1.0,JALAN KUBOR,7.895
jalan_kubor,Jalan Kubor,178.0,30860.673,31881.289,7.058,4.873,4.781,-5.751,1.0,JALAN KUBOR,7.845
jalan_kubor,Jalan Kubor,180.0,30859.663,31883.015,7.795,4.597,4.597,,,JALAN KUBOR,7.81
jalan_kubor,Jalan Kubor,182.0,30858.654,31884.742,7.624,4.321,4.321,,,JALAN KUBOR,7.778
jalan_kubor,Jalan Kubor,184.0,30857.645,31886.469,4.045,4.045,4.045,,,JALAN KUBOR,7.745
jalan_kubor,Jalan Kubor,186.0,30856.636,31888.196,4.421,3.929,3.929,,,JALAN KUBOR,7.713
jalan_kubor,Jalan Kubor,188.0,30855.627,31889.923,3.745,3.812,3.812,-5.821,1.0,JALAN KUBOR,7.68
jalan_kubor,Jalan Kubor,190.0,30854.618,31891.65,3.921,3.696,3.696,,,JALAN KUBOR,7.677
jalan_kubor,Jalan Kubor,192.0,30853.61,31893.377,3.579,3.579,3.579,,,JALAN KUBOR,7.698
jalan_kubor,Jalan Kubor,194.0,30852.601,31895.103,3.05,3.462,3.579,,,JALAN KUBOR,7.718
jalan_kubor,Jalan Kubor,196.0,30851.592,31896.83,3.344,3.344,3.462,-2.942,1.0,JALAN KUBOR,7.738
jalan_kubor,Jalan Kubor,198.0,30850.583,31898.557,3.598,3.598,3.354,,,JALAN KUBOR,7.758
jalan_kubor,Jalan Kubor,200.0,30849.574,31900.284,3.354,3.354,3.344,,,JALAN KUBOR,7.779
jalan_kubor,Jalan Kubor,202.0,30848.55,31902.002,3.163,3.163,3.163,,,JALAN KUBOR,7.781
