path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
kelantan_road,Kelantan Road,12.0,30540.882,32019.781,1.871,1.871,1.862,0.234,1.0,KELANTAN ROAD,1.807
kelantan_road,Kelantan Road,14.0,30542.131,32018.353,1.862,1.862,1.866,1.163,1.0,KELANTAN ROAD,1.578
kelantan_road,Kelantan Road,16.0,30543.652,32017.054,1.809,1.809,1.871,2.091,1.0,KELANTAN ROAD,1.629
kelantan_road,Kelantan Road,18.0,30545.173,32015.756,1.54,1.919,1.919,,,KELANTAN ROAD,1.679
kelantan_road,Kelantan Road,20.0,30546.694,32014.457,2.03,2.03,2.029,,,KELANTAN ROAD,1.73
kelantan_road,Kelantan Road,22.0,30548.216,32013.158,2.346,2.03,2.029,,,KELANTAN ROAD,1.78
kelantan_road,Kelantan Road,24.0,30549.737,32011.86,1.97,2.029,2.029,,,KELANTAN ROAD,1.831
kelantan_road,Kelantan Road,26.0,30551.258,32010.561,2.028,2.028,2.028,,,KELANTAN ROAD,1.881
kelantan_road,Kelantan Road,28.0,30552.779,32009.263,2.099,1.77,1.77,,,KELANTAN ROAD,1.932
kelantan_road,Kelantan Road,30.0,30554.3,32007.964,1.511,1.511,1.77,,,KELANTAN ROAD,1.982
kelantan_road,Kelantan Road,32.0,30555.821,32006.665,1.621,1.621,1.77,,,KELANTAN ROAD,2.033
kelantan_road,Kelantan Road,34.0,30557.342,32005.367,1.701,1.862,1.862,,,KELANTAN ROAD,2.083
kelantan_road,Kelantan Road,36.0,30558.863,32004.068,1.816,2.103,2.103,,,KELANTAN ROAD,2.134
kelantan_road,Kelantan Road,38.0,30560.384,32002.77,2.031,2.378,2.378,,,KELANTAN ROAD,2.184
kelantan_road,Kelantan Road,40.0,30561.905,32001.471,3.816,2.653,2.653,,,KELANTAN ROAD,2.235
kelantan_road,Kelantan Road,42.0,30563.426,32000.173,3.781,2.928,2.928,,,KELANTAN ROAD,2.285
kelantan_road,Kelantan Road,44.0,30564.948,31998.874,3.791,2.949,2.949,,,KELANTAN ROAD,2.336
kelantan_road,Kelantan Road,46.0,30566.469,31997.575,3.886,2.971,2.949,,,KELANTAN ROAD,2.386
kelantan_road,Kelantan Road,48.0,30567.99,31996.277,2.993,2.993,2.971,,,KELANTAN ROAD,2.437
kelantan_road,Kelantan Road,50.0,30569.511,31994.978,2.943,2.943,2.971,,,KELANTAN ROAD,2.487
kelantan_road,Kelantan Road,52.0,30571.032,31993.68,3.017,3.017,2.943,-2.495,1.0,KELANTAN ROAD,2.538
kelantan_road,Kelantan Road,54.0,30572.553,31992.381,2.606,2.894,2.894,-4.688,1.0,KELANTAN ROAD,2.588
kelantan_road,Kelantan Road,56.0,30574.074,31991.083,2.771,2.771,2.771,-6.881,1.0,KELANTAN ROAD,2.639
kelantan_road,Kelantan Road,58.0,30574.252,31989.479,2.784,2.582,2.582,,,KELANTAN ROAD,1.565
kelantan_road,Kelantan Road,60.0,30573.442,31987.65,2.392,2.392,2.392,,,KELANTAN ROAD,0.337
kelantan_road,Kelantan Road,62.0,30572.632,31985.822,2.135,2.135,2.219,,,KELANTAN ROAD,2.238
kelantan_road,Kelantan Road,64.0,30571.822,31983.993,1.861,2.177,2.219,,,KELANTAN ROAD,4.14
kelantan_road,Kelantan Road,66.0,30571.012,31982.164,1.876,2.219,2.219,,,KELANTAN ROAD,6.042
kelantan_road,Kelantan Road,68.0,30570.202,31980.336,2.576,2.745,2.745,,,KELANTAN ROAD,7.943
kelantan_road,Kelantan Road,70.0,30569.392,31978.507,3.066,3.271,3.271,,,KELANTAN ROAD,9.845
kelantan_road,Kelantan Road,72.0,30568.582,31976.679,4.307,3.797,3.797,,,KELANTAN ROAD,11.744
kelantan_road,Kelantan Road,74.0,30567.772,31974.85,4.784,,4.323,,,KELANTAN ROAD,13.611
kelantan_road,Kelantan Road,76.0,30566.961,31973.021,5.231,,4.849,,,KELANTAN ROAD,15.477
kelantan_road,Kelantan Road,78.0,30566.151,31971.193,5.985,5.375,5.375,,,KELANTAN ROAD,17.344
kelantan_road,Kelantan Road,80.0,30565.341,31969.364,6.168,5.901,5.901,,,KELANTAN ROAD,19.21
kelantan_road,Kelantan Road,82.0,30564.531,31967.536,7.06,6.427,6.427,,,KELANTAN ROAD,21.076
kelantan_road,Kelantan Road,84.0,30563.721,31965.707,6.953,6.953,6.73,,,KELANTAN ROAD,22.943
kelantan_road,Kelantan Road,86.0,30562.911,31963.879,6.929,6.929,6.73,,,KELANTAN ROAD,24.809
kelantan_road,Kelantan Road,88.0,30562.101,31962.05,6.901,6.73,6.8,,,KELANTAN ROAD,26.676
kelantan_road,Kelantan Road,90.0,30561.291,31960.221,6.53,6.53,6.8,,,KELANTAN ROAD,28.542
kelantan_road,Kelantan Road,92.0,30560.481,31958.393,6.318,6.8,6.8,,,KELANTAN ROAD,30.408
kelantan_road,Kelantan Road,94.0,30559.67,31956.564,6.273,7.069,6.8,,,KELANTAN ROAD,32.275
kelantan_road,Kelantan Road,96.0,30558.86,31954.736,6.41,6.87,6.8,,,KELANTAN ROAD,34.141
kelantan_road,Kelantan Road,98.0,30558.05,31952.907,5.762,6.67,6.67,,,KELANTAN ROAD,36.007
kelantan_road,Kelantan Road,100.0,30557.24,31951.078,,6.47,6.47,,,KELANTAN ROAD,37.874
kelantan_road,Kelantan Road,102.0,30556.43,31949.25,,6.271,6.271,,,KELANTAN ROAD,39.74
kelantan_road,Kelantan Road,104.0,30555.62,31947.421,18.073,6.071,6.071,,,KELANTAN ROAD,41.607
kelantan_road,Kelantan Road,106.0,30554.81,31945.593,18.073,5.872,5.872,,,KELANTAN ROAD,43.473
kelantan_road,Kelantan Road,108.0,30554.0,31943.764,18.073,5.672,5.672,,,KELANTAN ROAD,45.339
kelantan_road,Kelantan Road,110.0,30553.19,31941.936,18.073,5.473,5.473,,,KELANTAN ROAD,47.206
kelantan_road,Kelantan Road,112.0,30552.379,31940.107,,5.273,5.273,,,KELANTAN ROAD,49.072
kelantan_road,Kelantan Road,114.0,30551.569,31938.278,,,5.074,,,KELANTAN ROAD,50.939
kelantan_road,Kelantan Road,116.0,30550.759,31936.45,,,4.874,,,KELANTAN ROAD,52.805
kelantan_road,Kelantan Road,118.0,30549.949,31934.621,,,4.674,,,KELANTAN ROAD,54.671
kelantan_road,Kelantan Road,120.0,30549.139,31932.793,,,4.475,,,KELANTAN ROAD,56.539
kelantan_road,Kelantan Road,122.0,30548.329,31930.964,,4.275,4.275,,,KELANTAN ROAD,58.413
kelantan_road,Kelantan Road,334.0,30506.81,32013.955,9.754,4.076,4.076,,,KELANTAN ROAD,25.272
kelantan_road,Kelantan Road,336.0,30507.726,32015.733,8.844,3.876,3.876,,,KELANTAN ROAD,23.337
kelantan_road,Kelantan Road,338.0,30508.642,32017.511,7.646,3.677,3.677,,,KELANTAN ROAD,21.402
kelantan_road,Kelantan Road,340.0,30509.557,32019.289,6.103,3.477,3.477,,,KELANTAN ROAD,19.466
kelantan_road,Kelantan Road,342.0,30510.473,32021.067,4.831,3.278,3.278,,,KELANTAN ROAD,17.531
kelantan_road,Kelantan Road,344.0,30511.389,32022.845,4.032,3.078,3.078,,,KELANTAN ROAD,15.596
