path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
manila_street,Manila Street,4.0,30251.191,31319.734,4.699,4.699,4.626,,,MANILA STREET,4.142
manila_street,Manila Street,6.0,30252.839,31318.601,4.237,4.626,4.59,,,MANILA STREET,4.327
manila_street,Manila Street,8.0,30254.487,31317.468,5.634,4.554,4.554,,,MANILA STREET,4.512
manila_street,Manila Street,10.0,30256.135,31316.335,5.206,4.481,4.481,,,MANILA STREET,4.697
manila_street,Manila Street,12.0,30257.784,31315.203,4.272,4.408,4.408,,,MANILA STREET,4.882
manila_street,Manila Street,14.0,30259.432,31314.07,4.336,4.336,4.336,,,MANILA STREET,5.067
manila_street,Manila Street,16.0,30261.08,31312.937,4.679,4.092,4.092,,,MANILA STREET,5.251
manila_street,Manila Street,18.0,30262.673,31311.769,3.737,3.848,3.848,,,MANILA STREET,5.374
manila_street,Manila Street,20.0,30263.003,31309.796,3.604,3.604,3.848,,,MANILA STREET,4.07
manila_street,Manila Street,22.0,30264.327,31308.414,3.394,3.738,3.822,,,MANILA STREET,3.856
manila_street,Manila Street,24.0,30265.903,31307.183,3.873,3.873,3.822,0.313,1.0,MANILA STREET,3.918
manila_street,Manila Street,26.0,30267.478,31305.951,3.822,3.822,3.847,,,MANILA STREET,3.981
manila_street,Manila Street,28.0,30269.054,31304.719,3.847,3.847,3.873,,,MANILA STREET,4.043
manila_street,Manila Street,30.0,30270.629,31303.487,4.526,4.053,4.053,,,MANILA STREET,4.105
manila_street,Manila Street,32.0,30272.205,31302.255,4.088,4.259,4.259,,,MANILA STREET,4.168
manila_street,Manila Street,34.0,30273.78,31301.023,4.955,4.465,4.465,,,MANILA STREET,4.23
manila_street,Manila Street,36.0,30275.356,31299.791,4.34,4.671,4.671,,,MANILA STREET,4.292
manila_street,Manila Street,38.0,30276.932,31298.559,5.009,4.877,4.877,,,MANILA STREET,4.355
