path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
mount_sophia,Mount Sophia,2.0,29559.262,31367.939,23.406,26.984,26.984,0.417,1.0,MOUNT SOPHIA,1.634
mount_sophia,Mount Sophia,4.0,29557.701,31369.189,26.984,26.984,26.992,4.142,1.0,MOUNT SOPHIA,1.245
mount_sophia,Mount Sophia,6.0,29556.14,31370.44,27.0,27.0,27.0,6.005,1.0,MOUNT SOPHIA,0.856
mount_sophia,Mount Sophia,8.0,29554.579,31371.69,34.074,27.232,27.232,8.799,2.0,MOUNT SOPHIA,0.467
mount_sophia,Mount Sophia,10.0,29553.018,31372.94,,27.464,27.464,,,MOUNT SOPHIA,0.077
mount_sophia,Mount Sophia,12.0,29551.457,31374.191,,27.696,27.696,,,MOUNT SOPHIA,0.312
mount_sophia,Mount Sophia,14.0,29549.908,31375.453,,27.928,27.928,8.695,1.0,MOUNT SOPHIA,0.018
mount_sophia,Mount Sophia,16.0,29548.568,31376.938,28.16,28.16,28.16,5.797,1.0,MOUNT SOPHIA,0.08
mount_sophia,Mount Sophia,18.0,29547.228,31378.423,28.16,28.16,28.16,2.898,1.0,MOUNT SOPHIA,0.178
mount_sophia,Mount Sophia,20.0,29545.889,31379.908,28.16,28.16,28.16,,,MOUNT SOPHIA,0.276
mount_sophia,Mount Sophia,22.0,29544.531,31381.376,28.16,28.16,28.16,,,MOUNT SOPHIA,0.399
mount_sophia,Mount Sophia,24.0,29543.156,31382.829,28.16,28.494,28.494,,,MOUNT SOPHIA,0.545
mount_sophia,Mount Sophia,26.0,29541.781,31384.282,,28.829,28.829,,,MOUNT SOPHIA,0.69
mount_sophia,Mount Sophia,28.0,29540.407,31385.734,,29.241,29.241,,,MOUNT SOPHIA,0.836
mount_sophia,Mount Sophia,30.0,29539.032,31387.187,,29.653,29.653,,,MOUNT SOPHIA,0.982
mount_sophia,Mount Sophia,32.0,29537.86,31388.801,,30.064,30.064,,,MOUNT SOPHIA,0.868
mount_sophia,Mount Sophia,34.0,29536.758,31390.47,,30.476,30.476,,,MOUNT SOPHIA,0.665
mount_sophia,Mount Sophia,36.0,29535.657,31392.139,,30.901,30.901,,,MOUNT SOPHIA,0.463
mount_sophia,Mount Sophia,38.0,29534.555,31393.808,,31.326,31.326,,,MOUNT SOPHIA,0.26
mount_sophia,Mount Sophia,40.0,29533.453,31395.477,,31.75,31.75,,,MOUNT SOPHIA,0.057
mount_sophia,Mount Sophia,42.0,29532.351,31397.146,,,32.175,,,MOUNT SOPHIA,0.146
mount_sophia,Mount Sophia,44.0,29531.25,31398.816,,32.6,32.6,,,MOUNT SOPHIA,0.348
mount_sophia,Mount Sophia,46.0,29530.148,31400.485,,33.025,33.025,,,MOUNT SOPHIA,0.551
mount_sophia,Mount Sophia,48.0,29529.046,31402.154,33.875,33.45,33.45,,,MOUNT SOPHIA,0.484
mount_sophia,Mount Sophia,50.0,29527.944,31403.823,33.875,33.875,33.875,,,MOUNT SOPHIA,0.355
mount_sophia,Mount Sophia,52.0,29526.843,31405.492,33.875,33.875,33.875,,,MOUNT SOPHIA,0.227
mount_sophia,Mount Sophia,54.0,29525.741,31407.162,33.875,33.875,33.875,0.187,1.0,MOUNT SOPHIA,0.099
mount_sophia,Mount Sophia,56.0,29524.639,31408.831,33.875,33.875,33.875,0.375,1.0,MOUNT SOPHIA,0.185
mount_sophia,Mount Sophia,58.0,29523.537,31410.5,37.375,33.89,33.89,0.562,1.0,MOUNT SOPHIA,0.775
mount_sophia,Mount Sophia,60.0,29522.436,31412.169,38.775,33.905,33.905,0.749,1.0,MOUNT SOPHIA,1.366
mount_sophia,Mount Sophia,62.0,29521.334,31413.838,,33.92,33.92,0.749,1.0,MOUNT SOPHIA,1.956
mount_sophia,Mount Sophia,64.0,29520.232,31415.507,,33.935,33.935,0.749,1.0,MOUNT SOPHIA,2.546
mount_sophia,Mount Sophia,66.0,29519.13,31417.177,,33.95,33.95,0.749,1.0,MOUNT SOPHIA,3.223
mount_sophia,Mount Sophia,68.0,29518.029,31418.846,,33.965,33.965,0.749,1.0,MOUNT SOPHIA,4.039
mount_sophia,Mount Sophia,70.0,29516.927,31420.515,,33.98,33.98,0.749,1.0,MOUNT SOPHIA,4.855
mount_sophia,Mount Sophia,72.0,29515.825,31422.184,,33.995,33.995,0.749,1.0,MOUNT SOPHIA,5.671
mount_sophia,Mount Sophia,74.0,29515.021,31423.961,,34.01,34.01,0.749,1.0,MOUNT SOPHIA,6.176
mount_sophia,Mount Sophia,76.0,29514.803,31425.949,,34.025,34.025,0.749,1.0,MOUNT SOPHIA,6.068
mount_sophia,Mount Sophia,78.0,29514.586,31427.937,,34.04,34.04,0.749,1.0,MOUNT SOPHIA,5.96
mount_sophia,Mount Sophia,80.0,29514.368,31429.925,,34.055,34.055,0.749,1.0,MOUNT SOPHIA,5.852
mount_sophia,Mount Sophia,82.0,29514.15,31431.913,,34.07,34.07,0.749,1.0,MOUNT SOPHIA,5.744
mount_sophia,Mount Sophia,84.0,29513.932,31433.901,,34.084,34.084,0.749,1.0,MOUNT SOPHIA,5.636
mount_sophia,Mount Sophia,86.0,29513.745,31435.892,,34.099,34.099,0.749,1.0,MOUNT SOPHIA,5.498
mount_sophia,Mount Sophia,88.0,29513.569,31437.885,,34.114,34.114,0.749,1.0,MOUNT SOPHIA,5.348
mount_sophia,Mount Sophia,90.0,29513.393,31439.877,,34.129,34.129,0.749,1.0,MOUNT SOPHIA,5.199
mount_sophia,Mount Sophia,92.0,29513.216,31441.869,,34.144,34.144,0.749,1.0,MOUNT SOPHIA,5.049
mount_sophia,Mount Sophia,94.0,29513.04,31443.861,,34.159,34.159,0.749,1.0,MOUNT SOPHIA,4.899
mount_sophia,Mount Sophia,96.0,29512.467,31445.724,,34.174,34.174,0.749,1.0,MOUNT SOPHIA,5.161
mount_sophia,Mount Sophia,98.0,29511.436,31447.438,,34.189,34.189,0.749,1.0,MOUNT SOPHIA,5.852
mount_sophia,Mount Sophia,100.0,29510.406,31449.153,,34.204,34.204,0.655,1.0,MOUNT SOPHIA,6.543
mount_sophia,Mount Sophia,102.0,29509.376,31450.867,,34.219,34.219,0.562,1.0,MOUNT SOPHIA,7.235
mount_sophia,Mount Sophia,104.0,29508.346,31452.581,,,34.227,0.468,1.0,MOUNT SOPHIA,7.619
mount_sophia,Mount Sophia,106.0,29507.315,31454.295,,,34.234,,,MOUNT SOPHIA,7.687
mount_sophia,Mount Sophia,108.0,29506.285,31456.009,,,34.242,,,MOUNT SOPHIA,7.755
mount_sophia,Mount Sophia,110.0,29505.255,31457.724,,,,,,MOUNT SOPHIA,7.823
mount_sophia,Mount Sophia,112.0,29504.224,31459.438,,,,,,MOUNT SOPHIA,7.892
mount_sophia,Mount Sophia,114.0,29503.194,31461.152,,,,,,MOUNT SOPHIA,7.666
mount_sophia,Mount Sophia,116.0,29502.164,31462.866,,,,,,MOUNT SOPHIA,7.343
mount_sophia,Mount Sophia,118.0,29501.134,31464.581,,,,,,MOUNT SOPHIA,7.019
mount_sophia,Mount Sophia,120.0,29500.103,31466.295,,,,,,MOUNT SOPHIA,6.696
mount_sophia,Mount Sophia,122.0,29498.926,31467.905,,,,,,MOUNT SOPHIA,6.552
mount_sophia,Mount Sophia,124.0,29497.649,31469.444,,,,,,MOUNT SOPHIA,6.53
mount_sophia,Mount Sophia,126.0,29496.373,31470.984,,,,,,MOUNT SOPHIA,6.507
mount_sophia,Mount Sophia,128.0,29495.096,31472.523,,,,,,MOUNT SOPHIA,6.485
mount_sophia,Mount Sophia,130.0,29493.84,31474.08,,,,,,MOUNT SOPHIA,6.45
mount_sophia,Mount Sophia,132.0,29492.591,31475.642,,,,,,MOUNT SOPHIA,6.406
mount_sophia,Mount Sophia,134.0,29491.342,31477.204,,,,,,MOUNT SOPHIA,6.363
mount_sophia,Mount Sophia,136.0,29490.093,31478.766,,,,,,MOUNT SOPHIA,6.319
mount_sophia,Mount Sophia,138.0,29488.807,31480.297,,,,,,MOUNT SOPHIA,6.324
mount_sophia,Mount Sophia,140.0,29487.482,31481.795,,,,,,MOUNT SOPHIA,6.38
mount_sophia,Mount Sophia,142.0,29486.157,31483.293,,,,,,MOUNT SOPHIA,6.436
mount_sophia,Mount Sophia,144.0,29484.831,31484.791,,,,,,MOUNT SOPHIA,6.492
mount_sophia,Mount Sophia,146.0,29483.506,31486.288,,,,,,MOUNT SOPHIA,6.548
mount_sophia,Mount Sophia,148.0,29482.21,31487.811,,,,,,MOUNT SOPHIA,6.566
mount_sophia,Mount Sophia,150.0,29480.975,31489.384,,,,,,MOUNT SOPHIA,6.505
