path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
prinsep_link,Prinsep Link,30.0,29898.147,31382.604,11.989,7.372,7.372,,,PRINSEP LINK,22.226
prinsep_link,Prinsep Link,32.0,29899.331,31384.216,10.039,7.372,7.253,,,PRINSEP LINK,20.231
prinsep_link,Prinsep Link,34.0,29900.514,31385.829,6.173,7.133,7.133,,,PRINSEP LINK,18.235
prinsep_link,Prinsep Link,36.0,29901.698,31387.441,5.747,6.838,6.838,,,PRINSEP LINK,16.24
prinsep_link,Prinsep Link,38.0,29902.882,31389.053,7.372,6.544,6.544,,,PRINSEP LINK,14.245
prinsep_link,Prinsep Link,40.0,29904.066,31390.665,12.206,6.292,6.292,,,PRINSEP LINK,12.249
prinsep_link,Prinsep Link,42.0,29905.249,31392.277,5.456,6.04,6.04,,,PRINSEP LINK,10.254
prinsep_link,Prinsep Link,44.0,29906.433,31393.889,7.449,5.789,5.789,,,PRINSEP LINK,8.258
prinsep_link,Prinsep Link,46.0,29907.724,31394.507,5.537,5.537,5.562,,,PRINSEP LINK,6.953
prinsep_link,Prinsep Link,48.0,29909.224,31393.184,5.412,5.412,5.537,,,PRINSEP LINK,6.996
prinsep_link,Prinsep Link,50.0,29910.724,31391.861,5.562,5.562,5.412,,,PRINSEP LINK,7.039
prinsep_link,Prinsep Link,52.0,29912.224,31390.538,6.524,5.368,5.368,-6.953,1.0,PRINSEP LINK,7.082
prinsep_link,Prinsep Link,54.0,29913.724,31389.215,4.887,5.174,5.174,-5.818,1.0,PRINSEP LINK,7.126
prinsep_link,Prinsep Link,56.0,29915.308,31387.997,4.981,4.981,4.981,,,PRINSEP LINK,7.034
prinsep_link,Prinsep Link,58.0,29916.919,31386.811,4.856,4.856,4.946,,,PRINSEP LINK,6.902
prinsep_link,Prinsep Link,60.0,29918.529,31385.625,4.081,4.901,4.946,,,PRINSEP LINK,6.769
prinsep_link,Prinsep Link,62.0,29920.101,31384.39,4.843,4.946,4.946,,,PRINSEP LINK,6.698
prinsep_link,Prinsep Link,78.0,29932.493,31374.268,6.869,4.992,4.992,,,PRINSEP LINK,6.455
prinsep_link,Prinsep Link,80.0,29934.042,31373.003,7.169,5.037,5.037,,,PRINSEP LINK,6.426
prinsep_link,Prinsep Link,82.0,29935.591,31371.738,6.602,5.083,5.083,,,PRINSEP LINK,6.398
prinsep_link,Prinsep Link,84.0,29937.14,31370.473,5.073,5.128,5.083,,,PRINSEP LINK,6.37
prinsep_link,Prinsep Link,86.0,29938.689,31369.208,5.173,5.173,5.083,,,PRINSEP LINK,6.341
prinsep_link,Prinsep Link,88.0,29940.238,31367.942,4.973,4.973,4.973,,,PRINSEP LINK,6.313
prinsep_link,Prinsep Link,90.0,29941.953,31366.925,6.18,4.702,4.702,,,PRINSEP LINK,5.987
prinsep_link,Prinsep Link,92.0,29943.711,31365.971,4.923,4.43,4.43,-10.857,2.0,PRINSEP LINK,5.586
prinsep_link,Prinsep Link,94.0,29945.469,31365.017,4.002,4.158,4.158,,,PRINSEP LINK,5.186
prinsep_link,Prinsep Link,96.0,29947.226,31364.063,3.886,3.886,4.105,,,PRINSEP LINK,4.785
prinsep_link,Prinsep Link,98.0,29948.984,31363.108,4.105,4.105,4.074,,,PRINSEP LINK,4.384
prinsep_link,Prinsep Link,100.0,29950.742,31362.154,4.074,4.074,3.94,-4.513,1.0,PRINSEP LINK,3.983
prinsep_link,Prinsep Link,102.0,29952.499,31361.2,3.94,3.94,3.94,-4.122,1.0,PRINSEP LINK,3.582
prinsep_link,Prinsep Link,104.0,29954.257,31360.246,3.727,3.727,3.744,-2.656,1.0,PRINSEP LINK,3.182
prinsep_link,Prinsep Link,106.0,29956.015,31359.291,3.744,3.744,3.744,-2.656,1.0,PRINSEP LINK,2.781
prinsep_link,Prinsep Link,108.0,29957.772,31358.337,3.727,3.727,3.727,-0.27,1.0,PRINSEP LINK,2.38
prinsep_link,Prinsep Link,110.0,29959.53,31357.383,3.773,3.773,3.727,,,PRINSEP LINK,1.979
prinsep_link,Prinsep Link,112.0,29961.288,31356.429,3.717,3.717,3.722,,,PRINSEP LINK,1.578
prinsep_link,Prinsep Link,114.0,29962.265,31355.898,2.489,3.717,3.717,,,PRINSEP LINK,1.355
