path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
prinsep_street,Prinsep Street,12.0,30120.407,31679.799,8.253,8.253,8.279,,,PRINSEP STREET,13.183
prinsep_street,Prinsep Street,14.0,30119.085,31678.298,8.279,8.279,8.344,0.0,1.0,PRINSEP STREET,13.134
prinsep_street,Prinsep Street,16.0,30117.763,31676.797,8.741,8.41,8.279,,,PRINSEP STREET,13.084
prinsep_street,Prinsep Street,18.0,30116.441,31675.296,8.541,8.541,8.279,,,PRINSEP STREET,13.035
prinsep_street,Prinsep Street,20.0,30115.119,31673.795,4.402,8.27,8.27,,,PRINSEP STREET,12.986
prinsep_street,Prinsep Street,22.0,30113.797,31672.295,4.794,7.999,7.999,,,PRINSEP STREET,12.936
prinsep_street,Prinsep Street,24.0,30112.475,31670.794,4.375,7.728,7.728,,,PRINSEP STREET,12.887
prinsep_street,Prinsep Street,26.0,30111.153,31669.293,7.215,7.457,7.457,,,PRINSEP STREET,12.837
prinsep_street,Prinsep Street,28.0,30109.831,31667.792,7.186,7.186,7.186,,,PRINSEP STREET,12.788
prinsep_street,Prinsep Street,30.0,30108.509,31666.292,7.382,6.95,6.95,,,PRINSEP STREET,12.738
prinsep_street,Prinsep Street,32.0,30107.187,31664.791,6.931,6.663,6.663,,,PRINSEP STREET,12.689
prinsep_street,Prinsep Street,34.0,30105.865,31663.29,3.655,6.375,6.375,,,PRINSEP STREET,12.639
prinsep_street,Prinsep Street,36.0,30104.543,31661.789,3.961,6.088,6.088,,,PRINSEP STREET,12.59
prinsep_street,Prinsep Street,38.0,30103.221,31660.289,3.086,5.801,5.801,,,PRINSEP STREET,12.541
prinsep_street,Prinsep Street,40.0,30101.899,31658.788,3.399,5.513,5.513,,,PRINSEP STREET,12.491
prinsep_street,Prinsep Street,42.0,30100.577,31657.287,4.193,5.226,5.226,,,PRINSEP STREET,12.442
prinsep_street,Prinsep Street,44.0,30099.255,31655.786,4.218,4.938,4.938,,,PRINSEP STREET,12.392
prinsep_street,Prinsep Street,46.0,30097.933,31654.285,4.139,4.651,4.651,,,PRINSEP STREET,12.343
prinsep_street,Prinsep Street,48.0,30096.611,31652.785,4.363,4.363,4.478,,,PRINSEP STREET,12.293
prinsep_street,Prinsep Street,50.0,30095.289,31651.284,4.211,4.421,4.478,,,PRINSEP STREET,12.244
prinsep_street,Prinsep Street,52.0,30093.967,31649.783,3.792,4.478,4.478,,,PRINSEP STREET,12.194
prinsep_street,Prinsep Street,54.0,30092.645,31648.282,2.986,5.11,5.11,,,PRINSEP STREET,12.145
prinsep_street,Prinsep Street,56.0,30091.323,31646.782,3.255,5.743,5.743,,,PRINSEP STREET,12.096
prinsep_street,Prinsep Street,58.0,30090.001,31645.281,4.086,6.375,6.375,,,PRINSEP STREET,12.046
prinsep_street,Prinsep Street,60.0,30088.679,31643.78,3.248,,7.007,,,PRINSEP STREET,11.99
prinsep_street,Prinsep Street,62.0,30087.357,31642.279,9.005,7.639,7.639,,,PRINSEP STREET,11.93
prinsep_street,Prinsep Street,64.0,30086.035,31640.779,8.965,8.272,8.272,,,PRINSEP STREET,11.869
prinsep_street,Prinsep Street,66.0,30084.713,31639.278,8.945,8.904,8.904,,,PRINSEP STREET,11.809
prinsep_street,Prinsep Street,68.0,30083.391,31637.777,12.712,9.536,9.166,,,PRINSEP STREET,11.749
prinsep_street,Prinsep Street,70.0,30082.069,31636.276,11.489,9.351,9.166,,,PRINSEP STREET,11.689
prinsep_street,Prinsep Street,72.0,30080.747,31634.776,11.333,9.166,9.166,,,PRINSEP STREET,11.629
prinsep_street,Prinsep Street,74.0,30079.425,31633.275,12.408,8.982,8.982,,,PRINSEP STREET,11.569
prinsep_street,Prinsep Street,76.0,30078.103,31631.774,19.983,8.797,8.797,,,PRINSEP STREET,11.506
prinsep_street,Prinsep Street,78.0,30076.781,31630.273,12.221,8.326,8.326,,,PRINSEP STREET,11.441
prinsep_street,Prinsep Street,80.0,30075.459,31628.772,11.746,7.855,7.855,,,PRINSEP STREET,11.376
prinsep_street,Prinsep Street,82.0,30074.137,31627.272,10.321,7.384,7.384,,,PRINSEP STREET,11.31
prinsep_street,Prinsep Street,84.0,30072.815,31625.771,12.253,,6.914,,,PRINSEP STREET,11.245
prinsep_street,Prinsep Street,86.0,30071.493,31624.27,9.996,,6.443,,,PRINSEP STREET,11.18
prinsep_street,Prinsep Street,88.0,30070.171,31622.769,10.26,,5.972,,,PRINSEP STREET,11.115
prinsep_street,Prinsep Street,90.0,30068.849,31621.269,7.736,5.501,5.501,,,PRINSEP STREET,11.049
prinsep_street,Prinsep Street,92.0,30067.527,31619.768,4.075,5.031,5.031,,,PRINSEP STREET,10.984
prinsep_street,Prinsep Street,94.0,30066.205,31618.267,4.707,4.56,4.56,,,PRINSEP STREET,10.919
prinsep_street,Prinsep Street,96.0,30064.883,31616.766,4.478,4.089,4.103,,,PRINSEP STREET,10.854
prinsep_street,Prinsep Street,98.0,30063.561,31615.266,3.703,4.096,4.103,,,PRINSEP STREET,10.788
prinsep_street,Prinsep Street,100.0,30062.239,31613.765,4.103,4.103,4.103,,,PRINSEP STREET,10.723
prinsep_street,Prinsep Street,102.0,30060.917,31612.264,3.707,4.299,4.299,,,PRINSEP STREET,10.658
prinsep_street,Prinsep Street,104.0,30059.595,31610.763,4.021,4.494,4.494,,,PRINSEP STREET,10.593
prinsep_street,Prinsep Street,106.0,30058.273,31609.262,4.346,4.69,4.69,,,PRINSEP STREET,10.527
prinsep_street,Prinsep Street,108.0,30056.951,31607.762,3.799,4.885,4.885,,,PRINSEP STREET,10.462
prinsep_street,Prinsep Street,110.0,30055.629,31606.261,2.008,5.08,5.08,,,PRINSEP STREET,10.397
prinsep_street,Prinsep Street,112.0,30054.307,31604.76,2.271,5.276,5.276,,,PRINSEP STREET,10.331
prinsep_street,Prinsep Street,114.0,30052.985,31603.259,2.615,5.471,5.471,,,PRINSEP STREET,10.266
prinsep_street,Prinsep Street,116.0,30051.663,31601.759,5.165,5.667,5.667,,,PRINSEP STREET,10.201
prinsep_street,Prinsep Street,118.0,30050.341,31600.258,5.147,5.862,5.808,,,PRINSEP STREET,10.136
prinsep_street,Prinsep Street,120.0,30049.019,31598.757,5.815,6.058,5.808,,,PRINSEP STREET,10.07
prinsep_street,Prinsep Street,122.0,30047.697,31597.256,6.253,5.808,5.808,,,PRINSEP STREET,10.005
prinsep_street,Prinsep Street,124.0,30046.375,31595.756,8.247,5.559,5.559,,,PRINSEP STREET,9.943
prinsep_street,Prinsep Street,126.0,30045.053,31594.255,6.278,5.31,5.31,,,PRINSEP STREET,9.887
prinsep_street,Prinsep Street,128.0,30043.731,31592.754,5.061,5.061,5.072,,,PRINSEP STREET,9.831
prinsep_street,Prinsep Street,130.0,30042.409,31591.253,2.436,5.067,5.072,,,PRINSEP STREET,9.775
prinsep_street,Prinsep Street,132.0,30041.087,31589.752,2.428,5.072,5.072,,,PRINSEP STREET,9.719
prinsep_street,Prinsep Street,134.0,30039.765,31588.252,5.078,5.078,5.078,,,PRINSEP STREET,9.663
prinsep_street,Prinsep Street,136.0,30038.443,31586.751,7.162,5.306,5.306,,,PRINSEP STREET,9.607
prinsep_street,Prinsep Street,138.0,30037.121,31585.25,6.547,5.534,5.534,,,PRINSEP STREET,9.551
prinsep_street,Prinsep Street,140.0,30035.799,31583.749,6.562,5.762,5.534,,,PRINSEP STREET,9.495
prinsep_street,Prinsep Street,142.0,30034.477,31582.249,5.99,5.628,5.534,,,PRINSEP STREET,9.439
prinsep_street,Prinsep Street,144.0,30033.155,31580.748,5.705,5.495,5.495,,,PRINSEP STREET,9.383
prinsep_street,Prinsep Street,146.0,30031.833,31579.247,6.29,5.361,5.361,,,PRINSEP STREET,9.327
prinsep_street,Prinsep Street,148.0,30030.511,31577.746,5.385,5.089,5.089,,,PRINSEP STREET,9.271
prinsep_street,Prinsep Street,150.0,30029.189,31576.246,4.485,4.817,4.817,,,PRINSEP STREET,9.215
prinsep_street,Prinsep Street,152.0,30027.867,31574.745,3.994,4.545,4.545,,,PRINSEP STREET,9.159
prinsep_street,Prinsep Street,154.0,30026.545,31573.244,3.985,4.273,4.273,,,PRINSEP STREET,9.103
prinsep_street,Prinsep Street,156.0,30025.223,31571.743,3.51,4.0,4.0,,,PRINSEP STREET,9.047
prinsep_street,Prinsep Street,158.0,30023.901,31570.243,3.728,3.728,4.0,,,PRINSEP STREET,8.991
prinsep_street,Prinsep Street,160.0,30022.579,31568.742,3.748,3.953,4.0,,,PRINSEP STREET,8.935
prinsep_street,Prinsep Street,162.0,30021.257,31567.241,4.177,4.177,4.062,,,PRINSEP STREET,8.879
prinsep_street,Prinsep Street,164.0,30019.935,31565.74,4.894,4.12,4.062,,,PRINSEP STREET,8.823
prinsep_street,Prinsep Street,166.0,30018.613,31564.239,4.41,4.062,4.062,-1.068,1.0,PRINSEP STREET,8.767
prinsep_street,Prinsep Street,168.0,30017.291,31562.739,4.327,4.005,4.005,,,PRINSEP STREET,8.711
prinsep_street,Prinsep Street,170.0,30015.969,31561.238,3.948,3.948,3.977,,,PRINSEP STREET,8.655
prinsep_street,Prinsep Street,172.0,30014.647,31559.737,2.885,3.962,3.977,,,PRINSEP STREET,8.599
prinsep_street,Prinsep Street,174.0,30013.325,31558.236,3.402,3.977,3.977,0.182,1.0,PRINSEP STREET,8.543
prinsep_street,Prinsep Street,176.0,30012.003,31556.736,4.173,3.991,3.977,,,PRINSEP STREET,8.487
prinsep_street,Prinsep Street,178.0,30010.681,31555.235,4.006,4.006,3.991,,,PRINSEP STREET,8.431
prinsep_street,Prinsep Street,180.0,30009.359,31553.734,3.96,3.96,3.991,,,PRINSEP STREET,8.375
prinsep_street,Prinsep Street,182.0,30009.224,31553.662,4.11,4.11,3.96,,,PRINSEP STREET,8.318
prinsep_street,Prinsep Street,184.0,30010.457,31555.236,3.96,3.96,3.96,-3.932,1.0,PRINSEP STREET,8.259
prinsep_street,Prinsep Street,186.0,30011.69,31556.811,3.248,3.677,3.677,,,PRINSEP STREET,8.199
prinsep_street,Prinsep Street,188.0,30012.924,31558.385,3.394,3.394,3.677,,,PRINSEP STREET,8.14
prinsep_street,Prinsep Street,190.0,30014.157,31559.959,2.885,3.653,3.677,,,PRINSEP STREET,8.081
prinsep_street,Prinsep Street,192.0,30015.39,31561.534,3.956,3.913,3.913,6.198,1.0,PRINSEP STREET,8.021
prinsep_street,Prinsep Street,194.0,30016.624,31563.108,4.173,4.173,4.173,,,PRINSEP STREET,7.962
prinsep_street,Prinsep Street,196.0,30017.857,31564.683,4.235,4.235,4.173,,,PRINSEP STREET,7.903
prinsep_street,Prinsep Street,198.0,30019.091,31566.257,4.231,4.231,4.173,-2.813,1.0,PRINSEP STREET,7.844
prinsep_street,Prinsep Street,200.0,30020.324,31567.832,4.169,4.004,4.004,-2.813,1.0,PRINSEP STREET,7.784
prinsep_street,Prinsep Street,202.0,30021.557,31569.406,3.777,3.777,3.948,,,PRINSEP STREET,7.725
prinsep_street,Prinsep Street,204.0,30022.791,31570.98,3.696,3.696,3.948,,,PRINSEP STREET,7.666
prinsep_street,Prinsep Street,206.0,30024.024,31572.555,2.723,3.948,3.948,,,PRINSEP STREET,7.607
prinsep_street,Prinsep Street,208.0,30025.268,31574.121,2.702,4.199,4.199,,,PRINSEP STREET,7.561
prinsep_street,Prinsep Street,210.0,30026.549,31575.657,2.723,4.451,4.451,,,PRINSEP STREET,7.563
prinsep_street,Prinsep Street,212.0,30027.83,31577.193,4.252,4.702,4.702,,,PRINSEP STREET,7.565
prinsep_street,Prinsep Street,214.0,30029.111,31578.729,5.095,4.954,4.954,,,PRINSEP STREET,7.567
prinsep_street,Prinsep Street,216.0,30030.392,31580.265,4.865,5.205,5.205,,,PRINSEP STREET,7.569
prinsep_street,Prinsep Street,218.0,30031.703,31581.775,5.315,5.315,5.315,,,PRINSEP STREET,7.611
prinsep_street,Prinsep Street,220.0,30033.025,31583.275,5.475,5.475,5.315,,,PRINSEP STREET,7.667
prinsep_street,Prinsep Street,222.0,30034.348,31584.775,7.122,5.332,5.315,-1.576,1.0,PRINSEP STREET,7.724
prinsep_street,Prinsep Street,224.0,30035.67,31586.276,7.102,5.189,5.189,-1.576,1.0,PRINSEP STREET,7.78
prinsep_street,Prinsep Street,226.0,30036.993,31587.776,7.067,5.046,5.189,-1.441,1.0,PRINSEP STREET,7.837
prinsep_street,Prinsep Street,228.0,30038.324,31589.268,4.903,4.903,5.189,3.846,1.0,PRINSEP STREET,7.906
prinsep_street,Prinsep Street,230.0,30039.683,31590.736,2.419,5.2,5.2,7.557,1.0,PRINSEP STREET,8.011
prinsep_street,Prinsep Street,232.0,30041.041,31592.204,2.244,5.497,5.497,7.557,1.0,PRINSEP STREET,8.116
prinsep_street,Prinsep Street,234.0,30042.4,31593.672,2.244,5.794,5.794,,,PRINSEP STREET,8.221
prinsep_street,Prinsep Street,236.0,30043.758,31595.14,6.09,6.09,5.794,,,PRINSEP STREET,8.326
prinsep_street,Prinsep Street,238.0,30045.049,31596.666,6.09,5.886,5.794,,,PRINSEP STREET,8.342
prinsep_street,Prinsep Street,240.0,30046.327,31598.205,6.103,5.627,5.627,,,PRINSEP STREET,8.344
prinsep_street,Prinsep Street,242.0,30047.604,31599.744,5.553,5.368,5.368,,,PRINSEP STREET,8.351
prinsep_street,Prinsep Street,244.0,30048.881,31601.283,5.172,5.095,5.095,,,PRINSEP STREET,8.357
prinsep_street,Prinsep Street,246.0,30050.159,31602.822,5.178,4.823,4.823,,,PRINSEP STREET,8.364
prinsep_street,Prinsep Street,248.0,30051.401,31604.389,3.803,4.551,4.551,,,PRINSEP STREET,8.326
prinsep_street,Prinsep Street,250.0,30052.6,31605.99,2.32,4.278,4.278,,,PRINSEP STREET,8.232
prinsep_street,Prinsep Street,252.0,30053.799,31607.591,3.758,4.006,4.006,,,PRINSEP STREET,8.139
prinsep_street,Prinsep Street,254.0,30054.997,31609.192,3.733,3.733,3.925,,,PRINSEP STREET,8.045
prinsep_street,Prinsep Street,256.0,30056.196,31610.792,4.567,3.829,3.925,,,PRINSEP STREET,7.952
prinsep_street,Prinsep Street,258.0,30057.332,31612.438,4.375,3.925,3.925,1.199,1.0,PRINSEP STREET,7.781
prinsep_street,Prinsep Street,260.0,30058.433,31614.108,4.021,4.021,3.946,,,PRINSEP STREET,7.568
prinsep_street,Prinsep Street,262.0,30059.533,31615.777,3.946,3.946,4.021,,,PRINSEP STREET,7.355
prinsep_street,Prinsep Street,264.0,30060.634,31617.447,4.2,4.2,4.2,,,PRINSEP STREET,7.142
prinsep_street,Prinsep Street,266.0,30061.735,31619.117,4.442,4.38,4.38,,,PRINSEP STREET,6.929
prinsep_street,Prinsep Street,268.0,30062.836,31620.787,2.445,4.559,4.38,,,PRINSEP STREET,6.716
prinsep_street,Prinsep Street,270.0,30063.882,31622.491,3.49,4.449,4.38,,,PRINSEP STREET,6.439
prinsep_street,Prinsep Street,272.0,30064.909,31624.207,3.66,4.338,4.338,,,PRINSEP STREET,6.14
prinsep_street,Prinsep Street,274.0,30065.936,31625.923,12.58,4.227,4.227,,,PRINSEP STREET,5.841
prinsep_street,Prinsep Street,276.0,30066.964,31627.639,13.353,4.116,4.116,,,PRINSEP STREET,5.542
prinsep_street,Prinsep Street,278.0,30067.991,31629.355,14.238,4.005,4.005,,,PRINSEP STREET,5.243
prinsep_street,Prinsep Street,280.0,30069.019,31631.071,10.383,3.894,3.894,,,PRINSEP STREET,4.944
prinsep_street,Prinsep Street,282.0,30070.046,31632.787,10.077,3.783,3.783,,,PRINSEP STREET,4.646
prinsep_street,Prinsep Street,284.0,30071.074,31634.503,9.833,3.672,3.672,,,PRINSEP STREET,4.347
prinsep_street,Prinsep Street,286.0,30072.101,31636.219,9.049,3.562,3.562,,,PRINSEP STREET,4.048
prinsep_street,Prinsep Street,288.0,30073.128,31637.935,3.465,3.451,3.451,,,PRINSEP STREET,3.748
prinsep_street,Prinsep Street,290.0,30074.156,31639.65,3.482,3.34,3.34,,,PRINSEP STREET,3.444
prinsep_street,Prinsep Street,292.0,30075.183,31641.366,3.457,3.229,3.229,,,PRINSEP STREET,3.14
prinsep_street,Prinsep Street,294.0,30076.211,31643.082,1.842,2.976,2.976,,,PRINSEP STREET,2.836
prinsep_street,Prinsep Street,296.0,30077.081,31644.593,2.496,2.873,2.873,,,PRINSEP STREET,2.542
prinsep_street,Prinsep Street,298.0,30075.693,31643.152,1.879,2.77,2.77,,,PRINSEP STREET,2.393
prinsep_street,Prinsep Street,300.0,30074.306,31641.712,3.482,2.667,2.667,,,PRINSEP STREET,2.243
prinsep_street,Prinsep Street,302.0,30072.918,31640.272,3.498,2.564,2.564,,,PRINSEP STREET,2.094
prinsep_street,Prinsep Street,304.0,30071.531,31638.831,1.904,2.461,2.461,,,PRINSEP STREET,1.945
prinsep_street,Prinsep Street,306.0,30070.143,31637.391,1.929,2.358,2.358,,,PRINSEP STREET,1.791
prinsep_street,Prinsep Street,308.0,30068.755,31635.951,6.246,2.255,2.255,,,PRINSEP STREET,1.637
prinsep_street,Prinsep Street,310.0,30067.368,31634.51,6.129,2.152,2.152,,,PRINSEP STREET,1.483
prinsep_street,Prinsep Street,312.0,30065.98,31633.07,1.929,2.049,2.049,,,PRINSEP STREET,1.328
prinsep_street,Prinsep Street,314.0,30064.593,31631.63,1.946,1.946,1.962,,,PRINSEP STREET,1.174
prinsep_street,Prinsep Street,316.0,30063.205,31630.189,1.946,1.946,1.962,,,PRINSEP STREET,1.02
prinsep_street,Prinsep Street,318.0,30061.818,31628.749,1.962,1.962,1.962,1.146,1.0,PRINSEP STREET,0.865
prinsep_street,Prinsep Street,320.0,30060.43,31627.309,3.946,2.008,2.008,1.72,1.0,PRINSEP STREET,0.711
prinsep_street,Prinsep Street,322.0,30059.042,31625.868,3.958,2.054,2.054,1.72,1.0,PRINSEP STREET,0.557
prinsep_street,Prinsep Street,324.0,30057.655,31624.428,4.108,2.1,2.1,1.146,1.0,PRINSEP STREET,0.402
prinsep_street,Prinsep Street,326.0,30056.267,31622.988,2.146,2.146,2.1,0.834,1.0,PRINSEP STREET,0.248
