path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
anchorvale_lane,1,Anchorvale Lane_Cam4_20260106_114250_445_A.jpeg,,11.563,5.781,6.0,9.694,,
anchorvale_lane,2,Anchorvale Lane_Cam4_20260106_114253_454_A.jpeg,,21.799,16.681,16.0,10.777,,
anchorvale_lane,3,Anchorvale Lane_Cam4_20260106_114255_859_A.jpeg,,49.23,35.515,36.0,12.383,,
anchorvale_lane,4,Anchorvale Lane_Cam4_20260106_114302_481_A.jpeg,,57.253,53.242,54.0,11.227,,
anchorvale_lane,5,Anchorvale Lane_Cam4_20260106_114304_283_A.jpeg,,68.345,62.799,62.0,10.358,,
anchorvale_lane,6,Anchorvale Lane_Cam4_20260106_114306_688_A.jpeg,,77.011,72.678,72.0,10.929,,
anchorvale_lane,7,Anchorvale Lane_Cam4_20260106_114308_491_A.jpeg,,88.604,82.808,82.0,11.004,,
anchorvale_lane,8,Anchorvale Lane_Cam4_20260106_114310_901_A.jpeg,,97.838,93.221,94.0,9.681,,
anchorvale_lane,9,Anchorvale Lane_Cam4_20260106_114312_704_A.jpeg,,106.919,102.378,102.0,8.931,,
anchorvale_lane,10,Anchorvale Lane_Cam4_20260106_114314_507_A.jpeg,,137.713,122.316,122.0,8.879,,
anchorvale_lane,11,Anchorvale Lane_Cam4_20260106_114320_520_A.jpeg,,146.934,142.324,142.0,8.868,-1.875,1.0
anchorvale_lane,12,Anchorvale Lane_Cam4_20260106_114322_322_A.jpeg,,173.415,160.175,160.0,8.668,0.0,1.0
anchorvale_lane,13,Anchorvale Lane_Cam4_20260106_114327_129_A.jpeg,,183.838,178.627,178.0,8.418,-0.625,1.0
anchorvale_lane,14,Anchorvale Lane_Cam4_20260106_114328_930_A.jpeg,,194.291,189.065,190.0,8.318,-1.25,1.0
anchorvale_lane,15,Anchorvale Lane_Cam4_20260106_114330_731_A.jpeg,,204.854,199.572,200.0,8.218,-0.625,1.0
anchorvale_lane,16,Anchorvale Lane_Cam4_20260106_114332_533_A.jpeg,,215.555,210.205,210.0,8.168,-0.938,1.0
anchorvale_lane,17,Anchorvale Lane_Cam4_20260106_114334_337_A.jpeg,,226.161,220.858,220.0,8.068,-0.625,1.0
anchorvale_lane,18,Anchorvale Lane_Cam4_20260106_114336_149_A.jpeg,,233.023,229.592,230.0,8.018,-0.625,1.0
anchorvale_lane,19,Anchorvale Lane_Cam4_20260106_114337_350_A.jpeg,,243.172,238.098,238.0,7.968,-0.625,1.0
anchorvale_lane,20,Anchorvale Lane_Cam4_20260106_114339_153_A.jpeg,,256.398,249.785,250.0,7.868,-0.781,1.0
anchorvale_lane,21,Anchorvale Lane_Cam4_20260106_114341_555_A.jpeg,,262.842,259.62,260.0,7.768,-0.625,1.0
anchorvale_lane,22,Anchorvale Lane_Cam4_20260106_114342_759_A.jpeg,,272.88,267.861,268.0,7.718,-0.625,1.0
anchorvale_lane,23,Anchorvale Lane_Cam4_20260106_114344_561_A.jpeg,,283.764,278.322,278.0,7.668,0.0,1.0
anchorvale_lane,24,Anchorvale Lane_Cam4_20260106_114346_363_A.jpeg,,294.426,289.095,290.0,7.618,-0.625,1.0
anchorvale_lane,25,Anchorvale Lane_Cam4_20260106_114348_166_A.jpeg,,304.928,299.677,300.0,7.518,-0.625,1.0
anchorvale_lane,26,Anchorvale Lane_Cam4_20260106_114349_968_A.jpeg,,315.38,310.154,310.0,7.418,-0.313,1.0
anchorvale_lane,27,Anchorvale Lane_Cam4_20260106_114351_771_A.jpeg,,325.643,320.512,320.0,7.343,-1.875,1.0
anchorvale_lane,28,Anchorvale Lane_Cam4_20260106_114353_573_A.jpeg,,336.048,330.845,330.0,7.268,-0.625,1.0
anchorvale_lane,29,Anchorvale Lane_Cam4_20260106_114355_375_A.jpeg,,342.878,339.463,340.0,7.193,-0.625,1.0
anchorvale_lane,30,Anchorvale Lane_Cam4_20260106_114356_575_A.jpeg,,353.303,348.09,348.0,7.359,,
anchorvale_lane,31,Anchorvale Lane_Cam4_20260106_114358_380_A.jpeg,,363.757,358.53,358.0,8.828,,
anchorvale_lane,32,Anchorvale Lane_Cam4_20260106_114400_183_A.jpeg,,374.508,369.133,370.0,10.444,,
anchorvale_lane,33,Anchorvale Lane_Cam4_20260106_114401_985_A.jpeg,,385.401,379.954,380.0,10.477,,
anchorvale_lane,34,Anchorvale Lane_Cam4_20260106_114403_787_A.jpeg,,396.298,390.85,390.0,9.998,,
anchorvale_lane,35,Anchorvale Lane_Cam4_20260106_114405_597_A.jpeg,,403.475,399.887,400.0,9.09,,
anchorvale_lane,36,Anchorvale Lane_Cam4_20260106_114406_799_A.jpeg,,413.727,408.601,408.0,7.784,,
