path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
anchorvale_road,1,Anchorvale Road_Cam4_20260106_111032_819_A.jpeg,,11.221,5.611,6.0,8.95,,
anchorvale_road,2,Anchorvale Road_Cam4_20260106_111036_427_A.jpeg,,20.818,16.02,16.0,9.093,0.491,1.0
anchorvale_road,3,Anchorvale Road_Cam4_20260106_111040_035_A.jpeg,,32.91,26.864,26.0,9.393,,
anchorvale_road,4,Anchorvale Road_Cam4_20260106_111044_242_A.jpeg,,43.875,38.392,38.0,10.446,,
anchorvale_road,5,Anchorvale Road_Cam4_20260106_111047_726_A.jpeg,,53.642,48.759,48.0,10.787,,
anchorvale_road,6,Anchorvale Road_Cam4_20260106_111050_758_A.jpeg,,75.969,64.806,64.0,10.528,,
anchorvale_road,7,Anchorvale Road_Cam4_20260106_111057_371_A.jpeg,,88.543,82.256,82.0,10.456,,
anchorvale_road,8,Anchorvale Road_Cam4_20260106_111100_977_A.jpeg,,98.833,93.688,94.0,9.947,,
anchorvale_road,9,Anchorvale Road_Cam4_20260106_111103_984_A.jpeg,,109.548,104.19,104.0,10.199,,
anchorvale_road,10,Anchorvale Road_Cam4_20260106_111106_987_A.jpeg,,133.294,121.421,122.0,9.096,,
anchorvale_road,11,Anchorvale Road_Cam4_20260106_111114_199_A.jpeg,,144.454,138.874,138.0,9.404,,
anchorvale_road,12,Anchorvale Road_Cam4_20260106_111117_804_A.jpeg,,154.53,149.492,150.0,10.374,,
anchorvale_road,13,Anchorvale Road_Cam4_20260106_111122_611_A.jpeg,,180.979,167.755,168.0,9.465,,
anchorvale_road,14,Anchorvale Road_Cam4_20260106_111144_253_A.jpeg,,204.011,192.495,192.0,9.714,,
anchorvale_road,15,Anchorvale Road_Cam4_20260106_111150_862_A.jpeg,,215.311,209.661,210.0,8.601,-0.313,1.0
anchorvale_road,16,Anchorvale Road_Cam4_20260106_111153_875_A.jpeg,,224.284,219.797,220.0,9.018,5.4,1.0
anchorvale_road,17,Anchorvale Road_Cam4_20260106_111156_277_A.jpeg,,237.454,230.869,230.0,9.03,,
anchorvale_road,18,Anchorvale Road_Cam4_20260106_111200_480_A.jpeg,,243.341,240.397,240.0,9.025,,
anchorvale_road,19,Anchorvale Road_Cam4_20260106_111201_681_A.jpeg,,252.702,248.022,248.0,8.969,-0.112,1.0
anchorvale_road,20,Anchorvale Road_Cam4_20260106_111202_884_A.jpeg,,264.193,258.448,258.0,9.9,,
anchorvale_road,21,Anchorvale Road_Cam4_20260106_111205_287_A.jpeg,,273.868,269.031,270.0,10.349,,
anchorvale_road,22,Anchorvale Road_Cam4_20260106_111208_289_A.jpeg,,285.264,279.566,280.0,9.211,,
anchorvale_road,23,Anchorvale Road_Cam4_20260106_111211_892_A.jpeg,,292.462,288.863,288.0,8.86,,
anchorvale_road,24,Anchorvale Road_Cam4_20260106_111214_898_A.jpeg,,303.767,298.115,,,,
anchorvale_road,25,Anchorvale Road_Cam4_20260106_111220_310_A.jpeg,,315.581,309.674,,,,
anchorvale_road,26,Anchorvale Road_Cam4_20260106_111223_917_A.jpeg,,325.436,320.509,,,,
anchorvale_road,27,Anchorvale Road_Cam4_20260106_111227_524_A.jpeg,,349.082,337.259,,,,
anchorvale_road,28,Anchorvale Road_Cam4_20260106_111234_733_A.jpeg,,359.223,354.152,,,,
anchorvale_road,29,Anchorvale Road_Cam4_20260106_111238_338_A.jpeg,,370.607,364.915,,,,
anchorvale_road,30,Anchorvale Road_Cam4_20260106_111243_143_A.jpeg,,381.653,376.13,,,,
anchorvale_road,31,Anchorvale Road_Cam4_20260106_111247_948_A.jpeg,,404.92,393.287,,,,
anchorvale_road,32,Anchorvale Road_Cam4_20260106_111259_999_A.jpeg,,670.815,537.868,538.0,8.98,0.907,1.0
anchorvale_road,33,Anchorvale Road_Cam4_20260106_113457_429_A.jpeg,,680.409,675.612,,,,
anchorvale_road,34,Anchorvale Road_Cam4_20260106_113459_830_A.jpeg,,715.366,697.888,,,,
anchorvale_road,35,Anchorvale Road_Cam4_20260106_113508_250_A.jpeg,,748.817,732.092,,,,
anchorvale_road,36,Anchorvale Road_Cam4_20260106_113514_858_A.jpeg,,811.083,779.95,,,,
anchorvale_road,37,Anchorvale Road_Cam4_20260106_113646_172_A.jpeg,,817.753,814.418,814.0,8.947,,
anchorvale_road,38,Anchorvale Road_Cam4_20260106_113647_974_A.jpeg,,827.493,822.623,822.0,9.479,,
anchorvale_road,39,Anchorvale Road_Cam4_20260106_113650_979_A.jpeg,,836.125,831.809,832.0,11.228,,
anchorvale_road,40,Anchorvale Road_Cam4_20260106_113653_390_A.jpeg,,848.814,842.469,842.0,12.438,,
anchorvale_road,41,Anchorvale Road_Cam4_20260106_113657_596_A.jpeg,,1078.856,963.835,964.0,9.134,0.0,1.0
anchorvale_road,42,Anchorvale Road_Cam4_20260106_114131_636_A.jpeg,,1089.886,1084.371,1084.0,9.09,,
anchorvale_road,43,Anchorvale Road_Cam4_20260106_114134_039_A.jpeg,,1117.17,1103.528,1104.0,11.606,,
anchorvale_road,44,Anchorvale Road_Cam4_20260106_114140_051_A.jpeg,,1125.523,1121.346,1122.0,10.526,,
anchorvale_road,45,Anchorvale Road_Cam4_20260106_114141_851_A.jpeg,,1133.9,1129.712,1130.0,9.133,,
anchorvale_road,46,Anchorvale Road_Cam4_20260106_114143_652_A.jpeg,,1144.632,1139.266,1140.0,9.284,,
anchorvale_road,47,Anchorvale Road_Cam4_20260106_114146_055_A.jpeg,,1156.176,1150.404,1150.0,9.528,,
anchorvale_road,48,Anchorvale Road_Cam4_20260106_114148_458_A.jpeg,,1164.831,1160.503,1160.0,9.79,,
anchorvale_road,49,Anchorvale Road_Cam4_20260106_114150_266_A.jpeg,,1176.064,1170.447,1170.0,10.053,,
anchorvale_road,50,Anchorvale Road_Cam4_20260106_114152_679_A.jpeg,,1186.291,1181.177,1182.0,9.221,,
anchorvale_road,51,Anchorvale Road_Cam4_20260106_114155_088_A.jpeg,,1193.995,1190.143,1190.0,9.764,,
anchorvale_road,52,Anchorvale Road_Cam4_20260106_114156_892_A.jpeg,,1203.803,1198.899,1198.0,10.386,,
anchorvale_road,53,Anchorvale Road_Cam4_20260106_114159_300_A.jpeg,,1213.229,1208.516,1208.0,9.844,-4.631,1.0
anchorvale_road,54,Anchorvale Road_Cam4_20260106_114202_907_A.jpeg,,1225.094,1219.161,1220.0,9.439,-1.864,1.0
anchorvale_road,55,Anchorvale Road_Cam4_20260106_114207_110_A.jpeg,,1236.784,1230.939,1230.0,9.036,,
anchorvale_road,56,Anchorvale Road_Cam4_20260106_114211_335_A.jpeg,,1245.093,1240.938,1240.0,9.521,,
anchorvale_road,57,Anchorvale Road_Cam4_20260106_114213_743_A.jpeg,,1253.374,1249.233,1250.0,9.464,,
anchorvale_road,58,Anchorvale Road_Cam4_20260106_114215_561_A.jpeg,,1264.778,1259.076,1260.0,9.135,,
anchorvale_road,59,Anchorvale Road_Cam4_20260106_114217_964_A.jpeg,,1273.098,1268.938,1268.0,9.277,,
anchorvale_road,60,Anchorvale Road_Cam4_20260106_114219_766_A.jpeg,,1284.996,1279.047,1280.0,9.464,,
anchorvale_road,61,Anchorvale Road_Cam4_20260106_114222_173_A.jpeg,,1293.766,1289.381,1290.0,11.053,,
anchorvale_road,62,Anchorvale Road_Cam4_20260106_114223_974_A.jpeg,,1305.536,1299.651,1300.0,10.8,,
anchorvale_road,63,Anchorvale Road_Cam4_20260106_114226_384_A.jpeg,,1317.109,1311.322,1312.0,9.521,,
anchorvale_road,64,Anchorvale Road_Cam4_20260106_114228_786_A.jpeg,,1376.771,1346.94,1346.0,8.892,,
anchorvale_road,65,Anchorvale Road_Cam4_20260106_114242_634_A.jpeg,,1389.049,1382.91,1382.0,9.865,-0.874,1.0
anchorvale_road,66,Anchorvale Road_Cam4_20260106_114246_839_A.jpeg,,1662.664,1525.856,1526.0,7.774,0.0,1.0
