path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
buangkok_east_drive,1,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090424_946_B.jpeg,,14.536,7.268,8.0,8.264,,
buangkok_east_drive,2,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090431_555_B.jpeg,,37.191,25.864,26.0,9.634,3.503,1.0
buangkok_east_drive,3,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090440_573_B.jpeg,,48.568,42.88,42.0,9.983,4.141,1.0
buangkok_east_drive,4,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090444_779_B.jpeg,,59.516,54.042,54.0,10.206,,
buangkok_east_drive,5,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090449_005_B.jpeg,,69.781,64.648,64.0,10.422,,
buangkok_east_drive,6,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090453_210_B.jpeg,,92.305,81.043,82.0,10.953,1.362,1.0
buangkok_east_drive,7,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090501_620_B.jpeg,,104.127,98.216,98.0,11.203,,
buangkok_east_drive,8,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090506_427_B.jpeg,,116.19,110.158,110.0,11.27,0.231,1.0
buangkok_east_drive,9,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090510_634_B.jpeg,,126.222,121.206,122.0,11.292,0.544,1.0
buangkok_east_drive,10,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090514_237_B.jpeg,,149.748,137.985,138.0,11.234,-1.194,1.0
buangkok_east_drive,11,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090523_251_B.jpeg,,157.923,153.835,154.0,10.986,-3.464,1.0
buangkok_east_drive,12,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090526_255_B.jpeg,,172.147,165.035,166.0,10.966,,
buangkok_east_drive,13,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090531_662_B.jpeg,,194.88,183.513,184.0,10.674,0.106,1.0
buangkok_east_drive,14,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090539_471_B.jpeg,,208.837,201.859,202.0,10.755,,
buangkok_east_drive,15,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090544_274_B.jpeg,,216.546,212.692,212.0,10.234,,
buangkok_east_drive,16,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090546_678_B.jpeg,,245.364,230.955,230.0,11.259,,
buangkok_east_drive,17,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090554_487_B.jpeg,,257.056,251.21,252.0,10.537,,
buangkok_east_drive,18,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090557_496_B.jpeg,,283.272,270.164,270.0,10.291,,
buangkok_east_drive,19,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090604_704_B.jpeg,,307.406,295.339,296.0,9.963,10.272,2.0
buangkok_east_drive,20,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090610_712_B.jpeg,,319.923,313.664,314.0,10.757,,
buangkok_east_drive,21,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090614_316_B.jpeg,,346.768,333.345,334.0,10.483,,
buangkok_east_drive,22,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090627_550_B.jpeg,,371.883,359.325,360.0,13.03,,
buangkok_east_drive,23,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090635_375_B.jpeg,,383.851,377.867,378.0,13.718,,
buangkok_east_drive,24,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090638_981_B.jpeg,,411.847,397.849,398.0,12.305,,
buangkok_east_drive,25,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090647_395_B.jpeg,,438.118,424.982,424.0,11.723,,
buangkok_east_drive,26,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090655_210_B.jpeg,,446.482,442.3,442.0,11.412,,
buangkok_east_drive,27,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090657_613_B.jpeg,,478.921,462.702,462.0,12.211,,
buangkok_east_drive,28,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090706_626_B.jpeg,,484.438,481.68,482.0,12.513,,
buangkok_east_drive,29,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090708_431_B.jpeg,,512.964,498.701,498.0,12.992,,
buangkok_east_drive,30,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090718_045_B.jpeg,,522.307,517.636,518.0,13.505,4.397,1.0
buangkok_east_drive,31,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090721_048_B.jpeg,,536.01,529.159,530.0,14.55,,
buangkok_east_drive,32,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090725_254_B.jpeg,,628.148,582.079,582.0,16.23,-1.811,1.0
buangkok_east_drive,33,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090757_716_B.jpeg,,635.989,632.068,632.0,13.635,,
buangkok_east_drive,34,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090800_118_B.jpeg,,683.844,659.917,660.0,17.65,,
buangkok_east_drive,35,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090815_145_B.jpeg,,689.657,686.751,686.0,15.145,,
buangkok_east_drive,36,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090816_947_B.jpeg,,699.325,694.491,694.0,14.895,,
buangkok_east_drive,37,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090819_952_B.jpeg,,710.891,705.108,706.0,15.797,,
buangkok_east_drive,38,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090823_557_B.jpeg,,723.646,717.268,718.0,14.516,,
buangkok_east_drive,39,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090827_765_B.jpeg,,747.72,735.683,736.0,14.396,0.0,1.0
buangkok_east_drive,40,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090835_574_B.jpeg,,778.505,763.113,764.0,14.57,,
buangkok_east_drive,41,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090846_990_B.jpeg,,788.402,783.453,784.0,17.114,,
buangkok_east_drive,42,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090850_595_B.jpeg,,817.409,802.905,802.0,16.794,,
buangkok_east_drive,43,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090902_616_B.jpeg,,867.028,842.218,842.0,16.394,,
buangkok_east_drive,44,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090923_044_B.jpeg,,875.539,871.284,872.0,15.516,,
buangkok_east_drive,45,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090926_046_B.jpeg,,907.73,891.635,892.0,15.238,,
buangkok_east_drive,46,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090938_668_B.jpeg,,917.733,912.732,,,,
buangkok_east_drive,47,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090942_273_B.jpeg,,946.445,932.089,932.0,14.565,,
buangkok_east_drive,48,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090951_891_B.jpeg,,972.184,959.314,960.0,14.818,-2.356,1.0
buangkok_east_drive,49,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_090959_703_B.jpeg,,981.564,976.874,976.0,14.306,-3.025,1.0
buangkok_east_drive,50,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091002_105_B.jpeg,,1010.536,996.05,996.0,13.694,-3.744,1.0
buangkok_east_drive,51,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091009_914_B.jpeg,,1020.358,1015.447,1016.0,13.004,,
buangkok_east_drive,52,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091012_320_B.jpeg,,1029.022,1024.69,1024.0,12.382,-7.881,1.0
buangkok_east_drive,53,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091014_724_B.jpeg,,1040.862,1034.942,1034.0,12.022,-2.894,1.0
buangkok_east_drive,54,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091017_727_B.jpeg,,1048.987,1044.924,1044.0,12.056,,
buangkok_east_drive,55,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091019_529_B.jpeg,,1060.427,1054.707,1054.0,11.581,,
buangkok_east_drive,56,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091021_931_B.jpeg,,1069.462,1064.944,1064.0,10.795,-3.044,1.0
buangkok_east_drive,57,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091023_733_B.jpeg,,1079.026,1074.244,1074.0,10.461,-3.325,1.0
buangkok_east_drive,58,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091025_535_B.jpeg,,1107.439,1093.232,1094.0,10.036,-1.525,1.0
buangkok_east_drive,59,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091030_946_B.jpeg,,1118.762,1113.101,1114.0,9.686,-1.125,1.0
buangkok_east_drive,60,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091033_349_B.jpeg,,1144.7,1131.731,1132.0,9.45,-2.763,1.0
buangkok_east_drive,61,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091038_759_B.jpeg,,1153.484,1149.092,1150.0,9.298,-0.525,1.0
buangkok_east_drive,62,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091040_562_B.jpeg,,1182.76,1168.122,1168.0,9.16,-1.062,1.0
buangkok_east_drive,63,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091046_575_B.jpeg,,1191.288,1187.024,1188.0,9.013,-0.469,1.0
buangkok_east_drive,64,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091048_376_B.jpeg,,1201.987,1196.638,1196.0,9.112,1.238,1.0
buangkok_east_drive,65,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091050_780_B.jpeg,,1212.467,1207.227,1208.0,9.0,-1.387,1.0
buangkok_east_drive,66,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091053_184_B.jpeg,,1225.301,1218.884,1218.0,9.032,,
buangkok_east_drive,67,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091056_190_B.jpeg,,1232.882,1229.092,1230.0,9.73,,
buangkok_east_drive,68,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091057_993_B.jpeg,,1242.836,1237.859,1238.0,10.13,,
buangkok_east_drive,69,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091100_397_B.jpeg,,1252.673,1247.754,1248.0,10.63,,
buangkok_east_drive,70,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091102_799_B.jpeg,,1261.281,1256.977,1256.0,11.03,,
buangkok_east_drive,71,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_091105_203_B.jpeg,,2426.969,1844.125,,,,
buangkok_east_drive,72,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_092019_095_B.jpeg,,2457.7,2442.335,2442.0,8.027,,
buangkok_east_drive,73,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_092028_673_B.jpeg,,2469.156,2463.428,2464.0,8.639,,
buangkok_east_drive,74,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_092032_277_B.jpeg,,2480.444,2474.8,2474.0,9.491,,
buangkok_east_drive,75,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_092035_881_B.jpeg,,2486.034,2483.239,2484.0,9.194,-1.042,1.0
buangkok_east_drive,76,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_092037_682_B.jpeg,,2497.349,2491.692,2492.0,9.124,0.049,1.0
buangkok_east_drive,77,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_092041_285_B.jpeg,,2524.921,2511.135,2512.0,9.366,1.028,1.0
buangkok_east_drive,78,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_092050_298_B.jpeg,,2535.378,2530.149,2530.0,9.531,3.195,1.0
buangkok_east_drive,79,Buangkok East Drive_BUANGKOK_EAST_DRIVE_NE1_1Q2026__Cam4_20260124_092053_902_B.jpeg,,2546.628,2541.003,2542.0,9.627,,
