path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
fernvale_link,1,Fernvale Link_Cam4_20260106_092818_632_A.jpeg,,11.501,5.751,,,,
fernvale_link,2,Fernvale Link_Cam4_20260106_092821_641_A.jpeg,,21.723,16.612,,,,
fernvale_link,3,Fernvale Link_Cam4_20260106_092824_644_A.jpeg,,32.323,27.023,,,,
fernvale_link,4,Fernvale Link_Cam4_20260106_092827_652_A.jpeg,,43.436,37.879,,,,
fernvale_link,5,Fernvale Link_Cam4_20260106_092830_655_A.jpeg,,66.932,55.184,,,,
fernvale_link,6,Fernvale Link_Cam4_20260106_092837_264_A.jpeg,,80.584,73.758,74.0,9.294,,
fernvale_link,7,Fernvale Link_Cam4_20260106_092841_470_A.jpeg,,102.021,91.302,92.0,11.509,,
fernvale_link,8,Fernvale Link_Cam4_20260106_092847_483_A.jpeg,,114.63,108.325,108.0,12.899,,
fernvale_link,9,Fernvale Link_Cam4_20260106_092851_088_A.jpeg,,125.46,120.045,120.0,13.664,,
fernvale_link,10,Fernvale Link_Cam4_20260106_092854_095_A.jpeg,,148.878,137.169,138.0,9.969,,
fernvale_link,11,Fernvale Link_Cam4_20260106_092900_111_A.jpeg,,157.695,153.287,154.0,7.248,-0.234,1.0
fernvale_link,12,Fernvale Link_Cam4_20260106_092902_529_A.jpeg,,168.796,163.245,164.0,7.131,0.208,1.0
fernvale_link,13,Fernvale Link_Cam4_20260106_092905_535_A.jpeg,,177.869,173.332,174.0,7.229,,
fernvale_link,14,Fernvale Link_Cam4_20260106_092907_938_A.jpeg,,191.549,184.709,184.0,7.414,,
fernvale_link,15,Fernvale Link_Cam4_20260106_092911_545_A.jpeg,,213.942,202.746,202.0,7.231,0.0,1.0
fernvale_link,16,Fernvale Link_Cam4_20260106_092917_556_A.jpeg,,225.034,219.488,220.0,7.231,-0.833,1.0
fernvale_link,17,Fernvale Link_Cam4_20260106_092920_561_A.jpeg,,236.046,230.54,230.0,7.439,2.188,1.0
fernvale_link,18,Fernvale Link_Cam4_20260106_092923_578_A.jpeg,,247.487,241.767,242.0,7.514,1.042,1.0
fernvale_link,19,Fernvale Link_Cam4_20260106_092926_586_A.jpeg,,254.648,251.068,252.0,7.864,,
fernvale_link,20,Fernvale Link_Cam4_20260106_092928_388_A.jpeg,,279.943,267.295,268.0,7.514,,
fernvale_link,21,Fernvale Link_Cam4_20260106_092934_400_A.jpeg,,292.533,286.238,286.0,7.381,,
fernvale_link,22,Fernvale Link_Cam4_20260106_092937_403_A.jpeg,,302.439,297.486,298.0,7.339,-0.208,1.0
fernvale_link,23,Fernvale Link_Cam4_20260106_092939_805_A.jpeg,,325.881,314.16,314.0,7.373,,
fernvale_link,24,Fernvale Link_Cam4_20260106_092945_816_A.jpeg,,335.781,330.831,330.0,7.814,,
fernvale_link,25,Fernvale Link_Cam4_20260106_092948_821_A.jpeg,,346.034,340.907,340.0,7.348,,
fernvale_link,26,Fernvale Link_Cam4_20260106_092951_823_A.jpeg,,358.908,352.471,352.0,7.514,,
fernvale_link,27,Fernvale Link_Cam4_20260106_092955_427_A.jpeg,,368.217,363.562,364.0,7.031,,
fernvale_link,28,Fernvale Link_Cam4_20260106_092957_830_A.jpeg,,378.954,373.586,374.0,8.396,,
fernvale_link,29,Fernvale Link_Cam4_20260106_093000_833_A.jpeg,,385.556,382.255,382.0,8.859,,
fernvale_link,30,Fernvale Link_Cam4_20260106_093002_636_A.jpeg,,412.706,399.131,400.0,7.845,,
fernvale_link,31,Fernvale Link_Cam4_20260106_093009_869_A.jpeg,,424.339,418.523,418.0,10.151,,
fernvale_link,32,Fernvale Link_Cam4_20260106_093012_878_A.jpeg,,453.218,438.778,438.0,8.673,,
fernvale_link,33,Fernvale Link_Cam4_20260106_093158_103_A.jpeg,,465.425,459.321,460.0,8.375,,
fernvale_link,34,Fernvale Link_Cam4_20260106_093201_717_A.jpeg,,476.447,470.936,470.0,8.853,,
fernvale_link,35,Fernvale Link_Cam4_20260106_093204_725_A.jpeg,,501.337,488.892,488.0,8.481,,
fernvale_link,36,Fernvale Link_Cam4_20260106_093211_941_A.jpeg,,510.716,506.026,506.0,7.371,,
fernvale_link,37,Fernvale Link_Cam4_20260106_093214_344_A.jpeg,,522.849,516.782,516.0,7.515,,
fernvale_link,38,Fernvale Link_Cam4_20260106_093217_351_A.jpeg,,533.615,528.232,528.0,7.6,,
fernvale_link,39,Fernvale Link_Cam4_20260106_093220_355_A.jpeg,,544.102,538.859,538.0,7.735,1.625,1.0
fernvale_link,40,Fernvale Link_Cam4_20260106_093223_358_A.jpeg,,654.14,599.121,600.0,7.932,9.885,2.0
fernvale_link,41,Fernvale Link_Cam4_20260106_093253_420_A.jpeg,,757.498,705.819,706.0,7.198,-0.368,1.0
fernvale_link,42,Fernvale Link_Cam4_20260106_093425_974_A.jpeg,,768.281,762.889,762.0,8.433,,
fernvale_link,43,Fernvale Link_Cam4_20260106_093428_377_A.jpeg,,776.094,772.187,772.0,9.656,,
fernvale_link,44,Fernvale Link_Cam4_20260106_093430_180_A.jpeg,,788.708,782.401,782.0,9.804,,
fernvale_link,45,Fernvale Link_Cam4_20260106_093433_787_A.jpeg,,799.951,794.33,794.0,8.281,,
fernvale_link,46,Fernvale Link_Cam4_20260106_093436_791_A.jpeg,,809.989,804.97,804.0,7.698,,
fernvale_link,47,Fernvale Link_Cam4_20260106_093439_797_A.jpeg,,817.39,813.689,814.0,7.287,,
fernvale_link,48,Fernvale Link_Cam4_20260106_093442_202_A.jpeg,,826.445,821.918,822.0,7.126,,
fernvale_link,49,Fernvale Link_Cam4_20260106_093444_614_A.jpeg,,840.117,833.281,832.0,7.839,,
fernvale_link,50,Fernvale Link_Cam4_20260106_093448_226_A.jpeg,,870.196,855.157,856.0,8.045,,
fernvale_link,51,Fernvale Link_Cam4_20260106_093457_850_A.jpeg,,880.999,875.598,876.0,9.465,,
fernvale_link,52,Fernvale Link_Cam4_20260106_093501_456_A.jpeg,,894.611,887.805,888.0,10.548,,
fernvale_link,53,Fernvale Link_Cam4_20260106_093505_670_A.jpeg,,901.654,898.133,898.0,9.299,,
fernvale_link,54,Fernvale Link_Cam4_20260106_093507_475_A.jpeg,,911.267,906.46,906.0,8.114,,
fernvale_link,55,Fernvale Link_Cam4_20260106_093509_879_A.jpeg,,920.654,915.961,916.0,7.998,,
fernvale_link,56,Fernvale Link_Cam4_20260106_093512_282_A.jpeg,,930.176,925.415,926.0,8.124,,
fernvale_link,57,Fernvale Link_Cam4_20260106_093514_686_A.jpeg,,941.597,935.887,936.0,8.1,,
fernvale_link,58,Fernvale Link_Cam4_20260106_093517_692_A.jpeg,,950.261,945.929,946.0,8.461,,
fernvale_link,59,Fernvale Link_Cam4_20260106_093520_094_A.jpeg,,961.142,955.701,956.0,8.928,,
fernvale_link,60,Fernvale Link_Cam4_20260106_093523_101_A.jpeg,,972.555,966.848,966.0,8.956,,
fernvale_link,61,Fernvale Link_Cam4_20260106_093526_110_A.jpeg,,984.259,978.407,978.0,8.481,-3.259,1.0
fernvale_link,62,Fernvale Link_Cam4_20260106_093529_114_A.jpeg,,991.002,987.631,988.0,8.419,0.636,1.0
fernvale_link,63,Fernvale Link_Cam4_20260106_093530_918_A.jpeg,,1018.585,1004.794,1004.0,8.645,0.77,1.0
fernvale_link,64,Fernvale Link_Cam4_20260106_093538_726_A.jpeg,,1027.41,1022.998,1022.0,9.072,,
fernvale_link,65,Fernvale Link_Cam4_20260106_093541_128_A.jpeg,,1037.882,1032.646,1032.0,8.58,,
fernvale_link,66,Fernvale Link_Cam4_20260106_093544_132_A.jpeg,,1061.972,1049.927,1050.0,8.307,1.67,1.0
fernvale_link,67,Fernvale Link_Cam4_20260106_093550_740_A.jpeg,,1072.282,1067.127,1068.0,8.454,-0.82,1.0
fernvale_link,68,Fernvale Link_Cam4_20260106_093553_744_A.jpeg,,1084.497,1078.389,1078.0,8.349,,
fernvale_link,69,Fernvale Link_Cam4_20260106_093557_347_A.jpeg,,1095.44,1089.968,1090.0,8.57,-1.016,1.0
fernvale_link,70,Fernvale Link_Cam4_20260106_093600_951_A.jpeg,,1101.178,1098.309,1098.0,8.066,,
fernvale_link,71,Fernvale Link_Cam4_20260106_093602_753_A.jpeg,,1112.626,1106.902,1106.0,8.654,,
fernvale_link,72,Fernvale Link_Cam4_20260106_093606_356_A.jpeg,,1136.966,1124.796,,,,
fernvale_link,73,Fernvale Link_Cam4_20260106_093613_567_A.jpeg,,1147.94,1142.453,,,,
fernvale_link,74,Fernvale Link_Cam4_20260106_093616_570_A.jpeg,,1159.343,1153.641,,,,
fernvale_link,75,Fernvale Link_Cam4_20260106_093619_573_A.jpeg,,1166.392,1162.867,,,,
fernvale_link,76,Fernvale Link_Cam4_20260106_093621_375_A.jpeg,,1194.204,1180.298,,,,
fernvale_link,77,Fernvale Link_Cam4_20260106_093629_189_A.jpeg,,1202.976,1198.59,,,,
fernvale_link,78,Fernvale Link_Cam4_20260106_093631_592_A.jpeg,,1216.372,1209.674,,,,
fernvale_link,79,Fernvale Link_Cam4_20260106_093635_194_A.jpeg,,1223.236,1219.804,,,,
fernvale_link,80,Fernvale Link_Cam4_20260106_093636_995_A.jpeg,,1233.332,1228.284,,,,
fernvale_link,81,Fernvale Link_Cam4_20260106_093639_403_A.jpeg,,1241.506,1237.419,,,,
fernvale_link,82,Fernvale Link_Cam4_20260106_093641_205_A.jpeg,,1253.348,1247.427,,,,
fernvale_link,83,Fernvale Link_Cam4_20260106_093644_209_A.jpeg,,1261.487,1257.418,,,,
fernvale_link,84,Fernvale Link_Cam4_20260106_093646_621_A.jpeg,,1272.721,1267.104,,,,
fernvale_link,85,Fernvale Link_Cam4_20260106_093649_625_A.jpeg,,2013.058,1642.89,,,,
fernvale_link,86,Fernvale Link_Cam4_20260107_130214_903_C.jpeg,,2023.031,2018.045,,,,
fernvale_link,87,Fernvale Link_Cam4_20260107_130218_506_C.jpeg,,2032.768,2027.9,,,,
fernvale_link,88,Fernvale Link_Cam4_20260107_130221_509_C.jpeg,,2058.644,2045.706,,,,
fernvale_link,89,Fernvale Link_Cam4_20260107_130228_722_C.jpeg,,2069.722,2064.183,,,,
fernvale_link,90,Fernvale Link_Cam4_20260107_130231_744_C.jpeg,,2081.301,2075.512,,,,
fernvale_link,91,Fernvale Link_Cam4_20260107_130234_746_C.jpeg,,2105.742,2093.522,,,,
fernvale_link,92,Fernvale Link_Cam4_20260107_130240_651_C.jpeg,,2118.319,2112.031,,,,
fernvale_link,93,Fernvale Link_Cam4_20260107_130243_653_C.jpeg,,2125.98,2122.15,,,,
fernvale_link,94,Fernvale Link_Cam4_20260107_130245_454_C.jpeg,,2133.621,2129.801,,,,
fernvale_link,95,Fernvale Link_Cam4_20260107_130247_261_C.jpeg,,2143.793,2138.707,,,,
fernvale_link,96,Fernvale Link_Cam4_20260107_130249_663_C.jpeg,,2153.685,2148.739,,,,
fernvale_link,97,Fernvale Link_Cam4_20260107_130252_064_C.jpeg,,2165.726,2159.705,,,,
