path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
jalan_merdu,1,Jalan Merdu_Cam4_20260126_101120_808_C.jpeg,,10.713,5.356,6.0,15.997,,
jalan_merdu,2,Jalan Merdu_Cam4_20260126_101126_213_C.jpeg,,22.532,16.623,16.0,16.641,6.317,1.0
jalan_merdu,3,Jalan Merdu_Cam4_20260126_101132_221_C.jpeg,,33.308,27.92,28.0,16.779,,
jalan_merdu,4,Jalan Merdu_Cam4_20260126_101227_492_C.jpeg,,41.551,37.43,38.0,17.115,,
jalan_merdu,5,Jalan Merdu_Cam4_20260126_101230_495_C.jpeg,,66.646,54.098,54.0,15.709,,
jalan_merdu,6,Jalan Merdu_Cam4_20260126_101239_504_C.jpeg,,78.689,72.667,72.0,15.965,0.625,1.0
jalan_merdu,7,Jalan Merdu_Cam4_20260126_101244_308_C.jpeg,,89.212,83.951,84.0,16.93,,
jalan_merdu,8,Jalan Merdu_Cam4_20260126_101249_114_C.jpeg,,99.817,94.515,94.0,18.216,,
jalan_merdu,9,Jalan Merdu_Cam4_20260126_101253_921_C.jpeg,,106.403,103.11,104.0,17.824,,
jalan_merdu,10,Jalan Merdu_Cam4_20260126_101256_323_C.jpeg,,133.778,120.091,120.0,16.34,,
jalan_merdu,11,Jalan Merdu_Cam4_20260126_101305_333_C.jpeg,,145.365,139.571,140.0,14.996,,
jalan_merdu,12,Jalan Merdu_Cam4_20260126_101309_540_C.jpeg,,155.448,150.406,150.0,15.048,,
jalan_merdu,13,Jalan Merdu_Cam4_20260126_101313_144_C.jpeg,,166.371,160.91,160.0,14.999,,
jalan_merdu,14,Jalan Merdu_Cam4_20260126_101316_748_C.jpeg,,188.973,177.672,178.0,12.712,,
jalan_merdu,15,Jalan Merdu_Cam4_20260126_101324_555_C.jpeg,,200.595,194.784,194.0,12.247,,
jalan_merdu,16,Jalan Merdu_Cam4_20260126_101328_759_C.jpeg,,210.842,205.719,206.0,11.028,,
jalan_merdu,17,Jalan Merdu_Cam4_20260126_101407_080_C.jpeg,,238.199,224.521,224.0,10.628,,
jalan_merdu,18,Jalan Merdu_Cam4_20260126_101757_302_C.jpeg,,249.021,243.61,244.0,10.752,,
jalan_merdu,19,Jalan Merdu_Cam4_20260126_101803_308_C.jpeg,,260.985,255.003,256.0,11.486,,
jalan_merdu,20,Jalan Merdu_Cam4_20260126_101829_136_C.jpeg,,319.959,290.472,290.0,11.133,,
jalan_merdu,21,Jalan Merdu_Cam4_20260126_101930_173_C.jpeg,,344.706,332.332,332.0,11.883,0.042,1.0
jalan_merdu,22,Jalan Merdu_Cam4_20260126_102003_815_C.jpeg,,356.219,350.462,350.0,12.009,,
jalan_merdu,23,Jalan Merdu_Cam4_20260126_102008_019_C.jpeg,,368.718,362.468,362.0,11.687,,
jalan_merdu,24,Jalan Merdu_Cam4_20260126_102012_826_C.jpeg,,398.356,383.537,384.0,14.733,,
jalan_merdu,25,Jalan Merdu_Cam4_20260126_102026_038_C.jpeg,,413.819,406.087,,,,
jalan_merdu,26,Jalan Merdu_Cam4_20260126_102045_744_C.jpeg,,423.689,418.754,,,,
jalan_merdu,27,Jalan Merdu_Cam4_20260126_102046_950_C.jpeg,,463.987,443.838,444.0,18.915,,
jalan_merdu,28,Jalan Merdu_Cam4_20260126_102150_034_C.jpeg,,472.853,468.42,468.0,13.804,,
jalan_merdu,29,Jalan Merdu_Cam4_20260126_102153_638_C.jpeg,,581.019,526.936,526.0,14.82,,
jalan_merdu,30,Jalan Merdu_Cam4_20260126_102429_801_C.jpeg,,592.672,586.845,586.0,13.627,,
jalan_merdu,31,Jalan Merdu_Cam4_20260126_102437_011_C.jpeg,,603.403,598.038,598.0,14.238,,
jalan_merdu,32,Jalan Merdu_Cam4_20260126_102443_620_C.jpeg,,613.422,608.413,608.0,13.084,,
jalan_merdu,33,Jalan Merdu_Cam4_20260126_102448_424_C.jpeg,,635.815,624.618,624.0,13.369,,
jalan_merdu,34,Jalan Merdu_Cam4_20260126_102504_050_C.jpeg,,646.888,641.351,642.0,13.544,,
jalan_merdu,35,Jalan Merdu_Cam4_20260126_102509_455_C.jpeg,,711.278,679.083,680.0,19.07,,
jalan_merdu,36,Jalan Merdu_Cam4_20260126_102556_805_C.jpeg,,723.269,717.274,718.0,15.709,,
jalan_merdu,37,Jalan Merdu_Cam4_20260126_102601_021_C.jpeg,,730.319,726.794,726.0,15.444,,
jalan_merdu,38,Jalan Merdu_Cam4_20260126_102603_424_C.jpeg,,755.948,743.133,744.0,15.809,,
jalan_merdu,39,Jalan Merdu_Cam4_20260126_102613_037_C.jpeg,,765.595,760.772,760.0,14.963,0.95,1.0
