path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
lorong_tanggam,Lorong Tanggam,0.0,32475.054,42215.533,,27.879,27.879,,,LORONG TANGGAM,36.419
lorong_tanggam,Lorong Tanggam,2.0,32474.181,42217.332,28.852,27.879,27.879,,,LORONG TANGGAM,36.444
lorong_tanggam,Lorong Tanggam,4.0,32473.308,42219.132,28.532,27.879,27.879,,,LORONG TANGGAM,36.469
lorong_tanggam,Lorong Tanggam,6.0,32472.436,42220.931,27.391,27.663,27.663,,,LORONG TANGGAM,36.494
lorong_tanggam,Lorong Tanggam,8.0,32471.563,42222.731,27.744,27.447,27.447,,,LORONG TANGGAM,36.519
lorong_tanggam,Lorong Tanggam,10.0,32470.69,42224.53,26.22,27.231,27.231,,,LORONG TANGGAM,36.544
lorong_tanggam,Lorong Tanggam,12.0,32469.803,42226.322,26.925,26.953,26.953,,,LORONG TANGGAM,36.586
lorong_tanggam,Lorong Tanggam,14.0,32468.867,42228.09,26.719,26.676,26.676,,,LORONG TANGGAM,36.682
lorong_tanggam,Lorong Tanggam,16.0,32467.931,42229.857,26.552,26.398,26.398,,,LORONG TANGGAM,36.778
lorong_tanggam,Lorong Tanggam,18.0,32466.995,42231.625,25.797,26.121,26.171,,,LORONG TANGGAM,36.874
lorong_tanggam,Lorong Tanggam,20.0,32466.059,42233.392,25.472,25.984,26.171,,,LORONG TANGGAM,36.97
lorong_tanggam,Lorong Tanggam,22.0,32465.365,42234.746,24.537,26.171,26.171,,,LORONG TANGGAM,37.023
lorong_tanggam,Lorong Tanggam,24.0,32466.448,42233.064,25.507,26.358,26.358,,,LORONG TANGGAM,36.757
lorong_tanggam,Lorong Tanggam,26.0,32467.531,42231.383,26.492,26.623,26.623,,,LORONG TANGGAM,36.492
lorong_tanggam,Lorong Tanggam,28.0,32468.614,42229.701,26.732,26.889,26.623,,,LORONG TANGGAM,36.226
lorong_tanggam,Lorong Tanggam,30.0,32469.697,42228.02,26.956,26.749,26.623,,,LORONG TANGGAM,35.961
lorong_tanggam,Lorong Tanggam,32.0,32470.78,42226.338,26.712,26.609,26.609,,,LORONG TANGGAM,35.695
lorong_tanggam,Lorong Tanggam,34.0,32471.863,42224.657,28.237,26.469,26.469,,,LORONG TANGGAM,35.43
lorong_tanggam,Lorong Tanggam,36.0,32472.945,42222.975,28.383,26.33,26.33,,,LORONG TANGGAM,35.164
lorong_tanggam,Lorong Tanggam,38.0,32474.028,42221.294,28.25,26.19,26.19,,,LORONG TANGGAM,34.899
lorong_tanggam,Lorong Tanggam,40.0,32475.111,42219.612,28.39,26.05,26.05,,,LORONG TANGGAM,34.633
lorong_tanggam,Lorong Tanggam,42.0,32476.194,42217.931,28.732,25.91,25.91,,,LORONG TANGGAM,34.368
lorong_tanggam,Lorong Tanggam,44.0,32477.277,42216.249,23.355,25.77,25.897,,,LORONG TANGGAM,34.102
lorong_tanggam,Lorong Tanggam,46.0,32478.36,42214.568,23.317,25.63,25.897,,,LORONG TANGGAM,33.837
lorong_tanggam,Lorong Tanggam,48.0,32479.443,42212.886,23.317,25.897,25.897,,,LORONG TANGGAM,33.571
lorong_tanggam,Lorong Tanggam,50.0,32480.526,42211.205,23.242,26.163,26.163,,,LORONG TANGGAM,33.306
lorong_tanggam,Lorong Tanggam,52.0,32481.608,42209.523,31.216,26.532,26.532,,,LORONG TANGGAM,33.04
lorong_tanggam,Lorong Tanggam,54.0,32482.691,42207.842,31.216,26.9,26.9,,,LORONG TANGGAM,32.774
lorong_tanggam,Lorong Tanggam,56.0,32483.774,42206.16,,27.323,27.323,,,LORONG TANGGAM,32.509
lorong_tanggam,Lorong Tanggam,58.0,32484.857,42204.479,29.516,27.747,27.747,,,LORONG TANGGAM,32.243
lorong_tanggam,Lorong Tanggam,60.0,32485.94,42202.797,29.416,28.17,28.17,,,LORONG TANGGAM,31.978
lorong_tanggam,Lorong Tanggam,62.0,32487.023,42201.116,29.466,28.593,28.593,,,LORONG TANGGAM,31.687
lorong_tanggam,Lorong Tanggam,64.0,32488.106,42199.434,30.166,29.016,29.016,,,LORONG TANGGAM,31.397
lorong_tanggam,Lorong Tanggam,66.0,32489.189,42197.753,30.166,29.439,29.439,,,LORONG TANGGAM,31.106
lorong_tanggam,Lorong Tanggam,68.0,32490.272,42196.071,30.189,29.863,29.823,,,LORONG TANGGAM,30.663
lorong_tanggam,Lorong Tanggam,70.0,32491.354,42194.39,24.956,30.006,29.823,,,LORONG TANGGAM,30.056
lorong_tanggam,Lorong Tanggam,72.0,32492.437,42192.708,25.023,29.823,29.823,,,LORONG TANGGAM,29.449
lorong_tanggam,Lorong Tanggam,74.0,32493.52,42191.027,29.639,29.639,29.639,,,LORONG TANGGAM,28.771
lorong_tanggam,Lorong Tanggam,76.0,32494.603,42189.346,26.373,29.365,29.365,,,LORONG TANGGAM,27.591
lorong_tanggam,Lorong Tanggam,78.0,32495.686,42187.664,30.271,29.071,29.071,,,LORONG TANGGAM,26.412
lorong_tanggam,Lorong Tanggam,80.0,32496.769,42185.983,29.689,28.777,28.777,,,LORONG TANGGAM,25.232
lorong_tanggam,Lorong Tanggam,82.0,32497.852,42184.301,28.539,28.585,28.585,,,LORONG TANGGAM,24.052
lorong_tanggam,Lorong Tanggam,84.0,32498.935,42182.62,27.658,28.394,28.394,,,LORONG TANGGAM,22.872
lorong_tanggam,Lorong Tanggam,86.0,32500.017,42180.938,26.325,28.203,28.203,,,LORONG TANGGAM,21.692
lorong_tanggam,Lorong Tanggam,88.0,32501.1,42179.257,26.472,28.012,28.203,,,LORONG TANGGAM,20.512
lorong_tanggam,Lorong Tanggam,90.0,32502.183,42177.575,27.947,28.188,28.188,,,LORONG TANGGAM,19.333
lorong_tanggam,Lorong Tanggam,92.0,32503.266,42175.894,28.522,28.365,28.012,,,LORONG TANGGAM,18.153
lorong_tanggam,Lorong Tanggam,94.0,32504.349,42174.212,28.542,28.006,28.006,,,LORONG TANGGAM,16.973
lorong_tanggam,Lorong Tanggam,96.0,32505.432,42172.531,28.975,27.647,27.647,,,LORONG TANGGAM,15.793
lorong_tanggam,Lorong Tanggam,98.0,32506.515,42170.849,23.692,27.176,27.176,,,LORONG TANGGAM,14.579
lorong_tanggam,Lorong Tanggam,100.0,32507.598,42169.168,25.05,26.704,26.704,,,LORONG TANGGAM,13.343
lorong_tanggam,Lorong Tanggam,102.0,32508.68,42167.486,20.884,26.232,26.232,,,LORONG TANGGAM,12.107
lorong_tanggam,Lorong Tanggam,104.0,32509.763,42165.805,21.521,25.76,25.76,,,LORONG TANGGAM,10.871
lorong_tanggam,Lorong Tanggam,106.0,32510.846,42164.123,21.22,25.27,25.27,,,LORONG TANGGAM,9.635
lorong_tanggam,Lorong Tanggam,108.0,32511.929,42162.442,22.097,24.78,24.78,,,LORONG TANGGAM,8.399
lorong_tanggam,Lorong Tanggam,110.0,32513.012,42160.76,23.313,24.291,24.291,,,LORONG TANGGAM,7.163
lorong_tanggam,Lorong Tanggam,112.0,32514.095,42159.079,21.554,23.801,23.801,,,LORONG TANGGAM,5.927
lorong_tanggam,Lorong Tanggam,114.0,32515.178,42157.397,22.211,23.311,23.311,,,LORONG TANGGAM,4.691
lorong_tanggam,Lorong Tanggam,116.0,32516.261,42155.716,22.107,22.822,22.822,,,LORONG TANGGAM,3.456
lorong_tanggam,Lorong Tanggam,118.0,32517.343,42154.034,22.332,22.332,22.332,,,LORONG TANGGAM,2.22
lorong_tanggam,Lorong Tanggam,120.0,32518.426,42152.353,22.552,22.264,22.264,,,LORONG TANGGAM,0.984
lorong_tanggam,Lorong Tanggam,122.0,32518.97,42152.807,22.542,22.197,22.197,,,LORONG TANGGAM,0.485
lorong_tanggam,Lorong Tanggam,124.0,32519.125,42154.801,22.202,21.975,21.975,,,LORONG TANGGAM,0.518
lorong_tanggam,Lorong Tanggam,126.0,32519.28,42156.795,22.262,21.752,21.752,,,LORONG TANGGAM,0.551
lorong_tanggam,Lorong Tanggam,128.0,32519.435,42158.789,21.132,21.53,21.53,,,LORONG TANGGAM,0.583
lorong_tanggam,Lorong Tanggam,130.0,32519.558,42160.783,21.307,21.307,21.332,,,LORONG TANGGAM,0.648
lorong_tanggam,Lorong Tanggam,132.0,32519.382,42162.775,21.332,21.332,21.307,,,LORONG TANGGAM,1.011
lorong_tanggam,Lorong Tanggam,134.0,32519.205,42164.767,21.067,21.067,21.267,-0.817,1.0,LORONG TANGGAM,1.374
lorong_tanggam,Lorong Tanggam,136.0,32519.028,42166.76,21.167,21.167,21.267,1.37,1.0,LORONG TANGGAM,1.737
lorong_tanggam,Lorong Tanggam,138.0,32518.851,42168.752,21.267,21.267,21.267,2.917,1.0,LORONG TANGGAM,2.1
lorong_tanggam,Lorong Tanggam,140.0,32518.675,42170.744,21.417,21.417,21.417,3.75,1.0,LORONG TANGGAM,2.463
lorong_tanggam,Lorong Tanggam,142.0,32518.801,42172.713,21.5,21.5,21.5,4.688,1.0,LORONG TANGGAM,2.458
lorong_tanggam,Lorong Tanggam,144.0,32519.278,42174.655,21.567,21.567,21.567,5.625,1.0,LORONG TANGGAM,2.096
lorong_tanggam,Lorong Tanggam,146.0,32519.755,42176.598,21.875,21.717,21.717,5.0,1.0,LORONG TANGGAM,1.734
lorong_tanggam,Lorong Tanggam,148.0,32520.231,42178.54,21.867,21.867,21.867,,,LORONG TANGGAM,1.372
lorong_tanggam,Lorong Tanggam,150.0,32520.708,42180.482,21.9,21.9,21.9,,,LORONG TANGGAM,1.01
lorong_tanggam,Lorong Tanggam,152.0,32521.054,42182.445,21.767,22.125,22.125,6.042,1.0,LORONG TANGGAM,0.781
lorong_tanggam,Lorong Tanggam,154.0,32521.198,42184.44,22.35,22.35,22.2,,,LORONG TANGGAM,0.754
lorong_tanggam,Lorong Tanggam,156.0,32521.343,42186.435,22.2,22.2,22.35,,,LORONG TANGGAM,0.727
lorong_tanggam,Lorong Tanggam,158.0,32521.487,42188.43,22.2,22.358,22.358,,,LORONG TANGGAM,0.7
lorong_tanggam,Lorong Tanggam,160.0,32521.631,42190.424,22.0,22.517,22.517,3.542,1.0,LORONG TANGGAM,0.673
lorong_tanggam,Lorong Tanggam,162.0,32521.776,42192.419,22.834,22.675,22.633,,,LORONG TANGGAM,0.647
lorong_tanggam,Lorong Tanggam,164.0,32521.645,42194.413,22.834,22.834,22.633,,,LORONG TANGGAM,0.505
lorong_tanggam,Lorong Tanggam,166.0,32521.488,42196.407,22.767,22.633,22.633,,,LORONG TANGGAM,0.311
lorong_tanggam,Lorong Tanggam,168.0,32521.332,42198.401,22.434,22.434,22.434,-5.417,1.0,LORONG TANGGAM,0.07
lorong_tanggam,Lorong Tanggam,170.0,32521.057,42200.365,22.267,22.267,22.267,-5.104,1.0,LORONG TANGGAM,0.177
lorong_tanggam,Lorong Tanggam,172.0,32520.26,42202.2,22.2,22.2,22.2,-4.792,1.0,LORONG TANGGAM,0.113
lorong_tanggam,Lorong Tanggam,174.0,32519.464,42204.034,22.159,22.159,22.159,-3.438,1.0,LORONG TANGGAM,0.404
