path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
rivervale_crescent,1,Rivervale Crescent_Cam4_20260124_084156_199_C.jpeg,,11.05,5.525,6.0,7.769,,
rivervale_crescent,2,Rivervale Crescent_Cam4_20260124_084159_201_C.jpeg,,20.936,15.993,16.0,8.006,,
rivervale_crescent,3,Rivervale Crescent_Cam4_20260124_084202_806_C.jpeg,,65.438,43.187,44.0,8.271,,
rivervale_crescent,4,Rivervale Crescent_Cam4_20260124_084221_384_C.jpeg,,73.345,69.391,70.0,7.761,1.467,1.0
rivervale_crescent,5,Rivervale Crescent_Cam4_20260124_084224_389_C.jpeg,,101.487,87.416,88.0,7.496,0.644,1.0
rivervale_crescent,6,Rivervale Crescent_Cam4_20260124_084235_203_C.jpeg,,111.188,106.338,106.0,7.698,2.159,1.0
rivervale_crescent,7,Rivervale Crescent_Cam4_20260124_084239_408_C.jpeg,,122.718,116.953,116.0,7.918,,
rivervale_crescent,8,Rivervale Crescent_Cam4_20260124_084243_612_C.jpeg,,164.484,143.601,144.0,7.624,-0.806,1.0
rivervale_crescent,9,Rivervale Crescent_Cam4_20260124_084257_990_C.jpeg,,171.568,168.026,168.0,7.678,0.472,1.0
rivervale_crescent,10,Rivervale Crescent_Cam4_20260124_084300_393_C.jpeg,,180.63,176.099,176.0,7.72,0.334,1.0
rivervale_crescent,11,Rivervale Crescent_Cam4_20260124_084303_395_C.jpeg,,229.396,205.013,206.0,7.854,0.687,1.0
rivervale_crescent,12,Rivervale Crescent_Cam4_20260124_084320_185_C.jpeg,,255.732,242.564,242.0,7.988,0.206,1.0
rivervale_crescent,13,Rivervale Crescent_Cam4_20260124_084330_994_C.jpeg,,322.417,289.075,290.0,7.688,-2.025,1.0
rivervale_crescent,14,Rivervale Crescent_Cam4_20260124_084350_211_C.jpeg,,366.93,344.674,344.0,7.38,-1.113,1.0
rivervale_crescent,15,Rivervale Crescent_Cam4_20260124_084406_388_C.jpeg,,375.87,371.4,372.0,7.173,-0.787,1.0
rivervale_crescent,16,Rivervale Crescent_Cam4_20260124_084409_991_C.jpeg,,384.256,380.063,380.0,7.12,-0.759,1.0
rivervale_crescent,17,Rivervale Crescent_Cam4_20260124_084412_994_C.jpeg,,394.964,389.61,390.0,7.02,-0.391,1.0
rivervale_crescent,18,Rivervale Crescent_Cam4_20260124_084416_599_C.jpeg,,449.766,422.365,422.0,6.893,-0.353,1.0
rivervale_crescent,19,Rivervale Crescent_Cam4_20260124_084434_622_C.jpeg,,459.748,454.757,454.0,6.853,0.141,1.0
rivervale_crescent,20,Rivervale Crescent_Cam4_20260124_084438_230_C.jpeg,,470.784,465.266,466.0,6.857,0.016,1.0
rivervale_crescent,21,Rivervale Crescent_Cam4_20260124_084442_433_C.jpeg,,850.697,660.741,660.0,10.768,-0.726,1.0
rivervale_crescent,22,Rivervale Crescent_Cam4_20260124_084454_945_A.jpeg,,913.102,881.899,,,,
rivervale_crescent,23,Rivervale Crescent_Cam4_20260124_084507_558_A.jpeg,,941.674,927.388,,,,
rivervale_crescent,24,Rivervale Crescent_Cam4_20260124_084512_969_A.jpeg,,1335.775,1138.724,1138.0,7.825,,
rivervale_crescent,25,Rivervale Crescent_Cam4_20260124_084522_650_C.jpeg,,1341.027,1338.401,1338.0,7.077,0.416,1.0
rivervale_crescent,26,Rivervale Crescent_Cam4_20260124_084524_458_C.jpeg,,1351.098,1346.063,1346.0,7.053,-0.406,1.0
rivervale_crescent,27,Rivervale Crescent_Cam4_20260124_084528_062_C.jpeg,,1363.551,1357.324,1358.0,7.178,0.444,1.0
rivervale_crescent,28,Rivervale Crescent_Cam4_20260124_084533_431_C.jpeg,,1391.823,1377.687,1378.0,7.178,-0.187,1.0
rivervale_crescent,29,Rivervale Crescent_Cam4_20260124_084541_841_C.jpeg,,1397.979,1394.901,1394.0,7.165,0.153,1.0
rivervale_crescent,30,Rivervale Crescent_Cam4_20260124_084543_642_C.jpeg,,1408.175,1403.077,1404.0,7.845,,
rivervale_crescent,31,Rivervale Crescent_Cam4_20260124_084546_644_C.jpeg,,1418.356,1413.266,1414.0,8.959,,
rivervale_crescent,32,Rivervale Crescent_Cam4_20260124_084549_649_C.jpeg,,1428.215,1423.286,1424.0,9.445,2.902,1.0
rivervale_crescent,33,Rivervale Crescent_Cam4_20260124_084552_652_C.jpeg,,1437.378,1432.797,1432.0,9.791,3.327,1.0
rivervale_crescent,34,Rivervale Crescent_Cam4_20260124_084555_654_C.jpeg,,1448.797,1443.087,1444.0,9.905,,
rivervale_crescent,35,Rivervale Crescent_Cam4_20260124_084559_859_C.jpeg,,1460.223,1454.51,1454.0,8.66,,
rivervale_crescent,36,Rivervale Crescent_Cam4_20260124_084604_673_C.jpeg,,1627.062,1543.642,1544.0,10.288,,
rivervale_crescent,37,Rivervale Crescent_Cam4_20260124_084612_448_A.jpeg,,1762.274,1694.668,1694.0,10.856,,
rivervale_crescent,38,Rivervale Crescent_Cam4_20260124_084617_891_C.jpeg,,1770.002,1766.138,1766.0,8.755,,
rivervale_crescent,39,Rivervale Crescent_Cam4_20260124_084620_294_C.jpeg,,1780.756,1775.379,1776.0,7.392,,
rivervale_crescent,40,Rivervale Crescent_Cam4_20260124_084623_897_C.jpeg,,1792.66,1786.708,1786.0,8.067,,
rivervale_crescent,41,Rivervale Crescent_Cam4_20260124_084627_501_C.jpeg,,1801.011,1796.835,1796.0,7.572,,
rivervale_crescent,42,Rivervale Crescent_Cam4_20260124_084629_905_C.jpeg,,1853.333,1827.172,1828.0,7.421,,
rivervale_crescent,43,Rivervale Crescent_Cam4_20260124_084644_322_C.jpeg,,1864.878,1859.106,1860.0,10.014,,
rivervale_crescent,44,Rivervale Crescent_Cam4_20260124_084647_926_C.jpeg,,1876.553,1870.716,1870.0,10.013,,
rivervale_crescent,45,Rivervale Crescent_Cam4_20260124_084651_530_C.jpeg,,1885.875,1881.214,1882.0,10.113,,
rivervale_crescent,46,Rivervale Crescent_Cam4_20260124_084654_535_C.jpeg,,1897.681,1891.778,1892.0,10.459,,
rivervale_crescent,47,Rivervale Crescent_Cam4_20260124_084658_740_C.jpeg,,1920.626,1909.154,1910.0,10.636,,
rivervale_crescent,48,Rivervale Crescent_Cam4_20260124_084707_149_C.jpeg,,1930.844,1925.735,1926.0,7.388,,
rivervale_crescent,49,Rivervale Crescent_Cam4_20260124_084710_115_C.jpeg,,1956.671,1943.758,1944.0,7.766,,
rivervale_crescent,50,Rivervale Crescent_Cam4_20260124_084719_127_C.jpeg,,1967.546,1962.109,1962.0,7.726,,
rivervale_crescent,51,Rivervale Crescent_Cam4_20260124_084722_734_C.jpeg,,2000.379,1983.963,1984.0,7.953,,
rivervale_crescent,52,Rivervale Crescent_Cam4_20260124_084734_746_C.jpeg,,2026.689,2013.534,2014.0,8.598,,
rivervale_crescent,53,Rivervale Crescent_Cam4_20260124_084743_761_C.jpeg,,2034.918,2030.803,2030.0,8.548,,
rivervale_crescent,54,Rivervale Crescent_Cam4_20260124_084746_764_C.jpeg,,2390.076,2212.497,,,,
rivervale_crescent,55,Rivervale Crescent_Cam4_20260124_092405_145_C.jpeg,,2434.465,2412.271,2412.0,9.236,,
rivervale_crescent,56,Rivervale Crescent_Cam4_20260124_092420_763_C.jpeg,,2445.013,2439.739,2440.0,11.169,,
rivervale_crescent,57,Rivervale Crescent_Cam4_20260124_092423_772_C.jpeg,,2468.164,2456.589,2456.0,10.548,,
rivervale_crescent,58,Rivervale Crescent_Cam4_20260124_092430_378_C.jpeg,,2478.269,2473.216,2474.0,11.118,,
rivervale_crescent,59,Rivervale Crescent_Cam4_20260124_092433_380_C.jpeg,,2489.515,2483.892,2484.0,12.423,,
rivervale_crescent,60,Rivervale Crescent_Cam4_20260124_092436_383_C.jpeg,,2501.307,2495.411,2496.0,12.562,,
rivervale_crescent,61,Rivervale Crescent_Cam4_20260124_092439_990_C.jpeg,,2523.892,2512.599,2512.0,12.746,,
rivervale_crescent,62,Rivervale Crescent_Cam4_20260124_092447_199_C.jpeg,,2535.416,2529.654,2530.0,13.318,-0.431,1.0
rivervale_crescent,63,Rivervale Crescent_Cam4_20260124_092451_410_C.jpeg,,2547.894,2541.655,2542.0,13.584,3.756,1.0
rivervale_crescent,64,Rivervale Crescent_Cam4_20260124_092456_797_C.jpeg,,2554.874,2551.384,2552.0,13.288,,
rivervale_crescent,65,Rivervale Crescent_Cam4_20260124_092459_200_C.jpeg,,2582.072,2568.473,2568.0,13.288,0.006,1.0
rivervale_crescent,66,Rivervale Crescent_Cam4_20260124_092506_406_C.jpeg,,2639.284,2610.678,2610.0,13.124,0.438,1.0
