path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
begonia_crescent,1,Begonia Crescent_Cam4_20260105_090630_464_C.jpeg,,12.825,6.412,6.0,19.139,,
begonia_crescent,2,Begonia Crescent_Cam4_20260105_090635_742_C.jpeg,,23.615,18.22,18.0,19.632,,
begonia_crescent,3,Begonia Crescent_Cam4_20260105_090639_946_C.jpeg,,47.057,35.336,36.0,20.371,,
begonia_crescent,4,Begonia Crescent_Cam4_20260105_090651_959_C.jpeg,,58.277,52.667,52.0,21.671,8.438,1.0
begonia_crescent,5,Begonia Crescent_Cam4_20260105_090656_164_C.jpeg,,70.475,64.376,64.0,21.823,,
begonia_crescent,6,Begonia Crescent_Cam4_20260105_090700_974_C.jpeg,,80.197,75.336,76.0,22.005,,
begonia_crescent,7,Begonia Crescent_Cam4_20260105_090705_184_C.jpeg,,85.528,82.863,82.0,21.415,,
begonia_crescent,8,Begonia Crescent_Cam4_20260105_090707_585_C.jpeg,,96.48,91.004,92.0,20.499,,
begonia_crescent,9,Begonia Crescent_Cam4_20260105_090723_811_C.jpeg,,120.417,108.448,108.0,20.638,,
begonia_crescent,10,Begonia Crescent_Cam4_20260105_090733_897_C.jpeg,,130.811,125.614,126.0,19.788,-3.229,1.0
begonia_crescent,11,Begonia Crescent_Cam4_20260105_090738_102_C.jpeg,,154.521,142.666,142.0,20.43,,
begonia_crescent,12,Begonia Crescent_Cam4_20260105_090747_110_C.jpeg,,164.916,159.719,160.0,20.366,,
begonia_crescent,13,Begonia Crescent_Cam4_20260105_090750_712_C.jpeg,,188.605,176.76,176.0,20.484,,
begonia_crescent,14,Begonia Crescent_Cam4_20260105_090802_132_C.jpeg,,201.008,194.806,194.0,17.935,,
begonia_crescent,15,Begonia Crescent_Cam4_20260105_090806_336_C.jpeg,,224.432,212.72,212.0,16.832,,
begonia_crescent,16,Begonia Crescent_Cam4_20260105_090821_827_C.jpeg,,235.678,230.055,230.0,15.637,,
begonia_crescent,17,Begonia Crescent_Cam4_20260105_090825_432_C.jpeg,,258.027,246.852,246.0,17.672,,
begonia_crescent,18,Begonia Crescent_Cam4_20260105_090833_247_C.jpeg,,270.651,264.339,264.0,15.932,,
begonia_crescent,19,Begonia Crescent_Cam4_20260105_090837_451_C.jpeg,,296.372,283.511,284.0,16.075,,
begonia_crescent,20,Begonia Crescent_Cam4_20260105_090845_263_C.jpeg,,306.415,301.393,302.0,16.22,,
begonia_crescent,21,Begonia Crescent_Cam4_20260105_090849_466_C.jpeg,,314.785,310.6,310.0,16.226,,
begonia_crescent,22,Begonia Crescent_Cam4_20260105_090854_272_C.jpeg,,324.634,319.71,320.0,17.09,,
begonia_crescent,23,Begonia Crescent_Cam4_20260105_090857_876_C.jpeg,,367.374,346.004,346.0,17.008,,
begonia_crescent,24,Begonia Crescent_Cam4_20260105_090912_894_C.jpeg,,377.708,372.541,372.0,14.535,-0.313,1.0
begonia_crescent,25,Begonia Crescent_Cam4_20260105_090916_499_C.jpeg,,387.973,382.841,382.0,14.735,1.875,1.0
begonia_crescent,26,Begonia Crescent_Cam4_20260105_090920_705_C.jpeg,,422.502,405.238,406.0,14.941,,
begonia_crescent,27,Begonia Crescent_Cam4_20260105_091206_254_C.jpeg,,435.145,428.823,428.0,16.439,,
begonia_crescent,28,Begonia Crescent_Cam4_20260105_091210_458_C.jpeg,,442.079,438.612,438.0,17.098,4.102,1.0
