path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
begonia_terrace,Begonia Terrace,0.0,31230.344,41182.148,17.35,17.35,17.35,,,BEGONIA TERRACE,7.059
begonia_terrace,Begonia Terrace,2.0,31228.435,41182.743,16.666,17.395,17.268,,,BEGONIA TERRACE,7.01
begonia_terrace,Begonia Terrace,4.0,31226.525,41183.337,17.623,17.187,17.187,,,BEGONIA TERRACE,6.962
begonia_terrace,Begonia Terrace,6.0,31224.615,41183.932,17.486,16.897,16.897,,,BEGONIA TERRACE,6.913
begonia_terrace,Begonia Terrace,8.0,31222.706,41184.526,17.53,16.606,16.606,,,BEGONIA TERRACE,6.865
begonia_terrace,Begonia Terrace,10.0,31220.796,41185.121,16.736,16.316,16.316,,,BEGONIA TERRACE,6.816
begonia_terrace,Begonia Terrace,12.0,31218.887,41185.715,14.816,16.026,16.026,,,BEGONIA TERRACE,6.768
begonia_terrace,Begonia Terrace,14.0,31216.95,41186.213,14.625,15.925,15.94,,,BEGONIA TERRACE,6.82
begonia_terrace,Begonia Terrace,16.0,31215.011,41186.703,14.574,15.824,15.94,,,BEGONIA TERRACE,6.88
begonia_terrace,Begonia Terrace,18.0,31213.072,41187.193,15.283,15.94,15.94,,,BEGONIA TERRACE,6.94
begonia_terrace,Begonia Terrace,20.0,31211.133,41187.683,15.174,16.056,15.94,,,BEGONIA TERRACE,6.968
begonia_terrace,Begonia Terrace,22.0,31209.21,41187.157,16.216,16.171,15.94,,,BEGONIA TERRACE,7.177
begonia_terrace,Begonia Terrace,24.0,31207.288,41186.605,15.999,15.925,15.925,,,BEGONIA TERRACE,7.41
begonia_terrace,Begonia Terrace,26.0,31205.365,41186.052,16.358,15.678,15.678,,,BEGONIA TERRACE,7.333
begonia_terrace,Begonia Terrace,28.0,31203.443,41185.5,15.874,15.388,15.388,,,BEGONIA TERRACE,7.064
begonia_terrace,Begonia Terrace,30.0,31201.521,41184.948,16.729,15.099,15.099,,,BEGONIA TERRACE,6.796
begonia_terrace,Begonia Terrace,32.0,31199.614,41184.349,16.479,14.809,14.809,,,BEGONIA TERRACE,6.577
begonia_terrace,Begonia Terrace,34.0,31197.74,41183.652,14.07,14.519,14.519,,,BEGONIA TERRACE,6.461
begonia_terrace,Begonia Terrace,36.0,31195.865,41182.954,13.783,14.23,14.23,,,BEGONIA TERRACE,6.345
begonia_terrace,Begonia Terrace,38.0,31193.991,41182.257,13.57,13.94,13.94,,,BEGONIA TERRACE,6.229
begonia_terrace,Begonia Terrace,40.0,31192.117,41181.559,14.458,13.651,13.811,,,BEGONIA TERRACE,6.114
