path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
bridport_avenue,1,Bridport Avenue_Cam4_20260203_084902_660_B.jpeg,,10.967,5.484,6.0,7.232,-3.456,1.0
bridport_avenue,2,Bridport Avenue_Cam4_20260203_084906_264_B.jpeg,,21.274,16.121,16.0,6.994,,
bridport_avenue,3,Bridport Avenue_Cam4_20260203_084909_268_B.jpeg,,33.95,27.612,28.0,7.344,-3.271,1.0
bridport_avenue,4,Bridport Avenue_Cam4_20260203_084912_873_B.jpeg,,40.33,37.14,38.0,7.115,1.362,1.0
bridport_avenue,5,Bridport Avenue_Cam4_20260203_084914_676_B.jpeg,,67.683,54.006,54.0,7.274,0.794,1.0
bridport_avenue,6,Bridport Avenue_Cam4_20260203_084922_483_B.jpeg,,77.884,72.783,72.0,7.451,1.25,1.0
bridport_avenue,7,Bridport Avenue_Cam4_20260203_084925_486_B.jpeg,,89.89,83.887,84.0,7.624,2.531,1.0
bridport_avenue,8,Bridport Avenue_Cam4_20260203_084929_090_B.jpeg,,95.509,92.699,92.0,7.884,2.906,1.0
bridport_avenue,9,Bridport Avenue_Cam4_20260203_084930_891_B.jpeg,,124.589,110.049,110.0,9.637,,
bridport_avenue,10,Bridport Avenue_Cam4_20260203_084941_104_B.jpeg,,130.954,127.772,128.0,8.47,,
bridport_avenue,11,Bridport Avenue_Cam4_20260203_084943_508_B.jpeg,,140.16,135.557,136.0,8.529,0.887,1.0
bridport_avenue,12,Bridport Avenue_Cam4_20260203_084947_112_B.jpeg,,150.933,145.546,146.0,8.68,,
bridport_avenue,13,Bridport Avenue_Cam4_20260203_084951_316_B.jpeg,,163.62,157.276,158.0,9.941,,
bridport_avenue,14,Bridport Avenue_Cam4_20260203_084955_520_B.jpeg,,171.371,167.495,168.0,10.049,,
bridport_avenue,15,Bridport Avenue_Cam4_20260203_084957_923_B.jpeg,,180.861,176.116,176.0,8.961,,
bridport_avenue,16,Bridport Avenue_Cam4_20260203_085000_924_B.jpeg,,211.997,196.429,,,,
bridport_avenue,17,Bridport Avenue_Cam4_20260203_085011_735_B.jpeg,,235.572,223.784,224.0,9.804,6.228,1.0
bridport_avenue,18,Bridport Avenue_Cam4_20260203_085018_944_B.jpeg,,249.263,242.418,242.0,9.786,,
bridport_avenue,19,Bridport Avenue_Cam4_20260203_085023_750_B.jpeg,,255.789,252.526,252.0,9.509,0.162,1.0
bridport_avenue,20,Bridport Avenue_Cam4_20260203_085026_153_B.jpeg,,266.67,261.23,262.0,9.524,0.388,1.0
bridport_avenue,21,Bridport Avenue_Cam4_20260203_085029_758_B.jpeg,,358.203,312.437,312.0,9.41,-2.188,1.0
bridport_avenue,22,Bridport Avenue_Cam4_20260203_085102_798_B.jpeg,,364.564,361.383,362.0,9.307,-0.038,1.0
bridport_avenue,23,Bridport Avenue_Cam4_20260203_085105_200_B.jpeg,,374.97,369.767,370.0,9.099,-2.563,1.0
bridport_avenue,24,Bridport Avenue_Cam4_20260203_085108_803_B.jpeg,,388.174,381.572,382.0,9.189,0.588,1.0
bridport_avenue,25,Bridport Avenue_Cam4_20260203_085113_617_B.jpeg,,415.028,401.601,402.0,9.051,-0.971,1.0
bridport_avenue,26,Bridport Avenue_Cam4_20260203_085122_027_B.jpeg,,420.397,417.713,418.0,8.955,-1.487,1.0
bridport_avenue,27,Bridport Avenue_Cam4_20260203_085123_829_B.jpeg,,431.953,426.175,426.0,8.843,-1.212,1.0
bridport_avenue,28,Bridport Avenue_Cam4_20260203_085127_433_B.jpeg,,458.116,445.034,446.0,8.886,-0.913,1.0
bridport_avenue,29,Bridport Avenue_Cam4_20260203_085135_842_B.jpeg,,482.642,470.379,470.0,9.726,,
bridport_avenue,30,Bridport Avenue_Cam4_20260203_085144_251_B.jpeg,,492.559,487.601,488.0,9.636,,
bridport_avenue,31,Bridport Avenue_Cam4_20260203_085147_855_B.jpeg,,503.799,498.179,498.0,8.655,,
bridport_avenue,32,Bridport Avenue_Cam4_20260203_085156_266_B.jpeg,,513.476,508.637,508.0,8.544,,
bridport_avenue,33,Bridport Avenue_Cam4_20260203_085201_672_B.jpeg,,536.399,524.938,524.0,9.989,,
bridport_avenue,34,Bridport Avenue_Cam4_20260203_085208_879_B.jpeg,,918.974,727.687,728.0,13.645,1.598,1.0
bridport_avenue,35,Bridport Avenue_Cam4_20260203_085406_029_B.jpeg,,995.136,957.055,958.0,7.737,10.131,2.0
