path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
brighton_avenue,Brighton Avenue,0.0,32210.925,38293.165,16.9,16.9,16.9,0.0,1.0,BRIGHTON AVENUE,5.324
brighton_avenue,Brighton Avenue,2.0,32212.788,38292.437,16.858,16.858,16.879,0.075,1.0,BRIGHTON AVENUE,5.443
brighton_avenue,Brighton Avenue,4.0,32214.651,38291.71,16.904,16.904,16.9,,,BRIGHTON AVENUE,5.561
brighton_avenue,Brighton Avenue,6.0,32216.514,38290.982,16.72,16.72,16.904,,,BRIGHTON AVENUE,5.68
brighton_avenue,Brighton Avenue,8.0,32218.377,38290.255,17.352,16.965,16.965,,,BRIGHTON AVENUE,5.798
brighton_avenue,Brighton Avenue,10.0,32220.24,38289.527,19.068,17.211,17.211,,,BRIGHTON AVENUE,5.917
brighton_avenue,Brighton Avenue,12.0,32222.06,38288.704,18.464,17.457,17.457,,,BRIGHTON AVENUE,5.93
brighton_avenue,Brighton Avenue,14.0,32223.853,38287.816,16.944,17.703,17.684,,,BRIGHTON AVENUE,5.874
brighton_avenue,Brighton Avenue,16.0,32225.645,38286.929,17.707,17.949,17.684,,,BRIGHTON AVENUE,5.818
brighton_avenue,Brighton Avenue,18.0,32227.437,38286.042,18.433,17.684,17.684,,,BRIGHTON AVENUE,5.761
brighton_avenue,Brighton Avenue,20.0,32229.23,38285.155,18.44,17.42,17.42,,,BRIGHTON AVENUE,5.705
brighton_avenue,Brighton Avenue,22.0,32231.022,38284.268,18.458,17.155,17.155,,,BRIGHTON AVENUE,5.649
brighton_avenue,Brighton Avenue,24.0,32232.815,38283.38,16.891,16.891,16.955,,,BRIGHTON AVENUE,5.593
brighton_avenue,Brighton Avenue,26.0,32234.603,38282.484,16.923,16.923,16.955,,,BRIGHTON AVENUE,5.527
brighton_avenue,Brighton Avenue,28.0,32236.391,38281.588,16.955,16.955,16.955,0.762,1.0,BRIGHTON AVENUE,5.461
brighton_avenue,Brighton Avenue,30.0,32238.179,38280.692,16.993,16.993,16.993,0.937,1.0,BRIGHTON AVENUE,5.395
brighton_avenue,Brighton Avenue,32.0,32239.967,38279.796,17.016,17.016,17.016,1.275,1.0,BRIGHTON AVENUE,5.329
brighton_avenue,Brighton Avenue,34.0,32241.755,38278.9,17.03,17.03,17.03,0.837,1.0,BRIGHTON AVENUE,5.263
brighton_avenue,Brighton Avenue,36.0,32243.543,38278.004,17.057,17.057,17.057,0.575,1.0,BRIGHTON AVENUE,5.196
brighton_avenue,Brighton Avenue,38.0,32245.331,38277.108,17.06,17.06,17.06,1.069,1.0,BRIGHTON AVENUE,5.13
brighton_avenue,Brighton Avenue,40.0,32247.119,38276.211,17.062,17.062,17.062,1.562,1.0,BRIGHTON AVENUE,5.064
brighton_avenue,Brighton Avenue,42.0,32248.907,38275.315,17.116,17.116,17.116,3.238,1.0,BRIGHTON AVENUE,4.998
brighton_avenue,Brighton Avenue,44.0,32250.695,38274.419,17.182,17.182,17.182,4.838,1.0,BRIGHTON AVENUE,4.932
brighton_avenue,Brighton Avenue,46.0,32252.483,38273.523,17.319,17.319,17.319,4.181,1.0,BRIGHTON AVENUE,4.866
brighton_avenue,Brighton Avenue,48.0,32254.271,38272.627,17.45,17.45,17.449,3.913,1.0,BRIGHTON AVENUE,4.8
brighton_avenue,Brighton Avenue,50.0,32255.902,38271.482,17.449,17.449,17.45,2.55,1.0,BRIGHTON AVENUE,4.442
brighton_avenue,Brighton Avenue,52.0,32257.477,38270.25,17.495,17.495,17.495,1.65,1.0,BRIGHTON AVENUE,3.982
brighton_avenue,Brighton Avenue,54.0,32259.052,38269.018,17.523,17.523,17.523,2.575,1.0,BRIGHTON AVENUE,3.521
brighton_avenue,Brighton Avenue,56.0,32260.628,38267.786,17.581,17.581,17.581,2.95,1.0,BRIGHTON AVENUE,3.061
brighton_avenue,Brighton Avenue,58.0,32262.24,38266.605,17.656,17.656,17.656,3.513,1.0,BRIGHTON AVENUE,2.663
brighton_avenue,Brighton Avenue,60.0,32263.904,38265.495,17.731,17.731,17.731,3.725,1.0,BRIGHTON AVENUE,2.351
brighton_avenue,Brighton Avenue,62.0,32265.568,38264.386,17.804,17.804,17.804,3.925,1.0,BRIGHTON AVENUE,2.039
brighton_avenue,Brighton Avenue,64.0,32267.232,38263.276,17.879,17.879,17.879,4.25,1.0,BRIGHTON AVENUE,1.728
brighton_avenue,Brighton Avenue,66.0,32268.928,38262.225,17.97,17.97,17.97,4.587,1.0,BRIGHTON AVENUE,1.482
brighton_avenue,Brighton Avenue,68.0,32270.769,38261.444,18.071,18.071,18.071,4.7,1.0,BRIGHTON AVENUE,1.543
brighton_avenue,Brighton Avenue,70.0,32272.61,38260.663,18.171,18.171,18.171,4.35,1.0,BRIGHTON AVENUE,1.603
