path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
burghley_drive,1,Burghley Drive_Cam4_20260202_074825_058_B.jpeg,,10.749,5.374,6.0,21.945,,
burghley_drive,2,Burghley Drive_Cam4_20260202_074914_875_B.jpeg,,128.075,69.412,70.0,17.571,,
burghley_drive,3,Burghley Drive_Cam4_20260202_074928_969_A.jpeg,,326.777,227.426,,,,
burghley_drive,4,Burghley Drive_Cam4_20260202_075033_508_B.jpeg,,337.21,331.994,332.0,20.198,,
burghley_drive,5,Burghley Drive_Cam4_20260202_075037_710_B.jpeg,,388.935,363.073,364.0,18.186,-3.534,1.0
burghley_drive,6,Burghley Drive_Cam4_20260202_075108_347_B.jpeg,,420.804,404.869,404.0,20.693,,
burghley_drive,7,Burghley Drive_Cam4_20260202_075142_580_B.jpeg,,443.334,432.069,432.0,24.215,,
burghley_drive,8,Burghley Drive_Cam4_20260202_075212_614_B.jpeg,,454.554,448.944,448.0,26.457,,
burghley_drive,9,Burghley Drive_Cam4_20260202_075232_437_B.jpeg,,465.341,459.948,460.0,28.231,,
burghley_drive,10,Burghley Drive_Cam4_20260202_075246_250_B.jpeg,,489.784,477.562,478.0,29.528,,
burghley_drive,11,Burghley Drive_Cam4_20260202_075306_628_B.jpeg,,520.054,504.919,504.0,29.182,1.4,1.0
burghley_drive,12,Burghley Drive_Cam4_20260202_075321_643_B.jpeg,,526.985,523.519,524.0,30.014,,
burghley_drive,13,Burghley Drive_Cam4_20260202_075325_248_B.jpeg,,536.202,531.593,532.0,29.45,,
burghley_drive,14,Burghley Drive_Cam4_20260202_075329_451_B.jpeg,,547.166,541.684,542.0,29.005,,
burghley_drive,15,Burghley Drive_Cam4_20260202_075334_858_B.jpeg,,575.394,561.28,562.0,28.41,0.745,1.0
burghley_drive,16,Burghley Drive_Cam4_20260202_075347_477_B.jpeg,,581.791,578.592,578.0,28.408,-3.78,1.0
burghley_drive,17,Burghley Drive_Cam4_20260202_075349_880_B.jpeg,,615.873,598.832,598.0,28.706,,
burghley_drive,18,Burghley Drive_Cam4_20260202_075403_696_B.jpeg,,624.128,620.0,620.0,27.158,,
burghley_drive,19,Burghley Drive_Cam4_20260202_075407_303_B.jpeg,,655.522,639.825,640.0,26.499,-4.838,1.0
burghley_drive,20,Burghley Drive_Cam4_20260202_075423_483_B.jpeg,,662.858,659.19,660.0,25.558,-2.579,1.0
burghley_drive,21,Burghley Drive_Cam4_20260202_075425_886_B.jpeg,,710.529,686.694,686.0,24.696,,
burghley_drive,22,Burghley Drive_Cam4_20260202_075444_506_B.jpeg,,721.045,715.787,716.0,23.362,-5.963,1.0
burghley_drive,23,Burghley Drive_Cam4_20260202_075448_110_B.jpeg,,726.921,723.983,724.0,22.639,-6.887,1.0
burghley_drive,24,Burghley Drive_Cam4_20260202_075449_912_B.jpeg,,737.069,731.995,732.0,22.35,-4.488,1.0
burghley_drive,25,Burghley Drive_Cam4_20260202_075453_516_B.jpeg,,750.506,743.788,744.0,21.618,-5.256,1.0
burghley_drive,26,Burghley Drive_Cam4_20260202_075458_922_B.jpeg,,759.353,754.93,754.0,20.886,-8.662,1.0
burghley_drive,27,Burghley Drive_Cam4_20260202_075502_526_B.jpeg,,767.23,763.292,764.0,20.3,-5.85,1.0
burghley_drive,28,Burghley Drive_Cam4_20260202_075505_530_B.jpeg,,778.515,772.872,772.0,19.697,-7.2,1.0
burghley_drive,29,Burghley Drive_Cam4_20260202_075509_134_B.jpeg,,806.374,792.444,792.0,18.292,,
burghley_drive,30,Burghley Drive_Cam4_20260202_075516_941_B.jpeg,,817.323,811.848,812.0,16.86,-11.066,2.0
burghley_drive,31,Burghley Drive_Cam4_20260202_075519_944_B.jpeg,,823.761,820.542,820.0,16.09,-5.287,1.0
burghley_drive,32,Burghley Drive_Cam4_20260202_075521_747_B.jpeg,,834.829,829.295,830.0,15.601,-6.128,1.0
burghley_drive,33,Burghley Drive_Cam4_20260202_075524_752_B.jpeg,,845.465,840.147,840.0,14.966,-6.25,1.0
burghley_drive,34,Burghley Drive_Cam4_20260202_075527_754_B.jpeg,,854.22,849.842,850.0,14.36,-6.037,1.0
burghley_drive,35,Burghley Drive_Cam4_20260202_075530_757_B.jpeg,,918.043,886.131,886.0,12.584,-9.253,2.0
burghley_drive,36,Burghley Drive_Cam4_20260202_075553_512_B.jpeg,,946.703,932.373,932.0,10.394,-3.988,1.0
burghley_drive,37,Burghley Drive_Cam4_20260202_075602_520_B.jpeg,,957.898,952.3,952.0,9.598,-2.663,1.0
burghley_drive,38,Burghley Drive_Cam4_20260202_075607_326_B.jpeg,,1003.382,980.64,980.0,8.953,-3.225,1.0
burghley_drive,39,Burghley Drive_Cam4_20260202_075627_748_B.jpeg,,1009.94,1006.661,1006.0,7.93,-1.925,1.0
burghley_drive,40,Burghley Drive_Cam4_20260202_075630_150_B.jpeg,,1819.464,1414.702,1414.0,33.387,,
burghley_drive,41,Burghley Drive_Cam4_20260202_080408_769_A.jpeg,,1833.204,1826.334,1826.0,18.15,,
burghley_drive,42,Burghley Drive_Cam4_20260202_080414_776_A.jpeg,,1840.565,1836.885,1836.0,19.314,,
burghley_drive,43,Burghley Drive_Cam4_20260202_080418_263_A.jpeg,,1849.48,1845.022,1846.0,19.642,,
burghley_drive,44,Burghley Drive_Cam4_20260202_080422_467_A.jpeg,,2405.805,2127.642,2128.0,29.123,-1.2,1.0
burghley_drive,45,Burghley Drive_Cam4_20260202_084354_295_B.jpeg,,2446.598,2426.201,2426.0,20.257,7.388,1.0
burghley_drive,46,Burghley Drive_Cam4_20260202_084431_559_B.jpeg,,2488.355,2467.476,2468.0,22.836,5.763,1.0
burghley_drive,47,Burghley Drive_Cam4_20260202_084508_223_B.jpeg,,2528.821,2508.588,2508.0,24.842,4.175,1.0
burghley_drive,48,Burghley Drive_Cam4_20260202_084544_301_B.jpeg,,2583.462,2556.141,2556.0,26.642,3.087,1.0
