path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
cardiff_grove,1,Cardiff Grove_Cam4_20260202_095449_040_A.jpeg,,11.903,5.952,6.0,8.739,,
cardiff_grove,2,Cardiff Grove_Cam4_20260202_095503_476_A.jpeg,,20.214,16.059,16.0,9.751,,
cardiff_grove,3,Cardiff Grove_Cam4_20260202_095507_080_A.jpeg,,46.628,33.421,34.0,11.326,,
cardiff_grove,4,Cardiff Grove_Cam4_20260202_095516_703_A.jpeg,,56.429,51.528,52.0,8.312,,
cardiff_grove,5,Cardiff Grove_Cam4_20260202_095520_306_A.jpeg,,69.92,63.174,64.0,7.333,0.575,1.0
cardiff_grove,6,Cardiff Grove_Cam4_20260202_095525_757_A.jpeg,,94.31,82.115,82.0,8.641,,
cardiff_grove,7,Cardiff Grove_Cam4_20260202_095534_736_A.jpeg,,116.37,105.34,106.0,11.031,,
cardiff_grove,8,Cardiff Grove_Cam4_20260202_095603_042_A.jpeg,,128.709,122.539,122.0,10.364,,
cardiff_grove,9,Cardiff Grove_Cam4_20260202_095609_058_A.jpeg,,157.131,142.92,142.0,11.247,,
cardiff_grove,10,Cardiff Grove_Cam4_20260202_095618_667_A.jpeg,,183.255,170.193,170.0,7.2,-0.875,1.0
cardiff_grove,11,Cardiff Grove_Cam4_20260202_095626_480_A.jpeg,,214.026,198.641,198.0,8.533,,
cardiff_grove,12,Cardiff Grove_Cam4_20260202_095635_500_A.jpeg,,262.813,238.419,,,,
cardiff_grove,13,Cardiff Grove_Cam4_20260202_095654_121_A.jpeg,,273.38,268.096,268.0,7.522,11.132,2.0
cardiff_grove,14,Cardiff Grove_Cam4_20260202_095657_709_A.jpeg,,285.024,279.202,280.0,8.186,,
cardiff_grove,15,Cardiff Grove_Cam4_20260202_095701_888_A.jpeg,,308.594,296.809,296.0,9.443,,
cardiff_grove,16,Cardiff Grove_Cam4_20260202_095710_885_A.jpeg,,318.338,313.466,314.0,8.334,,
cardiff_grove,17,Cardiff Grove_Cam4_20260202_095714_491_A.jpeg,,328.216,323.277,324.0,8.364,2.212,1.0
cardiff_grove,18,Cardiff Grove_Cam4_20260202_095718_102_A.jpeg,,341.981,335.099,336.0,8.771,2.138,1.0
cardiff_grove,19,Cardiff Grove_Cam4_20260202_095723_513_A.jpeg,,347.088,344.535,344.0,8.873,0.812,1.0
cardiff_grove,20,Cardiff Grove_Cam4_20260202_095725_316_A.jpeg,,374.364,360.726,360.0,9.073,1.419,1.0
cardiff_grove,21,Cardiff Grove_Cam4_20260202_095734_347_A.jpeg,,385.643,380.003,380.0,9.344,0.894,1.0
cardiff_grove,22,Cardiff Grove_Cam4_20260202_095737_943_A.jpeg,,397.15,391.396,392.0,9.561,2.75,1.0
cardiff_grove,23,Cardiff Grove_Cam4_20260202_095742_147_A.jpeg,,404.515,400.833,400.0,9.738,1.462,1.0
cardiff_grove,24,Cardiff Grove_Cam4_20260202_095745_256_A.jpeg,,430.794,417.654,418.0,9.558,0.3,1.0
cardiff_grove,25,Cardiff Grove_Cam4_20260202_095754_843_A.jpeg,,441.01,435.902,436.0,9.694,0.475,1.0
cardiff_grove,26,Cardiff Grove_Cam4_20260202_095758_446_A.jpeg,,450.027,445.518,446.0,9.754,0.212,1.0
cardiff_grove,27,Cardiff Grove_Cam4_20260202_095801_450_A.jpeg,,461.343,455.685,456.0,9.766,-0.05,1.0
cardiff_grove,28,Cardiff Grove_Cam4_20260202_095805_061_A.jpeg,,651.925,556.634,556.0,10.446,,
cardiff_grove,29,Cardiff Grove_Cam4_20260202_100923_875_B.jpeg,,672.908,662.416,662.0,8.858,,
cardiff_grove,30,Cardiff Grove_Cam4_20260202_104736_311_A.jpeg,,755.822,714.365,714.0,8.705,,
cardiff_grove,31,Cardiff Grove_Cam4_20260202_104759_854_A.jpeg,,945.762,850.792,850.0,9.698,0.45,1.0
cardiff_grove,32,Cardiff Grove_Cam4_20260202_104856_954_A.jpeg,,956.814,951.288,952.0,10.136,,
cardiff_grove,33,Cardiff Grove_Cam4_20260202_104859_958_A.jpeg,,965.801,961.308,962.0,9.979,,
cardiff_grove,34,Cardiff Grove_Cam4_20260202_104902_361_A.jpeg,,990.211,978.006,978.0,9.907,0.125,1.0
cardiff_grove,35,Cardiff Grove_Cam4_20260202_104908_970_A.jpeg,,1001.149,995.68,996.0,9.991,0.425,1.0
cardiff_grove,36,Cardiff Grove_Cam4_20260202_104911_976_A.jpeg,,1013.093,1007.121,1008.0,10.014,0.213,1.0
cardiff_grove,37,Cardiff Grove_Cam4_20260202_104914_996_A.jpeg,,1023.515,1018.304,1018.0,10.041,0.325,1.0
