path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
chuan_place,Chuan Place,22.0,31812.352,38153.867,20.986,20.986,20.986,,,CHUAN PLACE,12.979
chuan_place,Chuan Place,24.0,31811.155,38152.265,23.021,21.201,20.908,,,CHUAN PLACE,11.797
chuan_place,Chuan Place,26.0,31809.958,38150.663,21.705,20.83,20.83,,,CHUAN PLACE,10.615
chuan_place,Chuan Place,28.0,31808.761,38149.061,27.168,20.46,20.46,,,CHUAN PLACE,9.433
chuan_place,Chuan Place,30.0,31807.564,38147.458,21.556,20.09,20.09,,,CHUAN PLACE,8.251
chuan_place,Chuan Place,32.0,31806.367,38145.856,21.779,19.669,19.669,,,CHUAN PLACE,7.069
chuan_place,Chuan Place,34.0,31805.328,38144.216,16.991,19.248,19.248,,,CHUAN PLACE,6.045
chuan_place,Chuan Place,36.0,31805.662,38142.244,16.759,18.827,18.827,,,CHUAN PLACE,6.397
chuan_place,Chuan Place,38.0,31805.996,38140.272,21.173,18.406,18.406,,,CHUAN PLACE,6.75
chuan_place,Chuan Place,40.0,31806.329,38138.3,16.99,17.985,17.985,,,CHUAN PLACE,7.102
chuan_place,Chuan Place,42.0,31806.663,38136.328,17.294,17.564,17.564,,,CHUAN PLACE,7.454
chuan_place,Chuan Place,44.0,31806.997,38134.356,16.549,17.143,17.297,,,CHUAN PLACE,7.616
chuan_place,Chuan Place,46.0,31808.776,38133.978,18.697,17.22,17.297,,,CHUAN PLACE,7.238
chuan_place,Chuan Place,48.0,31810.771,38133.838,17.162,17.297,17.297,,,CHUAN PLACE,7.098
chuan_place,Chuan Place,50.0,31812.766,38133.699,19.871,17.374,17.374,,,CHUAN PLACE,6.958
chuan_place,Chuan Place,52.0,31814.761,38133.559,19.649,17.451,17.451,,,CHUAN PLACE,6.818
chuan_place,Chuan Place,54.0,31816.756,38133.419,22.388,17.528,17.528,,,CHUAN PLACE,6.677
chuan_place,Chuan Place,56.0,31818.751,38133.28,24.305,17.605,17.605,,,CHUAN PLACE,6.537
chuan_place,Chuan Place,58.0,31820.747,38133.14,24.826,17.682,17.682,,,CHUAN PLACE,6.397
chuan_place,Chuan Place,60.0,31822.742,38133.0,17.026,17.844,17.844,,,CHUAN PLACE,6.257
chuan_place,Chuan Place,62.0,31824.737,38132.861,18.361,18.006,18.006,,,CHUAN PLACE,6.117
chuan_place,Chuan Place,64.0,31826.732,38132.721,18.168,18.245,18.245,,,CHUAN PLACE,5.977
chuan_place,Chuan Place,66.0,31828.727,38132.581,18.06,18.484,18.484,,,CHUAN PLACE,5.837
chuan_place,Chuan Place,68.0,31830.722,38132.442,17.314,18.74,18.74,,,CHUAN PLACE,5.697
chuan_place,Chuan Place,70.0,31832.665,38132.091,19.42,18.996,18.996,,,CHUAN PLACE,5.346
chuan_place,Chuan Place,72.0,31834.493,38131.28,19.646,19.252,19.128,,,CHUAN PLACE,4.534
chuan_place,Chuan Place,74.0,31836.321,38130.468,20.026,19.387,19.128,,,CHUAN PLACE,3.723
chuan_place,Chuan Place,76.0,31838.149,38129.657,18.874,19.128,19.128,,,CHUAN PLACE,3.082
chuan_place,Chuan Place,78.0,31839.977,38128.846,18.869,18.869,18.869,,,CHUAN PLACE,3.531
