path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
colchester_grove,Colchester Grove,0.0,31788.915,37757.966,8.27,7.611,7.611,,,COLCHESTER GROVE,0.788
colchester_grove,Colchester Grove,2.0,31788.69,37755.979,8.414,7.611,7.611,,,COLCHESTER GROVE,0.805
colchester_grove,Colchester Grove,4.0,31788.465,37753.992,7.611,7.611,7.611,,,COLCHESTER GROVE,0.822
colchester_grove,Colchester Grove,6.0,31788.24,37752.004,7.642,7.642,7.611,,,COLCHESTER GROVE,0.877
colchester_grove,Colchester Grove,8.0,31788.015,37750.017,7.682,7.682,7.642,0.795,1.0,COLCHESTER GROVE,0.975
colchester_grove,Colchester Grove,10.0,31787.79,37748.03,7.572,7.572,7.674,-0.478,1.0,COLCHESTER GROVE,1.072
colchester_grove,Colchester Grove,12.0,31787.628,37746.037,7.674,7.674,7.674,,,COLCHESTER GROVE,1.232
colchester_grove,Colchester Grove,14.0,31787.532,37744.04,7.679,7.679,7.572,,,COLCHESTER GROVE,1.458
colchester_grove,Colchester Grove,16.0,31787.435,37742.042,8.124,7.528,7.528,,,COLCHESTER GROVE,1.684
colchester_grove,Colchester Grove,18.0,31787.338,37740.044,8.31,7.377,7.377,,,COLCHESTER GROVE,1.91
colchester_grove,Colchester Grove,20.0,31787.242,37738.047,8.372,7.226,7.226,,,COLCHESTER GROVE,2.135
colchester_grove,Colchester Grove,22.0,31786.508,37736.207,6.906,7.075,7.075,,,COLCHESTER GROVE,1.707
colchester_grove,Colchester Grove,24.0,31785.663,37734.394,6.924,6.924,6.948,,,COLCHESTER GROVE,1.164
colchester_grove,Colchester Grove,26.0,31784.817,37732.582,6.948,6.948,6.945,,,COLCHESTER GROVE,0.62
colchester_grove,Colchester Grove,28.0,31783.971,37730.77,6.945,6.945,6.934,-0.362,1.0,COLCHESTER GROVE,0.077
colchester_grove,Colchester Grove,30.0,31783.125,37728.957,6.934,6.934,6.934,-0.372,1.0,COLCHESTER GROVE,0.467
colchester_grove,Colchester Grove,32.0,31782.279,37727.145,6.915,6.915,6.918,-0.444,1.0,COLCHESTER GROVE,1.01
colchester_grove,Colchester Grove,34.0,31781.405,37725.366,6.918,6.918,6.915,-0.831,1.0,COLCHESTER GROVE,1.587
colchester_grove,Colchester Grove,36.0,31779.486,37724.804,6.898,6.898,6.898,-0.881,1.0,COLCHESTER GROVE,3.25
colchester_grove,Colchester Grove,38.0,31777.566,37724.242,6.868,6.868,6.868,-0.909,1.0,COLCHESTER GROVE,2.361
colchester_grove,Colchester Grove,40.0,31775.647,37723.68,6.848,6.848,6.848,-0.7,1.0,COLCHESTER GROVE,1.473
colchester_grove,Colchester Grove,42.0,31773.683,37723.666,6.83,6.83,6.842,-0.312,1.0,COLCHESTER GROVE,1.117
colchester_grove,Colchester Grove,44.0,31771.697,37723.909,6.826,6.826,6.842,0.419,1.0,COLCHESTER GROVE,1.009
colchester_grove,Colchester Grove,46.0,31769.712,37724.151,6.842,6.842,6.842,0.894,1.0,COLCHESTER GROVE,0.902
colchester_grove,Colchester Grove,48.0,31767.727,37724.394,6.882,6.882,6.882,1.116,1.0,COLCHESTER GROVE,0.794
colchester_grove,Colchester Grove,50.0,31765.742,37724.637,6.914,6.914,6.914,1.256,1.0,COLCHESTER GROVE,0.686
colchester_grove,Colchester Grove,52.0,31763.757,37724.885,6.932,6.932,6.932,0.806,1.0,COLCHESTER GROVE,0.585
colchester_grove,Colchester Grove,54.0,31761.811,37725.346,6.943,6.943,6.943,,,COLCHESTER GROVE,0.699
colchester_grove,Colchester Grove,56.0,31759.865,37725.807,6.946,6.946,6.946,,,COLCHESTER GROVE,0.813
colchester_grove,Colchester Grove,58.0,31757.919,37726.268,8.66,6.952,6.952,,,COLCHESTER GROVE,0.927
colchester_grove,Colchester Grove,60.0,31755.969,37726.711,8.675,6.959,6.959,,,COLCHESTER GROVE,1.022
colchester_grove,Colchester Grove,62.0,31754.002,37727.073,8.39,6.966,6.966,,,COLCHESTER GROVE,1.036
colchester_grove,Colchester Grove,64.0,31752.035,37727.435,8.091,6.972,6.972,,,COLCHESTER GROVE,1.155
colchester_grove,Colchester Grove,66.0,31750.068,37727.797,6.978,6.978,6.978,,,COLCHESTER GROVE,1.276
colchester_grove,Colchester Grove,68.0,31748.101,37728.16,7.02,7.02,7.02,,,COLCHESTER GROVE,1.396
colchester_grove,Colchester Grove,70.0,31746.134,37728.522,7.04,7.04,7.04,,,COLCHESTER GROVE,1.517
colchester_grove,Colchester Grove,72.0,31744.167,37728.884,7.057,7.281,7.281,,,COLCHESTER GROVE,1.637
colchester_grove,Colchester Grove,74.0,31742.229,37729.128,7.08,7.58,7.58,,,COLCHESTER GROVE,1.644
colchester_grove,Colchester Grove,76.0,31740.647,37727.905,8.392,7.88,7.88,,,COLCHESTER GROVE,0.237
colchester_grove,Colchester Grove,78.0,31739.065,37726.681,8.39,8.134,8.134,,,COLCHESTER GROVE,1.17
colchester_grove,Colchester Grove,80.0,31737.483,37725.458,8.913,8.387,8.387,,,COLCHESTER GROVE,2.577
colchester_grove,Colchester Grove,82.0,31739.122,37724.362,8.958,8.64,8.64,,,COLCHESTER GROVE,3.465
colchester_grove,Colchester Grove,84.0,31740.796,37723.268,8.894,8.894,8.894,,,COLCHESTER GROVE,4.347
colchester_grove,Colchester Grove,86.0,31742.471,37722.174,6.933,8.966,8.966,,,COLCHESTER GROVE,5.23
colchester_grove,Colchester Grove,88.0,31744.145,37721.08,7.042,9.038,9.038,1.806,1.0,COLCHESTER GROVE,6.112
colchester_grove,Colchester Grove,90.0,31745.819,37719.986,7.235,9.11,9.038,-0.828,1.0,COLCHESTER GROVE,6.995
colchester_grove,Colchester Grove,92.0,31747.493,37718.892,9.183,9.183,9.038,,,COLCHESTER GROVE,7.877
colchester_grove,Colchester Grove,94.0,31749.167,37717.798,8.9,8.9,8.9,,,COLCHESTER GROVE,8.759
colchester_grove,Colchester Grove,96.0,31750.842,37716.703,9.958,8.75,8.75,,,COLCHESTER GROVE,9.642
colchester_grove,Colchester Grove,98.0,31752.516,37715.609,10.356,8.6,8.6,,,COLCHESTER GROVE,10.511
colchester_grove,Colchester Grove,100.0,31754.19,37714.515,8.659,8.45,8.45,,,COLCHESTER GROVE,11.296
colchester_grove,Colchester Grove,102.0,31755.864,37713.421,11.642,8.3,8.3,,,COLCHESTER GROVE,12.081
colchester_grove,Colchester Grove,104.0,31757.538,37712.327,9.398,8.15,8.15,,,COLCHESTER GROVE,12.866
colchester_grove,Colchester Grove,106.0,31759.213,37711.233,12.442,8.0,8.0,,,COLCHESTER GROVE,13.651
colchester_grove,Colchester Grove,108.0,31760.887,37710.139,11.713,7.85,7.85,,,COLCHESTER GROVE,14.437
colchester_grove,Colchester Grove,110.0,31762.561,37709.045,18.127,7.7,7.7,,,COLCHESTER GROVE,13.329
colchester_grove,Colchester Grove,112.0,31764.235,37707.951,19.084,7.55,7.55,,,COLCHESTER GROVE,11.329
colchester_grove,Colchester Grove,114.0,31765.909,37706.857,13.16,7.4,7.4,,,COLCHESTER GROVE,9.329
colchester_grove,Colchester Grove,116.0,31767.584,37705.762,8.252,7.25,7.25,,,COLCHESTER GROVE,7.329
colchester_grove,Colchester Grove,118.0,31769.258,37704.668,6.745,7.1,7.1,,,COLCHESTER GROVE,5.329
colchester_grove,Colchester Grove,120.0,31770.932,37703.574,7.072,6.95,6.95,,,COLCHESTER GROVE,3.329
colchester_grove,Colchester Grove,122.0,31772.332,37702.421,6.8,6.8,6.801,,,COLCHESTER GROVE,1.527
colchester_grove,Colchester Grove,124.0,31771.262,37700.73,6.798,6.798,6.8,,,COLCHESTER GROVE,1.504
colchester_grove,Colchester Grove,126.0,31770.193,37699.04,6.801,6.801,6.8,0.106,1.0,COLCHESTER GROVE,1.482
colchester_grove,Colchester Grove,128.0,31769.124,37697.35,6.8,6.8,6.801,0.112,1.0,COLCHESTER GROVE,1.459
colchester_grove,Colchester Grove,130.0,31768.055,37695.66,6.81,6.81,6.81,0.112,1.0,COLCHESTER GROVE,1.437
colchester_grove,Colchester Grove,132.0,31766.986,37693.97,6.82,6.82,6.81,-0.097,1.0,COLCHESTER GROVE,1.414
colchester_grove,Colchester Grove,134.0,31765.916,37692.279,6.815,6.815,6.81,-0.244,1.0,COLCHESTER GROVE,1.392
colchester_grove,Colchester Grove,136.0,31764.847,37690.589,6.793,6.793,6.793,-0.462,1.0,COLCHESTER GROVE,1.369
colchester_grove,Colchester Grove,138.0,31763.778,37688.899,6.79,6.79,6.79,-0.481,1.0,COLCHESTER GROVE,1.346
colchester_grove,Colchester Grove,140.0,31762.709,37687.209,6.772,6.772,6.772,-0.422,1.0,COLCHESTER GROVE,1.324
colchester_grove,Colchester Grove,142.0,31761.64,37685.519,6.771,6.771,6.771,-0.462,1.0,COLCHESTER GROVE,1.301
colchester_grove,Colchester Grove,144.0,31760.57,37683.828,6.76,6.76,6.76,-0.25,1.0,COLCHESTER GROVE,1.279
colchester_grove,Colchester Grove,146.0,31759.501,37682.138,6.753,6.753,6.753,-0.25,1.0,COLCHESTER GROVE,1.256
colchester_grove,Colchester Grove,148.0,31758.432,37680.448,6.752,6.752,6.752,-0.106,1.0,COLCHESTER GROVE,1.233
colchester_grove,Colchester Grove,150.0,31757.395,37678.737,6.741,6.741,6.751,-0.025,1.0,COLCHESTER GROVE,1.173
colchester_grove,Colchester Grove,152.0,31756.359,37677.027,6.73,6.73,6.751,0.125,1.0,COLCHESTER GROVE,1.112
colchester_grove,Colchester Grove,154.0,31755.322,37675.317,6.751,6.751,6.751,0.378,1.0,COLCHESTER GROVE,1.052
colchester_grove,Colchester Grove,156.0,31754.285,37673.607,6.762,6.762,6.762,0.675,1.0,COLCHESTER GROVE,0.991
colchester_grove,Colchester Grove,158.0,31753.239,37671.902,6.781,6.781,6.781,1.144,1.0,COLCHESTER GROVE,0.941
colchester_grove,Colchester Grove,160.0,31752.116,37670.247,6.805,6.805,6.805,1.269,1.0,COLCHESTER GROVE,0.983
colchester_grove,Colchester Grove,162.0,31750.993,37668.592,6.842,6.842,6.842,1.084,1.0,COLCHESTER GROVE,1.025
colchester_grove,Colchester Grove,164.0,31749.87,37666.937,6.864,6.864,6.864,0.788,1.0,COLCHESTER GROVE,1.066
colchester_grove,Colchester Grove,166.0,31748.747,37665.282,6.868,6.868,6.868,0.319,1.0,COLCHESTER GROVE,1.108
colchester_grove,Colchester Grove,168.0,31747.624,37663.627,6.878,6.878,6.868,-0.075,1.0,COLCHESTER GROVE,1.15
colchester_grove,Colchester Grove,170.0,31746.501,37661.972,6.869,6.869,6.868,-0.381,1.0,COLCHESTER GROVE,1.192
colchester_grove,Colchester Grove,172.0,31745.378,37660.317,6.858,6.858,6.858,-0.487,1.0,COLCHESTER GROVE,1.233
colchester_grove,Colchester Grove,174.0,31744.255,37658.663,6.824,6.824,6.838,-0.544,1.0,COLCHESTER GROVE,1.275
colchester_grove,Colchester Grove,176.0,31743.132,37657.008,6.829,6.829,6.829,-0.613,1.0,COLCHESTER GROVE,1.317
colchester_grove,Colchester Grove,178.0,31742.009,37655.353,6.838,6.838,6.824,-0.375,1.0,COLCHESTER GROVE,1.359
colchester_grove,Colchester Grove,180.0,31740.886,37653.698,6.809,6.809,6.809,-0.269,1.0,COLCHESTER GROVE,1.4
