path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
corfe_place,CORFE PLACE,0.0,31118.714,38058.685,14.885,14.885,14.811,-1.525,1.0,CORFE PLACE,1.282
corfe_place,CORFE PLACE,2.0,31117.108,38057.492,14.811,14.811,14.78,-2.083,1.0,CORFE PLACE,1.148
corfe_place,CORFE PLACE,4.0,31115.502,38056.3,14.75,14.75,14.75,-2.238,1.0,CORFE PLACE,1.013
corfe_place,CORFE PLACE,6.0,31113.896,38055.108,14.686,14.686,14.686,-2.519,1.0,CORFE PLACE,0.879
corfe_place,CORFE PLACE,8.0,31112.291,38053.915,14.632,14.632,14.632,-2.737,1.0,CORFE PLACE,0.744
corfe_place,CORFE PLACE,10.0,31110.685,38052.723,14.579,14.579,14.579,-2.537,1.0,CORFE PLACE,0.61
corfe_place,CORFE PLACE,12.0,31109.079,38051.531,14.531,14.531,14.531,-2.4,1.0,CORFE PLACE,0.475
corfe_place,CORFE PLACE,14.0,31107.474,38050.338,14.483,14.483,14.483,-2.263,1.0,CORFE PLACE,0.34
corfe_place,CORFE PLACE,16.0,31106.073,38048.92,14.44,14.44,14.44,-2.225,1.0,CORFE PLACE,0.511
corfe_place,CORFE PLACE,18.0,31104.729,38047.439,14.398,14.398,14.398,-2.125,1.0,CORFE PLACE,0.766
corfe_place,CORFE PLACE,20.0,31103.385,38045.958,14.353,14.353,14.353,-2.037,1.0,CORFE PLACE,1.021
corfe_place,CORFE PLACE,22.0,31101.962,38044.554,14.313,14.313,14.313,-1.963,1.0,CORFE PLACE,1.167
corfe_place,CORFE PLACE,24.0,31100.506,38043.182,14.277,14.277,14.277,-1.838,1.0,CORFE PLACE,1.266
corfe_place,CORFE PLACE,26.0,31099.05,38041.811,14.241,14.241,14.241,-1.856,1.0,CORFE PLACE,1.364
corfe_place,CORFE PLACE,28.0,31097.594,38040.44,14.206,14.206,14.206,-2.294,1.0,CORFE PLACE,1.463
corfe_place,CORFE PLACE,30.0,31096.138,38039.069,14.164,14.164,14.164,-2.525,1.0,CORFE PLACE,1.562
corfe_place,CORFE PLACE,32.0,31094.729,38037.651,14.093,14.093,14.093,-2.687,1.0,CORFE PLACE,1.727
corfe_place,CORFE PLACE,34.0,31093.335,38036.216,14.039,14.039,14.039,-2.169,1.0,CORFE PLACE,1.915
corfe_place,CORFE PLACE,36.0,31091.942,38034.781,13.978,13.978,13.991,-1.281,1.0,CORFE PLACE,2.102
corfe_place,CORFE PLACE,38.0,31090.549,38033.346,13.944,13.944,13.991,-0.575,1.0,CORFE PLACE,2.289
corfe_place,CORFE PLACE,40.0,31089.155,38031.912,13.991,13.991,13.991,0.213,1.0,CORFE PLACE,2.477
