path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
cotswold_close,1,Cam4_20260112_092756_763_B.jpeg,COTSWOLD CLOSE,11.509,5.754,,,,
cotswold_close,2,Cam4_20260112_092802_770_B.jpeg,COTSWOLD CLOSE,22.795,17.152,,,,
cotswold_close,3,Cam4_20260112_092807_574_B.jpeg,COTSWOLD CLOSE,46.664,34.729,34.0,12.88,3.4,1.0
cotswold_close,4,Cam4_20260112_092818_396_B.jpeg,COTSWOLD CLOSE,57.982,52.323,52.0,15.923,,
cotswold_close,5,Cam4_20260112_092822_602_B.jpeg,COTSWOLD CLOSE,68.4,63.191,64.0,18.044,,
cotswold_close,6,Cam4_20260112_092826_206_B.jpeg,COTSWOLD CLOSE,91.092,79.746,80.0,15.66,,
cotswold_close,7,Cam4_20260112_092835_216_B.jpeg,COTSWOLD CLOSE,100.736,95.914,96.0,15.454,3.516,1.0
cotswold_close,8,Cam4_20260112_092840_022_B.jpeg,COTSWOLD CLOSE,111.265,106.001,106.0,16.513,,
cotswold_close,9,Cam4_20260112_092844_226_B.jpeg,COTSWOLD CLOSE,121.63,116.447,116.0,18.408,,
cotswold_close,10,Cam4_20260112_092847_864_B.jpeg,COTSWOLD CLOSE,131.32,126.475,126.0,19.486,,
cotswold_close,11,Cam4_20260112_092850_867_B.jpeg,COTSWOLD CLOSE,143.931,137.625,138.0,16.361,,
cotswold_close,12,Cam4_20260112_092854_474_B.jpeg,COTSWOLD CLOSE,167.02,155.476,156.0,14.152,-3.0,1.0
cotswold_close,13,Cam4_20260112_092900_485_B.jpeg,COTSWOLD CLOSE,176.298,171.659,172.0,13.716,-2.388,1.0
cotswold_close,14,Cam4_20260112_092902_894_B.jpeg,COTSWOLD CLOSE,186.461,181.38,182.0,13.537,,
cotswold_close,15,Cam4_20260112_092905_897_B.jpeg,COTSWOLD CLOSE,221.879,204.17,204.0,12.642,,
cotswold_close,16,Cam4_20260112_092919_727_B.jpeg,COTSWOLD CLOSE,232.31,227.094,228.0,10.794,-5.925,1.0
cotswold_close,17,Cam4_20260112_092922_131_B.jpeg,COTSWOLD CLOSE,243.315,237.812,238.0,10.186,,
cotswold_close,18,Cam4_20260112_092924_536_B.jpeg,COTSWOLD CLOSE,253.677,248.496,248.0,9.612,-3.887,1.0
cotswold_close,19,Cam4_20260112_092926_938_B.jpeg,COTSWOLD CLOSE,261.275,257.476,258.0,9.497,0.444,1.0
cotswold_close,20,Cam4_20260112_092928_739_B.jpeg,COTSWOLD CLOSE,289.028,275.151,276.0,9.855,2.875,1.0
cotswold_close,21,Cam4_20260112_092937_751_B.jpeg,COTSWOLD CLOSE,299.687,294.357,294.0,10.553,4.688,1.0
cotswold_close,22,Cam4_20260112_092941_962_B.jpeg,COTSWOLD CLOSE,308.199,303.943,304.0,10.965,3.831,1.0
cotswold_close,23,Cam4_20260112_092944_988_B.jpeg,COTSWOLD CLOSE,322.761,315.48,316.0,11.94,,
cotswold_close,24,Cam4_20260112_092950_393_B.jpeg,COTSWOLD CLOSE,332.842,327.801,328.0,12.107,,
cotswold_close,25,Cam4_20260112_092954_013_B.jpeg,COTSWOLD CLOSE,337.998,335.42,336.0,12.219,,
cotswold_close,26,Cam4_20260112_092955_816_B.jpeg,COTSWOLD CLOSE,348.141,343.069,344.0,12.413,3.241,1.0
cotswold_close,27,Cam4_20260112_092959_421_B.jpeg,COTSWOLD CLOSE,361.404,354.773,354.0,12.887,5.581,1.0
cotswold_close,28,Cam4_20260112_093005_429_B.jpeg,COTSWOLD CLOSE,385.994,373.699,374.0,13.338,,
cotswold_close,29,Cam4_20260112_093016_857_B.jpeg,COTSWOLD CLOSE,396.361,391.177,392.0,13.021,,
cotswold_close,30,Cam4_20260112_093020_494_B.jpeg,COTSWOLD CLOSE,419.554,407.958,408.0,12.272,,
cotswold_close,31,Cam4_20260112_093027_701_B.jpeg,COTSWOLD CLOSE,430.827,425.19,426.0,11.878,-1.344,1.0
