path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
crowhurst_drive,1,Crowhurst Drive_Cam4_20260202_080937_413_B.jpeg,,14.957,7.479,8.0,14.438,,
crowhurst_drive,2,Crowhurst Drive_Cam4_20260202_080942_823_B.jpeg,,20.755,17.856,18.0,15.547,,
crowhurst_drive,3,Crowhurst Drive_Cam4_20260202_080945_226_B.jpeg,,31.436,26.095,26.0,16.747,,
crowhurst_drive,4,Crowhurst Drive_Cam4_20260202_080949_430_B.jpeg,,43.369,37.402,38.0,16.321,,
crowhurst_drive,5,Crowhurst Drive_Cam4_20260202_080954_237_B.jpeg,,69.788,56.579,56.0,17.134,,
crowhurst_drive,6,Crowhurst Drive_Cam4_20260202_081003_849_B.jpeg,,114.42,92.104,92.0,19.176,3.238,1.0
crowhurst_drive,7,Crowhurst Drive_Cam4_20260202_081020_068_B.jpeg,,123.825,119.122,120.0,19.563,0.075,1.0
crowhurst_drive,8,Crowhurst Drive_Cam4_20260202_081023_071_B.jpeg,,212.831,168.328,168.0,19.374,-0.412,1.0
crowhurst_drive,9,Crowhurst Drive_Cam4_20260202_081050_105_B.jpeg,,224.227,218.529,218.0,19.13,-0.144,1.0
crowhurst_drive,10,Crowhurst Drive_Cam4_20260202_081053_707_B.jpeg,,233.27,228.749,228.0,19.091,-1.612,1.0
crowhurst_drive,11,Crowhurst Drive_Cam4_20260202_081056_709_B.jpeg,,244.587,238.929,238.0,18.966,-0.394,1.0
crowhurst_drive,12,Crowhurst Drive_Cam4_20260202_081100_312_B.jpeg,,252.609,248.598,248.0,18.949,-0.25,1.0
crowhurst_drive,13,Crowhurst Drive_Cam4_20260202_081102_720_B.jpeg,,285.392,269.0,270.0,18.886,-0.025,1.0
crowhurst_drive,14,Crowhurst Drive_Cam4_20260202_081112_334_B.jpeg,,295.596,290.494,290.0,18.886,-0.025,1.0
crowhurst_drive,15,Crowhurst Drive_Cam4_20260202_081115_339_B.jpeg,,306.036,300.816,300.0,18.929,0.756,1.0
crowhurst_drive,16,Crowhurst Drive_Cam4_20260202_081118_941_B.jpeg,,314.899,310.468,310.0,18.995,0.162,1.0
crowhurst_drive,17,Crowhurst Drive_Cam4_20260202_081121_944_B.jpeg,,351.676,333.287,334.0,18.946,0.075,1.0
crowhurst_drive,18,Crowhurst Drive_Cam4_20260202_081133_962_B.jpeg,,360.685,356.18,356.0,19.008,-0.15,1.0
crowhurst_drive,19,Crowhurst Drive_Cam4_20260202_081136_965_B.jpeg,,390.695,375.69,376.0,19.141,1.012,1.0
crowhurst_drive,20,Crowhurst Drive_Cam4_20260202_081146_578_B.jpeg,,401.512,396.103,396.0,19.036,-0.087,1.0
crowhurst_drive,21,Crowhurst Drive_Cam4_20260202_081149_580_B.jpeg,,409.842,405.677,406.0,19.017,-0.725,1.0
crowhurst_drive,22,Crowhurst Drive_Cam4_20260202_081151_944_B.jpeg,,419.179,414.511,414.0,18.978,0.15,1.0
crowhurst_drive,23,Crowhurst Drive_Cam4_20260202_081154_946_B.jpeg,,445.315,432.247,432.0,18.965,,
crowhurst_drive,24,Crowhurst Drive_Cam4_20260202_081203_961_B.jpeg,,456.243,450.779,450.0,18.828,-0.875,1.0
crowhurst_drive,25,Crowhurst Drive_Cam4_20260202_081207_567_B.jpeg,,465.21,460.727,460.0,18.773,,
crowhurst_drive,26,Crowhurst Drive_Cam4_20260202_081210_570_B.jpeg,,475.32,470.265,470.0,19.573,,
crowhurst_drive,27,Crowhurst Drive_Cam4_20260202_081214_173_B.jpeg,,486.713,481.016,482.0,18.617,,
crowhurst_drive,28,Crowhurst Drive_Cam4_20260202_081218_378_B.jpeg,,498.385,492.549,492.0,18.528,,
crowhurst_drive,29,Crowhurst Drive_Cam4_20260202_081223_781_B.jpeg,,559.82,529.103,530.0,18.761,,
crowhurst_drive,30,Crowhurst Drive_Cam4_20260202_081247_813_B.jpeg,,672.478,616.149,616.0,19.09,0.813,1.0
