path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
dedap_link,Dedap Link,2.0,31738.344,41095.525,16.745,17.662,17.662,,,DEDAP LINK,8.456
dedap_link,Dedap Link,4.0,31739.23,41097.319,17.662,17.662,17.537,,,DEDAP LINK,7.843
dedap_link,Dedap Link,6.0,31740.115,41099.112,17.637,17.412,17.412,,,DEDAP LINK,7.23
dedap_link,Dedap Link,8.0,31741.0,41100.905,18.354,17.162,17.162,,,DEDAP LINK,6.617
dedap_link,Dedap Link,10.0,31741.886,41102.699,16.912,16.912,17.162,,,DEDAP LINK,6.004
dedap_link,Dedap Link,12.0,31742.765,41104.494,16.662,16.94,17.162,,,DEDAP LINK,5.398
dedap_link,Dedap Link,14.0,31742.982,41106.482,16.695,17.165,17.165,,,DEDAP LINK,5.474
dedap_link,Dedap Link,16.0,31743.199,41108.47,16.712,17.47,17.47,,,DEDAP LINK,5.551
dedap_link,Dedap Link,18.0,31743.416,41110.458,17.095,17.774,17.774,,,DEDAP LINK,5.628
dedap_link,Dedap Link,20.0,31743.633,41112.446,20.119,18.078,18.078,,,DEDAP LINK,5.705
dedap_link,Dedap Link,22.0,31743.911,41114.427,19.569,18.382,18.382,,,DEDAP LINK,5.72
dedap_link,Dedap Link,24.0,31744.192,41116.407,19.599,18.687,18.687,,,DEDAP LINK,5.732
dedap_link,Dedap Link,26.0,31744.474,41118.387,19.269,18.991,18.991,,,DEDAP LINK,5.744
dedap_link,Dedap Link,28.0,31744.755,41120.367,19.929,19.295,19.295,,,DEDAP LINK,5.756
dedap_link,Dedap Link,30.0,31745.095,41122.337,20.46,19.599,19.599,,,DEDAP LINK,5.708
dedap_link,Dedap Link,32.0,31745.507,41124.294,20.235,19.904,19.599,,,DEDAP LINK,5.588
dedap_link,Dedap Link,34.0,31745.919,41126.251,20.46,19.621,19.599,,,DEDAP LINK,5.467
dedap_link,Dedap Link,36.0,31746.331,41128.208,20.231,19.338,19.338,,,DEDAP LINK,5.346
dedap_link,Dedap Link,38.0,31746.743,41130.166,20.427,19.093,19.093,,,DEDAP LINK,5.226
dedap_link,Dedap Link,40.0,31747.113,41132.13,18.219,18.847,18.847,,,DEDAP LINK,5.148
dedap_link,Dedap Link,42.0,31747.369,41134.113,18.16,18.601,18.601,,,DEDAP LINK,5.185
dedap_link,Dedap Link,44.0,31747.625,41136.097,18.135,18.356,18.601,,,DEDAP LINK,5.222
dedap_link,Dedap Link,46.0,31747.881,41138.08,18.552,18.552,18.601,,,DEDAP LINK,5.26
dedap_link,Dedap Link,48.0,31748.137,41140.064,18.636,18.636,18.636,,,DEDAP LINK,5.297
dedap_link,Dedap Link,50.0,31748.394,41142.047,18.736,18.736,18.736,,,DEDAP LINK,5.335
dedap_link,Dedap Link,52.0,31748.62,41144.034,18.817,18.817,18.817,,,DEDAP LINK,5.402
dedap_link,Dedap Link,54.0,31748.819,41146.025,19.483,18.911,18.911,,,DEDAP LINK,5.497
dedap_link,Dedap Link,56.0,31749.017,41148.015,20.195,19.005,19.005,2.822,1.0,DEDAP LINK,5.593
dedap_link,Dedap Link,58.0,31749.215,41150.005,20.183,19.098,19.043,,,DEDAP LINK,5.688
dedap_link,Dedap Link,60.0,31749.523,41151.377,19.192,19.192,19.043,,,DEDAP LINK,5.585
dedap_link,Dedap Link,62.0,31750.394,41149.576,19.561,19.043,19.043,,,DEDAP LINK,4.459
dedap_link,Dedap Link,64.0,31751.266,41147.776,19.189,18.894,18.894,-3.604,1.0,DEDAP LINK,3.333
dedap_link,Dedap Link,66.0,31752.137,41145.976,19.292,18.744,18.861,,,DEDAP LINK,2.208
dedap_link,Dedap Link,68.0,31753.008,41144.175,18.595,18.595,18.755,,,DEDAP LINK,1.082
dedap_link,Dedap Link,70.0,31753.879,41142.375,18.861,18.861,18.744,,,DEDAP LINK,0.043
dedap_link,Dedap Link,72.0,31754.75,41140.575,18.755,18.755,18.718,,,DEDAP LINK,1.169
dedap_link,Dedap Link,74.0,31755.621,41138.774,18.43,18.718,18.718,-0.329,1.0,DEDAP LINK,2.294
dedap_link,Dedap Link,76.0,31756.492,41136.974,18.808,18.682,18.718,,,DEDAP LINK,3.42
dedap_link,Dedap Link,78.0,31757.363,41135.174,18.645,18.645,18.718,,,DEDAP LINK,4.546
dedap_link,Dedap Link,80.0,31758.234,41133.373,18.432,18.87,18.87,,,DEDAP LINK,5.671
dedap_link,Dedap Link,82.0,31759.106,41131.573,18.925,19.094,18.87,,,DEDAP LINK,6.797
dedap_link,Dedap Link,84.0,31759.977,41129.773,20.86,18.883,18.87,,,DEDAP LINK,7.922
dedap_link,Dedap Link,86.0,31760.848,41127.972,21.335,18.672,18.672,,,DEDAP LINK,9.048
dedap_link,Dedap Link,88.0,31761.719,41126.172,21.081,18.461,18.461,,,DEDAP LINK,10.174
dedap_link,Dedap Link,90.0,31762.59,41124.372,21.047,18.25,18.25,,,DEDAP LINK,11.299
dedap_link,Dedap Link,92.0,31763.461,41122.571,20.775,18.039,18.039,,,DEDAP LINK,12.425
dedap_link,Dedap Link,142.0,31756.954,41095.695,19.66,17.828,17.828,,,DEDAP LINK,9.927
dedap_link,Dedap Link,144.0,31755.794,41094.066,19.285,17.617,17.617,,,DEDAP LINK,9.019
dedap_link,Dedap Link,146.0,31754.635,41092.436,17.029,17.406,17.406,,,DEDAP LINK,8.112
dedap_link,Dedap Link,148.0,31753.476,41090.806,16.629,17.195,17.195,,,DEDAP LINK,7.204
dedap_link,Dedap Link,150.0,31752.472,41089.099,17.02,16.984,16.984,,,DEDAP LINK,6.461
dedap_link,Dedap Link,152.0,31751.87,41087.192,16.329,16.773,16.773,,,DEDAP LINK,6.145
dedap_link,Dedap Link,154.0,31751.267,41085.285,18.387,16.562,16.562,,,DEDAP LINK,5.828
dedap_link,Dedap Link,156.0,31750.665,41083.378,16.795,16.437,16.437,,,DEDAP LINK,5.565
