path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
dedap_place,1,Dedap Place_Cam4_20260106_075817_187_C.jpeg,,11.266,5.633,,,,
dedap_place,2,Dedap Place_Cam4_20260106_075821_993_C.jpeg,,39.525,25.395,26.0,19.091,,
dedap_place,3,Dedap Place_Cam4_20260106_075841_689_C.jpeg,,52.682,46.103,46.0,17.019,,
dedap_place,4,Dedap Place_Cam4_20260106_075848_179_C.jpeg,,59.927,56.305,56.0,16.53,-3.248,1.0
dedap_place,5,Dedap Place_Cam4_20260106_075851_783_C.jpeg,,69.942,64.934,64.0,15.992,,
dedap_place,6,Dedap Place_Cam4_20260106_075857_188_C.jpeg,,80.037,74.99,74.0,14.607,,
dedap_place,7,Dedap Place_Cam4_20260106_075901_392_C.jpeg,,89.686,84.862,84.0,14.541,-1.432,1.0
dedap_place,8,Dedap Place_Cam4_20260106_075905_596_C.jpeg,,99.282,94.484,94.0,14.187,-3.594,1.0
dedap_place,9,Dedap Place_Cam4_20260106_075909_197_C.jpeg,,110.857,105.07,106.0,13.808,-2.188,1.0
dedap_place,10,Dedap Place_Cam4_20260106_075912_801_C.jpeg,,118.942,114.9,114.0,13.67,-6.406,1.0
dedap_place,11,Dedap Place_Cam4_20260106_075915_205_C.jpeg,,133.83,126.386,126.0,12.92,,
dedap_place,12,Dedap Place_Cam4_20260106_075921_212_C.jpeg,,139.442,136.636,136.0,12.542,,
dedap_place,13,Dedap Place_Cam4_20260106_075924_816_C.jpeg,,149.64,144.541,144.0,12.352,,
dedap_place,14,Dedap Place_Cam4_20260106_075933_224_C.jpeg,,158.924,154.282,154.0,11.515,,
dedap_place,15,Dedap Place_Cam4_20260106_075937_428_C.jpeg,,167.661,163.293,164.0,11.323,,
dedap_place,16,Dedap Place_Cam4_20260106_075942_833_C.jpeg,,177.735,172.698,172.0,12.21,,
dedap_place,17,Dedap Place_Cam4_20260106_075948_242_C.jpeg,,189.265,183.5,184.0,13.231,,
dedap_place,18,Dedap Place_Cam4_20260106_075953_648_C.jpeg,,201.1,195.183,196.0,14.866,,
dedap_place,19,Dedap Place_Cam4_20260106_080009_866_C.jpeg,,223.415,212.257,212.0,16.595,,
dedap_place,20,Dedap Place_Cam4_20260106_080021_277_C.jpeg,,232.139,227.777,228.0,14.816,,
dedap_place,21,Dedap Place_Cam4_20260106_080026_083_C.jpeg,,241.912,237.026,238.0,13.648,,
dedap_place,22,Dedap Place_Cam4_20260106_080030_288_C.jpeg,,251.985,246.948,246.0,13.032,,
dedap_place,23,Dedap Place_Cam4_20260106_080043_979_C.jpeg,,261.803,256.894,256.0,12.565,,
dedap_place,24,Dedap Place_Cam4_20260106_080049_384_C.jpeg,,267.448,264.625,264.0,12.382,,
dedap_place,25,Dedap Place_Cam4_20260106_080055_390_C.jpeg,,276.242,271.845,272.0,13.123,,
dedap_place,26,Dedap Place_Cam4_20260106_080058_994_C.jpeg,,286.973,281.607,282.0,12.865,-4.583,1.0
dedap_place,27,Dedap Place_Cam4_20260106_080103_199_C.jpeg,,299.77,293.371,294.0,13.315,4.688,1.0
dedap_place,28,Dedap Place_Cam4_20260106_080107_879_C.jpeg,,307.474,303.622,304.0,14.084,,
dedap_place,29,Dedap Place_Cam4_20260106_080110_881_C.jpeg,,319.969,313.722,314.0,15.433,,
dedap_place,30,Dedap Place_Cam4_20260106_080118_089_C.jpeg,,326.939,323.454,324.0,16.062,,
dedap_place,31,Dedap Place_Cam4_20260106_080121_093_C.jpeg,,335.714,331.327,332.0,16.682,,
