path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
grace_park,1,Grace Park_Cam4_20260202_104007_673_C.jpeg,,14.086,7.043,8.0,11.827,0.631,1.0
grace_park,2,Grace Park_Cam4_20260202_104015_044_C.jpeg,,37.84,25.963,26.0,12.906,,
grace_park,3,Grace Park_Cam4_20260202_104027_483_C.jpeg,,47.405,42.623,42.0,12.701,,
grace_park,4,Grace Park_Cam4_20260202_104031_819_C.jpeg,,60.51,53.958,54.0,12.935,4.587,1.0
grace_park,5,Grace Park_Cam4_20260202_104038_042_C.jpeg,,83.375,71.943,72.0,13.984,5.363,1.0
grace_park,6,Grace Park_Cam4_20260202_104050_855_C.jpeg,,95.245,89.31,90.0,15.068,6.337,1.0
grace_park,7,Grace Park_Cam4_20260202_104057_790_C.jpeg,,106.636,100.94,100.0,15.667,5.875,1.0
grace_park,8,Grace Park_Cam4_20260202_104103_923_C.jpeg,,113.334,109.985,110.0,16.279,5.156,1.0
grace_park,9,Grace Park_Cam4_20260202_104107_534_C.jpeg,,140.801,127.067,128.0,17.074,3.431,1.0
grace_park,10,Grace Park_Cam4_20260202_104121_007_C.jpeg,,152.198,146.499,146.0,17.535,1.475,1.0
grace_park,11,Grace Park_Cam4_20260202_104125_980_C.jpeg,,158.728,155.463,156.0,17.59,-1.087,1.0
grace_park,12,Grace Park_Cam4_20260202_104130_930_C.jpeg,,262.406,210.567,210.0,16.1,,
