path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
hemsley_avenue,Hemsley Avenue,4.0,31685.917,38869.522,6.832,6.832,6.704,,,HEMSLEY AVENUE,7.068
hemsley_avenue,Hemsley Avenue,6.0,31686.061,38871.517,6.7,6.7,6.706,,,HEMSLEY AVENUE,5.663
hemsley_avenue,Hemsley Avenue,8.0,31686.204,38873.512,6.403,6.704,6.704,,,HEMSLEY AVENUE,4.259
hemsley_avenue,Hemsley Avenue,10.0,31686.348,38875.507,6.266,6.709,6.7,,,HEMSLEY AVENUE,2.854
hemsley_avenue,Hemsley Avenue,12.0,31686.42,38877.503,7.015,6.438,6.438,,,HEMSLEY AVENUE,1.503
hemsley_avenue,Hemsley Avenue,14.0,31686.376,38879.503,7.358,6.167,6.167,,,HEMSLEY AVENUE,0.237
hemsley_avenue,Hemsley Avenue,16.0,31686.333,38881.502,7.371,5.896,5.896,,,HEMSLEY AVENUE,1.028
hemsley_avenue,Hemsley Avenue,18.0,31686.289,38883.502,5.275,5.625,5.625,,,HEMSLEY AVENUE,2.293
hemsley_avenue,Hemsley Avenue,20.0,31686.245,38885.501,5.354,5.354,5.383,,,HEMSLEY AVENUE,3.558
hemsley_avenue,Hemsley Avenue,22.0,31685.92,38887.393,5.383,5.383,5.354,,,HEMSLEY AVENUE,4.539
hemsley_avenue,Hemsley Avenue,24.0,31684.614,38888.908,5.345,5.345,5.354,,,HEMSLEY AVENUE,4.53
hemsley_avenue,Hemsley Avenue,26.0,31683.308,38890.423,5.351,5.351,5.383,,,HEMSLEY AVENUE,4.52
hemsley_avenue,Hemsley Avenue,28.0,31682.002,38891.938,5.361,5.588,5.588,8.841,2.0,HEMSLEY AVENUE,4.511
hemsley_avenue,Hemsley Avenue,30.0,31680.697,38893.453,5.315,5.825,5.825,,,HEMSLEY AVENUE,4.502
