path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jalan_girang,Jalan Girang,2.0,31749.72,36792.066,11.257,8.942,8.942,,,JALAN GIRANG,9.704
jalan_girang,Jalan Girang,4.0,31748.811,36790.285,10.704,8.942,8.942,,,JALAN GIRANG,8.676
jalan_girang,Jalan Girang,6.0,31747.902,36788.504,8.942,8.942,8.942,,,JALAN GIRANG,7.649
jalan_girang,Jalan Girang,8.0,31746.993,36786.722,8.81,8.851,8.851,,,JALAN GIRANG,6.617
jalan_girang,Jalan Girang,10.0,31746.26,36784.901,8.76,8.76,8.76,-2.806,1.0,JALAN GIRANG,5.732
jalan_girang,Jalan Girang,12.0,31746.316,36782.902,10.549,8.738,8.738,-1.938,1.0,JALAN GIRANG,5.619
jalan_girang,Jalan Girang,14.0,31746.373,36780.903,10.814,8.717,8.717,-1.202,1.0,JALAN GIRANG,5.506
jalan_girang,Jalan Girang,16.0,31746.43,36778.904,8.696,8.696,8.696,-0.934,1.0,JALAN GIRANG,5.393
jalan_girang,Jalan Girang,18.0,31746.487,36776.905,8.664,8.664,8.664,-0.666,1.0,JALAN GIRANG,5.28
jalan_girang,Jalan Girang,20.0,31746.544,36774.905,8.624,8.624,8.664,0.589,1.0,JALAN GIRANG,5.167
jalan_girang,Jalan Girang,22.0,31746.673,36772.911,8.604,8.604,8.664,2.721,1.0,JALAN GIRANG,5.126
jalan_girang,Jalan Girang,24.0,31746.88,36770.922,13.892,8.743,8.743,2.721,1.0,JALAN GIRANG,5.164
jalan_girang,Jalan Girang,26.0,31747.088,36768.932,13.605,8.881,8.881,2.721,1.0,JALAN GIRANG,5.201
jalan_girang,Jalan Girang,28.0,31747.295,36766.943,11.428,9.02,8.881,1.582,1.0,JALAN GIRANG,5.241
jalan_girang,Jalan Girang,30.0,31747.503,36764.954,9.159,9.159,8.881,,,JALAN GIRANG,5.281
jalan_girang,Jalan Girang,32.0,31747.678,36762.965,8.869,8.869,8.869,,,JALAN GIRANG,5.288
jalan_girang,Jalan Girang,34.0,31747.489,36760.974,9.22,8.813,8.813,-1.558,1.0,JALAN GIRANG,4.934
jalan_girang,Jalan Girang,36.0,31747.301,36758.982,8.633,8.757,8.757,-1.405,1.0,JALAN GIRANG,4.616
jalan_girang,Jalan Girang,38.0,31747.113,36756.991,8.701,8.701,8.757,,,JALAN GIRANG,4.716
jalan_girang,Jalan Girang,40.0,31746.925,36755.0,8.662,8.662,8.757,,,JALAN GIRANG,4.85
jalan_girang,Jalan Girang,42.0,31746.737,36753.009,8.762,8.762,8.762,1.515,1.0,JALAN GIRANG,5.111
jalan_girang,Jalan Girang,44.0,31746.459,36751.037,8.817,8.817,8.817,2.158,1.0,JALAN GIRANG,5.503
jalan_girang,Jalan Girang,46.0,31745.827,36749.139,8.878,8.878,8.878,3.269,1.0,JALAN GIRANG,5.537
jalan_girang,Jalan Girang,48.0,31745.195,36747.242,8.93,8.93,8.93,3.387,1.0,JALAN GIRANG,5.571
jalan_girang,Jalan Girang,50.0,31744.563,36745.344,9.023,9.023,9.023,3.694,1.0,JALAN GIRANG,5.605
jalan_girang,Jalan Girang,52.0,31743.932,36743.446,9.088,9.088,9.088,,,JALAN GIRANG,5.639
jalan_girang,Jalan Girang,54.0,31743.3,36741.549,9.174,9.174,9.174,,,JALAN GIRANG,5.673
jalan_girang,Jalan Girang,56.0,31742.668,36739.651,9.241,9.473,9.473,12.323,2.0,JALAN GIRANG,5.707
jalan_girang,Jalan Girang,58.0,31742.036,36737.754,10.05,9.773,9.773,,,JALAN GIRANG,5.741
jalan_girang,Jalan Girang,60.0,31741.404,36735.856,10.073,10.073,10.073,,,JALAN GIRANG,5.775
jalan_girang,Jalan Girang,62.0,31740.773,36733.959,10.511,10.105,10.105,,,JALAN GIRANG,5.809
jalan_girang,Jalan Girang,64.0,31740.141,36732.061,10.138,10.136,10.136,,,JALAN GIRANG,5.843
jalan_girang,Jalan Girang,66.0,31739.569,36730.17,10.167,10.167,10.136,,,JALAN GIRANG,5.931
jalan_girang,Jalan Girang,68.0,31740.574,36728.44,11.997,10.141,10.136,,,JALAN GIRANG,7.453
jalan_girang,Jalan Girang,70.0,31741.578,36726.711,12.756,10.115,10.115,,,JALAN GIRANG,7.389
jalan_girang,Jalan Girang,72.0,31742.583,36724.981,10.732,10.088,10.088,,,JALAN GIRANG,6.118
jalan_girang,Jalan Girang,74.0,31743.587,36723.252,10.592,10.062,10.062,,,JALAN GIRANG,4.846
jalan_girang,Jalan Girang,76.0,31745.086,36722.103,10.036,10.036,10.052,,,JALAN GIRANG,4.292
jalan_girang,Jalan Girang,78.0,31746.953,36721.386,11.646,10.044,10.052,,,JALAN GIRANG,4.27
jalan_girang,Jalan Girang,80.0,31748.82,36720.668,10.099,10.052,10.052,1.831,1.0,JALAN GIRANG,4.248
jalan_girang,Jalan Girang,82.0,31750.687,36719.951,10.06,10.06,10.06,,,JALAN GIRANG,4.226
jalan_girang,Jalan Girang,84.0,31752.554,36719.234,10.199,10.199,10.199,,,JALAN GIRANG,4.204
jalan_girang,Jalan Girang,86.0,31754.429,36718.538,10.337,10.337,10.337,,,JALAN GIRANG,4.205
jalan_girang,Jalan Girang,88.0,31756.306,36717.848,11.372,10.348,10.348,,,JALAN GIRANG,4.212
jalan_girang,Jalan Girang,90.0,31758.184,36717.158,10.963,10.359,10.359,0.268,1.0,JALAN GIRANG,4.261
jalan_girang,Jalan Girang,92.0,31760.061,36716.468,10.416,10.369,10.359,,,JALAN GIRANG,4.313
jalan_girang,Jalan Girang,94.0,31761.938,36715.778,10.38,10.38,10.359,,,JALAN GIRANG,4.364
jalan_girang,Jalan Girang,96.0,31763.815,36715.088,10.324,10.324,10.324,,,JALAN GIRANG,4.415
