path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
jalan_kelulut,1,Jalan Kelulut_Cam4_20260106_083400_081_C.jpeg,,11.156,5.578,6.0,11.294,,
jalan_kelulut,2,Jalan Kelulut_Cam4_20260106_083403_685_C.jpeg,,22.339,16.747,16.0,11.388,,
jalan_kelulut,3,Jalan Kelulut_Cam4_20260106_083407_289_C.jpeg,,31.021,26.68,26.0,11.319,,
jalan_kelulut,4,Jalan Kelulut_Cam4_20260106_083410_893_C.jpeg,,47.172,39.096,40.0,9.642,-4.844,1.0
jalan_kelulut,5,Jalan Kelulut_Cam4_20260106_083534_862_C.jpeg,,55.424,51.298,52.0,8.822,,
jalan_kelulut,6,Jalan Kelulut_Cam4_20260106_083538_467_C.jpeg,,81.169,68.297,68.0,8.886,8.381,1.0
jalan_kelulut,7,Jalan Kelulut_Cam4_20260106_083552_290_C.jpeg,,303.372,192.271,192.0,13.56,,
jalan_kelulut,8,Jalan Kelulut_Cam4_20260106_093735_734_C.jpeg,,312.865,308.118,308.0,17.894,,
jalan_kelulut,9,Jalan Kelulut_Cam4_20260106_093740_540_C.jpeg,,326.899,319.882,320.0,17.8,,
jalan_kelulut,10,Jalan Kelulut_Cam4_20260106_093747_622_C.jpeg,,349.433,338.166,338.0,18.02,,
jalan_kelulut,11,Jalan Kelulut_Cam4_20260106_093755_433_C.jpeg,,357.878,353.656,354.0,16.536,,
jalan_kelulut,12,Jalan Kelulut_Cam4_20260106_093758_436_C.jpeg,,400.1,378.989,378.0,14.734,-2.656,1.0
jalan_kelulut,13,Jalan Kelulut_Cam4_20260106_093813_452_C.jpeg,,410.716,405.408,406.0,13.535,-4.375,1.0
jalan_kelulut,14,Jalan Kelulut_Cam4_20260106_093816_457_C.jpeg,,422.135,416.425,416.0,13.14,-4.286,1.0
jalan_kelulut,15,Jalan Kelulut_Cam4_20260106_093918_817_C.jpeg,,433.812,427.973,428.0,12.75,2.441,1.0
jalan_kelulut,16,Jalan Kelulut_Cam4_20260106_093923_021_C.jpeg,,440.465,437.138,438.0,12.958,,
jalan_kelulut,17,Jalan Kelulut_Cam4_20260106_093925_423_C.jpeg,,450.194,445.329,446.0,13.0,,
jalan_kelulut,18,Jalan Kelulut_Cam4_20260106_093928_425_C.jpeg,,460.966,455.58,456.0,11.809,,
jalan_kelulut,19,Jalan Kelulut_Cam4_20260106_093931_430_C.jpeg,,469.432,465.199,466.0,11.277,-2.704,1.0
jalan_kelulut,20,Jalan Kelulut_Cam4_20260106_093933_833_C.jpeg,,480.003,474.718,474.0,11.047,-3.375,1.0
jalan_kelulut,21,Jalan Kelulut_Cam4_20260106_093936_836_C.jpeg,,489.365,484.684,484.0,10.697,-3.313,1.0
jalan_kelulut,22,Jalan Kelulut_Cam4_20260106_093939_838_C.jpeg,,499.107,494.236,494.0,10.407,-2.25,1.0
jalan_kelulut,23,Jalan Kelulut_Cam4_20260106_093943_441_C.jpeg,,529.485,514.296,514.0,10.677,2.375,1.0
jalan_kelulut,24,Jalan Kelulut_Cam4_20260106_094000_258_C.jpeg,,540.649,535.067,536.0,11.781,,
jalan_kelulut,25,Jalan Kelulut_Cam4_20260106_094004_468_C.jpeg,,576.574,558.612,558.0,13.234,,
jalan_kelulut,26,Jalan Kelulut_Cam4_20260106_094018_291_C.jpeg,,588.335,582.454,582.0,14.872,,
jalan_kelulut,27,Jalan Kelulut_Cam4_20260106_094023_099_C.jpeg,,594.736,591.536,592.0,14.968,,
jalan_kelulut,28,Jalan Kelulut_Cam4_20260106_094025_502_C.jpeg,,626.892,610.814,610.0,15.272,,
jalan_kelulut,29,Jalan Kelulut_Cam4_20260106_094037_524_C.jpeg,,649.652,638.272,638.0,16.307,,
jalan_kelulut,30,Jalan Kelulut_Cam4_20260106_094045_934_C.jpeg,,659.009,654.331,654.0,17.489,,
jalan_kelulut,31,Jalan Kelulut_Cam4_20260106_094049_537_C.jpeg,,668.961,663.985,664.0,17.323,,
jalan_kelulut,32,Jalan Kelulut_Cam4_20260106_094053_148_C.jpeg,,683.539,676.25,676.0,17.144,,
jalan_kelulut,33,Jalan Kelulut_Cam4_20260106_094057_955_C.jpeg,,689.139,686.339,686.0,18.188,,
jalan_kelulut,34,Jalan Kelulut_Cam4_20260106_094059_757_C.jpeg,,699.429,694.284,694.0,18.519,,
jalan_kelulut,35,Jalan Kelulut_Cam4_20260106_094103_360_C.jpeg,,708.756,704.092,704.0,19.289,,
jalan_kelulut,36,Jalan Kelulut_Cam4_20260106_094107_568_C.jpeg,,919.204,813.98,814.0,16.217,,
