path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
li_hwan_view,Li Hwan View,96.0,31537.166,37442.631,19.121,16.063,15.834,,,LI HWAN VIEW,10.974
li_hwan_view,Li Hwan View,98.0,31535.297,37441.917,16.063,15.834,15.719,,,LI HWAN VIEW,9.929
li_hwan_view,Li Hwan View,100.0,31533.429,37441.203,17.253,15.604,15.604,,,LI HWAN VIEW,8.883
li_hwan_view,Li Hwan View,102.0,31531.561,37440.489,17.099,15.375,15.375,,,LI HWAN VIEW,7.838
li_hwan_view,Li Hwan View,104.0,31529.692,37439.775,16.067,15.129,15.129,,,LI HWAN VIEW,6.792
li_hwan_view,Li Hwan View,106.0,31527.824,37439.061,14.07,14.884,14.884,,,LI HWAN VIEW,5.747
li_hwan_view,Li Hwan View,108.0,31525.956,37438.347,13.543,14.639,14.639,,,LI HWAN VIEW,4.701
li_hwan_view,Li Hwan View,110.0,31524.129,37437.544,16.795,14.393,14.393,,,LI HWAN VIEW,3.743
li_hwan_view,Li Hwan View,112.0,31522.373,37436.587,13.654,14.148,14.148,,,LI HWAN VIEW,2.935
li_hwan_view,Li Hwan View,114.0,31520.616,37435.63,13.902,13.902,14.067,,,LI HWAN VIEW,2.126
li_hwan_view,Li Hwan View,116.0,31518.86,37434.674,16.505,13.858,14.067,,,LI HWAN VIEW,1.317
li_hwan_view,Li Hwan View,118.0,31517.415,37433.321,13.814,14.067,14.067,,,LI HWAN VIEW,0.996
li_hwan_view,Li Hwan View,120.0,31516.071,37431.84,13.957,14.276,14.276,,,LI HWAN VIEW,0.833
li_hwan_view,Li Hwan View,122.0,31514.726,37430.359,14.01,14.309,14.309,,,LI HWAN VIEW,0.67
li_hwan_view,Li Hwan View,124.0,31513.382,37428.879,14.269,14.342,14.342,,,LI HWAN VIEW,0.507
li_hwan_view,Li Hwan View,126.0,31512.038,37427.398,16.303,14.375,14.375,,,LI HWAN VIEW,0.343
li_hwan_view,Li Hwan View,128.0,31510.694,37425.917,16.898,14.408,14.408,,,LI HWAN VIEW,0.18
li_hwan_view,Li Hwan View,130.0,31509.35,37424.436,16.582,14.441,14.441,,,LI HWAN VIEW,0.017
li_hwan_view,Li Hwan View,132.0,31508.005,37422.955,16.63,14.474,14.474,,,LI HWAN VIEW,0.146
li_hwan_view,Li Hwan View,134.0,31506.661,37421.474,16.987,14.507,14.507,,,LI HWAN VIEW,0.31
li_hwan_view,Li Hwan View,136.0,31505.317,37419.993,14.481,14.54,14.54,,,LI HWAN VIEW,0.473
li_hwan_view,Li Hwan View,138.0,31503.973,37418.512,14.548,14.573,14.573,,,LI HWAN VIEW,0.636
li_hwan_view,Li Hwan View,140.0,31502.629,37417.031,14.606,14.606,14.606,,,LI HWAN VIEW,0.8
li_hwan_view,Li Hwan View,142.0,31501.287,37415.549,14.673,14.673,14.673,,,LI HWAN VIEW,0.96
