path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
lichfield_road,1,Lichfield Road_Cam4_20260202_094732_198_B.jpeg,,10.149,5.074,6.0,22.255,2.375,1.0
lichfield_road,2,Lichfield Road_Cam4_20260202_094736_405_B.jpeg,,17.787,13.968,14.0,22.411,2.578,1.0
lichfield_road,3,Lichfield Road_Cam4_20260203_091830_518_A.jpeg,,28.995,23.391,24.0,22.79,,
lichfield_road,4,Lichfield Road_Cam4_20260203_091835_325_A.jpeg,,41.047,35.021,36.0,24.31,,
lichfield_road,5,Lichfield Road_Cam4_20260203_091840_730_A.jpeg,,65.415,53.231,54.0,23.607,4.828,1.0
lichfield_road,6,Lichfield Road_Cam4_20260203_091852_745_A.jpeg,,77.02,71.217,72.0,25.111,,
lichfield_road,7,Lichfield Road_Cam4_20260203_091904_160_A.jpeg,,83.356,80.188,80.0,26.197,,
lichfield_road,8,Lichfield Road_Cam4_20260203_091907_762_A.jpeg,,93.598,88.477,88.0,27.119,,
lichfield_road,9,Lichfield Road_Cam4_20260203_091911_969_A.jpeg,,102.818,98.208,98.0,26.028,,
lichfield_road,10,Lichfield Road_Cam4_20260203_091915_572_A.jpeg,,114.022,108.42,108.0,24.211,,
lichfield_road,11,Lichfield Road_Cam4_20260203_091919_776_A.jpeg,,126.473,120.247,120.0,23.812,4.04,1.0
lichfield_road,12,Lichfield Road_Cam4_20260203_091924_580_A.jpeg,,133.522,129.997,130.0,24.44,,
lichfield_road,13,Lichfield Road_Cam4_20260203_091927_583_A.jpeg,,143.519,138.52,138.0,24.413,,
lichfield_road,14,Lichfield Road_Cam4_20260203_091931_785_A.jpeg,,153.35,148.434,148.0,24.312,,
lichfield_road,15,Lichfield Road_Cam4_20260203_091935_991_A.jpeg,,164.018,158.684,158.0,23.905,,
lichfield_road,16,Lichfield Road_Cam4_20260203_091940_196_A.jpeg,,174.827,169.423,170.0,23.537,0.8,1.0
lichfield_road,17,Lichfield Road_Cam4_20260203_091944_400_A.jpeg,,185.732,180.28,180.0,23.705,1.741,1.0
lichfield_road,18,Lichfield Road_Cam4_20260203_091949_205_A.jpeg,,211.108,198.42,198.0,23.743,2.928,1.0
lichfield_road,19,Lichfield Road_Cam4_20260203_092000_618_A.jpeg,,229.855,220.481,220.0,23.764,-1.591,1.0
lichfield_road,20,Lichfield Road_Cam4_20260203_092013_109_A.jpeg,,243.223,236.539,236.0,23.498,,
lichfield_road,21,Lichfield Road_Cam4_20260203_092019_114_A.jpeg,,253.711,248.467,,,,
lichfield_road,22,Lichfield Road_Cam4_20260203_092025_720_A.jpeg,,279.695,266.703,266.0,24.178,,
lichfield_road,23,Lichfield Road_Cam4_20260203_092037_135_A.jpeg,,307.217,293.456,294.0,25.599,,
lichfield_road,24,Lichfield Road_Cam4_20260203_092047_824_A.jpeg,,368.432,337.825,338.0,26.962,,
lichfield_road,25,Lichfield Road_Cam4_20260203_092153_683_A.jpeg,,378.313,373.373,374.0,34.054,,
lichfield_road,26,Lichfield Road_Cam4_20260203_092157_286_A.jpeg,,467.189,422.751,422.0,34.771,,
lichfield_road,27,Lichfield Road_Cam4_20260203_092841_774_A.jpeg,,574.162,520.676,,,,
lichfield_road,28,Lichfield Road_Cam4_20260203_093021_140_A.jpeg,,585.15,579.656,580.0,25.338,,
lichfield_road,29,Lichfield Road_Cam4_20260203_093026_547_A.jpeg,,593.955,589.552,590.0,26.136,,
