path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
lim_tua_tow_road,Lim Tua Tow Road,8.0,32914.78,37313.35,27.902,24.538,24.538,,,LIM TUA TOW ROAD,36.024
lim_tua_tow_road,Lim Tua Tow Road,10.0,32913.245,37312.068,29.178,24.538,24.538,,,LIM TUA TOW ROAD,34.025
lim_tua_tow_road,Lim Tua Tow Road,12.0,32911.71,37310.786,25.745,24.538,24.538,,,LIM TUA TOW ROAD,32.025
lim_tua_tow_road,Lim Tua Tow Road,14.0,32910.187,37309.49,25.343,24.538,24.538,,,LIM TUA TOW ROAD,30.026
lim_tua_tow_road,Lim Tua Tow Road,16.0,32908.697,37308.156,29.244,24.538,24.538,,,LIM TUA TOW ROAD,28.026
lim_tua_tow_road,Lim Tua Tow Road,18.0,32907.206,37306.823,29.654,24.268,24.268,,,LIM TUA TOW ROAD,26.026
lim_tua_tow_road,Lim Tua Tow Road,20.0,32905.715,37305.489,20.856,23.997,23.997,,,LIM TUA TOW ROAD,24.026
lim_tua_tow_road,Lim Tua Tow Road,22.0,32904.237,37304.143,20.664,23.536,23.536,,,LIM TUA TOW ROAD,22.026
lim_tua_tow_road,Lim Tua Tow Road,24.0,32902.778,37302.775,23.403,23.076,23.076,,,LIM TUA TOW ROAD,20.028
lim_tua_tow_road,Lim Tua Tow Road,26.0,32901.32,37301.406,24.856,22.615,22.615,,,LIM TUA TOW ROAD,18.029
lim_tua_tow_road,Lim Tua Tow Road,28.0,32899.861,37300.038,20.71,22.154,22.154,,,LIM TUA TOW ROAD,16.03
lim_tua_tow_road,Lim Tua Tow Road,30.0,32898.403,37298.669,20.726,21.693,21.693,,,LIM TUA TOW ROAD,14.031
lim_tua_tow_road,Lim Tua Tow Road,32.0,32896.909,37297.344,20.754,21.232,21.232,,,LIM TUA TOW ROAD,12.034
lim_tua_tow_road,Lim Tua Tow Road,34.0,32895.293,37296.164,20.772,20.772,20.795,,,LIM TUA TOW ROAD,10.042
lim_tua_tow_road,Lim Tua Tow Road,36.0,32893.678,37294.985,20.784,20.784,20.795,,,LIM TUA TOW ROAD,8.05
lim_tua_tow_road,Lim Tua Tow Road,38.0,32892.063,37293.806,20.795,20.795,20.795,0.609,1.0,LIM TUA TOW ROAD,6.057
lim_tua_tow_road,Lim Tua Tow Road,40.0,32890.447,37292.626,20.798,20.798,20.798,0.734,1.0,LIM TUA TOW ROAD,4.065
lim_tua_tow_road,Lim Tua Tow Road,42.0,32888.851,37291.734,20.844,20.844,20.844,0.953,1.0,LIM TUA TOW ROAD,2.277
lim_tua_tow_road,Lim Tua Tow Road,44.0,32887.407,37293.117,20.854,20.854,20.854,1.25,1.0,LIM TUA TOW ROAD,2.102
lim_tua_tow_road,Lim Tua Tow Road,46.0,32885.962,37294.501,20.872,20.872,20.872,1.031,1.0,LIM TUA TOW ROAD,1.927
lim_tua_tow_road,Lim Tua Tow Road,48.0,32884.518,37295.884,20.898,20.898,20.898,1.456,1.0,LIM TUA TOW ROAD,1.752
lim_tua_tow_road,Lim Tua Tow Road,50.0,32883.073,37297.267,20.926,20.926,20.926,1.75,1.0,LIM TUA TOW ROAD,1.577
lim_tua_tow_road,Lim Tua Tow Road,52.0,32881.629,37298.651,20.97,20.97,20.97,1.931,1.0,LIM TUA TOW ROAD,1.402
lim_tua_tow_road,Lim Tua Tow Road,54.0,32880.185,37300.034,21.011,21.011,21.011,2.312,1.0,LIM TUA TOW ROAD,1.228
lim_tua_tow_road,Lim Tua Tow Road,56.0,32878.74,37301.417,21.053,21.053,21.053,2.419,1.0,LIM TUA TOW ROAD,1.053
lim_tua_tow_road,Lim Tua Tow Road,58.0,32877.296,37302.801,21.112,21.112,21.112,2.575,1.0,LIM TUA TOW ROAD,0.878
lim_tua_tow_road,Lim Tua Tow Road,60.0,32875.851,37304.184,21.164,21.164,21.164,2.756,1.0,LIM TUA TOW ROAD,0.703
