path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
lim_tua_tow_road,1,Lim Tua Tow Road_Cam4_20260110_143213_180_B.jpeg,,13.443,6.721,8.0,24.538,,
lim_tua_tow_road,2,Lim Tua Tow Road_Cam4_20260110_143217_386_B.jpeg,,21.265,17.354,18.0,24.268,,
lim_tua_tow_road,3,Lim Tua Tow Road_Cam4_20260110_143219_788_B.jpeg,,31.545,26.405,26.0,22.615,,
lim_tua_tow_road,4,Lim Tua Tow Road_Cam4_20260110_143222_793_B.jpeg,,41.776,36.661,36.0,20.795,,
lim_tua_tow_road,5,Lim Tua Tow Road_Cam4_20260110_143225_796_B.jpeg,,89.704,65.74,66.0,21.333,2.706,1.0
lim_tua_tow_road,6,Lim Tua Tow Road_Cam4_20260130_084811_202_B.jpeg,,104.628,97.166,98.0,22.412,5.525,1.0
lim_tua_tow_road,7,Lim Tua Tow Road_Cam4_20260130_084819_014_B.jpeg,,109.717,107.173,108.0,22.986,4.862,1.0
lim_tua_tow_road,8,Lim Tua Tow Road_Cam4_20260130_084822_018_B.jpeg,,121.933,115.825,116.0,23.298,3.788,1.0
lim_tua_tow_road,9,Lim Tua Tow Road_Cam4_20260130_084828_026_B.jpeg,,152.788,137.361,138.0,24.147,2.937,1.0
lim_tua_tow_road,10,Lim Tua Tow Road_Cam4_20260130_084843_051_B.jpeg,,177.74,165.264,166.0,24.616,3.784,1.0
lim_tua_tow_road,11,Lim Tua Tow Road_Cam4_20260130_084854_225_B.jpeg,,189.338,183.539,184.0,24.159,,
lim_tua_tow_road,12,Lim Tua Tow Road_Cam4_20260130_084857_830_B.jpeg,,198.222,193.78,194.0,23.852,-3.519,1.0
lim_tua_tow_road,13,Lim Tua Tow Road_Cam4_20260130_084900_232_B.jpeg,,207.656,202.939,202.0,23.779,-1.484,1.0
lim_tua_tow_road,14,Lim Tua Tow Road_Cam4_20260130_084902_634_B.jpeg,,218.517,213.086,214.0,23.364,-2.825,1.0
lim_tua_tow_road,15,Lim Tua Tow Road_Cam4_20260130_084905_636_B.jpeg,,228.29,223.403,224.0,23.23,-1.537,1.0
lim_tua_tow_road,16,Lim Tua Tow Road_Cam4_20260130_084908_038_B.jpeg,,241.033,234.662,234.0,23.092,-0.592,1.0
lim_tua_tow_road,17,Lim Tua Tow Road_Cam4_20260130_084911_041_B.jpeg,,248.634,244.834,244.0,23.404,,
lim_tua_tow_road,18,Lim Tua Tow Road_Cam4_20260130_084912_843_B.jpeg,,258.516,253.575,254.0,22.96,,
lim_tua_tow_road,19,Lim Tua Tow Road_Cam4_20260130_084915_245_B.jpeg,,286.069,272.292,272.0,22.918,-0.138,1.0
lim_tua_tow_road,20,Lim Tua Tow Road_Cam4_20260130_084923_057_B.jpeg,,293.625,289.847,290.0,22.891,0.125,1.0
lim_tua_tow_road,21,Lim Tua Tow Road_Cam4_20260130_084928_462_B.jpeg,,374.555,334.09,334.0,27.693,,
lim_tua_tow_road,22,Lim Tua Tow Road_Cam4_20260130_084957_308_B.jpeg,,402.422,388.488,388.0,21.422,-10.759,2.0
lim_tua_tow_road,23,Lim Tua Tow Road_Cam4_20260130_085002_714_B.jpeg,,411.536,406.979,406.0,20.113,-7.075,1.0
lim_tua_tow_road,24,Lim Tua Tow Road_Cam4_20260130_085004_515_B.jpeg,,420.306,415.921,416.0,19.35,-5.787,1.0
lim_tua_tow_road,25,Lim Tua Tow Road_Cam4_20260130_085006_316_B.jpeg,,449.555,434.931,434.0,18.244,-5.4,1.0
lim_tua_tow_road,26,Lim Tua Tow Road_Cam4_20260130_085012_928_B.jpeg,,458.193,453.874,454.0,16.86,-8.584,1.0
lim_tua_tow_road,27,Lim Tua Tow Road_Cam4_20260130_085015_330_B.jpeg,,467.201,462.697,462.0,16.122,-3.2,1.0
lim_tua_tow_road,28,Lim Tua Tow Road_Cam4_20260130_085017_732_B.jpeg,,480.355,473.778,474.0,16.158,-0.162,1.0
lim_tua_tow_road,29,Lim Tua Tow Road_Cam4_20260130_085021_337_B.jpeg,,567.161,523.758,524.0,19.104,5.262,1.0
lim_tua_tow_road,30,Lim Tua Tow Road_Cam4_20260130_085211_860_B.jpeg,,736.118,651.64,652.0,24.559,,
lim_tua_tow_road,31,Lim Tua Tow Road_Cam4_20260130_085553_512_B.jpeg,,904.995,820.556,820.0,43.225,0.662,1.0
lim_tua_tow_road,32,Lim Tua Tow Road_Cam4_20260202_090817_092_C.jpeg,,917.725,911.36,,,,
lim_tua_tow_road,33,Lim Tua Tow Road_Cam4_20260202_090820_696_C.jpeg,,923.742,920.734,,,,
