path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
luxus_hill_avenue,1,Luxus Hill Avenue_Cam4_20260101_072739_021_C.jpeg,,12.315,6.157,6.0,17.271,,
luxus_hill_avenue,2,Luxus Hill Avenue_Cam4_20260101_072745_028_C.jpeg,,419.551,215.933,216.0,20.786,,
luxus_hill_avenue,3,Luxus Hill Avenue_Cam4_20260101_073134_005_C.jpeg,,429.984,424.768,,,,
luxus_hill_avenue,4,Luxus Hill Avenue_Cam4_20260101_073139_418_C.jpeg,,452.488,441.236,442.0,15.455,,
luxus_hill_avenue,5,Luxus Hill Avenue_Cam4_20260101_073155_517_C.jpeg,,462.068,457.278,458.0,13.13,,
luxus_hill_avenue,6,Luxus Hill Avenue_Cam4_20260101_073159_721_C.jpeg,,472.436,467.252,468.0,13.361,,
luxus_hill_avenue,7,Luxus Hill Avenue_Cam4_20260101_073204_392_C.jpeg,,482.885,477.66,478.0,13.987,,
luxus_hill_avenue,8,Luxus Hill Avenue_Cam4_20260101_073209_197_C.jpeg,,492.176,487.53,488.0,14.957,,
luxus_hill_avenue,9,Luxus Hill Avenue_Cam4_20260101_073213_400_C.jpeg,,503.3,497.738,498.0,14.239,,
luxus_hill_avenue,10,Luxus Hill Avenue_Cam4_20260101_073218_207_C.jpeg,,514.83,509.065,510.0,14.798,,
luxus_hill_avenue,11,Luxus Hill Avenue_Cam4_20260101_073223_013_C.jpeg,,525.17,520.0,520.0,14.152,0.625,1.0
luxus_hill_avenue,12,Luxus Hill Avenue_Cam4_20260101_073227_216_C.jpeg,,547.838,536.504,536.0,14.452,1.25,1.0
luxus_hill_avenue,13,Luxus Hill Avenue_Cam4_20260101_073236_229_C.jpeg,,558.406,553.122,554.0,14.702,1.25,1.0
luxus_hill_avenue,14,Luxus Hill Avenue_Cam4_20260101_073240_436_C.jpeg,,570.532,564.469,564.0,14.852,1.25,1.0
luxus_hill_avenue,15,Luxus Hill Avenue_Cam4_20260101_073245_241_C.jpeg,,581.06,575.796,576.0,15.052,1.25,1.0
luxus_hill_avenue,16,Luxus Hill Avenue_Cam4_20260101_073249_445_C.jpeg,,602.953,592.006,592.0,15.302,1.875,1.0
luxus_hill_avenue,17,Luxus Hill Avenue_Cam4_20260101_073258_455_C.jpeg,,615.043,608.998,608.0,15.602,1.562,1.0
luxus_hill_avenue,18,Luxus Hill Avenue_Cam4_20260101_073303_260_C.jpeg,,625.768,620.405,620.0,15.802,1.875,1.0
luxus_hill_avenue,19,Luxus Hill Avenue_Cam4_20260101_073307_464_C.jpeg,,637.428,631.598,632.0,16.002,1.25,1.0
luxus_hill_avenue,20,Luxus Hill Avenue_Cam4_20260101_073312_142_C.jpeg,,643.395,640.411,640.0,16.102,1.25,1.0
luxus_hill_avenue,21,Luxus Hill Avenue_Cam4_20260101_073314_546_C.jpeg,,670.485,656.94,656.0,16.303,0.625,1.0
luxus_hill_avenue,22,Luxus Hill Avenue_Cam4_20260101_073325_232_C.jpeg,,681.076,675.781,676.0,16.502,0.625,1.0
luxus_hill_avenue,23,Luxus Hill Avenue_Cam4_20260101_073329_436_C.jpeg,,693.178,687.127,688.0,16.652,0.625,1.0
luxus_hill_avenue,24,Luxus Hill Avenue_Cam4_20260101_073334_241_C.jpeg,,699.238,696.208,696.0,16.752,1.562,1.0
luxus_hill_avenue,25,Luxus Hill Avenue_Cam4_20260101_073336_644_C.jpeg,,726.14,712.689,712.0,16.952,1.25,1.0
