path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
lynwood_grove,1,Lynwood Grove_Cam4_20260112_090801_302_B.jpeg,,12.465,6.232,6.0,5.54,,
lynwood_grove,2,Lynwood Grove_Cam4_20260112_090807_309_B.jpeg,,23.069,17.767,18.0,5.822,,
lynwood_grove,3,Lynwood Grove_Cam4_20260112_090810_913_B.jpeg,,34.85,28.96,28.0,5.205,,
lynwood_grove,4,Lynwood Grove_Cam4_20260112_090814_516_B.jpeg,,58.901,46.876,46.0,4.32,-3.306,1.0
lynwood_grove,5,Lynwood Grove_Cam4_20260112_090822_325_B.jpeg,,70.233,64.567,64.0,3.89,-0.734,1.0
lynwood_grove,6,Lynwood Grove_Cam4_20260112_092104_165_B.jpeg,,75.626,72.93,72.0,4.038,4.413,1.0
lynwood_grove,7,Lynwood Grove_Cam4_20260112_092105_966_B.jpeg,,109.37,92.498,92.0,5.576,,
lynwood_grove,8,Lynwood Grove_Cam4_20260112_092117_393_B.jpeg,,119.962,114.666,114.0,7.87,,
lynwood_grove,9,Lynwood Grove_Cam4_20260112_092120_999_B.jpeg,,127.104,123.533,124.0,7.217,,
lynwood_grove,10,Lynwood Grove_Cam4_20260112_092123_407_B.jpeg,,154.377,140.74,,,,
lynwood_grove,11,Lynwood Grove_Cam4_20260112_092134_843_B.jpeg,,164.95,159.664,160.0,6.555,2.152,1.0
lynwood_grove,12,Lynwood Grove_Cam4_20260112_092139_077_B.jpeg,,177.143,171.046,172.0,6.753,1.072,1.0
lynwood_grove,13,Lynwood Grove_Cam4_20260112_092143_882_B.jpeg,,187.487,182.315,182.0,6.871,0.216,1.0
lynwood_grove,14,Lynwood Grove_Cam4_20260112_092148_687_B.jpeg,,198.717,193.102,194.0,6.84,0.112,1.0
lynwood_grove,15,Lynwood Grove_Cam4_20260112_092152_893_B.jpeg,,221.875,210.296,210.0,6.943,0.662,1.0
lynwood_grove,16,Lynwood Grove_Cam4_20260112_092201_306_B.jpeg,,233.327,227.601,228.0,6.997,4.125,1.0
lynwood_grove,17,Lynwood Grove_Cam4_20260112_092205_509_B.jpeg,,243.482,238.405,238.0,7.721,,
lynwood_grove,18,Lynwood Grove_Cam4_20260112_092209_114_B.jpeg,,253.998,248.74,248.0,7.767,,
lynwood_grove,19,Lynwood Grove_Cam4_20260112_092212_719_B.jpeg,,260.182,257.09,258.0,7.496,,
lynwood_grove,20,Lynwood Grove_Cam4_20260112_092215_122_B.jpeg,,288.296,274.239,274.0,7.063,,
lynwood_grove,21,Lynwood Grove_Cam4_20260112_092246_379_B.jpeg,,296.38,292.338,292.0,6.721,0.156,1.0
lynwood_grove,22,Lynwood Grove_Cam4_20260112_092249_385_B.jpeg,,351.391,323.886,324.0,6.897,,
lynwood_grove,23,Lynwood Grove_Cam4_20260112_092309_270_B.jpeg,,723.894,537.642,,,,
lynwood_grove,24,Lynwood Grove_Cam4_20260112_093656_512_B.jpeg,,734.094,728.994,728.0,9.119,4.238,1.0
lynwood_grove,25,Lynwood Grove_Cam4_20260112_093700_116_B.jpeg,,745.525,739.809,740.0,9.647,,
lynwood_grove,26,Lynwood Grove_Cam4_20260112_093711_667_B.jpeg,,756.694,751.109,752.0,10.702,,
lynwood_grove,27,Lynwood Grove_Cam4_20260112_093721_878_B.jpeg,,778.798,767.746,768.0,11.147,4.825,1.0
lynwood_grove,28,Lynwood Grove_Cam4_20260112_093740_564_B.jpeg,,790.221,784.509,784.0,11.945,5.175,1.0
lynwood_grove,29,Lynwood Grove_Cam4_20260112_093750_789_B.jpeg,,801.37,795.795,796.0,12.524,3.887,1.0
lynwood_grove,30,Lynwood Grove_Cam4_20260112_093802_817_B.jpeg,,812.238,806.804,806.0,12.967,4.662,1.0
lynwood_grove,31,Lynwood Grove_Cam4_20260112_093812_483_B.jpeg,,833.92,823.079,824.0,13.875,6.6,1.0
lynwood_grove,32,Lynwood Grove_Cam4_20260112_093838_397_B.jpeg,,846.234,840.077,840.0,14.451,1.487,1.0
lynwood_grove,33,Lynwood Grove_Cam4_20260112_093844_413_B.jpeg,,857.758,851.996,852.0,14.349,-1.4,1.0
lynwood_grove,34,Lynwood Grove_Cam4_20260112_093849_218_B.jpeg,,881.036,869.397,870.0,14.234,,
lynwood_grove,35,Lynwood Grove_Cam4_20260112_093858_236_B.jpeg,,891.385,886.211,886.0,16.141,,
lynwood_grove,36,Lynwood Grove_Cam4_20260112_093901_243_B.jpeg,,934.947,913.166,914.0,12.777,,
lynwood_grove,37,Lynwood Grove_Cam4_20260112_093911_459_B.jpeg,,946.33,940.639,940.0,10.573,,
lynwood_grove,38,Lynwood Grove_Cam4_20260112_093913_861_B.jpeg,,954.543,950.437,950.0,10.075,,
lynwood_grove,39,Lynwood Grove_Cam4_20260112_093915_662_B.jpeg,,968.507,961.525,962.0,9.447,,
lynwood_grove,40,Lynwood Grove_Cam4_20260112_093919_266_B.jpeg,,973.997,971.252,972.0,9.005,-2.9,1.0
