path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
mimosa_drive,1,Mimosa Drive_Cam4_20260105_081449_494_C.jpeg,,11.216,5.608,6.0,14.523,,
mimosa_drive,2,Mimosa Drive_Cam4_20260105_081457_776_C.jpeg,,23.313,17.264,18.0,16.519,,
mimosa_drive,3,Mimosa Drive_Cam4_20260105_081503_185_C.jpeg,,34.215,28.764,28.0,16.378,-1.804,1.0
mimosa_drive,4,Mimosa Drive_Cam4_20260105_081507_389_C.jpeg,,57.568,45.892,46.0,17.897,,
mimosa_drive,5,Mimosa Drive_Cam4_20260105_081524_206_C.jpeg,,67.586,62.577,62.0,21.177,,
mimosa_drive,6,Mimosa Drive_Cam4_20260105_081531_418_C.jpeg,,80.968,74.277,74.0,20.653,,
mimosa_drive,7,Mimosa Drive_Cam4_20260105_081536_223_C.jpeg,,113.045,97.006,98.0,18.841,,
mimosa_drive,8,Mimosa Drive_Cam4_20260105_081550_047_C.jpeg,,124.675,118.86,118.0,16.824,,
mimosa_drive,9,Mimosa Drive_Cam4_20260105_081553_650_C.jpeg,,136.189,130.432,130.0,17.59,,
mimosa_drive,10,Mimosa Drive_Cam4_20260105_081558_457_C.jpeg,,147.143,141.666,142.0,17.807,,
mimosa_drive,11,Mimosa Drive_Cam4_20260105_081605_663_C.jpeg,,170.241,158.692,158.0,15.961,,
mimosa_drive,12,Mimosa Drive_Cam4_20260105_081617_675_C.jpeg,,182.651,176.446,176.0,17.54,,
mimosa_drive,13,Mimosa Drive_Cam4_20260105_081622_480_C.jpeg,,213.475,198.063,198.0,16.138,,
mimosa_drive,14,Mimosa Drive_Cam4_20260105_081650_114_C.jpeg,,221.407,217.441,218.0,17.928,,
mimosa_drive,15,Mimosa Drive_Cam4_20260105_081702_002_C.jpeg,,259.144,240.276,240.0,21.844,,
mimosa_drive,16,Mimosa Drive_Cam4_20260105_081728_903_C.jpeg,,301.671,280.408,280.0,20.061,,
mimosa_drive,17,Mimosa Drive_Cam4_20260105_081752_923_C.jpeg,,399.646,350.659,350.0,24.164,,
mimosa_drive,18,Mimosa Drive_Cam4_20260105_081836_174_C.jpeg,,408.451,404.049,,,,
