path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
neram_road,Neram Road,364.0,31722.516,40962.379,18.075,12.481,12.481,,,NERAM ROAD,39.524
neram_road,Neram Road,366.0,31722.092,40964.334,18.225,12.481,12.481,,,NERAM ROAD,37.681
neram_road,Neram Road,368.0,31721.668,40966.288,18.025,12.481,12.481,,,NERAM ROAD,35.839
neram_road,Neram Road,370.0,31721.243,40968.243,,12.481,12.481,,,NERAM ROAD,33.996
neram_road,Neram Road,372.0,31720.819,40970.197,15.188,12.481,12.481,,,NERAM ROAD,32.153
neram_road,Neram Road,374.0,31720.395,40972.152,14.888,12.481,12.481,,,NERAM ROAD,30.31
neram_road,Neram Road,376.0,31719.971,40974.106,12.281,12.481,12.481,,,NERAM ROAD,28.467
neram_road,Neram Road,378.0,31719.546,40976.06,12.481,12.481,12.481,,,NERAM ROAD,26.625
neram_road,Neram Road,380.0,31719.122,40978.015,12.531,12.531,12.481,,,NERAM ROAD,24.782
neram_road,Neram Road,382.0,31718.698,40979.969,12.581,12.241,12.241,,,NERAM ROAD,22.939
neram_road,Neram Road,384.0,31718.273,40981.924,12.706,11.952,11.952,,,NERAM ROAD,21.096
neram_road,Neram Road,386.0,31717.849,40983.878,10.925,11.662,11.662,,,NERAM ROAD,19.253
neram_road,Neram Road,388.0,31717.425,40985.833,15.225,11.399,11.399,,,NERAM ROAD,17.411
neram_road,Neram Road,390.0,31717.0,40987.787,10.125,11.137,11.137,,,NERAM ROAD,15.568
neram_road,Neram Road,392.0,31716.576,40989.742,10.125,10.875,10.875,,,NERAM ROAD,13.725
neram_road,Neram Road,394.0,31716.152,40991.696,11.475,10.612,10.612,,,NERAM ROAD,11.882
neram_road,Neram Road,396.0,31715.727,40993.651,10.925,10.35,10.35,,,NERAM ROAD,10.039
neram_road,Neram Road,398.0,31715.303,40995.605,10.125,10.087,10.225,,,NERAM ROAD,8.197
neram_road,Neram Road,400.0,31714.879,40997.56,10.075,10.075,10.225,,,NERAM ROAD,6.354
neram_road,Neram Road,402.0,31714.454,40999.514,10.225,10.225,10.225,,,NERAM ROAD,4.511
neram_road,Neram Road,404.0,31714.03,41001.469,10.325,10.325,10.325,1.875,1.0,NERAM ROAD,2.668
neram_road,Neram Road,406.0,31713.606,41003.423,10.425,10.425,10.375,1.875,1.0,NERAM ROAD,0.825
neram_road,Neram Road,408.0,31713.901,41004.491,10.425,10.425,10.375,0.0,1.0,NERAM ROAD,0.279
neram_road,Neram Road,410.0,31715.726,41003.675,10.375,10.375,10.375,-1.25,1.0,NERAM ROAD,0.187
neram_road,Neram Road,412.0,31717.552,41002.858,10.325,10.325,10.325,-1.875,1.0,NERAM ROAD,0.654
neram_road,Neram Road,414.0,31719.378,41002.041,10.275,10.275,10.275,-2.5,1.0,NERAM ROAD,1.12
neram_road,Neram Road,416.0,31721.203,41001.224,10.225,10.225,10.225,-2.5,1.0,NERAM ROAD,1.587
neram_road,Neram Road,418.0,31723.147,41000.869,10.175,10.175,10.175,-2.5,1.0,NERAM ROAD,1.577
neram_road,Neram Road,420.0,31725.14,41000.71,10.125,10.125,10.125,-1.875,1.0,NERAM ROAD,1.366
neram_road,Neram Road,422.0,31727.134,41000.551,10.075,10.075,10.075,-1.875,1.0,NERAM ROAD,1.156
neram_road,Neram Road,424.0,31729.128,41000.391,10.075,10.075,10.075,-1.25,1.0,NERAM ROAD,0.945
neram_road,Neram Road,426.0,31731.121,41000.232,10.025,10.025,10.025,-1.25,1.0,NERAM ROAD,0.734
neram_road,Neram Road,428.0,31733.113,41000.151,10.025,10.025,10.025,-1.25,1.0,NERAM ROAD,0.447
neram_road,Neram Road,430.0,31735.096,41000.41,9.975,9.975,9.975,-0.625,1.0,NERAM ROAD,0.173
neram_road,Neram Road,432.0,31737.079,41000.668,9.925,9.925,9.975,-0.625,1.0,NERAM ROAD,0.793
neram_road,Neram Road,434.0,31739.063,41000.927,9.875,9.875,9.975,0.0,1.0,NERAM ROAD,1.413
neram_road,Neram Road,436.0,31741.046,41001.186,9.975,9.975,9.975,3.438,1.0,NERAM ROAD,2.032
neram_road,Neram Road,438.0,31743.029,41001.444,9.975,9.975,9.975,,,NERAM ROAD,2.652
neram_road,Neram Road,440.0,31744.959,41000.935,10.25,10.25,10.25,,,NERAM ROAD,2.507
neram_road,Neram Road,442.0,31746.887,41000.404,10.71,10.274,10.274,3.74,1.0,NERAM ROAD,2.341
neram_road,Neram Road,444.0,31748.816,40999.874,10.735,10.298,10.274,,,NERAM ROAD,2.175
neram_road,Neram Road,446.0,31750.744,40999.344,10.322,10.322,10.274,,,NERAM ROAD,2.01
neram_road,Neram Road,448.0,31752.673,40998.814,10.235,10.072,10.072,,,NERAM ROAD,1.844
neram_road,Neram Road,450.0,31754.601,40998.284,10.197,9.822,9.822,-9.083,2.0,NERAM ROAD,1.678
neram_road,Neram Road,452.0,31756.566,40997.912,9.572,9.572,9.572,,,NERAM ROAD,1.675
neram_road,Neram Road,454.0,31758.532,40997.543,9.547,9.547,9.547,,,NERAM ROAD,1.675
neram_road,Neram Road,456.0,31760.498,40997.174,9.425,9.425,9.425,-2.469,1.0,NERAM ROAD,1.674
neram_road,Neram Road,458.0,31762.463,40996.805,9.425,9.425,9.425,-2.156,1.0,NERAM ROAD,1.674
neram_road,Neram Road,460.0,31764.429,40996.436,9.375,9.375,9.375,-1.25,1.0,NERAM ROAD,1.673
neram_road,Neram Road,462.0,31766.395,40996.067,9.375,9.375,9.375,-1.875,1.0,NERAM ROAD,1.673
neram_road,Neram Road,464.0,31768.36,40995.698,9.325,9.325,9.325,-1.875,1.0,NERAM ROAD,1.673
neram_road,Neram Road,466.0,31770.326,40995.329,9.275,9.275,9.275,-1.875,1.0,NERAM ROAD,1.672
neram_road,Neram Road,468.0,31772.292,40994.96,9.225,9.225,9.225,-1.25,1.0,NERAM ROAD,1.672
neram_road,Neram Road,470.0,31774.257,40994.591,9.225,9.225,9.225,-0.625,1.0,NERAM ROAD,1.683
neram_road,Neram Road,472.0,31776.223,40994.222,9.175,9.175,9.225,,,NERAM ROAD,2.642
neram_road,Neram Road,474.0,31777.68,40992.881,9.175,9.175,9.225,,,NERAM ROAD,2.78
neram_road,Neram Road,476.0,31779.104,40991.477,9.125,9.425,9.425,,,NERAM ROAD,2.851
neram_road,Neram Road,478.0,31780.529,40990.073,9.225,9.675,9.675,9.792,2.0,NERAM ROAD,2.923
neram_road,Neram Road,480.0,31781.953,40988.669,9.9,9.925,9.925,,,NERAM ROAD,2.994
