path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
nim_green,1,Nim Green_Cam4_20260101_093608_873_B.jpeg,,12.147,6.074,6.0,17.681,,
nim_green,2,Nim Green_Cam4_20260101_093613_705_B.jpeg,,23.52,17.834,18.0,18.365,,
nim_green,3,Nim Green_Cam4_20260101_093617_953_B.jpeg,,34.491,29.006,30.0,18.801,,
nim_green,4,Nim Green_Cam4_20260101_093621_558_B.jpeg,,56.913,45.702,46.0,19.864,,
nim_green,5,Nim Green_Cam4_20260101_093629_372_B.jpeg,,68.227,62.57,62.0,18.904,1.875,1.0
nim_green,6,Nim Green_Cam4_20260101_093633_584_B.jpeg,,79.309,73.768,74.0,19.379,4.062,1.0
nim_green,7,Nim Green_Cam4_20260101_093637_789_B.jpeg,,91.358,85.333,86.0,19.804,3.281,1.0
nim_green,8,Nim Green_Cam4_20260101_093641_994_B.jpeg,,96.75,94.054,94.0,20.104,3.75,1.0
nim_green,9,Nim Green_Cam4_20260101_093643_798_B.jpeg,,125.231,110.99,110.0,20.654,3.75,1.0
nim_green,10,Nim Green_Cam4_20260101_093653_409_B.jpeg,,135.99,130.61,130.0,22.267,,
nim_green,11,Nim Green_Cam4_20260101_093657_013_B.jpeg,,148.046,142.018,142.0,22.308,,
nim_green,12,Nim Green_Cam4_20260101_093701_220_B.jpeg,,159.413,153.729,154.0,22.891,,
nim_green,13,Nim Green_Cam4_20260101_093706_070_B.jpeg,,165.271,162.342,162.0,22.534,0.937,1.0
nim_green,14,Nim Green_Cam4_20260101_093708_509_B.jpeg,,174.935,170.103,170.0,22.659,1.44,1.0
nim_green,15,Nim Green_Cam4_20260101_093713_315_B.jpeg,,223.052,198.994,198.0,22.5,,
nim_green,16,Nim Green_Cam4_20260101_093735_001_B.jpeg,,291.885,257.469,258.0,20.004,-3.75,1.0
nim_green,17,Nim Green_Cam4_20260101_093755_464_B.jpeg,,351.803,321.844,322.0,17.739,,
nim_green,18,Nim Green_Cam4_20260101_093811_098_B.jpeg,,534.944,443.373,444.0,20.382,,
nim_green,19,Nim Green_Cam4_20260101_094753_391_B.jpeg,,547.02,540.982,540.0,21.514,,
nim_green,20,Nim Green_Cam4_20260101_094756_462_B.jpeg,,554.687,550.853,550.0,20.873,,
nim_green,21,Nim Green_Cam4_20260101_094758_267_B.jpeg,,564.583,559.635,560.0,20.173,,
nim_green,22,Nim Green_Cam4_20260101_094800_697_B.jpeg,,574.36,569.472,570.0,19.942,,
nim_green,23,Nim Green_Cam4_20260101_094803_699_B.jpeg,,582.488,578.424,578.0,20.276,,
nim_green,24,Nim Green_Cam4_20260101_094806_206_B.jpeg,,635.08,608.784,608.0,18.85,-2.5,1.0
nim_green,25,Nim Green_Cam4_20260101_094820_130_B.jpeg,,646.726,640.903,640.0,18.021,,
nim_green,26,Nim Green_Cam4_20260101_094823_734_B.jpeg,,657.304,652.015,652.0,17.612,-3.681,1.0
nim_green,27,Nim Green_Cam4_20260101_094827_342_B.jpeg,,668.492,662.898,662.0,17.296,,
nim_green,28,Nim Green_Cam4_20260101_094830_946_B.jpeg,,674.549,671.521,672.0,17.429,,
nim_green,29,Nim Green_Cam4_20260101_094832_801_B.jpeg,,684.888,679.719,680.0,16.669,,
nim_green,30,Nim Green_Cam4_20260101_094835_808_B.jpeg,,694.335,689.612,690.0,16.369,-1.25,1.0
nim_green,31,Nim Green_Cam4_20260101_094838_289_B.jpeg,,706.17,700.252,700.0,17.14,,
nim_green,32,Nim Green_Cam4_20260101_094841_375_B.jpeg,,714.594,710.382,710.0,18.033,,
nim_green,33,Nim Green_Cam4_20260101_094843_778_B.jpeg,,721.232,717.913,718.0,17.957,,
nim_green,34,Nim Green_Cam4_20260101_094848_049_B.jpeg,,870.061,795.647,796.0,19.804,,
nim_green,35,Nim Green_Cam4_20260101_095008_302_B.jpeg,,879.704,874.882,874.0,19.348,-8.333,1.0
nim_green,36,Nim Green_Cam4_20260101_095011_950_B.jpeg,,893.671,886.687,886.0,18.431,-9.375,2.0
nim_green,37,Nim Green_Cam4_20260101_095015_625_B.jpeg,,901.198,897.434,898.0,17.931,,
nim_green,38,Nim Green_Cam4_20260101_095017_428_B.jpeg,,910.733,905.965,906.0,17.148,-8.698,1.0
