path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
saraca_road,Saraca Road,76.0,31498.08,40736.723,19.913,17.638,17.638,-1.25,1.0,SARACA ROAD,13.446
saraca_road,Saraca Road,78.0,31496.317,40737.667,17.638,17.638,17.613,-2.361,1.0,SARACA ROAD,12.831
saraca_road,Saraca Road,80.0,31494.554,40738.611,17.588,17.588,17.588,-5.608,1.0,SARACA ROAD,12.215
saraca_road,Saraca Road,82.0,31492.79,40739.555,17.496,17.496,17.496,-8.854,2.0,SARACA ROAD,11.6
saraca_road,Saraca Road,84.0,31491.027,40740.499,17.479,17.2,17.2,-12.083,2.0,SARACA ROAD,10.985
saraca_road,Saraca Road,86.0,31489.264,40741.443,16.904,16.904,16.904,-11.771,2.0,SARACA ROAD,10.369
saraca_road,Saraca Road,88.0,31487.501,40742.386,16.621,16.621,16.621,-8.073,1.0,SARACA ROAD,9.791
saraca_road,Saraca Road,90.0,31485.737,40743.33,16.554,16.554,16.554,-4.375,1.0,SARACA ROAD,9.176
saraca_road,Saraca Road,92.0,31483.974,40744.274,16.538,16.538,16.554,-0.313,1.0,SARACA ROAD,8.561
saraca_road,Saraca Road,94.0,31482.211,40745.218,16.538,16.538,16.554,0.964,1.0,SARACA ROAD,7.946
saraca_road,Saraca Road,96.0,31480.448,40746.162,16.596,16.596,16.596,2.24,1.0,SARACA ROAD,7.331
saraca_road,Saraca Road,98.0,31478.685,40747.106,17.038,16.733,16.733,2.708,1.0,SARACA ROAD,6.716
saraca_road,Saraca Road,100.0,31476.921,40748.05,16.871,16.871,16.733,2.5,1.0,SARACA ROAD,6.101
saraca_road,Saraca Road,102.0,31475.158,40748.994,16.771,16.771,16.771,2.318,1.0,SARACA ROAD,5.486
saraca_road,Saraca Road,104.0,31473.395,40749.938,16.721,16.721,16.796,2.135,1.0,SARACA ROAD,4.871
saraca_road,Saraca Road,106.0,31471.632,40750.882,16.796,16.796,16.796,3.333,1.0,SARACA ROAD,4.256
saraca_road,Saraca Road,108.0,31469.868,40751.826,16.904,16.904,16.904,4.688,1.0,SARACA ROAD,3.641
saraca_road,Saraca Road,110.0,31468.105,40752.77,17.038,17.038,17.038,6.562,1.0,SARACA ROAD,3.069
saraca_road,Saraca Road,112.0,31466.342,40753.714,17.171,17.171,17.171,6.667,1.0,SARACA ROAD,3.184
saraca_road,Saraca Road,114.0,31464.579,40754.658,17.321,17.321,17.321,7.083,1.0,SARACA ROAD,3.393
saraca_road,Saraca Road,116.0,31462.815,40755.601,17.438,17.438,17.438,6.875,1.0,SARACA ROAD,3.603
saraca_road,Saraca Road,118.0,31461.052,40756.545,17.604,17.604,17.604,7.332,1.0,SARACA ROAD,3.812
saraca_road,Saraca Road,120.0,31459.289,40757.489,17.721,17.721,17.721,8.139,1.0,SARACA ROAD,4.022
saraca_road,Saraca Road,122.0,31457.526,40758.433,17.907,17.907,17.907,6.915,1.0,SARACA ROAD,4.231
saraca_road,Saraca Road,124.0,31455.762,40759.377,18.089,18.089,18.089,7.878,1.0,SARACA ROAD,4.441
saraca_road,Saraca Road,126.0,31453.999,40760.321,18.157,18.157,18.157,,,SARACA ROAD,4.65
saraca_road,Saraca Road,128.0,31452.236,40761.265,18.351,18.351,18.351,,,SARACA ROAD,4.86
saraca_road,Saraca Road,130.0,31450.473,40762.209,20.682,18.493,18.493,,,SARACA ROAD,5.069
saraca_road,Saraca Road,132.0,31448.71,40763.153,20.876,18.636,18.636,,,SARACA ROAD,5.279
saraca_road,Saraca Road,134.0,31446.946,40764.097,20.826,18.778,18.778,,,SARACA ROAD,5.488
saraca_road,Saraca Road,136.0,31445.183,40765.041,19.97,18.92,18.92,,,SARACA ROAD,5.698
saraca_road,Saraca Road,138.0,31443.42,40765.985,19.126,19.062,19.062,,,SARACA ROAD,5.907
saraca_road,Saraca Road,140.0,31441.657,40766.929,19.204,19.204,19.204,,,SARACA ROAD,6.117
saraca_road,Saraca Road,142.0,31439.893,40767.873,19.31,19.455,19.455,,,SARACA ROAD,6.326
saraca_road,Saraca Road,144.0,31438.13,40768.816,19.485,19.745,19.745,,,SARACA ROAD,6.536
saraca_road,Saraca Road,146.0,31436.367,40769.76,20.782,20.035,20.035,,,SARACA ROAD,6.745
saraca_road,Saraca Road,148.0,31434.604,40770.704,20.498,20.325,20.325,,,SARACA ROAD,6.955
saraca_road,Saraca Road,150.0,31432.84,40771.648,20.615,20.615,20.548,,,SARACA ROAD,7.164
saraca_road,Saraca Road,152.0,31431.077,40772.592,20.932,20.582,20.548,,,SARACA ROAD,7.374
saraca_road,Saraca Road,154.0,31429.314,40773.536,20.532,20.548,20.548,0.0,1.0,SARACA ROAD,7.583
saraca_road,Saraca Road,156.0,31427.551,40774.48,20.515,20.515,20.548,,,SARACA ROAD,7.793
saraca_road,Saraca Road,158.0,31425.787,40775.424,20.473,20.473,20.548,,,SARACA ROAD,8.003
saraca_road,Saraca Road,160.0,31424.024,40776.368,20.665,20.665,20.54,1.458,1.0,SARACA ROAD,8.212
saraca_road,Saraca Road,162.0,31422.261,40777.312,20.348,20.602,20.602,,,SARACA ROAD,8.422
saraca_road,Saraca Road,164.0,31420.498,40778.256,20.54,20.54,20.665,,,SARACA ROAD,8.631
saraca_road,Saraca Road,166.0,31418.735,40779.2,21.682,20.74,20.74,,,SARACA ROAD,8.84
saraca_road,Saraca Road,168.0,31416.971,40780.144,20.815,20.94,20.94,,,SARACA ROAD,9.05
saraca_road,Saraca Road,170.0,31415.208,40781.088,21.407,21.139,20.958,,,SARACA ROAD,9.259
saraca_road,Saraca Road,172.0,31413.445,40782.031,21.339,21.049,20.958,,,SARACA ROAD,9.468
saraca_road,Saraca Road,174.0,31411.682,40782.975,21.614,20.958,20.958,,,SARACA ROAD,9.677
saraca_road,Saraca Road,176.0,31409.918,40783.919,20.577,20.811,20.889,,,SARACA ROAD,9.887
saraca_road,Saraca Road,178.0,31408.155,40784.863,20.664,20.664,20.889,,,SARACA ROAD,10.096
saraca_road,Saraca Road,180.0,31406.392,40785.807,20.889,20.889,20.889,,,SARACA ROAD,10.305
saraca_road,Saraca Road,182.0,31404.629,40786.751,21.577,21.17,21.17,,,SARACA ROAD,10.515
saraca_road,Saraca Road,184.0,31402.865,40787.695,21.452,21.452,21.452,,,SARACA ROAD,10.724
saraca_road,Saraca Road,186.0,31401.102,40788.639,21.139,21.704,21.704,,,SARACA ROAD,10.933
saraca_road,Saraca Road,188.0,31399.339,40789.583,21.214,21.957,21.957,,,SARACA ROAD,11.142
saraca_road,Saraca Road,190.0,31397.576,40790.527,21.714,22.209,22.209,,,SARACA ROAD,11.352
saraca_road,Saraca Road,192.0,31395.812,40791.471,22.339,22.462,22.462,,,SARACA ROAD,11.561
saraca_road,Saraca Road,194.0,31394.049,40792.415,22.714,22.714,22.714,,,SARACA ROAD,11.77
saraca_road,Saraca Road,196.0,31392.286,40793.359,22.914,22.914,22.714,,,SARACA ROAD,11.979
saraca_road,Saraca Road,198.0,31390.523,40794.303,23.039,22.73,22.714,,,SARACA ROAD,12.188
saraca_road,Saraca Road,200.0,31388.76,40795.246,23.539,22.545,22.73,,,SARACA ROAD,12.397
saraca_road,Saraca Road,202.0,31386.996,40796.19,22.952,22.657,22.73,,,SARACA ROAD,12.606
saraca_road,Saraca Road,204.0,31385.233,40797.134,21.289,22.768,22.768,,,SARACA ROAD,12.815
saraca_road,Saraca Road,206.0,31383.47,40798.078,21.064,22.88,22.88,,,SARACA ROAD,13.024
saraca_road,Saraca Road,208.0,31381.707,40799.022,20.914,22.991,22.991,,,SARACA ROAD,13.233
saraca_road,Saraca Road,210.0,31379.943,40799.966,21.177,23.103,23.103,,,SARACA ROAD,13.442
saraca_road,Saraca Road,212.0,31378.18,40800.91,23.214,23.31,23.31,,,SARACA ROAD,13.651
saraca_road,Saraca Road,214.0,31376.417,40801.854,23.464,23.517,23.517,,,SARACA ROAD,13.86
saraca_road,Saraca Road,216.0,31374.654,40802.798,22.839,23.743,23.743,,,SARACA ROAD,14.069
saraca_road,Saraca Road,218.0,31372.89,40803.742,24.477,23.969,23.969,,,SARACA ROAD,14.278
saraca_road,Saraca Road,220.0,31371.127,40804.686,24.427,24.195,24.179,,,SARACA ROAD,14.487
saraca_road,Saraca Road,222.0,31369.364,40805.63,22.614,24.42,24.179,,,SARACA ROAD,14.696
saraca_road,Saraca Road,224.0,31367.601,40806.574,24.414,24.179,24.179,,,SARACA ROAD,14.905
saraca_road,Saraca Road,226.0,31365.837,40807.518,24.439,23.938,23.938,,,SARACA ROAD,15.114
saraca_road,Saraca Road,228.0,31364.074,40808.461,22.639,23.697,23.697,,,SARACA ROAD,15.324
saraca_road,Saraca Road,230.0,31362.311,40809.405,24.439,23.456,23.456,,,SARACA ROAD,15.533
saraca_road,Saraca Road,232.0,31360.548,40810.349,24.064,23.421,23.421,,,SARACA ROAD,15.742
saraca_road,Saraca Road,234.0,31358.785,40811.293,23.489,23.385,23.385,,,SARACA ROAD,15.952
saraca_road,Saraca Road,236.0,31357.021,40812.237,21.539,23.35,23.35,,,SARACA ROAD,16.161
saraca_road,Saraca Road,238.0,31355.258,40813.181,21.489,23.315,23.315,,,SARACA ROAD,16.37
saraca_road,Saraca Road,240.0,31353.495,40814.125,21.514,23.28,23.28,,,SARACA ROAD,16.58
saraca_road,Saraca Road,242.0,31351.732,40815.069,21.339,23.245,23.245,,,SARACA ROAD,16.789
saraca_road,Saraca Road,244.0,31349.968,40816.013,23.089,23.209,23.209,,,SARACA ROAD,16.998
saraca_road,Saraca Road,246.0,31348.205,40816.957,21.352,23.174,23.209,,,SARACA ROAD,17.207
saraca_road,Saraca Road,248.0,31346.442,40817.901,23.139,23.139,23.209,,,SARACA ROAD,17.417
saraca_road,Saraca Road,250.0,31344.679,40818.845,23.389,23.389,23.389,,,SARACA ROAD,17.626
saraca_road,Saraca Road,252.0,31342.915,40819.789,24.539,23.409,23.409,,,SARACA ROAD,17.835
saraca_road,Saraca Road,254.0,31341.152,40820.733,21.539,23.429,23.429,,,SARACA ROAD,18.045
saraca_road,Saraca Road,256.0,31339.389,40821.677,23.927,23.449,23.449,,,SARACA ROAD,18.254
saraca_road,Saraca Road,258.0,31337.626,40822.62,23.277,23.469,23.469,,,SARACA ROAD,18.463
saraca_road,Saraca Road,260.0,31335.862,40823.564,23.489,23.489,23.489,,,SARACA ROAD,18.673
saraca_road,Saraca Road,262.0,31334.099,40824.508,22.014,23.592,23.592,,,SARACA ROAD,18.882
saraca_road,Saraca Road,264.0,31332.336,40825.452,25.814,23.695,23.695,,,SARACA ROAD,19.091
saraca_road,Saraca Road,266.0,31330.573,40826.396,25.564,23.798,23.798,,,SARACA ROAD,19.3
saraca_road,Saraca Road,268.0,31328.81,40827.34,18.214,23.9,23.9,,,SARACA ROAD,19.51
saraca_road,Saraca Road,270.0,31327.046,40828.284,24.339,24.003,24.003,,,SARACA ROAD,19.719
saraca_road,Saraca Road,272.0,31325.283,40829.228,25.114,24.106,24.106,,,SARACA ROAD,19.928
saraca_road,Saraca Road,274.0,31323.52,40830.172,24.377,24.209,24.209,,,SARACA ROAD,20.138
saraca_road,Saraca Road,276.0,31321.757,40831.116,27.189,24.312,24.312,,,SARACA ROAD,20.347
saraca_road,Saraca Road,278.0,31319.993,40832.06,24.247,24.433,24.326,,,SARACA ROAD,20.556
saraca_road,Saraca Road,280.0,31318.23,40833.004,24.555,24.555,24.326,,,SARACA ROAD,20.751
saraca_road,Saraca Road,282.0,31316.467,40833.948,25.545,24.326,24.326,,,SARACA ROAD,20.22
saraca_road,Saraca Road,284.0,31314.704,40834.892,25.482,24.097,24.097,,,SARACA ROAD,19.69
saraca_road,Saraca Road,286.0,31312.94,40835.835,27.106,23.868,23.868,,,SARACA ROAD,19.16
saraca_road,Saraca Road,288.0,31311.177,40836.779,29.523,23.639,23.639,,,SARACA ROAD,18.63
saraca_road,Saraca Road,290.0,31309.414,40837.723,23.723,23.41,23.41,,,SARACA ROAD,18.1
saraca_road,Saraca Road,292.0,31307.651,40838.667,23.181,23.181,23.181,,,SARACA ROAD,17.569
saraca_road,Saraca Road,294.0,31305.887,40839.611,24.573,23.123,23.123,,,SARACA ROAD,17.039
saraca_road,Saraca Road,296.0,31304.124,40840.555,23.081,23.064,23.123,,,SARACA ROAD,16.509
saraca_road,Saraca Road,298.0,31302.361,40841.499,23.006,23.006,23.123,,,SARACA ROAD,15.979
saraca_road,Saraca Road,300.0,31300.598,40842.443,22.606,23.198,23.198,,,SARACA ROAD,15.449
saraca_road,Saraca Road,302.0,31298.835,40843.387,22.806,23.389,23.389,,,SARACA ROAD,14.918
saraca_road,Saraca Road,304.0,31297.071,40844.331,23.581,23.581,23.389,,,SARACA ROAD,14.388
saraca_road,Saraca Road,306.0,31295.308,40845.275,24.598,23.441,23.389,,,SARACA ROAD,13.858
saraca_road,Saraca Road,308.0,31293.545,40846.219,23.739,23.301,23.301,,,SARACA ROAD,13.328
