path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
saraca_road,1,Saraca Road_Cam4_20260101_093250_103_B.jpeg,,11.671,5.836,,,,
saraca_road,2,Saraca Road_Cam4_20260101_093253_105_B.jpeg,,20.505,16.088,,,,
saraca_road,3,Saraca Road_Cam4_20260101_093256_128_B.jpeg,,30.924,25.715,,,,
saraca_road,4,Saraca Road_Cam4_20260101_093300_935_B.jpeg,,51.47,41.197,,,,
saraca_road,5,Saraca Road_Cam4_20260101_093314_154_B.jpeg,,391.64,221.555,222.0,24.179,,
saraca_road,6,Saraca Road_Cam4_20260105_080945_056_C.jpeg,,401.946,396.793,396.0,22.022,,
saraca_road,7,Saraca Road_Cam4_20260105_080949_860_C.jpeg,,410.048,405.997,406.0,21.697,0.937,1.0
saraca_road,8,Saraca Road_Cam4_20260105_080954_069_C.jpeg,,420.138,415.093,416.0,21.863,,
saraca_road,9,Saraca Road_Cam4_20260105_080957_674_C.jpeg,,429.324,424.731,424.0,21.897,-2.344,1.0
saraca_road,10,Saraca Road_Cam4_20260105_081000_676_C.jpeg,,440.551,434.938,434.0,21.67,,
saraca_road,11,Saraca Road_Cam4_20260105_081004_279_C.jpeg,,450.879,445.715,446.0,21.55,,
saraca_road,12,Saraca Road_Cam4_20260105_081007_881_C.jpeg,,463.005,456.942,456.0,21.505,0.562,1.0
saraca_road,13,Saraca Road_Cam4_20260105_081012_688_C.jpeg,,470.879,466.942,466.0,21.585,1.438,1.0
saraca_road,14,Saraca Road_Cam4_20260105_081015_694_C.jpeg,,507.413,489.146,,,,
saraca_road,15,Saraca Road_Cam4_20260105_081028_308_C.jpeg,,516.204,511.809,512.0,21.248,,
saraca_road,16,Saraca Road_Cam4_20260105_081030_712_C.jpeg,,542.31,529.257,530.0,20.849,,
saraca_road,17,Saraca Road_Cam4_20260105_081037_318_C.jpeg,,552.85,547.58,548.0,18.755,,
saraca_road,18,Saraca Road_Cam4_20260105_081040_321_C.jpeg,,563.411,558.13,558.0,21.32,,
saraca_road,19,Saraca Road_Cam4_20260105_081047_527_C.jpeg,,585.699,574.555,,,,
saraca_road,20,Saraca Road_Cam4_20260105_081058_227_C.jpeg,,1409.041,997.37,998.0,16.795,-5.0,1.0
saraca_road,21,Saraca Road_Cam4_20260106_101819_523_C.jpeg,,1446.562,1427.802,1428.0,18.233,,
saraca_road,22,Saraca Road_Cam4_20260106_102059_817_C.jpeg,,1457.495,1452.028,1452.0,18.143,,
saraca_road,23,Saraca Road_Cam4_20260106_102105_222_C.jpeg,,1468.251,1462.873,1462.0,18.523,,
saraca_road,24,Saraca Road_Cam4_20260106_102109_428_C.jpeg,,1479.707,1473.979,1474.0,18.98,,
saraca_road,25,Saraca Road_Cam4_20260106_102114_234_C.jpeg,,1499.985,1489.846,1490.0,18.739,,
saraca_road,26,Saraca Road_Cam4_20260106_102125_650_C.jpeg,,1509.992,1504.988,1504.0,18.373,,
saraca_road,27,Saraca Road_Cam4_20260106_102128_530_C.jpeg,,1517.519,1513.756,1512.0,18.047,,
saraca_road,28,Saraca Road_Cam4_20260106_102131_548_C.jpeg,,1545.104,1531.312,,,,
saraca_road,29,Saraca Road_Cam4_20260106_102734_777_C.jpeg,,1555.965,1550.535,1550.0,17.695,,
saraca_road,30,Saraca Road_Cam4_20260106_102738_381_C.jpeg,,1565.027,1560.496,1560.0,16.314,,
saraca_road,31,Saraca Road_Cam4_20260106_102741_401_C.jpeg,,1574.745,1569.886,1570.0,14.742,,
saraca_road,32,Saraca Road_Cam4_20260106_102746_208_C.jpeg,,1583.804,1579.275,1580.0,15.109,,
saraca_road,33,Saraca Road_Cam4_20260106_102751_017_C.jpeg,,1594.623,1589.214,1590.0,15.584,,
saraca_road,34,Saraca Road_Cam4_20260106_102755_220_C.jpeg,,1605.279,1599.951,1600.0,15.182,,
saraca_road,35,Saraca Road_Cam4_20260106_102758_224_C.jpeg,,1614.161,1609.72,1610.0,14.035,,
saraca_road,36,Saraca Road_Cam4_20260106_102800_626_C.jpeg,,1625.276,1619.718,1620.0,14.133,,
saraca_road,37,Saraca Road_Cam4_20260106_102804_230_C.jpeg,,1637.128,1631.202,1632.0,14.692,,
saraca_road,38,Saraca Road_Cam4_20260106_102811_455_C.jpeg,,1642.692,1639.91,1640.0,15.065,,
saraca_road,39,Saraca Road_Cam4_20260106_102813_258_C.jpeg,,1653.907,1648.299,1648.0,15.344,,
saraca_road,40,Saraca Road_Cam4_20260106_102816_861_C.jpeg,,1663.156,1658.531,1658.0,14.712,,
saraca_road,41,Saraca Road_Cam4_20260106_102819_869_C.jpeg,,1672.906,1668.031,1668.0,13.689,,
saraca_road,42,Saraca Road_Cam4_20260106_102822_872_C.jpeg,,1683.482,1678.194,1678.0,13.447,,
saraca_road,43,Saraca Road_Cam4_20260106_102826_478_C.jpeg,,1693.338,1688.41,1688.0,13.331,,
saraca_road,44,Saraca Road_Cam4_20260106_102830_087_C.jpeg,,1704.632,1698.985,1698.0,13.462,,
saraca_road,45,Saraca Road_Cam4_20260106_102834_291_C.jpeg,,1728.346,1716.489,1716.0,15.253,,
saraca_road,46,Saraca Road_Cam4_20260106_102842_104_C.jpeg,,1738.896,1733.621,1734.0,15.356,,
saraca_road,47,Saraca Road_Cam4_20260106_102913_386_C.jpeg,,1750.771,1744.833,1744.0,14.565,,
saraca_road,48,Saraca Road_Cam4_20260106_102918_790_C.jpeg,,1757.799,1754.285,1754.0,14.506,,
saraca_road,49,Saraca Road_Cam4_20260106_102921_193_C.jpeg,,1768.612,1763.206,1764.0,14.432,,
saraca_road,50,Saraca Road_Cam4_20260106_102924_799_C.jpeg,,1777.288,1772.95,1772.0,15.055,,
saraca_road,51,Saraca Road_Cam4_20260106_102927_813_C.jpeg,,1787.507,1782.397,1782.0,16.152,,
saraca_road,52,Saraca Road_Cam4_20260106_102931_414_C.jpeg,,1798.063,1792.785,1792.0,16.773,,
saraca_road,53,Saraca Road_Cam4_20260106_102935_017_C.jpeg,,1807.656,1802.859,1802.0,17.199,,
saraca_road,54,Saraca Road_Cam4_20260106_102938_625_C.jpeg,,1818.014,1812.835,1812.0,16.089,,
saraca_road,55,Saraca Road_Cam4_20260106_102942_229_C.jpeg,,1829.535,1823.775,1824.0,16.554,,
saraca_road,56,Saraca Road_Cam4_20260106_102947_636_C.jpeg,,1885.745,1857.64,,,,
saraca_road,57,Saraca Road_Cam4_20260106_103007_485_C.jpeg,,1897.438,1891.592,1892.0,18.279,,
saraca_road,58,Saraca Road_Cam4_20260106_103011_095_C.jpeg,,1905.157,1901.298,1902.0,18.771,,
saraca_road,59,Saraca Road_Cam4_20260106_103013_498_C.jpeg,,1933.484,1919.321,1920.0,19.676,,
saraca_road,60,Saraca Road_Cam4_20260106_103023_719_C.jpeg,,1958.274,1945.879,1946.0,20.932,,
saraca_road,61,Saraca Road_Cam4_20260106_103032_131_C.jpeg,,1968.166,1963.22,1964.0,20.971,,
saraca_road,62,Saraca Road_Cam4_20260106_103035_734_C.jpeg,,1978.219,1973.193,1974.0,20.764,,
saraca_road,63,Saraca Road_Cam4_20260106_103039_338_C.jpeg,,1989.252,1983.735,1984.0,21.327,,
saraca_road,64,Saraca Road_Cam4_20260106_103042_942_C.jpeg,,2016.316,2002.784,2002.0,21.577,,
saraca_road,65,Saraca Road_Cam4_20260106_103052_559_C.jpeg,,2025.464,2020.89,2020.0,21.114,,
