path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
saraca_view,Saraca View,0.0,31053.936,40867.284,17.866,17.866,17.824,0.0,1.0,SARACA VIEW,3.029
saraca_view,Saraca View,2.0,31053.286,40869.175,17.824,17.824,17.816,-0.278,1.0,SARACA VIEW,3.456
saraca_view,Saraca View,4.0,31052.636,40871.067,17.774,17.774,17.824,-0.208,1.0,SARACA VIEW,3.882
saraca_view,Saraca View,6.0,31051.986,40872.958,17.808,17.808,17.808,-0.104,1.0,SARACA VIEW,4.309
saraca_view,Saraca View,8.0,31051.336,40874.85,17.849,17.849,17.808,0.312,1.0,SARACA VIEW,4.736
saraca_view,Saraca View,10.0,31050.686,40876.741,17.774,17.774,17.808,0.625,1.0,SARACA VIEW,5.162
saraca_view,Saraca View,12.0,31050.226,40878.677,17.808,17.808,17.849,1.354,1.0,SARACA VIEW,5.395
saraca_view,Saraca View,14.0,31049.966,40880.66,17.858,17.858,17.858,1.354,1.0,SARACA VIEW,5.424
saraca_view,Saraca View,16.0,31049.706,40882.643,17.916,17.916,17.916,0.833,1.0,SARACA VIEW,5.452
saraca_view,Saraca View,18.0,31049.446,40884.626,17.949,17.949,17.916,-0.521,1.0,SARACA VIEW,5.481
saraca_view,Saraca View,20.0,31049.186,40886.609,18.091,18.091,17.916,,,SARACA VIEW,5.51
saraca_view,Saraca View,22.0,31048.944,40888.594,17.816,17.816,17.816,,,SARACA VIEW,5.52
saraca_view,Saraca View,24.0,31048.772,40890.587,18.241,17.713,17.713,-3.819,1.0,SARACA VIEW,5.461
saraca_view,Saraca View,26.0,31048.599,40892.579,17.799,17.61,17.658,-2.569,1.0,SARACA VIEW,5.401
saraca_view,Saraca View,28.0,31048.427,40894.572,17.508,17.508,17.61,,,SARACA VIEW,5.342
saraca_view,Saraca View,30.0,31048.254,40896.564,17.658,17.658,17.61,,,SARACA VIEW,5.282
saraca_view,Saraca View,32.0,31048.082,40898.557,17.508,17.508,17.658,,,SARACA VIEW,5.223
saraca_view,Saraca View,34.0,31047.909,40900.55,17.708,17.708,17.708,,,SARACA VIEW,5.164
saraca_view,Saraca View,36.0,31047.749,40902.543,18.316,17.922,17.922,,,SARACA VIEW,5.092
saraca_view,Saraca View,38.0,31047.589,40904.537,17.758,18.137,18.137,,,SARACA VIEW,5.02
saraca_view,Saraca View,40.0,31047.428,40906.53,17.324,18.352,18.352,,,SARACA VIEW,4.949
saraca_view,Saraca View,42.0,31047.268,40908.524,18.97,18.567,18.567,,,SARACA VIEW,4.877
saraca_view,Saraca View,44.0,31047.108,40910.517,18.782,18.782,18.732,,,SARACA VIEW,4.805
saraca_view,Saraca View,46.0,31046.053,40912.104,18.732,18.732,18.782,,,SARACA VIEW,5.669
saraca_view,Saraca View,48.0,31044.656,40913.535,18.444,18.907,18.907,,,SARACA VIEW,6.892
saraca_view,Saraca View,50.0,31043.258,40914.966,19.082,19.157,19.157,,,SARACA VIEW,8.114
saraca_view,Saraca View,52.0,31041.861,40916.397,18.338,19.407,19.407,,,SARACA VIEW,9.336
saraca_view,Saraca View,54.0,31040.464,40917.828,19.47,19.697,19.697,,,SARACA VIEW,10.558
saraca_view,Saraca View,56.0,31039.067,40919.259,19.763,19.986,19.986,,,SARACA VIEW,11.78
saraca_view,Saraca View,58.0,31037.669,40920.69,20.382,20.276,20.276,,,SARACA VIEW,13.002
saraca_view,Saraca View,60.0,31036.272,40922.121,19.764,20.566,20.566,,,SARACA VIEW,14.225
saraca_view,Saraca View,204.0,30935.669,41025.15,21.684,20.855,20.855,,,SARACA VIEW,25.862
saraca_view,Saraca View,206.0,30934.271,41026.581,20.847,21.145,21.145,,,SARACA VIEW,25.469
saraca_view,Saraca View,208.0,30932.874,41028.012,20.822,21.435,21.435,,,SARACA VIEW,25.076
saraca_view,Saraca View,210.0,30931.477,41029.443,22.922,21.724,21.724,,,SARACA VIEW,24.682
saraca_view,Saraca View,212.0,30930.08,41030.874,24.797,22.014,22.014,,,SARACA VIEW,24.289
saraca_view,Saraca View,214.0,30928.682,41032.304,21.972,22.304,22.16,,,SARACA VIEW,23.896
saraca_view,Saraca View,216.0,30927.285,41033.735,22.16,22.16,22.304,,,SARACA VIEW,23.502
saraca_view,Saraca View,218.0,30925.888,41035.166,24.822,22.449,22.449,,,SARACA VIEW,23.109
saraca_view,Saraca View,220.0,30924.491,41036.597,23.951,22.737,22.737,,,SARACA VIEW,22.716
saraca_view,Saraca View,222.0,30923.093,41038.028,22.643,23.026,23.026,,,SARACA VIEW,22.323
saraca_view,Saraca View,224.0,30921.696,41039.459,24.201,23.315,23.315,,,SARACA VIEW,21.929
saraca_view,Saraca View,226.0,30920.299,41040.89,24.368,23.604,23.604,,,SARACA VIEW,21.536
saraca_view,Saraca View,228.0,30918.902,41042.321,23.893,23.893,23.604,,,SARACA VIEW,21.143
saraca_view,Saraca View,230.0,30917.504,41043.752,25.699,23.73,23.604,,,SARACA VIEW,20.75
saraca_view,Saraca View,232.0,30916.107,41045.183,23.336,23.568,23.568,-2.484,1.0,SARACA VIEW,20.356
saraca_view,Saraca View,234.0,30914.71,41046.614,25.536,23.405,23.474,,,SARACA VIEW,19.963
saraca_view,Saraca View,236.0,30913.312,41048.045,23.474,23.474,23.405,,,SARACA VIEW,19.57
saraca_view,Saraca View,238.0,30911.915,41049.476,25.774,23.231,23.231,,,SARACA VIEW,19.176
saraca_view,Saraca View,240.0,30910.518,41050.907,23.739,22.989,22.989,,,SARACA VIEW,18.783
saraca_view,Saraca View,242.0,30909.121,41052.338,23.839,22.885,22.885,,,SARACA VIEW,18.39
saraca_view,Saraca View,244.0,30907.723,41053.769,20.937,22.782,22.782,,,SARACA VIEW,17.997
saraca_view,Saraca View,246.0,30906.326,41055.2,23.149,22.678,22.678,,,SARACA VIEW,17.603
saraca_view,Saraca View,248.0,30904.929,41056.631,21.412,22.575,22.575,,,SARACA VIEW,17.21
saraca_view,Saraca View,250.0,30903.532,41058.062,19.899,22.472,22.472,,,SARACA VIEW,16.817
saraca_view,Saraca View,252.0,30902.134,41059.493,20.424,22.368,22.368,,,SARACA VIEW,16.424
saraca_view,Saraca View,254.0,30900.737,41060.924,20.174,22.265,22.265,,,SARACA VIEW,16.03
saraca_view,Saraca View,256.0,30899.34,41062.355,19.937,22.161,22.161,,,SARACA VIEW,15.637
saraca_view,Saraca View,258.0,30897.943,41063.786,21.299,22.058,22.058,,,SARACA VIEW,15.244
saraca_view,Saraca View,260.0,30896.545,41065.217,19.299,21.955,21.955,,,SARACA VIEW,14.85
saraca_view,Saraca View,262.0,30895.148,41066.647,23.074,21.851,21.955,,,SARACA VIEW,14.457
saraca_view,Saraca View,264.0,30893.751,41068.078,22.216,21.922,21.922,,,SARACA VIEW,14.064
saraca_view,Saraca View,266.0,30892.353,41069.509,22.799,21.992,21.851,,,SARACA VIEW,13.671
saraca_view,Saraca View,268.0,30890.956,41070.94,20.199,21.77,21.77,,,SARACA VIEW,13.277
saraca_view,Saraca View,270.0,30889.559,41072.371,22.849,21.547,21.547,,,SARACA VIEW,12.884
saraca_view,Saraca View,272.0,30888.162,41073.802,21.374,21.325,21.325,,,SARACA VIEW,12.406
saraca_view,Saraca View,274.0,30886.764,41075.233,21.107,21.103,21.103,,,SARACA VIEW,11.653
saraca_view,Saraca View,294.0,30872.792,41089.543,18.525,20.881,20.881,,,SARACA VIEW,7.583
saraca_view,Saraca View,296.0,30871.394,41090.974,18.65,20.658,20.658,,,SARACA VIEW,7.423
saraca_view,Saraca View,298.0,30869.997,41092.405,20.5,20.436,20.436,,,SARACA VIEW,7.262
saraca_view,Saraca View,300.0,30868.6,41093.836,18.113,20.214,20.214,,,SARACA VIEW,6.985
saraca_view,Saraca View,302.0,30867.203,41095.267,18.0,19.991,20.029,,,SARACA VIEW,6.592
saraca_view,Saraca View,304.0,30865.805,41096.698,19.769,19.769,20.029,,,SARACA VIEW,6.199
saraca_view,Saraca View,306.0,30864.408,41098.129,22.4,20.029,20.029,,,SARACA VIEW,5.806
saraca_view,Saraca View,308.0,30862.424,41098.314,24.65,20.29,20.29,3.255,1.0,SARACA VIEW,6.772
saraca_view,Saraca View,310.0,30860.431,41098.48,20.55,20.55,20.29,,,SARACA VIEW,7.76
saraca_view,Saraca View,312.0,30858.438,41098.646,20.413,20.413,20.29,,,SARACA VIEW,8.747
saraca_view,Saraca View,314.0,30856.445,41098.812,20.457,20.268,20.268,,,SARACA VIEW,9.735
saraca_view,Saraca View,316.0,30854.452,41098.978,19.004,20.123,20.123,,,SARACA VIEW,10.722
saraca_view,Saraca View,318.0,30852.459,41099.145,19.396,19.834,19.834,,,SARACA VIEW,11.709
saraca_view,Saraca View,320.0,30852.932,41100.276,18.287,19.546,19.546,,,SARACA VIEW,10.509
saraca_view,Saraca View,322.0,30854.283,41101.75,18.937,19.258,19.258,,,SARACA VIEW,8.529
saraca_view,Saraca View,324.0,30855.634,41103.225,18.787,18.969,18.969,,,SARACA VIEW,6.549
saraca_view,Saraca View,326.0,30856.985,41104.7,18.904,18.681,18.681,,,SARACA VIEW,4.569
saraca_view,Saraca View,328.0,30858.336,41106.174,18.104,18.392,18.392,,,SARACA VIEW,2.589
saraca_view,Saraca View,330.0,30859.687,41107.649,18.104,18.104,18.392,,,SARACA VIEW,0.609
saraca_view,Saraca View,332.0,30861.038,41109.124,18.087,18.326,18.392,,,SARACA VIEW,1.37
saraca_view,Saraca View,334.0,30862.389,41110.598,20.704,18.549,18.549,,,SARACA VIEW,3.35
saraca_view,Saraca View,336.0,30863.74,41112.073,18.771,18.771,18.704,,,SARACA VIEW,5.33
saraca_view,Saraca View,338.0,30865.301,41111.58,20.007,18.737,18.704,,,SARACA VIEW,5.804
saraca_view,Saraca View,340.0,30866.932,41110.423,19.488,18.704,18.704,,,SARACA VIEW,5.769
saraca_view,Saraca View,342.0,30868.564,41109.267,18.813,18.671,18.671,,,SARACA VIEW,5.735
saraca_view,Saraca View,344.0,30870.196,41108.11,18.069,18.638,18.638,,,SARACA VIEW,5.701
saraca_view,Saraca View,346.0,30871.827,41106.953,17.75,18.604,18.604,,,SARACA VIEW,5.666
saraca_view,Saraca View,348.0,30873.459,41105.797,17.713,18.571,18.571,,,SARACA VIEW,5.632
saraca_view,Saraca View,350.0,30875.104,41104.66,18.538,18.538,18.538,,,SARACA VIEW,5.621
saraca_view,Saraca View,352.0,30876.799,41103.599,18.507,18.279,18.279,,,SARACA VIEW,5.702
saraca_view,Saraca View,354.0,30878.495,41102.538,18.463,18.021,18.021,,,SARACA VIEW,5.96
saraca_view,Saraca View,356.0,30880.168,41101.454,17.763,17.763,17.763,,,SARACA VIEW,6.242
saraca_view,Saraca View,358.0,30881.314,41099.815,17.924,17.598,17.598,,,SARACA VIEW,5.76
saraca_view,Saraca View,360.0,30882.46,41098.175,17.432,17.432,17.491,-3.437,1.0,SARACA VIEW,5.277
saraca_view,Saraca View,362.0,30883.605,41096.536,17.491,17.491,17.488,,,SARACA VIEW,4.795
saraca_view,Saraca View,364.0,30884.751,41094.897,17.399,17.399,17.488,,,SARACA VIEW,4.312
saraca_view,Saraca View,366.0,30885.897,41093.258,18.441,17.488,17.491,1.111,1.0,SARACA VIEW,3.829
saraca_view,Saraca View,368.0,30887.316,41091.909,18.399,17.577,17.577,,,SARACA VIEW,3.745
saraca_view,Saraca View,370.0,30889.022,41090.865,17.666,17.666,17.577,,,SARACA VIEW,3.578
saraca_view,Saraca View,372.0,30890.728,41089.821,18.132,17.605,17.577,,,SARACA VIEW,3.303
saraca_view,Saraca View,374.0,30892.434,41088.777,17.866,17.543,17.605,0.486,1.0,SARACA VIEW,3.028
saraca_view,Saraca View,376.0,30894.14,41087.732,17.482,17.482,17.605,,,SARACA VIEW,2.753
saraca_view,Saraca View,378.0,30895.849,41086.694,17.616,17.616,17.616,,,SARACA VIEW,2.498
saraca_view,Saraca View,380.0,30897.575,41085.684,17.624,17.624,17.624,0.451,1.0,SARACA VIEW,2.631
saraca_view,Saraca View,382.0,30899.302,41084.675,17.774,17.774,17.641,0.312,1.0,SARACA VIEW,2.771
saraca_view,Saraca View,384.0,30901.029,41083.666,17.732,17.732,17.641,-1.354,1.0,SARACA VIEW,2.912
saraca_view,Saraca View,386.0,30902.755,41082.656,17.641,17.641,17.641,-1.979,1.0,SARACA VIEW,3.053
saraca_view,Saraca View,388.0,30904.482,41081.647,17.516,17.516,17.516,-3.646,1.0,SARACA VIEW,3.193
saraca_view,Saraca View,390.0,30906.208,41080.638,17.482,17.482,17.482,-3.646,1.0,SARACA VIEW,3.334
saraca_view,Saraca View,392.0,30907.935,41079.628,17.349,17.349,17.349,-2.083,1.0,SARACA VIEW,3.475
saraca_view,Saraca View,394.0,30909.662,41078.619,17.332,17.332,17.349,-1.875,1.0,SARACA VIEW,3.615
saraca_view,Saraca View,396.0,30911.388,41077.61,17.307,17.307,17.349,,,SARACA VIEW,3.756
saraca_view,Saraca View,398.0,30913.115,41076.601,17.491,17.491,17.332,,,SARACA VIEW,3.897
saraca_view,Saraca View,400.0,30914.842,41075.591,18.091,17.41,17.33,-0.521,1.0,SARACA VIEW,4.037
saraca_view,Saraca View,402.0,30916.568,41074.582,17.507,17.33,17.33,-0.625,1.0,SARACA VIEW,4.178
saraca_view,Saraca View,404.0,30918.295,41073.573,17.249,17.249,17.307,,,SARACA VIEW,4.319
saraca_view,Saraca View,406.0,30920.029,41072.576,17.307,17.307,17.282,,,SARACA VIEW,4.474
saraca_view,Saraca View,408.0,30921.774,41071.599,17.282,17.282,17.249,,,SARACA VIEW,4.651
saraca_view,Saraca View,410.0,30923.519,41070.621,17.149,17.005,17.005,-10.417,2.0,SARACA VIEW,4.829
saraca_view,Saraca View,412.0,30925.263,41069.644,16.274,16.727,16.727,-10.312,2.0,SARACA VIEW,5.006
saraca_view,Saraca View,414.0,30927.008,41068.666,16.449,16.449,16.449,,,SARACA VIEW,5.183
saraca_view,Saraca View,416.0,30928.753,41067.688,16.424,16.424,16.424,,,SARACA VIEW,5.36
saraca_view,Saraca View,418.0,30930.498,41066.711,16.374,16.374,16.393,,,SARACA VIEW,5.537
saraca_view,Saraca View,420.0,30932.081,41065.515,15.974,16.383,16.393,,,SARACA VIEW,5.443
saraca_view,Saraca View,422.0,30933.527,41064.133,17.38,16.393,16.393,,,SARACA VIEW,5.117
saraca_view,Saraca View,424.0,30934.972,41062.751,16.546,16.402,16.402,,,SARACA VIEW,4.792
saraca_view,Saraca View,426.0,30936.462,41061.419,17.046,16.411,16.411,,,SARACA VIEW,4.532
saraca_view,Saraca View,428.0,30938.041,41060.192,16.763,16.42,16.411,,,SARACA VIEW,4.41
saraca_view,Saraca View,430.0,30939.62,41058.964,16.43,16.43,16.411,,,SARACA VIEW,4.287
saraca_view,Saraca View,432.0,30941.199,41057.737,16.905,16.302,16.302,,,SARACA VIEW,4.164
saraca_view,Saraca View,434.0,30942.778,41056.509,16.28,16.174,16.174,,,SARACA VIEW,4.041
saraca_view,Saraca View,436.0,30944.387,41055.322,16.046,16.046,16.046,,,SARACA VIEW,3.969
saraca_view,Saraca View,438.0,30946.017,41054.163,15.574,15.958,15.958,,,SARACA VIEW,3.932
saraca_view,Saraca View,440.0,30947.647,41053.005,15.946,15.869,15.869,,,SARACA VIEW,3.895
saraca_view,Saraca View,442.0,30949.277,41051.846,15.78,15.78,15.78,,,SARACA VIEW,3.858
saraca_view,Saraca View,444.0,30950.908,41050.688,16.655,15.602,15.602,,,SARACA VIEW,3.821
saraca_view,Saraca View,446.0,30952.493,41049.469,16.138,15.424,15.424,,,SARACA VIEW,3.709
saraca_view,Saraca View,448.0,30954.06,41048.226,15.278,15.246,15.246,,,SARACA VIEW,3.567
saraca_view,Saraca View,450.0,30955.626,41046.983,15.19,15.068,15.068,,,SARACA VIEW,3.424
saraca_view,Saraca View,452.0,30957.193,41045.74,14.89,14.89,14.89,,,SARACA VIEW,3.282
saraca_view,Saraca View,454.0,30958.76,41044.497,14.865,14.865,14.89,,,SARACA VIEW,3.139
saraca_view,Saraca View,456.0,30960.384,41043.333,14.84,14.84,14.89,1.719,1.0,SARACA VIEW,3.095
saraca_view,Saraca View,458.0,30962.055,41042.235,15.015,15.015,15.015,4.96,1.0,SARACA VIEW,3.13
saraca_view,Saraca View,460.0,30963.726,41041.136,15.028,15.028,15.028,5.825,1.0,SARACA VIEW,3.166
saraca_view,Saraca View,462.0,30965.398,41040.037,15.287,15.287,15.287,4.263,1.0,SARACA VIEW,3.201
saraca_view,Saraca View,464.0,30967.069,41038.938,15.545,15.545,15.356,2.521,1.0,SARACA VIEW,3.236
saraca_view,Saraca View,466.0,30968.74,41037.839,15.604,15.604,15.356,0.779,1.0,SARACA VIEW,3.272
saraca_view,Saraca View,468.0,30970.411,41036.74,15.784,15.356,15.356,-0.087,1.0,SARACA VIEW,3.307
saraca_view,Saraca View,470.0,30972.082,41035.641,15.109,15.109,15.349,,,SARACA VIEW,3.343
saraca_view,Saraca View,472.0,30973.753,41034.543,15.084,15.084,15.349,,,SARACA VIEW,3.378
saraca_view,Saraca View,474.0,30975.424,41033.444,15.071,15.349,15.349,,,SARACA VIEW,3.413
saraca_view,Saraca View,476.0,30977.095,41032.345,15.04,15.615,15.615,,,SARACA VIEW,3.449
