path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
seletar_hills_drive,1,Seletar Hills Drive_Cam4_20260106_082741_325_C.jpeg,,12.361,6.18,,,,
seletar_hills_drive,2,Seletar Hills Drive_Cam4_20260106_082747_334_C.jpeg,,35.096,23.728,24.0,19.984,,
seletar_hills_drive,3,Seletar Hills Drive_Cam4_20260106_082801_153_C.jpeg,,42.031,38.563,38.0,19.893,-0.521,1.0
seletar_hills_drive,4,Seletar Hills Drive_Cam4_20260106_082804_157_C.jpeg,,52.156,47.093,48.0,19.892,-4.62,1.0
seletar_hills_drive,5,Seletar Hills Drive_Cam4_20260106_082808_364_C.jpeg,,62.553,57.354,58.0,19.81,9.099,2.0
seletar_hills_drive,6,Seletar Hills Drive_Cam4_20260106_082812_573_C.jpeg,,72.337,67.445,68.0,20.088,,
seletar_hills_drive,7,Seletar Hills Drive_Cam4_20260106_082816_777_C.jpeg,,81.784,77.061,78.0,19.252,,
seletar_hills_drive,8,Seletar Hills Drive_Cam4_20260106_082824_587_C.jpeg,,91.052,86.418,86.0,18.98,,
seletar_hills_drive,9,Seletar Hills Drive_Cam4_20260106_082831_193_C.jpeg,,100.653,95.853,96.0,18.761,-0.715,1.0
seletar_hills_drive,10,Seletar Hills Drive_Cam4_20260106_082835_402_C.jpeg,,110.345,105.499,106.0,18.719,-2.812,1.0
seletar_hills_drive,11,Seletar Hills Drive_Cam4_20260106_082839_608_C.jpeg,,119.858,115.101,116.0,18.386,,
seletar_hills_drive,12,Seletar Hills Drive_Cam4_20260106_082843_814_C.jpeg,,131.285,125.571,126.0,18.402,,
seletar_hills_drive,13,Seletar Hills Drive_Cam4_20260106_082848_618_C.jpeg,,144.023,137.654,138.0,18.182,,
seletar_hills_drive,14,Seletar Hills Drive_Cam4_20260106_082854_026_C.jpeg,,150.302,147.163,148.0,17.142,,
seletar_hills_drive,15,Seletar Hills Drive_Cam4_20260106_082856_429_C.jpeg,,160.664,155.483,156.0,17.348,,
seletar_hills_drive,16,Seletar Hills Drive_Cam4_20260106_082901_237_C.jpeg,,170.835,165.75,166.0,17.113,,
seletar_hills_drive,17,Seletar Hills Drive_Cam4_20260106_082906_045_C.jpeg,,183.0,176.918,176.0,16.455,,
seletar_hills_drive,18,Seletar Hills Drive_Cam4_20260106_082910_856_C.jpeg,,190.618,186.809,186.0,15.726,,
seletar_hills_drive,19,Seletar Hills Drive_Cam4_20260106_082913_257_C.jpeg,,200.734,195.676,196.0,15.695,-3.854,1.0
seletar_hills_drive,20,Seletar Hills Drive_Cam4_20260106_082916_269_C.jpeg,,211.168,205.951,206.0,14.974,-1.458,1.0
seletar_hills_drive,21,Seletar Hills Drive_Cam4_20260106_082919_275_C.jpeg,,220.059,215.613,216.0,15.703,,
seletar_hills_drive,22,Seletar Hills Drive_Cam4_20260106_082923_479_C.jpeg,,249.122,234.59,236.0,15.946,,
seletar_hills_drive,23,Seletar Hills Drive_Cam4_20260106_083034_976_C.jpeg,,258.878,254.0,254.0,15.182,,
seletar_hills_drive,24,Seletar Hills Drive_Cam4_20260106_083039_782_C.jpeg,,286.278,272.578,272.0,16.393,,
seletar_hills_drive,25,Seletar Hills Drive_Cam4_20260106_083108_485_C.jpeg,,296.077,291.178,292.0,18.25,,
seletar_hills_drive,26,Seletar Hills Drive_Cam4_20260106_083113_891_C.jpeg,,304.383,300.23,300.0,17.304,,
seletar_hills_drive,27,Seletar Hills Drive_Cam4_20260106_083117_499_C.jpeg,,313.663,309.023,310.0,16.945,-5.825,1.0
seletar_hills_drive,28,Seletar Hills Drive_Cam4_20260106_083121_701_C.jpeg,,327.775,320.719,320.0,16.503,,
seletar_hills_drive,29,Seletar Hills Drive_Cam4_20260106_083127_714_C.jpeg,,333.764,330.77,330.0,17.399,,
seletar_hills_drive,30,Seletar Hills Drive_Cam4_20260106_083130_116_C.jpeg,,343.969,338.866,338.0,18.298,,
seletar_hills_drive,31,Seletar Hills Drive_Cam4_20260106_083134_320_C.jpeg,,387.608,365.788,366.0,18.607,,
seletar_hills_drive,32,Seletar Hills Drive_Cam4_20260106_083154_143_C.jpeg,,419.399,403.503,404.0,19.998,0.0,1.0
seletar_hills_drive,33,Seletar Hills Drive_Cam4_20260106_083206_034_C.jpeg,,428.723,424.061,424.0,21.605,,
seletar_hills_drive,34,Seletar Hills Drive_Cam4_20260106_083209_640_C.jpeg,,439.045,433.884,434.0,20.967,,
seletar_hills_drive,35,Seletar Hills Drive_Cam4_20260106_083213_245_C.jpeg,,448.963,444.004,444.0,20.26,-1.719,1.0
seletar_hills_drive,36,Seletar Hills Drive_Cam4_20260106_083216_848_C.jpeg,,458.687,453.825,454.0,19.941,,
seletar_hills_drive,37,Seletar Hills Drive_Cam4_20260106_083220_453_C.jpeg,,469.563,464.125,464.0,20.029,,
seletar_hills_drive,38,Seletar Hills Drive_Cam4_20260106_083224_660_C.jpeg,,478.534,474.049,474.0,20.179,,
seletar_hills_drive,39,Seletar Hills Drive_Cam4_20260106_083228_269_C.jpeg,,489.156,483.845,484.0,20.054,0.0,1.0
seletar_hills_drive,40,Seletar Hills Drive_Cam4_20260106_083232_473_C.jpeg,,499.365,494.261,494.0,20.085,-1.25,1.0
seletar_hills_drive,41,Seletar Hills Drive_Cam4_20260106_083236_677_C.jpeg,,509.297,504.331,504.0,19.806,,
seletar_hills_drive,42,Seletar Hills Drive_Cam4_20260106_083240_884_C.jpeg,,518.798,514.047,514.0,19.574,-0.94,1.0
seletar_hills_drive,43,Seletar Hills Drive_Cam4_20260106_083245_690_C.jpeg,,528.21,523.504,524.0,19.324,5.625,1.0
seletar_hills_drive,44,Seletar Hills Drive_Cam4_20260106_083248_700_C.jpeg,,539.771,533.99,534.0,20.124,1.25,1.0
seletar_hills_drive,45,Seletar Hills Drive_Cam4_20260106_083252_305_C.jpeg,,549.298,544.534,544.0,19.642,,
seletar_hills_drive,46,Seletar Hills Drive_Cam4_20260106_083255_319_C.jpeg,,577.284,563.291,564.0,18.784,,
seletar_hills_drive,47,Seletar Hills Drive_Cam4_20260106_083303_729_C.jpeg,,587.018,582.151,582.0,18.174,-6.875,1.0
