path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
serangoon_garden_place,Serangoon Garden Place,22.0,30976.455,38466.025,10.904,10.904,10.892,-1.5,1.0,SERANGOON GARDEN PLACE,6.256
serangoon_garden_place,Serangoon Garden Place,24.0,30977.14,38464.488,10.832,10.832,10.862,-4.646,1.0,SERANGOON GARDEN PLACE,5.075
serangoon_garden_place,Serangoon Garden Place,26.0,30978.867,38463.479,10.892,10.892,10.832,-3.484,1.0,SERANGOON GARDEN PLACE,4.766
serangoon_garden_place,Serangoon Garden Place,28.0,30980.594,38462.47,10.612,10.612,10.613,-3.109,1.0,SERANGOON GARDEN PLACE,4.457
serangoon_garden_place,Serangoon Garden Place,30.0,30982.321,38461.462,10.613,10.613,10.613,-2.734,1.0,SERANGOON GARDEN PLACE,4.148
serangoon_garden_place,Serangoon Garden Place,32.0,30984.048,38460.453,10.58,10.58,10.613,0.012,1.0,SERANGOON GARDEN PLACE,3.839
serangoon_garden_place,Serangoon Garden Place,34.0,30985.775,38459.444,10.62,10.62,10.613,0.091,1.0,SERANGOON GARDEN PLACE,3.53
serangoon_garden_place,Serangoon Garden Place,36.0,30987.501,38458.435,13.092,10.614,10.614,3.641,1.0,SERANGOON GARDEN PLACE,3.222
serangoon_garden_place,Serangoon Garden Place,38.0,30989.228,38457.426,10.608,10.608,10.62,4.873,1.0,SERANGOON GARDEN PLACE,2.913
serangoon_garden_place,Serangoon Garden Place,40.0,30990.955,38456.417,10.904,10.904,10.904,6.106,1.0,SERANGOON GARDEN PLACE,2.604
serangoon_garden_place,Serangoon Garden Place,42.0,30992.682,38455.408,11.305,11.103,11.103,,,SERANGOON GARDEN PLACE,2.295
serangoon_garden_place,Serangoon Garden Place,44.0,30994.409,38454.399,11.301,11.301,11.103,,,SERANGOON GARDEN PLACE,1.986
serangoon_garden_place,Serangoon Garden Place,46.0,30996.136,38453.39,11.593,11.182,11.103,,,SERANGOON GARDEN PLACE,1.677
serangoon_garden_place,Serangoon Garden Place,48.0,30998.022,38452.76,12.207,11.062,11.062,,,SERANGOON GARDEN PLACE,1.78
serangoon_garden_place,Serangoon Garden Place,50.0,30999.951,38452.232,12.326,10.943,10.943,,,SERANGOON GARDEN PLACE,1.992
serangoon_garden_place,Serangoon Garden Place,52.0,31001.88,38451.703,12.704,10.824,10.824,,,SERANGOON GARDEN PLACE,2.204
serangoon_garden_place,Serangoon Garden Place,54.0,31003.809,38451.175,12.894,10.704,10.704,,,SERANGOON GARDEN PLACE,2.416
serangoon_garden_place,Serangoon Garden Place,56.0,31005.738,38450.646,10.585,10.585,10.704,,,SERANGOON GARDEN PLACE,2.628
serangoon_garden_place,Serangoon Garden Place,58.0,31007.667,38450.118,10.588,10.588,10.704,,,SERANGOON GARDEN PLACE,2.84
serangoon_garden_place,Serangoon Garden Place,60.0,31008.119,38449.957,10.592,10.831,10.831,,,SERANGOON GARDEN PLACE,2.856
serangoon_garden_place,Serangoon Garden Place,62.0,31006.168,38450.396,10.587,11.073,11.073,,,SERANGOON GARDEN PLACE,2.552
serangoon_garden_place,Serangoon Garden Place,64.0,31004.217,38450.835,12.704,11.316,11.316,,,SERANGOON GARDEN PLACE,2.248
serangoon_garden_place,Serangoon Garden Place,66.0,31002.265,38451.274,12.836,11.45,11.45,,,SERANGOON GARDEN PLACE,1.945
serangoon_garden_place,Serangoon Garden Place,68.0,31000.314,38451.712,12.224,11.585,11.45,,,SERANGOON GARDEN PLACE,1.641
serangoon_garden_place,Serangoon Garden Place,70.0,30998.363,38452.151,12.259,11.491,11.45,,,SERANGOON GARDEN PLACE,1.337
serangoon_garden_place,Serangoon Garden Place,72.0,30996.411,38452.59,11.603,11.397,11.397,,,SERANGOON GARDEN PLACE,1.033
serangoon_garden_place,Serangoon Garden Place,74.0,30994.46,38453.029,11.303,11.303,11.308,,,SERANGOON GARDEN PLACE,0.729
serangoon_garden_place,Serangoon Garden Place,76.0,30992.509,38453.468,11.308,11.308,11.303,,,SERANGOON GARDEN PLACE,0.426
serangoon_garden_place,Serangoon Garden Place,78.0,30990.558,38453.907,11.171,11.171,11.171,-8.366,1.0,SERANGOON GARDEN PLACE,0.122
serangoon_garden_place,Serangoon Garden Place,80.0,30988.606,38454.345,10.65,10.905,10.905,,,SERANGOON GARDEN PLACE,0.182
serangoon_garden_place,Serangoon Garden Place,82.0,30986.655,38454.784,10.638,10.638,10.638,,,SERANGOON GARDEN PLACE,0.486
serangoon_garden_place,Serangoon Garden Place,84.0,30984.704,38455.223,11.151,10.626,10.626,,,SERANGOON GARDEN PLACE,0.79
serangoon_garden_place,Serangoon Garden Place,86.0,30982.753,38455.662,10.908,10.614,10.614,-0.575,1.0,SERANGOON GARDEN PLACE,1.093
serangoon_garden_place,Serangoon Garden Place,88.0,30980.801,38456.101,10.602,10.602,10.602,,,SERANGOON GARDEN PLACE,1.397
serangoon_garden_place,Serangoon Garden Place,90.0,30978.85,38456.54,10.593,10.593,10.593,,,SERANGOON GARDEN PLACE,1.701
serangoon_garden_place,Serangoon Garden Place,92.0,30976.899,38456.978,10.544,10.544,10.544,-1.462,1.0,SERANGOON GARDEN PLACE,2.005
serangoon_garden_place,Serangoon Garden Place,94.0,30974.948,38457.417,10.511,10.511,10.528,-1.933,1.0,SERANGOON GARDEN PLACE,2.309
serangoon_garden_place,Serangoon Garden Place,94.191,30974.761,38457.459,10.512,10.512,10.512,-1.46,1.0,SERANGOON GARDEN PLACE,2.338
