path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
serangoon_north_avenue_4,Serangoon North Avenue 4,0.0,32685.917,39760.751,10.743,11.622,11.622,,,SERANGOON NORTH AVENUE 4,8.83
serangoon_north_avenue_4,Serangoon North Avenue 4,2.0,32686.2,39762.731,11.622,11.622,11.622,,,SERANGOON NORTH AVENUE 4,8.648
serangoon_north_avenue_4,Serangoon North Avenue 4,4.0,32686.483,39764.711,11.672,11.672,11.622,,,SERANGOON NORTH AVENUE 4,8.467
serangoon_north_avenue_4,Serangoon North Avenue 4,6.0,32686.765,39766.69,11.552,11.552,11.552,-2.375,1.0,SERANGOON NORTH AVENUE 4,8.285
serangoon_north_avenue_4,Serangoon North Avenue 4,8.0,32687.048,39768.67,11.317,11.317,11.552,-3.094,1.0,SERANGOON NORTH AVENUE 4,8.104
serangoon_north_avenue_4,Serangoon North Avenue 4,10.0,32687.331,39770.65,11.432,11.432,11.432,-3.766,1.0,SERANGOON NORTH AVENUE 4,7.923
serangoon_north_avenue_4,Serangoon North Avenue 4,12.0,32687.592,39772.633,11.552,11.552,11.375,-4.437,1.0,SERANGOON NORTH AVENUE 4,7.763
serangoon_north_avenue_4,Serangoon North Avenue 4,14.0,32687.841,39774.618,11.617,11.375,11.375,-5.618,1.0,SERANGOON NORTH AVENUE 4,7.615
serangoon_north_avenue_4,Serangoon North Avenue 4,16.0,32688.091,39776.602,11.197,11.197,11.197,-6.799,1.0,SERANGOON NORTH AVENUE 4,7.467
serangoon_north_avenue_4,Serangoon North Avenue 4,18.0,32688.34,39778.586,11.147,10.995,10.995,-6.002,1.0,SERANGOON NORTH AVENUE 4,7.319
serangoon_north_avenue_4,Serangoon North Avenue 4,20.0,32688.589,39780.571,10.793,10.793,10.831,-5.205,1.0,SERANGOON NORTH AVENUE 4,7.171
serangoon_north_avenue_4,Serangoon North Avenue 4,22.0,32688.787,39782.558,10.831,10.831,10.793,,,SERANGOON NORTH AVENUE 4,7.075
serangoon_north_avenue_4,Serangoon North Avenue 4,24.0,32688.76,39784.558,10.781,10.781,10.781,,,SERANGOON NORTH AVENUE 4,7.203
serangoon_north_avenue_4,Serangoon North Avenue 4,26.0,32688.734,39786.558,10.9,10.558,10.558,,,SERANGOON NORTH AVENUE 4,7.331
serangoon_north_avenue_4,Serangoon North Avenue 4,28.0,32688.708,39788.557,10.605,10.335,10.335,,,SERANGOON NORTH AVENUE 4,7.459
